Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1011847,0.044047,273,5
200.0,0.1995573,0.0588229,273,5
500.0,0.4338378,0.08408949999999998,273,5
1000.0,0.8070861,0.1015309,273,5
2000.0,1.2104969,0.1122155,273,5
5000.0,1.9206473,0.138362,273,5
10000.0,2.4645936,0.1157201,273,5
20000.0,2.9669311,0.1043303,273,5
50000.0,3.4612189,0.101792,273,5
100000.0,3.7672841,0.0741156,273,5
1000000.0,4.3209613,0.0604922,273,5
100.0,0.027816,0.0243604,298,5
200.0,0.0575492,0.0346796,298,5
500.0,0.1322308,0.0490668,298,5
1000.0,0.2723258,0.0703196,298,5
2000.0,0.4719567,0.0869217,298,5
5000.0,0.9850717000000001,0.1113359,298,5
10000.0,1.485841,0.1199227,298,5
20000.0,2.0243258,0.1257415,298,5
50000.0,2.7124066,0.1194523,298,5
100000.0,3.1757491,0.0995057,298,5
1000000.0,4.0533907,0.0689812,298,5
100.0,0.0099341,0.0119212,323,5
200.0,0.01884,0.0163353,323,5
500.0,0.0482906,0.0257928,323,5
1000.0,0.09285280000000001,0.0346983,323,5
2000.0,0.1798916,0.0449714,323,5
5000.0,0.4116354,0.0640902,323,5
10000.0,0.7283536,0.0925582,323,5
20000.0,1.1706687,0.1044362,323,5
50000.0,1.8849286,0.1007893,323,5
100000.0,2.4424322,0.0965873,323,5
1000000.0,3.7344889,0.0644884,323,5
100.0,0.1350365,0.0494802,273,1
200.0,0.2541154,0.0692184,273,1
500.0,0.5959617,0.0954537,273,1
1000.0,0.9406282,0.1143353,273,1
2000.0,1.4992452,0.1328539,273,1
5000.0,2.3145682,0.1493974,273,1
10000.0,2.8563906,0.1152642,273,1
20000.0,3.3136338,0.0959057,273,1
50000.0,3.7639901,0.0913928,273,1
100000.0,3.9939975,0.069606,273,1
1000000.0,4.5514828,0.07748299999999998,273,1
100.0,0.0374244,0.02688,298,1
200.0,0.079026,0.0381902,298,1
500.0,0.1711658,0.0567663,298,1
1000.0,0.3358827,0.07890669999999998,298,1
2000.0,0.5951518,0.0956474,298,1
5000.0,1.1898791,0.1269894,298,1
10000.0,1.7467169,0.1150268,298,1
20000.0,2.3721691,0.1267403,298,1
50000.0,3.1071607,0.1086031,298,1
100000.0,3.4615853,0.0901181,298,1
1000000.0,4.2520122,0.0683032,298,1
100.0,0.0132032,0.0137494,323,1
200.0,0.0255569,0.0185405,323,1
500.0,0.0630928,0.0282669,323,1
1000.0,0.115737,0.0384354,323,1
2000.0,0.2371923,0.0557446,323,1
5000.0,0.5149079,0.0692409,323,1
