Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004267,0.0035048,273,5
200.0,0.0008187,0.0048747,273,5
500.0,0.0018046,0.007274799999999999,273,5
1000.0,0.003615,0.0102278,273,5
2000.0,0.0076423,0.0148071,273,5
5000.0,0.0190552,0.0233217,273,5
10000.0,0.0377905,0.0330786,273,5
20000.0,0.0742492,0.0404032,273,5
50000.0,0.1803915,0.0622734,273,5
100000.0,0.3291629,0.0784219,273,5
100.0,0.0002306,0.0026003,298,5
200.0,0.0003776,0.0033281,298,5
500.0,0.0010061,0.0054302,298,5
1000.0,0.0020439,0.0076746,298,5
2000.0,0.0042118,0.0109832,298,5
5000.0,0.0108941,0.0178335,298,5
10000.0,0.0205456,0.0243687,298,5
20000.0,0.0408895,0.0342791,298,5
50000.0,0.100399,0.0473046,298,5
100000.0,0.1949315,0.0653068,298,5
100.0,0.0001365,0.0016136,323,5
200.0,0.0003056,0.0024497,323,5
500.0,0.0005573,0.003293,323,5
1000.0,0.0011454,0.0047173,323,5
2000.0,0.002583,0.0070806,323,5
5000.0,0.0065824,0.0114022,323,5
10000.0,0.0127579,0.0155869,323,5
20000.0,0.0251725,0.0219599,323,5
50000.0,0.0625354,0.030008,323,5
100000.0,0.1233393,0.0415718,323,5
100.0,0.0004211,0.0034586,273,1
200.0,0.0010268,0.0054507,273,1
500.0,0.0024734,0.0084165,273,1
1000.0,0.0049007,0.0118756,273,1
2000.0,0.0095017,0.0165695,273,1
5000.0,0.0240136,0.0261511,273,1
10000.0,0.0479062,0.0364468,273,1
20000.0,0.0948871,0.045953,273,1
50000.0,0.2270873,0.0678739,273,1
100000.0,0.4186621,0.08838369999999998,273,1
100.0,0.0002681,0.0027671,298,1
200.0,0.0005477,0.0039777,298,1
500.0,0.0013117,0.0061445,298,1
1000.0,0.0026868,0.0088532,298,1
2000.0,0.0054542,0.0124929,298,1
5000.0,0.0134626,0.0193879,298,1
10000.0,0.0265995,0.0275925,298,1
20000.0,0.0531298,0.0390972,298,1
50000.0,0.1297112,0.0537024,298,1
100000.0,0.247257,0.0690612,298,1
100.0,0.0001422,0.0016694,323,1
200.0,0.0003344,0.0025422,323,1
500.0,0.0007803,0.003851,323,1
1000.0,0.0016086,0.0055864,323,1
2000.0,0.0033613,0.007991599999999998,323,1
5000.0,0.0081179,0.0125198,323,1
10000.0,0.0162186,0.0176511,323,1
20000.0,0.0318856,0.0247561,323,1
50000.0,0.0791787,0.0344527,323,1
100000.0,0.1548757,0.04782,323,1
100.0,0.0002998,0.0029528,273,6
200.0,0.0006054,0.0041735,273,6
500.0,0.0012771,0.0060975,273,6
1000.0,0.0026493,0.008718,273,6
2000.0,0.0054687,0.0126355,273,6
5000.0,0.0140277,0.0200892,273,6
10000.0,0.0271559,0.0279948,273,6
20000.0,0.0539716,0.0382887,273,6
50000.0,0.1321847,0.0552201,273,6
100000.0,0.2538875,0.0689894,273,6
100.0,0.0001441,0.0020333,298,6
200.0,0.0002854,0.0028541,298,6
500.0,0.0008331,0.0049484,298,6
1000.0,0.0015827,0.0067537,298,6
2000.0,0.003148,0.0095818,298,6
5000.0,0.0080545,0.0152089,298,6
10000.0,0.0164377,0.0218498,298,6
20000.0,0.0319961,0.0299619,298,6
50000.0,0.0784616,0.047249,298,6
100000.0,0.154667,0.057537,298,6
100.0,0.0001384,0.0019925,323,6
200.0,0.0002422,0.0026624,323,6
500.0,0.0004814,0.0037166,323,6
1000.0,0.0009888,0.0053252,323,6
2000.0,0.0020497,0.0077806,323,6
5000.0,0.005281,0.0123742,323,6
10000.0,0.0104905,0.0174612,323,6
20000.0,0.0199576,0.0236919,323,6
50000.0,0.0501923,0.0374172,323,6
100000.0,0.0982571,0.045693,323,6
100.0,0.0003431,0.003126,273,2
200.0,0.0007095,0.0045037,273,2
500.0,0.00177,0.00711,273,2
1000.0,0.0037812,0.0104646,273,2
2000.0,0.0072185,0.0143533,273,2
5000.0,0.0181241,0.0224754,273,2
10000.0,0.0361942,0.0323948,273,2
20000.0,0.0707293,0.0445952,273,2
50000.0,0.17212,0.0621028,273,2
100000.0,0.3275394,0.0812313,273,2
100.0,0.000222,0.0025199,298,2
200.0,0.0003921,0.0033637,298,2
500.0,0.0010729,0.0054874,298,2
1000.0,0.0021217,0.007755899999999999,298,2
2000.0,0.0040936,0.0109484,298,2
5000.0,0.0107355,0.0177173,298,2
10000.0,0.0209492,0.024407,298,2
20000.0,0.0414257,0.0346179,298,2
50000.0,0.101013,0.0453386,298,2
100000.0,0.1974857,0.0662202,298,2
100.0,0.0001067,0.0017971,323,2
200.0,0.0002652,0.0027523,323,2
500.0,0.0006515,0.004437,323,2
1000.0,0.0013895,0.0062681,323,2
2000.0,0.0027242,0.0086853,323,2
5000.0,0.0065295,0.0138133,323,2
10000.0,0.0131002,0.0194332,323,2
20000.0,0.0258039,0.0272435,323,2
50000.0,0.0647273,0.0431065,323,2
100000.0,0.1268976,0.0524488,323,2
100.0,0.0002614,0.002226,273,8
200.0,0.0004785,0.0030192,273,8
500.0,0.0013011,0.0049641,273,8
1000.0,0.0026906,0.0071394,273,8
2000.0,0.0052006,0.0100705,273,8
5000.0,0.0124613,0.0155181,273,8
10000.0,0.0258452,0.0219455,273,8
20000.0,0.0494918,0.0305712,273,8
50000.0,0.1235219,0.0428709,273,8
100000.0,0.230881,0.0581453,273,8
100.0,0.0001634,0.0017643,298,8
200.0,0.0003094,0.0024792,298,8
500.0,0.000688,0.003622,298,8
1000.0,0.001526,0.0054662,298,8
2000.0,0.0028194,0.0072975,298,8
5000.0,0.0075798,0.0121222,298,8
10000.0,0.0151209,0.0168966,298,8
20000.0,0.03045,0.0243362,298,8
50000.0,0.073312,0.0327738,298,8
100000.0,0.1431556,0.0451552,298,8
100.0,0.0001019,0.0013954,323,8
200.0,0.0001807,0.001855,323,8
500.0,0.0004805,0.0030128,323,8
1000.0,0.0009878,0.0043384,323,8
2000.0,0.0018969,0.0060028,323,8
5000.0,0.0048931,0.0096204,323,8
10000.0,0.009820700000000002,0.0137205,323,8
20000.0,0.0191879,0.0188185,323,8
50000.0,0.0478832,0.0298732,323,8
100000.0,0.095036,0.0420856,323,8
100.0,0.0003286,0.0025064,273,4
200.0,0.0006672,0.0036013,273,4
500.0,0.0017316,0.0058351,273,4
1000.0,0.0034401,0.0080754,273,4
2000.0,0.0068956,0.0115641,273,4
5000.0,0.0171795,0.0180761,273,4
10000.0,0.0334365,0.0251205,273,4
20000.0,0.0674804,0.0350848,273,4
50000.0,0.1635427,0.0486563,273,4
100000.0,0.3090295,0.0649655,273,4
100.0,0.000171,0.001805,298,4
200.0,0.0003921,0.0027573,298,4
500.0,0.0009456000000000001,0.0042446,298,4
1000.0,0.0019776,0.0061892,298,4
2000.0,0.0040724,0.008705799999999998,298,4
5000.0,0.0100859,0.0139356,298,4
10000.0,0.0202372,0.0197006,298,4
20000.0,0.0395461,0.0273848,298,4
50000.0,0.0961603,0.0371742,298,4
100000.0,0.1886345,0.051595,298,4
100.0,0.0001365,0.0016368,323,4
200.0,0.0002287,0.0021016,323,4
500.0,0.0006208,0.0035153,323,4
1000.0,0.0012345,0.0048432,323,4
2000.0,0.0024901,0.0068323,323,4
5000.0,0.0063645,0.0111526,323,4
10000.0,0.0123422,0.015312,323,4
20000.0,0.025013,0.0218433,323,4
50000.0,0.062914,0.0340909,323,4
100000.0,0.1191131,0.0474738,323,4
100.0,0.0002825,0.0023129,273,7
