Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0187441,0.0275778,273,5
200.0,0.0382195,0.038519,273,5
500.0,0.0931982,0.0548085,273,5
1000.0,0.1906032,0.0731804,273,5
2000.0,0.3677009,0.101345,273,5
5000.0,0.8606582,0.1460319,273,5
10000.0,1.6151378,0.1928586,273,5
20000.0,2.6502806,0.2168286,273,5
50000.0,4.1243484,0.1943689,273,5
100000.0,5.2389375,0.1710002,273,5
1000000.0,6.789678,0.1297305,273,5
100.0,0.0065614,0.0161339,298,5
200.0,0.0132836,0.0229592,298,5
500.0,0.0339483,0.0366114,298,5
1000.0,0.066856,0.0437649,298,5
2000.0,0.1335352,0.0624138,298,5
5000.0,0.3268225,0.0963163,298,5
10000.0,0.6210403,0.1272643,298,5
20000.0,1.153792,0.1685656,298,5
50000.0,2.2131843,0.1971395,298,5
100000.0,3.288981,0.1955185,298,5
1000000.0,5.9967756,0.1346993,298,5
100.0,0.0029412,0.0108592,323,5
200.0,0.0055034,0.0147203,323,5
500.0,0.013856,0.0238745,323,5
1000.0,0.0275034,0.0330887,323,5
2000.0,0.0550229,0.0464416,323,5
5000.0,0.1307277,0.0647714,323,5
10000.0,0.2722697,0.0892691,323,5
20000.0,0.5298889,0.1194822,323,5
50000.0,1.1005534,0.1600452,323,5
100000.0,1.8871698,0.1932582,323,5
1000000.0,4.8276751,0.1703759,323,5
100.0,0.0477342,0.0371262,273,1
200.0,0.0967019,0.0530192,273,1
500.0,0.2435609,0.08421679999999998,273,1
1000.0,0.4802419,0.1148839,273,1
2000.0,0.9027896,0.1416805,273,1
5000.0,2.0662971,0.1859085,273,1
10000.0,3.4026241,0.2203794,273,1
20000.0,4.6262823,0.2115493,273,1
50000.0,5.8803801,0.1323028,273,1
100000.0,6.3689576,0.1750452,273,1
1000000.0,7.2066282,0.0696011,273,1
100.0,0.0145252,0.0243155,298,1
200.0,0.030091,0.034928,298,1
500.0,0.07901859999999998,0.0494868,298,1
1000.0,0.1569364,0.0683095,298,1
2000.0,0.2966832,0.09098270000000001,298,1
5000.0,0.7235104,0.1324826,298,1
10000.0,1.2894414,0.1825536,298,1
20000.0,2.2764303,0.194218,298,1
50000.0,3.8158098,0.1911076,298,1
100000.0,5.0000408,0.1870721,298,1
1000000.0,6.866086,0.1116205,298,1
100.0,0.0061034,0.0155216,323,1
200.0,0.0119054,0.0218791,323,1
500.0,0.0301111,0.0350007,323,1
1000.0,0.0596075,0.0489759,323,1
2000.0,0.1144455,0.0600845,323,1
5000.0,0.293734,0.0926444,323,1
10000.0,0.5661618,0.1243683,323,1
20000.0,1.0145775,0.1557039,323,1
50000.0,2.0900366,0.1871318,323,1
100000.0,3.2176067,0.1807047,323,1
1000000.0,5.9777215,0.1623862,323,1
100.0,0.0155056,0.0247095,273,6
200.0,0.0303602,0.0349377,273,6
500.0,0.074426,0.0472906,273,6
1000.0,0.1511502,0.0684521,273,6
2000.0,0.2899332,0.0921798,273,6
5000.0,0.6744457,0.1305892,273,6
10000.0,1.2210142,0.1757592,273,6
20000.0,2.0402739,0.1905424,273,6
50000.0,3.2492353,0.1855512,273,6
100000.0,4.0139184,0.15299,273,6
1000000.0,5.8950448,0.1314394,273,6
100.0,0.0053721,0.0146106,298,6
200.0,0.0110857,0.0210085,298,6
500.0,0.0274914,0.0332374,298,6
1000.0,0.0551274,0.047321,298,6
2000.0,0.1089931,0.0580504,298,6
5000.0,0.265881,0.0866746,298,6
10000.0,0.5191936,0.1237569,298,6
20000.0,0.9327131,0.1533697,298,6
50000.0,1.8599005,0.1793747,298,6
100000.0,2.6877253,0.1863734,298,6
1000000.0,4.9949351,0.1418596,298,6
100.0,0.0024349,0.0098198,323,6
200.0,0.004902,0.014087,323,6
500.0,0.0123313,0.0221215,323,6
1000.0,0.0238068,0.0307594,323,6
2000.0,0.0477181,0.0434506,323,6
5000.0,0.1163983,0.0613565,323,6
10000.0,0.2325314,0.0843349,323,6
20000.0,0.4472374,0.1129983,323,6
50000.0,0.9624335,0.1566953,323,6
100000.0,1.5799832,0.1812042,323,6
1000000.0,4.0847963,0.1579205,323,6
100.0,0.0350975,0.0376774,273,2
200.0,0.0682342,0.0530124,273,2
500.0,0.1684959,0.07274089999999998,273,2
1000.0,0.3314874,0.0986603,273,2
2000.0,0.6543561,0.1317052,273,2
5000.0,1.4285936,0.1897622,273,2
10000.0,2.3381592,0.2091956,273,2
20000.0,3.3187429,0.1843676,273,2
50000.0,4.436714,0.1927734,273,2
100000.0,5.2451507,0.1528433,273,2
1000000.0,6.7732189,0.1647131,273,2
100.0,0.0117648,0.0218703,298,2
200.0,0.0240479,0.031446,298,2
500.0,0.0588561,0.0484429,298,2
1000.0,0.1190462,0.0621681,298,2
2000.0,0.2337086,0.0868491,298,2
5000.0,0.5626165,0.1208151,298,2
10000.0,1.0017615,0.1632159,298,2
20000.0,1.7177517,0.1893324,298,2
50000.0,2.9203703,0.2023723,298,2
100000.0,3.8169177,0.1883989,298,2
1000000.0,5.9631125,0.1326051,298,2
100.0,0.0050024,0.0142059,323,2
200.0,0.0100169,0.0201283,323,2
500.0,0.0244296,0.0317077,323,2
1000.0,0.0493655,0.0438415,323,2
2000.0,0.0949581,0.0524866,323,2
5000.0,0.2361476,0.08545719999999998,323,2
10000.0,0.4651351,0.1168716,323,2
20000.0,0.8202893,0.1434442,323,2
50000.0,1.6808177,0.19033,323,2
100000.0,2.5502739,0.202264,323,2
1000000.0,5.0628744,0.1558405,323,2
100.0,0.0172862,0.0260155,273,8
200.0,0.0344787,0.0368514,273,8
500.0,0.08537509999999998,0.0514767,273,8
1000.0,0.1681103,0.0698017,273,8
2000.0,0.3177519,0.0988494,273,8
5000.0,0.7446102999999998,0.146152,273,8
10000.0,1.3011415,0.1748852,273,8
20000.0,2.1105804,0.1896772,273,8
50000.0,3.148176,0.1691264,273,8
100000.0,3.7826034,0.1557091,273,8
1000000.0,5.4171282,0.1293962,273,8
100.0,0.0063364,0.015902,298,8
200.0,0.0121345,0.0219267,298,8
500.0,0.0308946,0.0356065,298,8
1000.0,0.0609897,0.0492742,298,8
2000.0,0.121164,0.0602028,298,8
5000.0,0.2966949,0.0922094,298,8
10000.0,0.5701094,0.1264031,298,8
20000.0,0.9854844,0.153343,298,8
50000.0,1.8948484,0.1868735,298,8
100000.0,2.6921197,0.1776956,298,8
1000000.0,4.6132538,0.1269457,298,8
100.0,0.0025555,0.0100655,323,8
200.0,0.0054444,0.0147599,323,8
500.0,0.0131309,0.0231308,323,8
1000.0,0.0263221,0.032868,323,8
2000.0,0.0520174,0.0453452,323,8
5000.0,0.1280064,0.0705262,323,8
10000.0,0.2531961,0.0981732,323,8
20000.0,0.4868324,0.1295283,323,8
50000.0,1.0387791,0.1751561,323,8
100000.0,1.6790416,0.2058944,323,8
1000000.0,3.8785856,0.1796504,323,8
100.0,0.0381793,0.0393463,273,4
200.0,0.07488799999999998,0.0541235,273,4
500.0,0.1875415,0.0753437,273,4
1000.0,0.3714788,0.1031043,273,4
2000.0,0.6881101,0.1347847,273,4
5000.0,1.494396,0.1839947,273,4
10000.0,2.3171143,0.1914761,273,4
20000.0,3.1957182,0.1852313,273,4
50000.0,4.1875922,0.1447575,273,4
100000.0,4.8104406,0.1620539,273,4
1000000.0,6.3334041,0.1061263,273,4
100.0,0.0133037,0.0231333,298,4
200.0,0.0264869,0.0327576,298,4
500.0,0.0643327,0.0511029,298,4
1000.0,0.1260697,0.0615095,298,4
2000.0,0.2486517,0.0862548,298,4
5000.0,0.5983423,0.1282972,298,4
10000.0,1.0549024,0.1566041,298,4
20000.0,1.770095,0.1910572,298,4
50000.0,2.8710489,0.176346,298,4
100000.0,3.6289828,0.1649764,298,4
1000000.0,5.6201486,0.1608535,298,4
100.0,0.0053159,0.0145537,323,4
200.0,0.0109491,0.020849,323,4
500.0,0.0272061,0.0328407,323,4
1000.0,0.0525598,0.0451555,323,4
2000.0,0.1054532,0.0649518,323,4
5000.0,0.2561413,0.1005321,323,4
10000.0,0.4899745,0.1336912,323,4
20000.0,0.8743022,0.1606356,323,4
50000.0,1.7301122,0.1984477,323,4
100000.0,2.5498665,0.2214197,323,4
1000000.0,4.7478206,0.1838888,323,4
100.0,0.0233367,0.0306445,273,7
200.0,0.0477181,0.0431149,273,7
500.0,0.1173144,0.0586928,273,7
1000.0,0.2314184,0.08363969999999998,273,7
2000.0,0.4482111,0.1130842,273,7
5000.0,0.9882862,0.1557511,273,7
10000.0,1.7464871,0.1924168,273,7
20000.0,2.5662,0.1791445,273,7
50000.0,3.5603139,0.1566659,273,7
100000.0,4.1707705,0.1369892,273,7
1000000.0,5.7334264,0.1447769,273,7
100.0,0.008462,0.0184062,298,7
200.0,0.0168235,0.0259712,298,7
500.0,0.0400557,0.0397661,298,7
1000.0,0.0803204,0.0488252,298,7
2000.0,0.1558754,0.0682006,298,7
5000.0,0.3843881,0.1068408,298,7
10000.0,0.7080651,0.1344556,298,7
20000.0,1.2684841,0.1691876,298,7
50000.0,2.2697801,0.1836977,298,7
100000.0,3.0771576,0.1634883,298,7
1000000.0,4.9513029,0.1318187,298,7
100.0,0.0032867,0.0115415,323,7
200.0,0.0068387,0.0165781,323,7
500.0,0.0167193,0.0260103,323,7
1000.0,0.0326385,0.0359129,323,7
2000.0,0.0672739,0.0443291,323,7
5000.0,0.1666759,0.0691933,323,7
10000.0,0.3151188,0.0961823,323,7
20000.0,0.5955442,0.120099,323,7
50000.0,1.2571099,0.1701619,323,7
100000.0,1.977417,0.1850905,323,7
1000000.0,4.1321191,0.1501982,323,7
100.0,0.0545488,0.0403791,273,3
200.0,0.106739,0.0583314,273,3
500.0,0.2743068,0.0854019,273,3
1000.0,0.5188842,0.1147077,273,3
2000.0,0.9619999,0.1543266,273,3
5000.0,1.9428821,0.1909886,273,3
10000.0,2.8808541,0.1928684,273,3
20000.0,3.6512917,0.18368,273,3
50000.0,4.5193966,0.1410078,273,3
100000.0,5.0988425,0.1642511,273,3
1000000.0,6.690884,0.0975008,273,3
100.0,0.0180329,0.0269052,298,3
200.0,0.0357404,0.0379973,298,3
500.0,0.0889873,0.0518677,298,3
1000.0,0.1735893,0.0717869,298,3
2000.0,0.3490519,0.0998309,298,3
5000.0,0.8002055,0.1389801,298,3
10000.0,1.3596857,0.1769419,298,3
20000.0,2.1779973,0.196372,298,3
50000.0,3.2627,0.179834,298,3
100000.0,3.9755474,0.1601166,298,3
1000000.0,5.9181182,0.124019,298,3
100.0,0.0070195,0.0166047,323,3
200.0,0.0134765,0.0232041,323,3
500.0,0.034296,0.0365465,323,3
1000.0,0.0691704,0.0447066,323,3
2000.0,0.1364522,0.0638255,323,3
5000.0,0.3295025,0.0993023,323,3
10000.0,0.6263218,0.1305835,323,3
20000.0,1.0905389,0.1610004,323,3
50000.0,2.0590202,0.1814658,323,3
100000.0,2.8700109,0.1824638,323,3
1000000.0,4.9145058,0.1531168,323,3
