Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005996,0.0048088,273,5
200.0,0.0012756,0.0069888,273,5
500.0,0.0030974,0.0108512,273,5
1000.0,0.0064354,0.0158353,273,5
2000.0,0.0121376,0.0217531,273,5
5000.0,0.0305425,0.0336697,273,5
10000.0,0.0596873,0.0467458,273,5
20000.0,0.1156819,0.0576412,273,5
50000.0,0.2597168,0.08205129999999998,273,5
100000.0,0.453288,0.0991027,273,5
100.0,0.0003514,0.0036464,298,5
200.0,0.0006722,0.005022,298,5
500.0,0.0015223,0.0076264,298,5
1000.0,0.0030707,0.0108386,298,5
2000.0,0.006023,0.0149893,298,5
5000.0,0.0157773,0.0245221,298,5
10000.0,0.0308939,0.0339286,298,5
20000.0,0.0614059,0.0473769,298,5
50000.0,0.1446083,0.0642484,298,5
100000.0,0.266832,0.0795087,298,5
100.0,0.0001604,0.00247,323,5
200.0,0.000317,0.003465,323,5
500.0,0.0008402,0.005654,323,5
1000.0,0.0018218,0.0082821,323,5
2000.0,0.0036588,0.0118964,323,5
5000.0,0.009154700000000002,0.0185477,323,5
10000.0,0.0171752,0.0255995,323,5
20000.0,0.0351104,0.0366606,323,5
50000.0,0.0824767,0.0469164,323,5
100000.0,0.1610158,0.0642267,323,5
100.0,0.0008937,0.0058239,273,1
200.0,0.0018791,0.0083832,273,1
500.0,0.0045373,0.0131132,273,1
1000.0,0.009251,0.0186392,273,1
2000.0,0.0180803,0.0260856,273,1
5000.0,0.0455675,0.0412976,273,1
10000.0,0.0873212,0.048159,273,1
20000.0,0.1669968,0.0670127,273,1
50000.0,0.3693942,0.09277030000000001,273,1
100000.0,0.6154992,0.1134382,273,1
100.0,0.0004507,0.0041594,298,1
200.0,0.0008937,0.0058239,298,1
500.0,0.0023145,0.009458200000000002,298,1
1000.0,0.0042585,0.0126479,298,1
2000.0,0.0087766,0.0181401,298,1
5000.0,0.0221478,0.0287794,298,1
10000.0,0.0434669,0.0404774,298,1
20000.0,0.08638769999999998,0.0487603,298,1
50000.0,0.1986699,0.0694227,298,1
100000.0,0.3582951,0.0937425,298,1
100.0,0.0002521,0.0031855,323,1
200.0,0.0005576,0.0047066,323,1
500.0,0.0012877,0.0069569,323,1
1000.0,0.0024825,0.0097203,323,1
2000.0,0.0048008,0.0134327,323,1
5000.0,0.01234,0.0216153,323,1
10000.0,0.0244699,0.0300341,323,1
20000.0,0.0479087,0.0419089,323,1
50000.0,0.1174496,0.0583264,323,1
100000.0,0.2124803,0.07698449999999998,323,1
100.0,0.0006722,0.0050798,273,6
200.0,0.0013864,0.007244699999999998,273,6
500.0,0.0035252,0.0115073,273,6
1000.0,0.0070427,0.0163291,273,6
2000.0,0.013333,0.0222774,273,6
5000.0,0.0330098,0.0348513,273,6
10000.0,0.0649158,0.0413269,273,6
20000.0,0.1247979,0.060949,273,6
