Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1033517,0.0410037,273,5
200.0,0.1964626,0.0545671,273,5
500.0,0.415453,0.0727957,273,5
1000.0,0.6538546,0.085843,273,5
2000.0,0.9348669,0.08800289999999998,273,5
5000.0,1.2147849,0.0670455,273,5
10000.0,1.3339294,0.0548201,273,5
20000.0,1.4319533,0.0435409,273,5
50000.0,1.5239223,0.0406865,273,5
100000.0,1.6205751,0.0500065,273,5
1000000.0,1.8868852,0.0667425,273,5
100.0,0.0313027,0.0238478,298,5
200.0,0.0607758,0.0317928,298,5
500.0,0.1445243,0.0477275,298,5
1000.0,0.2760394,0.0633139,298,5
2000.0,0.4674072,0.07600089999999998,298,5
5000.0,0.7937735,0.08568149999999998,298,5
10000.0,1.0379509,0.07860459999999998,298,5
20000.0,1.2180222,0.0651351,298,5
50000.0,1.3727874,0.0470445,298,5
100000.0,1.4510543,0.0407297,298,5
1000000.0,1.7115153,0.0413914,298,5
100.0,0.011192,0.0126571,323,5
200.0,0.0221444,0.0157575,323,5
500.0,0.0540739,0.0233731,323,5
1000.0,0.1029596,0.0328571,323,5
2000.0,0.1949295,0.0438088,323,5
5000.0,0.4014574,0.0592479,323,5
10000.0,0.6389535,0.0660461,323,5
20000.0,0.9075251,0.0660664,323,5
50000.0,1.1905439,0.0506957,323,5
100000.0,1.3211439,0.0404195,323,5
1000000.0,1.5724398,0.0304836,323,5
100.0,0.2786512,0.0651048,273,1
200.0,0.47831,0.0792202,273,1
500.0,0.8243783,0.0859385,273,1
1000.0,1.0913192,0.07717699999999998,273,1
2000.0,1.2687639,0.0583467,273,1
5000.0,1.4249238,0.0440239,273,1
10000.0,1.4963639,0.0372474,273,1
20000.0,1.5527547,0.0412834,273,1
50000.0,1.700078,0.0542645,273,1
100000.0,1.7841089,0.0501231,273,1
1000000.0,2.0066481,0.0338697,273,1
100.0,0.0794533,0.0372093,298,1
200.0,0.1590398,0.0500561,298,1
500.0,0.3445717,0.068265,298,1
1000.0,0.5533879,0.08140949999999998,298,1
2000.0,0.8348552999999999,0.0879047,298,1
5000.0,1.1386564,0.0711242,298,1
10000.0,1.3085005,0.0562234,298,1
20000.0,1.4206859,0.0442345,298,1
50000.0,1.5006668,0.03952,298,1
100000.0,1.5965493,0.0424126,298,1
1000000.0,1.9015949,0.0543314,298,1
100.0,0.0267386,0.0175026,323,1
200.0,0.0539251,0.0234074,323,1
500.0,0.1299829,0.0376421,323,1
1000.0,0.2346624,0.0486078,323,1
2000.0,0.4167155,0.0568629,323,1
5000.0,0.7459276999999999,0.0682862,323,1
10000.0,1.0015428,0.0601612,323,1
20000.0,1.2057116,0.0513627,323,1
50000.0,1.3648593,0.0399763,323,1
100000.0,1.4446989,0.0308253,323,1
1000000.0,1.7442671,0.0283215,323,1
100.0,0.1332597,0.0476226,273,6
200.0,0.2551898,0.0627855,273,6
500.0,0.5372514,0.082585,273,6
1000.0,0.8127971,0.0901379,273,6
2000.0,1.077027,0.07943,273,6
5000.0,1.298014,0.0557865,273,6
10000.0,1.4100313,0.0436518,273,6
20000.0,1.493622,0.040353,273,6
50000.0,1.5780412,0.0431808,273,6
100000.0,1.6866348,0.0466139,273,6
1000000.0,1.9374146,0.0490225,273,6
100.0,0.040789,0.0275831,298,6
200.0,0.0800729,0.0386359,298,6
500.0,0.1859972,0.0590774,298,6
1000.0,0.3372,0.07351159999999998,298,6
2000.0,0.5589211,0.0851689,298,6
5000.0,0.9219145,0.0862729,298,6
10000.0,1.1500672,0.0713852,298,6
20000.0,1.3087585,0.0575447,298,6
50000.0,1.429456,0.0406842,298,6
100000.0,1.5239228,0.0369373,298,6
1000000.0,1.7767299,0.0480208,298,6
100.0,0.0136609,0.0182006,323,6
200.0,0.0269456,0.0251874,323,6
500.0,0.0662692,0.0366537,323,6
1000.0,0.129736,0.0484083,323,6
2000.0,0.2418688,0.0632063,323,6
5000.0,0.4792857,0.07907029999999998,323,6
10000.0,0.7606155999999998,0.0878515,323,6
20000.0,1.0204708,0.0788018,323,6
50000.0,1.2689784,0.0595666,323,6
100000.0,1.3713502,0.0497208,323,6
1000000.0,1.6246489,0.0467747,323,6
100.0,0.3563085,0.0716005,273,2
200.0,0.5815215,0.0858536,273,2
500.0,0.9519523,0.0835669,273,2
1000.0,1.1802083,0.0707998,273,2
2000.0,1.340754,0.0517732,273,2
5000.0,1.4591301,0.0429072,273,2
10000.0,1.5603151,0.0459595,273,2
20000.0,1.6557158,0.0509907,273,2
50000.0,1.7638747,0.0548446,273,2
100000.0,1.8715672,0.0455596,273,2
1000000.0,2.0668004,0.0461823,273,2
100.0,0.1013251,0.043096,298,2
200.0,0.1921139,0.0560614,298,2
500.0,0.427629,0.0770787,298,2
1000.0,0.6749274,0.0852821,298,2
2000.0,0.955478,0.0906578,298,2
5000.0,1.2361533,0.0630508,298,2
10000.0,1.3613305,0.0522264,298,2
20000.0,1.4616853,0.0430513,298,2
50000.0,1.5621043,0.0404583,298,2
100000.0,1.672282,0.0495422,298,2
1000000.0,1.9442257,0.0462297,298,2
100.0,0.0333403,0.0279155,323,2
200.0,0.065127,0.0348584,323,2
500.0,0.1571255,0.0528975,323,2
1000.0,0.2859012,0.0720138,323,2
2000.0,0.4998922,0.07484789999999998,323,2
5000.0,0.8540693999999999,0.08172359999999998,323,2
10000.0,1.0910371,0.0748506,323,2
20000.0,1.2674743,0.0593406,323,2
50000.0,1.4245109,0.0440903,323,2
100000.0,1.5007368,0.0429218,323,2
1000000.0,1.80268,0.0482131,323,2
100.0,0.1604007,0.0416984,273,8
200.0,0.2984953,0.0525388,273,8
500.0,0.6183389,0.0665729,273,8
1000.0,0.9112795,0.0670349,273,8
2000.0,1.1384859,0.0548791,273,8
5000.0,1.3371323,0.0377306,273,8
10000.0,1.4324691,0.033244,273,8
20000.0,1.4906595,0.0274677,273,8
50000.0,1.5702439,0.0395281,273,8
100000.0,1.6733922,0.0354197,273,8
1000000.0,1.9322995,0.030822,273,8
100.0,0.0466629,0.0232329,298,8
200.0,0.0918116,0.0317061,298,8
500.0,0.2193623,0.0437652,298,8
1000.0,0.3826382,0.0591706,298,8
2000.0,0.6457222,0.0685331,298,8
5000.0,1.0009441,0.0629976,298,8
10000.0,1.2130637,0.0531159,298,8
20000.0,1.3405523,0.0384735,298,8
50000.0,1.440621,0.0298153,298,8
100000.0,1.5138705,0.0298536,298,8
1000000.0,1.7801773,0.0375873,298,8
100.0,0.0163974,0.0154744,323,8
200.0,0.0322576,0.0214065,323,8
500.0,0.07882029999999998,0.0326963,323,8
1000.0,0.1548295,0.045155,323,8
2000.0,0.2725618,0.0569407,323,8
5000.0,0.5606267,0.072031,323,8
10000.0,0.8444106,0.07731499999999998,323,8
20000.0,1.090876,0.0640441,323,8
50000.0,1.3000954,0.0524711,323,8
100000.0,1.4021757,0.0403637,323,8
1000000.0,1.6328507,0.0368417,323,8
100.0,0.4030855,0.0618581,273,4
200.0,0.672128,0.0650426,273,4
500.0,1.0406931,0.0583859,273,4
1000.0,1.2384335,0.0501754,273,4
2000.0,1.3612322,0.0374319,273,4
5000.0,1.4833266,0.0346235,273,4
10000.0,1.5731188,0.0383196,273,4
20000.0,1.6352552,0.0453922,273,4
50000.0,1.7389003,0.0447635,273,4
100000.0,1.8397549,0.0373807,273,4
1000000.0,2.0271789,0.0205406,273,4
100.0,0.1218284,0.0366036,298,4
200.0,0.2271509,0.048588,298,4
500.0,0.4822848,0.0648282,298,4
1000.0,0.7531921999999999,0.0699977,298,4
2000.0,1.0138013,0.0624163,298,4
5000.0,1.2810845,0.0482807,298,4
10000.0,1.3902442,0.0385998,298,4
20000.0,1.4715434,0.0340645,298,4
50000.0,1.5625648,0.0282931,298,4
100000.0,1.6616202,0.0323867,298,4
1000000.0,1.9327579,0.033904,298,4
100.0,0.0389571,0.023936,323,4
200.0,0.07831209999999998,0.0329761,323,4
500.0,0.1807592,0.0471276,323,4
1000.0,0.3306592,0.0619978,323,4
2000.0,0.5663359,0.0743973,323,4
5000.0,0.9293035,0.0753449,323,4
10000.0,1.14459,0.0641985,323,4
20000.0,1.3032348,0.0524954,323,4
50000.0,1.4307138,0.0373109,323,4
100000.0,1.5042628,0.0394142,323,4
1000000.0,1.795788,0.0514004,323,4
100.0,0.1471983,0.0390996,273,7
200.0,0.2701722,0.050648,273,7
500.0,0.5389913,0.0672607,273,7
1000.0,0.8292203,0.0601284,273,7
2000.0,1.0769056,0.0585247,273,7
5000.0,1.291119,0.0419215,273,7
10000.0,1.3674298,0.0307004,273,7
20000.0,1.411361,0.0221605,273,7
50000.0,1.4418523,0.0148413,273,7
100000.0,1.459786,0.0129964,273,7
1000000.0,1.5353928,0.03031,273,7
100.0,0.0421842,0.0223611,298,7
200.0,0.0840109,0.028573,298,7
500.0,0.1895206,0.0453051,298,7
1000.0,0.3442775,0.0514849,298,7
2000.0,0.5685804,0.0636031,298,7
5000.0,0.93261,0.0605777,298,7
10000.0,1.1564986,0.0526477,298,7
20000.0,1.2882782,0.0413093,298,7
50000.0,1.3881233,0.0272475,298,7
100000.0,1.4216356,0.0205308,298,7
1000000.0,1.4819745,0.0194463,298,7
100.0,0.0142528,0.012231,323,7
200.0,0.0275981,0.017165,323,7
500.0,0.0679216,0.0267416,323,7
1000.0,0.1336361,0.0398639,323,7
2000.0,0.2413107,0.0442847,323,7
5000.0,0.4858491,0.0644329,323,7
10000.0,0.7585876999999999,0.0632464,323,7
20000.0,1.0179012,0.0552263,323,7
50000.0,1.2476836,0.0456671,323,7
100000.0,1.3443919,0.0332167,323,7
1000000.0,1.4636868,0.0178442,323,7
100.0,0.3414478,0.0558391,273,3
200.0,0.5776246,0.0623415,273,3
500.0,0.9470028,0.0638027,273,3
1000.0,1.1677482,0.0480782,273,3
2000.0,1.300548,0.0405265,273,3
5000.0,1.3920805,0.0260565,273,3
10000.0,1.4257576,0.020128,273,3
