Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0202345,0.0207057,273,5
200.0,0.039825,0.0303245,273,5
500.0,0.1024639,0.0441781,273,5
1000.0,0.2108329,0.0658254,273,5
2000.0,0.3914178,0.0850193,273,5
5000.0,0.8603227,0.1213801,273,5
10000.0,1.4067421,0.1426301,273,5
20000.0,2.1002112,0.1444559,273,5
50000.0,2.9580085,0.1254793,273,5
100000.0,3.3273995,0.1099312,273,5
1000000.0,3.8027878,0.0306499,273,5
100.0,0.0062575,0.01379,298,5
200.0,0.01203,0.016427,298,5
500.0,0.0298086,0.0254167,298,5
1000.0,0.0611852,0.0369349,298,5
2000.0,0.1205284,0.053707,298,5
5000.0,0.2877006,0.0768178,298,5
10000.0,0.532822,0.0989759,298,5
20000.0,0.9428222,0.1220987,298,5
50000.0,1.676685,0.1374259,298,5
100000.0,2.4051176,0.1368127,298,5
1000000.0,3.6437602,0.0588772,298,5
100.0,0.002152,0.0079964,323,5
200.0,0.0044665,0.0116325,323,5
500.0,0.0103265,0.0150045,323,5
1000.0,0.0209057,0.0227536,323,5
2000.0,0.0442975,0.0306958,323,5
5000.0,0.1084743,0.0476973,323,5
10000.0,0.2088524,0.0659307,323,5
20000.0,0.3953104,0.0861017,323,5
50000.0,0.8261963,0.1065515,323,5
100000.0,1.335786,0.1320662,323,5
1000000.0,3.2002433,0.1099171,323,5
100.0,0.0617578,0.0348861,273,1
200.0,0.1196435,0.0507718,273,1
500.0,0.2994218,0.07593429999999998,273,1
1000.0,0.5351748,0.09451300000000001,273,1
2000.0,0.9931507,0.1194185,273,1
5000.0,1.8140937,0.1630054,273,1
10000.0,2.5769933,0.1628263,273,1
20000.0,3.0893075,0.131686,273,1
50000.0,3.5257216,0.08784419999999998,273,1
100000.0,3.7014891,0.0592467,273,1
1000000.0,3.9518961,0.049082,273,1
100.0,0.0161684,0.0198875,298,1
200.0,0.0332036,0.0269866,298,1
500.0,0.082425,0.041535,298,1
1000.0,0.164871,0.0579979,298,1
2000.0,0.3204071,0.0771759,298,1
5000.0,0.6927251,0.1144925,298,1
10000.0,1.2093386,0.1478581,298,1
20000.0,1.8557651,0.1443384,298,1
50000.0,2.7484104,0.1502221,298,1
100000.0,3.2090024,0.1121545,298,1
1000000.0,3.7903903,0.0485153,298,1
100.0,0.0056854,0.0131336,323,1
200.0,0.0113347,0.0158655,323,1
500.0,0.0281141,0.0249215,323,1
1000.0,0.0536819,0.0335046,323,1
2000.0,0.1097204,0.0461671,323,1
5000.0,0.2586183,0.0686084,323,1
10000.0,0.4850089,0.0929204,323,1
20000.0,0.8311986999999998,0.1132353,323,1
50000.0,1.6593756,0.1500191,323,1
100000.0,2.3104431,0.1365,323,1
1000000.0,3.6181585,0.0689011,323,1
100.0,0.0618331,0.0336443,273,6
200.0,0.1243477,0.0519411,273,6
500.0,0.2948435,0.0798089,273,6
1000.0,0.5626826,0.1022271,273,6
2000.0,0.9320726,0.114069,273,6
5000.0,1.8057201,0.1392158,273,6
10000.0,2.5165114,0.1504481,273,6
20000.0,3.0321736,0.1103388,273,6
50000.0,3.4846348,0.0822504,273,6
100000.0,3.6685444,0.0622504,273,6
1000000.0,3.8328204,0.0238932,273,6
100.0,0.0149344,0.0189252,298,6
200.0,0.0311599,0.0246809,298,6
500.0,0.08095919999999998,0.0410421,298,6
1000.0,0.14874,0.0543571,298,6
2000.0,0.3013908,0.07832,298,6
5000.0,0.6678559,0.1015641,298,6
10000.0,1.1157241,0.1342837,298,6
20000.0,1.8052929,0.1406817,298,6
50000.0,2.7034173,0.1231953,298,6
100000.0,3.1930806,0.0926371,298,6
1000000.0,3.7721124,0.0437697,298,6
100.0,0.0053333,0.0125475,323,6
200.0,0.0104017,0.0153869,323,6
500.0,0.0251645,0.0231541,323,6
1000.0,0.0503712,0.0326272,323,6
2000.0,0.0986024,0.0456584,323,6
5000.0,0.2491891,0.0687406,323,6
10000.0,0.4624945,0.09322540000000001,323,6
20000.0,0.8363039,0.1201833,323,6
50000.0,1.5366276,0.1445963,323,6
100000.0,2.2422823,0.1227127,323,6
1000000.0,3.5806912,0.0830071,323,6
100.0,0.1658404,0.0573217,273,2
200.0,0.312457,0.07618709999999998,273,2
500.0,0.6732123,0.1061955,273,2
1000.0,1.2118501,0.1360147,273,2
2000.0,1.8853858,0.1595812,273,2
5000.0,2.8177315,0.1385617,273,2
10000.0,3.2831548,0.094532,273,2
20000.0,3.5540923,0.0836895,273,2
50000.0,3.7385751,0.0546708,273,2
100000.0,3.825479,0.0384753,273,2
1000000.0,4.1316731,0.08735239999999998,273,2
100.0,0.0402494,0.0292392,298,2
200.0,0.0785574,0.0387468,298,2
500.0,0.1955644,0.0623441,298,2
1000.0,0.3698727,0.08754679999999998,298,2
2000.0,0.6539869,0.1045831,298,2
5000.0,1.3793834,0.1350717,298,2
10000.0,2.0380265,0.1533847,298,2
20000.0,2.7670775,0.1250458,298,2
50000.0,3.3408056,0.0994102,298,2
100000.0,3.5739393,0.07464189999999998,298,2
1000000.0,3.8925562,0.0470455,298,2
100.0,0.0122136,0.0160204,323,2
200.0,0.0236867,0.0225796,323,2
500.0,0.060836,0.0349141,323,2
1000.0,0.1174735,0.0477156,323,2
2000.0,0.246703,0.0704007,323,2
5000.0,0.5199608,0.0935046,323,2
10000.0,0.9618468,0.1289708,323,2
20000.0,1.5106777,0.1418734,323,2
50000.0,2.4066208,0.1536285,323,2
100000.0,3.016671,0.1215028,323,2
1000000.0,3.7782343,0.0496641,323,2
100.0,0.0165356,0.018657,273,8
200.0,0.034588,0.0271593,273,8
500.0,0.08886579999999998,0.0444051,273,8
1000.0,0.1764946,0.0627473,273,8
2000.0,0.3402311,0.0844785,273,8
5000.0,0.7533147,0.1226081,273,8
10000.0,1.3044056,0.14847,273,8
20000.0,1.9998957,0.1360553,273,8
50000.0,2.9381862,0.1209896,273,8
100000.0,3.3237598,0.1088979,273,8
1000000.0,3.7942833,0.0375532,273,8
100.0,0.0053995,0.0125552,298,8
200.0,0.0110097,0.0180933,298,8
500.0,0.0267657,0.0246945,298,8
1000.0,0.0535163,0.0356375,298,8
2000.0,0.106828,0.0486314,298,8
5000.0,0.2518156,0.0700327,298,8
10000.0,0.474845,0.094405,298,8
20000.0,0.8665123,0.1210956,298,8
50000.0,1.6683073,0.1499288,298,8
100000.0,2.3850791,0.1406417,298,8
1000000.0,3.6557509,0.0609802,298,8
100.0,0.0020316,0.007775599999999999,323,8
200.0,0.0041655,0.0110686,323,8
500.0,0.0097004,0.0166061,323,8
1000.0,0.0199767,0.0241043,323,8
2000.0,0.0411011,0.0347432,323,8
5000.0,0.099725,0.0562781,323,8
10000.0,0.1915645,0.07370949999999998,323,8
20000.0,0.3684691,0.0998044,323,8
50000.0,0.7935974,0.1487493,323,8
100000.0,1.3591559,0.1611852,323,8
1000000.0,3.271374,0.1221398,323,8
100.0,0.0396414,0.0314097,273,4
200.0,0.07797659999999998,0.0430089,273,4
500.0,0.1938729,0.0650223,273,4
1000.0,0.3743134,0.08338769999999998,273,4
2000.0,0.6656497,0.1076054,273,4
5000.0,1.3759385,0.1429793,273,4
10000.0,2.0768529,0.159917,273,4
20000.0,2.7638097,0.1273805,273,4
50000.0,3.3509046,0.0966765,273,4
100000.0,3.6051715,0.0704692,273,4
1000000.0,3.833682,0.03015,273,4
100.0,0.0117952,0.0187842,298,4
200.0,0.0235242,0.0227012,298,4
500.0,0.0595659,0.0362698,298,4
1000.0,0.1145631,0.0509157,298,4
2000.0,0.2278831,0.0681598,298,4
5000.0,0.5128798,0.1002683,298,4
10000.0,0.9005589,0.1307833,298,4
20000.0,1.4973687,0.1428005,298,4
50000.0,2.4391298,0.1353001,298,4
100000.0,2.9643149,0.1137325,298,4
1000000.0,3.7449488,0.0509979,298,4
100.0,0.0042468,0.0113412,323,4
200.0,0.0085748,0.0160601,323,4
500.0,0.0217262,0.0256737,323,4
1000.0,0.0418355,0.0350852,323,4
2000.0,0.0841255,0.0493866,323,4
5000.0,0.2114137,0.07790719999999998,323,4
10000.0,0.3827316,0.1036209,323,4
20000.0,0.6969644,0.1253309,323,4
50000.0,1.3707439,0.1657378,323,4
100000.0,2.0134357,0.1715537,323,4
1000000.0,3.5156458,0.1063532,323,4
100.0,0.0140676,0.0180589,273,7
200.0,0.0279726,0.0256697,273,7
500.0,0.0677163,0.0392022,273,7
1000.0,0.1308849,0.0510718,273,7
2000.0,0.2589528,0.07437549999999998,273,7
5000.0,0.5492489,0.1007948,273,7
10000.0,0.9074353,0.1085889,273,7
20000.0,1.4221446,0.1396374,273,7
50000.0,2.1840608,0.1507153,273,7
100000.0,2.7747084,0.1222252,273,7
1000000.0,3.6843971,0.0576676,273,7
100.0,0.0042528,0.0112104,298,7
200.0,0.0082648,0.0137791,298,7
500.0,0.0207281,0.0215766,298,7
1000.0,0.0409476,0.0299131,298,7
2000.0,0.07633729999999998,0.0399033,298,7
5000.0,0.1955012,0.0613027,298,7
10000.0,0.3659053,0.0862029,298,7
20000.0,0.6450099,0.09488990000000001,298,7
50000.0,1.2120199,0.1358999,298,7
100000.0,1.7165068,0.1151333,298,7
1000000.0,3.3004206,0.0942661,298,7
100.0,0.001553,0.0068592,323,7
200.0,0.0029736,0.0095004,323,7
500.0,0.007446099999999998,0.013008,323,7
