Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015121,0.0087311,273,5
200.0,0.0028624,0.0119674,273,5
500.0,0.007510099999999999,0.0196681,273,5
1000.0,0.0149696,0.0274953,273,5
2000.0,0.0293626,0.0384455,273,5
5000.0,0.07379239999999998,0.060284,273,5
10000.0,0.1504646,0.07732509999999998,273,5
20000.0,0.3073772,0.1115854,273,5
50000.0,0.8017503999999999,0.1828957,273,5
100000.0,1.6453715,0.290453,273,5
1000000.0,8.1876508,0.2068998,273,5
100.0,0.0007687,0.0062287,298,5
200.0,0.0014616,0.008592199999999998,298,5
500.0,0.0038183,0.0138868,298,5
1000.0,0.007939899999999998,0.020264,298,5
2000.0,0.0153034,0.027479,298,5
5000.0,0.0382635,0.0444684,298,5
10000.0,0.07700229999999998,0.0627571,298,5
20000.0,0.160366,0.08030679999999998,298,5
50000.0,0.3948738,0.1288972,298,5
100000.0,0.8229092,0.1878458,298,5
1000000.0,6.4001178,0.3002774,298,5
100.0,0.0004956,0.0040576,323,5
200.0,0.0008597,0.0053786,323,5
500.0,0.0021645,0.0085346,323,5
1000.0,0.0045752,0.0123825,323,5
2000.0,0.0092312,0.017429,323,5
5000.0,0.0222454,0.0274166,323,5
10000.0,0.0454406,0.0388586,323,5
20000.0,0.08938599999999998,0.0545785,323,5
50000.0,0.228185,0.08115569999999998,323,5
100000.0,0.45901,0.1103799,323,5
1000000.0,4.3938708,0.2813979,323,5
100.0,0.0036886,0.0138887,273,1
200.0,0.007317899999999999,0.0192152,273,1
500.0,0.0181,0.030487,273,1
1000.0,0.0374037,0.0434925,273,1
2000.0,0.072825,0.0512736,273,1
5000.0,0.1824772,0.0839768,273,1
10000.0,0.3703303,0.1148151,273,1
20000.0,0.7471997,0.1600504,273,1
50000.0,1.8503438,0.2572127,273,1
100000.0,3.6609573,0.3740542,273,1
1000000.0,9.4262635,0.193612,273,1
100.0,0.0015273,0.0088014,298,1
200.0,0.0033985,0.0131571,298,1
500.0,0.0089413,0.0210678,298,1
1000.0,0.016969,0.0294831,298,1
2000.0,0.0326802,0.040774,298,1
5000.0,0.0823529,0.0540542,298,1
10000.0,0.1678768,0.0835444,298,1
20000.0,0.3347472,0.1095548,298,1
50000.0,0.8318917,0.1714919,298,1
100000.0,1.6128533,0.253931,298,1
1000000.0,7.7969578,0.2492006,298,1
100.0,0.0008832999999999998,0.0054064,323,1
200.0,0.0016622,0.0075442,323,1
500.0,0.0042953,0.0120515,323,1
1000.0,0.0087559,0.0173119,323,1
2000.0,0.0173701,0.0238729,323,1
5000.0,0.0433073,0.0380544,323,1
10000.0,0.08620319999999998,0.0459131,323,1
20000.0,0.1695917,0.0671716,323,1
50000.0,0.4258476,0.0999324,323,1
100000.0,0.8256666,0.1451471,323,1
1000000.0,5.9888723,0.2602404,323,1
100.0,0.0130428,0.0215951,273,6
200.0,0.0273245,0.0312681,273,6
500.0,0.0639393,0.0473528,273,6
1000.0,0.127464,0.0665057,273,6
2000.0,0.2671919,0.0961142,273,6
5000.0,0.6838827,0.1508118,273,6
10000.0,1.3378007,0.2445994,273,6
20000.0,2.2571702,0.2526857,273,6
50000.0,3.6442711,0.2289072,273,6
100000.0,4.91748,0.2787875,273,6
1000000.0,9.04876,0.1929036,273,6
100.0,0.0047437,0.0154228,298,6
200.0,0.0094672,0.0184197,298,6
500.0,0.0227983,0.0297899,298,6
1000.0,0.0471896,0.040184,298,6
2000.0,0.0897214,0.0534484,298,6
5000.0,0.2294038,0.0885945,298,6
10000.0,0.4592375,0.131931,298,6
20000.0,0.9057362000000002,0.1720805,298,6
50000.0,2.0205463,0.2211426,298,6
100000.0,3.1775834,0.2546757,298,6
1000000.0,7.6653548,0.2343655,298,6
100.0,0.0020442,0.0101382,323,6
200.0,0.003793,0.0137736,323,6
500.0,0.0095279,0.0219457,323,6
1000.0,0.01898,0.0260438,323,6
2000.0,0.0398919,0.0363909,323,6
5000.0,0.0946624,0.0584443,323,6
10000.0,0.1842169,0.07849749999999998,323,6
20000.0,0.3945093,0.1180561,323,6
50000.0,0.9800369,0.173253,323,6
100000.0,1.7371405,0.2500802,323,6
1000000.0,6.2329755,0.2664013,323,6
