Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005728,0.0045954,273,5
200.0,0.0011456,0.0064915,273,5
500.0,0.0030138,0.0105641,273,5
1000.0,0.0060164,0.0148946,273,5
2000.0,0.0113964,0.0207352,273,5
5000.0,0.0288348,0.0325586,273,5
10000.0,0.0554244,0.0402796,273,5
20000.0,0.1107365,0.0543755,273,5
50000.0,0.2528318,0.08075609999999998,273,5
100000.0,0.4508277,0.0961024,273,5
100.0,0.0002658,0.0031877,298,5
200.0,0.0005691,0.004611,298,5
500.0,0.0013104,0.0069816,298,5
1000.0,0.0026656,0.010041,298,5
2000.0,0.0053837,0.0142327,298,5
5000.0,0.0135641,0.0223268,298,5
10000.0,0.0270009,0.0314145,298,5
20000.0,0.0511414,0.0379675,298,5
50000.0,0.1259928,0.0590339,298,5
100000.0,0.2336219,0.07665819999999998,298,5
100.0,0.0001423,0.0023035,323,5
200.0,0.0002696,0.0031653,323,5
500.0,0.0007712,0.0053703,323,5
1000.0,0.0013104,0.0070813,323,5
2000.0,0.0027667,0.0101596,323,5
5000.0,0.0068925,0.0159019,323,5
10000.0,0.0142342,0.0227192,323,5
20000.0,0.027862,0.0322358,323,5
50000.0,0.0667309,0.0429984,323,5
100000.0,0.1315359,0.0588254,323,5
100.0,0.0004118,0.003905,273,1
200.0,0.0006215,0.0048127,273,1
500.0,0.0018645,0.0082976,273,1
1000.0,0.0034856,0.0113947,273,1
2000.0,0.0071059,0.0164209,273,1
5000.0,0.017731,0.0258111,273,1
10000.0,0.0345335,0.0356078,273,1
20000.0,0.0709316,0.0451862,273,1
50000.0,0.1638622,0.0648191,273,1
100000.0,0.3021836,0.0829063,273,1
100.0,0.0001797,0.0025876,298,1
200.0,0.0003332,0.0035162,298,1
500.0,0.0008727999999999999,0.0057476,298,1
1000.0,0.0018083,0.008199599999999998,298,1
2000.0,0.0035285,0.0113784,298,1
5000.0,0.0087869,0.0180568,298,1
10000.0,0.0173454,0.025272,298,1
20000.0,0.0334441,0.0354013,298,1
50000.0,0.08506469999999998,0.0508715,298,1
100000.0,0.1579731,0.0649156,298,1
100.0,8.99e-05,0.0018319,323,1
200.0,0.0002097,0.0027938,323,1
500.0,0.0004904,0.0042897,323,1
1000.0,0.0008836,0.0057323,323,1
2000.0,0.0018495,0.0083178,323,1
5000.0,0.0048858,0.0135127,323,1
10000.0,0.0091201,0.0183892,323,1
20000.0,0.0189141,0.0266835,323,1
50000.0,0.0462594,0.0412387,323,1
100000.0,0.0913747,0.0485933,323,1
100.0,0.000599,0.0048155,273,6
200.0,0.0013478,0.0071138,273,6
500.0,0.00304,0.0106294,273,6
1000.0,0.0061362,0.0150798,273,6
2000.0,0.0121826,0.0212616,273,6
5000.0,0.030659,0.0332514,273,6
10000.0,0.0569556,0.0405377,273,6
20000.0,0.1147499,0.0571533,273,6
50000.0,0.262959,0.077896,273,6
100000.0,0.4488493,0.1015738,273,6
100.0,0.0002321,0.0029388,298,6
200.0,0.000614,0.004755,298,6
500.0,0.0014384,0.0073502,298,6
1000.0,0.0025833,0.00978,298,6
2000.0,0.0054661,0.0142997,298,6
5000.0,0.0142451,0.0231695,298,6
10000.0,0.027248,0.0319506,298,6
