Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015197,0.0075679,273,5
200.0,0.0028726,0.0104491,273,5
500.0,0.0077796,0.017013,273,5
1000.0,0.0147785,0.0233532,273,5
2000.0,0.0319308,0.0308221,273,5
5000.0,0.07566499999999998,0.0451029,273,5
10000.0,0.1528421,0.0618818,273,5
20000.0,0.2774357,0.08245729999999998,273,5
50000.0,0.6115954,0.1095636,273,5
100000.0,0.9851109,0.1365284,273,5
100.0,0.0007278,0.0052965,298,5
200.0,0.0014669,0.0073883,298,5
500.0,0.0034542,0.0113387,298,5
1000.0,0.0067878,0.0159634,298,5
2000.0,0.013255,0.0223524,298,5
5000.0,0.0360809,0.0327867,298,5
10000.0,0.0660829,0.0412214,298,5
20000.0,0.1294054,0.0591558,298,5
50000.0,0.3131226,0.0881203,298,5
100000.0,0.5650983,0.1065786,298,5
100.0,0.0003318,0.0036018,323,5
200.0,0.0006675,0.0050292,323,5
500.0,0.001488,0.0074761,323,5
1000.0,0.0032167,0.0111499,323,5
2000.0,0.0070744,0.0163509,323,5
5000.0,0.0176784,0.0256657,323,5
10000.0,0.0332941,0.0297272,323,5
20000.0,0.0685491,0.0429285,323,5
50000.0,0.1665157,0.0680868,323,5
100000.0,0.307418,0.0850761,323,5
100.0,0.0021042,0.0090414,273,1
200.0,0.0042914,0.0128019,273,1
500.0,0.010423,0.0199115,273,1
1000.0,0.021555,0.0280343,273,1
2000.0,0.0416544,0.0343359,273,1
5000.0,0.1025559,0.0515465,273,1
10000.0,0.200334,0.0709057,273,1
20000.0,0.3795391,0.1002097,273,1
50000.0,0.7617857999999998,0.1254639,273,1
100000.0,1.1937188,0.1424063,273,1
100.0,0.000988,0.0061864,298,1
200.0,0.0017422,0.008076,298,1
500.0,0.0046911,0.0132536,298,1
1000.0,0.0088505,0.0181249,298,1
2000.0,0.018146,0.0264735,298,1
5000.0,0.045859,0.0360668,298,1
10000.0,0.0892028,0.04845,298,1
20000.0,0.1790354,0.0690951,298,1
50000.0,0.3989899,0.0953638,298,1
100000.0,0.7094182,0.1153094,298,1
100.0,0.0004714,0.0041897,323,1
200.0,0.0008296,0.005608,323,1
500.0,0.0023845,0.0094828,323,1
1000.0,0.0045916,0.0132438,323,1
2000.0,0.0095067,0.0189657,323,1
5000.0,0.0234857,0.0296142,323,1
10000.0,0.0458289,0.0355894,323,1
20000.0,0.0917483,0.0495137,323,1
50000.0,0.2218928,0.077043,323,1
100000.0,0.4099672,0.0983079,323,1
100.0,0.0019647,0.0086145,273,6
200.0,0.0037182,0.0118218,273,6
500.0,0.009024,0.0183363,273,6
1000.0,0.0180404,0.0218631,273,6
2000.0,0.0383321,0.0325472,273,6
5000.0,0.0918772,0.0466684,273,6
10000.0,0.1858218,0.068789,273,6
20000.0,0.315534,0.0892811,273,6
50000.0,0.7001016,0.109702,273,6
100000.0,1.1529126,0.1370442,273,6
100.0,0.0007127,0.0051626,298,6
200.0,0.0016328,0.0078401,298,6
500.0,0.0038577,0.0120574,298,6
1000.0,0.0080928,0.017525,298,6
2000.0,0.0149859,0.0238103,298,6
5000.0,0.0388601,0.0336912,298,6
10000.0,0.07914559999999998,0.0433162,298,6
20000.0,0.1553988,0.0620981,298,6
50000.0,0.3602167,0.0898925,298,6
100000.0,0.6255198,0.1170346,298,6
100.0,0.0004676,0.004207,323,6
200.0,0.0007655,0.0053712,323,6
500.0,0.0019232,0.008516,323,6
1000.0,0.0040538,0.0124468,323,6
2000.0,0.0078248,0.0171173,323,6
5000.0,0.0202578,0.0278905,323,6
10000.0,0.0380455,0.0334445,323,6
20000.0,0.0769848,0.0455185,323,6
50000.0,0.187573,0.0676868,323,6
100000.0,0.3467352,0.0914283,323,6
100.0,0.0022626,0.0093441,273,2
200.0,0.0052643,0.0139124,273,2
500.0,0.0120144,0.0211745,273,2
1000.0,0.0247528,0.0257352,273,2
2000.0,0.049615,0.0378771,273,2
5000.0,0.118066,0.0548381,273,2
10000.0,0.2327117,0.07491589999999998,273,2
20000.0,0.4174263,0.0918489,273,2
50000.0,0.8616025,0.1187658,273,2
100000.0,1.3453097,0.1415482,273,2
100.0,0.0010219,0.0062382,298,2
200.0,0.0022701,0.0091578,298,2
500.0,0.0054604,0.0144106,298,2
1000.0,0.0108772,0.0199143,298,2
2000.0,0.0211289,0.0281328,298,2
5000.0,0.0524168,0.0384771,298,2
10000.0,0.1030235,0.0509437,298,2
20000.0,0.2006244,0.0689952,298,2
50000.0,0.4688255,0.1014982,298,2
100000.0,0.7607231,0.121953,298,2
100.0,0.0004525,0.0041061,323,2
200.0,0.0010898,0.0064068,323,2
500.0,0.0026133,0.0098116,323,2
1000.0,0.0053397,0.0140668,323,2
2000.0,0.010291,0.0197041,323,2
5000.0,0.0257069,0.0313964,323,2
10000.0,0.052907,0.0402489,323,2
20000.0,0.1009005,0.052977,323,2
50000.0,0.2372218,0.0780449,323,2
100000.0,0.4425764,0.0999687,323,2
100.0,0.0006712,0.0050146,273,8
200.0,0.001531,0.0075938,273,8
500.0,0.0037182,0.0118458,273,8
1000.0,0.0075608,0.0169862,273,8
2000.0,0.0150613,0.0238641,273,8
5000.0,0.0386187,0.0379902,273,8
10000.0,0.0740736,0.0464012,273,8
20000.0,0.1478418,0.0644528,273,8
50000.0,0.3454901,0.0931237,273,8
100000.0,0.6185823,0.1199291,273,8
100.0,0.0004563,0.0041229,298,8
200.0,0.0008220999999999999,0.0056091,298,8
500.0,0.0018025,0.008254499999999998,298,8
1000.0,0.0039842,0.012283,298,8
2000.0,0.0077343,0.0169331,298,8
5000.0,0.0187833,0.026413,298,8
10000.0,0.038268,0.0380362,298,8
20000.0,0.0777428,0.0466416,298,8
50000.0,0.1823237,0.0728294,298,8
100000.0,0.345179,0.0917222,298,8
100.0,0.0002415,0.0030079,323,8
200.0,0.0003771,0.0037521,323,8
500.0,0.0010333,0.0062931,323,8
1000.0,0.002025,0.008666399999999998,323,8
2000.0,0.0042424,0.0127236,323,8
5000.0,0.0107436,0.0200371,323,8
10000.0,0.0211289,0.0281379,323,8
20000.0,0.0422389,0.0394691,323,8
50000.0,0.1022542,0.0612485,323,8
100000.0,0.1967742,0.08404599999999998,323,8
100.0,0.0013726,0.0071425,273,4
200.0,0.0023946,0.0095002,273,4
500.0,0.0066068,0.0160125,273,4
1000.0,0.0129259,0.0219216,273,4
2000.0,0.0250846,0.0305033,273,4
5000.0,0.0623506,0.0483095,273,4
10000.0,0.1212037,0.0606853,273,4
20000.0,0.2390055,0.0803474,273,4
50000.0,0.5175975,0.110536,273,4
100000.0,0.8705412,0.1368922,273,4
100.0,0.0006901,0.0050544,298,4
200.0,0.0013123,0.007094,298,4
500.0,0.0029791,0.0106632,298,4
1000.0,0.0062108,0.0153445,298,4
2000.0,0.0116524,0.0211485,298,4
5000.0,0.0305941,0.0336421,298,4
10000.0,0.0597929,0.0461892,298,4
20000.0,0.118296,0.0584422,298,4
50000.0,0.2803438,0.0870769,298,4
100000.0,0.5080219,0.1067986,298,4
100.0,0.0002941,0.0033174,323,4
200.0,0.0006184,0.0048191,323,4
500.0,0.0015951,0.0077384,323,4
1000.0,0.0032996,0.0110229,323,4
2000.0,0.0067237,0.0160393,323,4
5000.0,0.015891,0.0241997,323,4
10000.0,0.0321364,0.0349332,323,4
20000.0,0.0644274,0.0487718,323,4
50000.0,0.1568733,0.0758598,323,4
100000.0,0.2917692,0.1009735,323,4
100.0,0.0016479,0.0078732,273,7
200.0,0.0035296,0.0115147,273,7
500.0,0.008827899999999998,0.0184931,273,7
1000.0,0.0172033,0.021793,273,7
2000.0,0.033988,0.0295409,273,7
5000.0,0.0859975,0.0475191,273,7
10000.0,0.1650488,0.0621713,273,7
20000.0,0.2978273,0.0817812,273,7
50000.0,0.6597723,0.1108911,273,7
100000.0,1.0528634,0.1374031,273,7
100.0,0.0008409,0.0056442,298,7
200.0,0.0014481,0.0073438,298,7
500.0,0.0036352,0.0116783,298,7
1000.0,0.0071498,0.0164569,298,7
2000.0,0.0158834,0.0242516,298,7
5000.0,0.0354813,0.0319392,298,7
10000.0,0.07321759999999998,0.044198,298,7
20000.0,0.1425284,0.0594384,298,7
50000.0,0.3323112,0.08688419999999998,298,7
100000.0,0.5768845,0.1118743,298,7
100.0,0.0003545,0.0036778,323,7
200.0,0.0006184,0.0048485,323,7
500.0,0.0019157,0.0084507,323,7
1000.0,0.0034769,0.0113943,323,7
2000.0,0.0072064,0.01654,323,7
5000.0,0.019085,0.026982,323,7
10000.0,0.0346517,0.0313667,323,7
20000.0,0.0727425,0.0433113,323,7
50000.0,0.1744919,0.0658823,323,7
100000.0,0.3228347,0.0853406,323,7
100.0,0.0022475,0.0092407,273,3
200.0,0.0044686,0.012924,273,3
500.0,0.011362,0.0207342,273,3
1000.0,0.0235838,0.0255225,273,3
2000.0,0.0462781,0.0361858,273,3
