Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015504,0.0111695,273,5
200.0,0.003052,0.0159447,273,5
500.0,0.007346,0.0242305,273,5
1000.0,0.0153981,0.0353922,273,5
2000.0,0.0312183,0.0506576,273,5
5000.0,0.07667409999999998,0.0787789,273,5
10000.0,0.1546511,0.1128741,273,5
20000.0,0.3014201,0.1389128,273,5
50000.0,0.784609,0.2243663,273,5
100000.0,1.6029066,0.3134801,273,5
1000000.0,22.9811931,0.6833686,273,5
100.0,0.0008036,0.008036299999999998,298,5
200.0,0.0017858,0.0120713,298,5
500.0,0.0042858,0.018583,298,5
1000.0,0.0092291,0.027547,298,5
2000.0,0.0181904,0.0385266,298,5
5000.0,0.0439135,0.0595885,298,5
10000.0,0.08901199999999998,0.08428769999999998,298,5
20000.0,0.1788358,0.1195091,298,5
50000.0,0.4461317,0.167389,298,5
100000.0,0.9197396000000002,0.2369994,298,5
1000000.0,11.9688932,0.9781768,298,5
100.0,0.0005033,0.0063716,323,5
200.0,0.0011526,0.0096037,323,5
500.0,0.0026381,0.0145755,323,5
1000.0,0.0058281,0.0219979,323,5
2000.0,0.0114589,0.0303552,323,5
5000.0,0.0275575,0.0472217,323,5
10000.0,0.0574771,0.0676059,323,5
20000.0,0.113274,0.0957156,323,5
50000.0,0.2822719,0.1307417,323,5
100000.0,0.5762405,0.1897805,323,5
1000000.0,6.3466636,0.6914825,323,5
100.0,0.0011039,0.0094015,273,1
200.0,0.0026786,0.0147255,273,1
500.0,0.0068346,0.0234288,273,1
1000.0,0.0143591,0.0339568,273,1
2000.0,0.0269731,0.0465639,273,1
5000.0,0.0685732,0.0754022,273,1
10000.0,0.1360344,0.1047092,273,1
20000.0,0.2748772,0.1309897,273,1
50000.0,0.6875421,0.2059142,273,1
100000.0,1.4277876,0.3084302,273,1
1000000.0,23.9164131,0.6839714,273,1
100.0,0.0009091,0.0086189,298,1
200.0,0.0016315,0.0116208,298,1
500.0,0.0039774,0.0180044,298,1
1000.0,0.0081658,0.0259848,298,1
2000.0,0.0166319,0.0366184,298,1
5000.0,0.0400091,0.0568167,298,1
10000.0,0.0812196,0.0814141,298,1
20000.0,0.1617899,0.1169581,298,1
50000.0,0.410733,0.1667453,298,1
100000.0,0.8370020999999999,0.2330129,298,1
1000000.0,12.425665,1.0560619,298,1
100.0,0.0005601,0.0067193,323,1
200.0,0.0010633,0.0094411,323,1
500.0,0.0025001,0.0142573,323,1
1000.0,0.0050894,0.0203363,323,1
2000.0,0.0102002,0.0286154,323,1
5000.0,0.0251711,0.0450289,323,1
10000.0,0.0526962,0.0647406,323,1
20000.0,0.1048891,0.0923716,323,1
50000.0,0.2653072,0.1270333,323,1
100000.0,0.5417378,0.1922835,323,1
1000000.0,6.2119235,0.6937159,323,1
100.0,0.0027273,0.0148503,273,6
200.0,0.0058605,0.0217785,273,6
500.0,0.0140832,0.0336637,273,6
1000.0,0.0288157,0.0483206,273,6
2000.0,0.058857,0.0576131,273,6
5000.0,0.1456612,0.08944969999999998,273,6
10000.0,0.2847801,0.1220388,273,6
20000.0,0.558391,0.1709292,273,6
50000.0,1.3913704,0.2574179,273,6
100000.0,2.6493718,0.3756634,273,6
1000000.0,24.1709563,0.6394101,273,6
100.0,0.0014367,0.0107645,298,6
200.0,0.0028018,0.0150388,298,6
500.0,0.0077194,0.0247346,298,6
1000.0,0.0150491,0.034821,298,6
2000.0,0.0300332,0.0490866,298,6
5000.0,0.0745798,0.0643305,298,6
10000.0,0.1491333,0.0966483,298,6
20000.0,0.2879863,0.1253028,298,6
50000.0,0.7051922,0.1994491,298,6
100000.0,1.416384,0.2730863,298,6
1000000.0,14.1924569,0.9136451,298,6
100.0,0.0008928999999999999,0.008466299999999998,323,6
200.0,0.001664,0.0116162,323,6
500.0,0.0043751,0.0187213,323,6
1000.0,0.0087015,0.0268366,323,6
2000.0,0.0170946,0.0373252,323,6
5000.0,0.0409264,0.0576818,323,6
10000.0,0.0850509,0.08270339999999998,323,6
20000.0,0.165566,0.0991458,323,6
50000.0,0.429175,0.1532892,323,6
100000.0,0.8407521999999998,0.2197345,323,6
1000000.0,7.9453645,0.7177637,323,6
100.0,0.0034416,0.0166751,273,2
200.0,0.0079953,0.0207022,273,2
500.0,0.0161611,0.0311118,273,2
1000.0,0.0401553,0.04496,273,2
2000.0,0.0687599,0.0583554,273,2
5000.0,0.1732756,0.0900293,273,2
10000.0,0.36061,0.1281748,273,2
20000.0,0.6836784,0.1830933,273,2
50000.0,1.544807,0.2541895,273,2
100000.0,3.0144995,0.3596257,273,2
1000000.0,26.2708543,0.5871298,273,2
100.0,0.0017695,0.0120737,298,2
200.0,0.0034579,0.0165527,298,2
500.0,0.0075083,0.0244517,298,2
1000.0,0.0171433,0.0305331,298,2
2000.0,0.032793,0.0416419,298,2
5000.0,0.0780864,0.0628602,298,2
10000.0,0.1670335,0.0894819,298,2
20000.0,0.3132491,0.1211593,298,2
50000.0,0.8162129,0.194846,298,2
100000.0,1.5142444,0.2640378,298,2
1000000.0,16.2106469,0.9544639,298,2
100.0,0.0009659,0.008876399999999998,323,2
200.0,0.0017289,0.0118316,323,2
500.0,0.0042939,0.01874,323,2
1000.0,0.0089937,0.0268875,323,2
2000.0,0.0198382,0.0398208,323,2
5000.0,0.0460564,0.0495247,323,2
10000.0,0.0955057,0.07631849999999998,323,2
20000.0,0.1817092,0.0943774,323,2
50000.0,0.4476879,0.147869,323,2
100000.0,0.8927095,0.2183867,323,2
1000000.0,8.637052199999998,0.7940266,323,2
100.0,0.0013069,0.0104079,273,8
200.0,0.0024757,0.0144223,273,8
500.0,0.006242,0.022522,273,8
1000.0,0.0122325,0.0316452,273,8
2000.0,0.024473,0.0451355,273,8
5000.0,0.0617386,0.0715266,273,8
10000.0,0.1228279,0.0993615,273,8
20000.0,0.2505665,0.1455327,273,8
50000.0,0.6264934,0.2011303,273,8
100000.0,1.2842052,0.28323,273,8
1000000.0,22.4854517,0.7440787,273,8
100.0,0.0006169,0.0070494,298,8
200.0,0.0015991,0.0116253,298,8
500.0,0.0036933,0.0175655,298,8
1000.0,0.007394699999999998,0.0244863,298,8
2000.0,0.0153657,0.0352197,298,8
5000.0,0.0371276,0.0549561,298,8
10000.0,0.07526979999999998,0.0782454,298,8
20000.0,0.1511565,0.1119221,298,8
50000.0,0.3788897,0.1519706,298,8
100000.0,0.7828855,0.2218915,298,8
1000000.0,11.1327881,0.9750446,298,8
100.0,0.0005925,0.0069099,323,8
200.0,0.0009827,0.0088768,323,8
500.0,0.0025001,0.014211,323,8
1000.0,0.0049433,0.0200791,323,8
2000.0,0.0102113,0.0285341,323,8
5000.0,0.0251062,0.044904,323,8
10000.0,0.0490274,0.0634988,323,8
20000.0,0.0999863,0.0904271,323,8
50000.0,0.2470437,0.1432801,323,8
100000.0,0.5059641,0.2020404,323,8
1000000.0,5.7899356,0.769305,323,8
100.0,0.0011283,0.0095032,273,4
200.0,0.0022484,0.0135662,273,4
500.0,0.0053897,0.0208518,273,4
1000.0,0.0106902,0.0290582,273,4
2000.0,0.0213155,0.0417885,273,4
5000.0,0.0526799,0.0655326,273,4
10000.0,0.1063583,0.0929545,273,4
20000.0,0.2150137,0.1352861,273,4
50000.0,0.5532773,0.1945821,273,4
100000.0,1.1326672,0.2741423,273,4
1000000.0,23.1950131,0.7108329,273,4
100.0,0.0006331,0.0071408,298,4
200.0,0.0015666,0.0112847,298,4
500.0,0.0032793,0.0162277,298,4
1000.0,0.0065099,0.0227811,298,4
2000.0,0.0128088,0.0321317,298,4
5000.0,0.034173,0.0522125,298,4
10000.0,0.0661868,0.0746562,298,4
20000.0,0.1327226,0.1037385,298,4
50000.0,0.3417377,0.1694774,298,4
100000.0,0.6946527,0.2281581,298,4
1000000.0,11.3326331,1.0419071,298,4
100.0,0.0004383,0.0059487,323,4
200.0,0.0009822,0.0090219,323,4
500.0,0.0021104,0.0130188,323,4
1000.0,0.0046105,0.0193748,323,4
2000.0,0.0094889,0.0284949,323,4
5000.0,0.0229227,0.0431697,323,4
10000.0,0.0458778,0.0605553,323,4
20000.0,0.0912767,0.0868491,323,4
50000.0,0.2319135,0.1369428,323,4
100000.0,0.4646954,0.1973909,323,4
1000000.0,5.6031815,0.7583552999999998,323,4
100.0,0.0023864,0.0138552,273,7
200.0,0.0044563,0.0190511,273,7
500.0,0.0120052,0.0311241,273,7
1000.0,0.0233646,0.0436691,273,7
2000.0,0.0470061,0.0623244,273,7
5000.0,0.1225356,0.1000383,273,7
10000.0,0.2299423,0.1232394,273,7
20000.0,0.4729099,0.1703152,273,7
50000.0,1.1503045,0.2463934,273,7
100000.0,2.2368836,0.3871931,273,7
1000000.0,24.2883151,0.6392153,273,7
100.0,0.0011689,0.009738,298,7
200.0,0.0025894,0.0144936,298,7
500.0,0.0061203,0.0221873,298,7
1000.0,0.0128575,0.0328827,298,7
2000.0,0.0251467,0.045152,298,7
5000.0,0.0613309,0.0700501,298,7
10000.0,0.1243052,0.1015712,298,7
20000.0,0.245469,0.1260809,298,7
50000.0,0.6302827,0.1968544,298,7
100000.0,1.2506654,0.2629716,298,7
1000000.0,13.7178539,0.9759354,298,7
100.0,0.0007471,0.0077517,323,7
200.0,0.0016478,0.011675,323,7
500.0,0.0036121,0.0171652,323,7
1000.0,0.0074434,0.0246325,323,7
2000.0,0.0148056,0.0348497,323,7
5000.0,0.0365107,0.0552249,323,7
10000.0,0.07510749999999998,0.0783424,323,7
20000.0,0.1523366,0.1131392,323,7
50000.0,0.3685241,0.1501803,323,7
100000.0,0.7391305,0.2137855,323,7
1000000.0,7.319122499999998,0.7162782,323,7
100.0,0.0018101,0.0122034,273,3
200.0,0.0037907,0.0174695,273,3
500.0,0.00901,0.0271017,273,3
1000.0,0.018166,0.0380477,273,3
2000.0,0.0367542,0.0545461,273,3
