Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,1.6650567,0.1019687,273,5
200.0,1.9595557,0.08269999999999998,273,5
500.0,2.1678005,0.0569413,273,5
1000.0,2.2385152,0.0444433,273,5
2000.0,2.2809382,0.0320301,273,5
5000.0,2.3094262,0.0268178,273,5
10000.0,2.3264926,0.0218282,273,5
20000.0,2.3517347,0.0279034,273,5
50000.0,2.4154704,0.046877,273,5
100000.0,2.469807,0.0553678,273,5
1000000.0,3.0421068,0.0964594,273,5
100.0,0.6627221,0.1129274,298,5
200.0,0.9931662000000001,0.1256548,298,5
500.0,1.5804274,0.1136243,298,5
1000.0,1.8337751,0.08855059999999998,298,5
2000.0,2.0707924,0.0740658,298,5
5000.0,2.2288424,0.0512285,298,5
10000.0,2.2817322,0.0317227,298,5
20000.0,2.3073216,0.0273588,298,5
50000.0,2.3411951,0.0325756,298,5
100000.0,2.3883187,0.0410802,298,5
1000000.0,2.6809018,0.0762689,298,5
100.0,0.1856906,0.0520388,323,5
200.0,0.3597678,0.0866846,323,5
500.0,0.6821724,0.0984951,323,5
1000.0,1.0578644,0.0970745,323,5
2000.0,1.50553,0.088157,323,5
5000.0,1.8786148,0.067704,323,5
10000.0,2.0770962,0.0562521,323,5
20000.0,2.194798,0.0482686,323,5
50000.0,2.2756018,0.0344307,323,5
100000.0,2.3148995,0.0281077,323,5
1000000.0,2.5095922,0.0539724,323,5
100.0,1.64857,0.1218745,273,1
200.0,2.0160894,0.1217293,273,1
500.0,2.4121083,0.09545360000000001,273,1
1000.0,2.7313869,0.1010271,273,1
2000.0,2.948644,0.07352269999999998,273,1
5000.0,3.25522,0.0759534,273,1
10000.0,3.4693541,0.07561619999999998,273,1
20000.0,3.6732309,0.0616822,273,1
50000.0,3.7731907,0.0711764,273,1
100000.0,3.9019354,0.0555481,273,1
1000000.0,4.2389461,0.0430213,273,1
100.0,0.5800905,0.0936068,298,1
200.0,0.9148866000000001,0.1081307,298,1
500.0,1.5613683,0.1359384,298,1
1000.0,1.9078331,0.1153305,298,1
2000.0,2.2349855,0.1020766,298,1
5000.0,2.6517516,0.0841571,298,1
10000.0,2.9573135,0.0900206,298,1
20000.0,3.196734,0.0804078,298,1
50000.0,3.4875359,0.0690926,298,1
100000.0,3.6231895,0.0832726,298,1
1000000.0,4.0306975,0.0544677,298,1
100.0,0.1554505,0.0471767,323,1
200.0,0.2879439,0.0674572,323,1
500.0,0.6225749,0.1021906,323,1
1000.0,1.0149273,0.1035732,323,1
2000.0,1.4617197,0.1102621,323,1
5000.0,2.0157584,0.1055644,323,1
10000.0,2.3462931,0.0872755,323,1
20000.0,2.6738802,0.0793886,323,1
50000.0,3.0043721,0.08060939999999998,323,1
100000.0,3.2348079,0.07608049999999998,323,1
1000000.0,3.8659393,0.0487676,323,1
100.0,0.9725738,0.1188961,273,6
200.0,1.316894,0.1051092,273,6
500.0,1.805453,0.0945239,273,6
1000.0,2.0269659,0.0784117,273,6
2000.0,2.1660102,0.0627026,273,6
5000.0,2.2897557,0.0441729,273,6
10000.0,2.3385627,0.0457537,273,6
20000.0,2.4336796,0.0503661,273,6
50000.0,2.56048,0.063215,273,6
100000.0,2.7041694,0.07361489999999998,273,6
1000000.0,3.3026301,0.0688343,273,6
100.0,0.2597356,0.073397,298,6
200.0,0.4701691,0.0993628,298,6
500.0,0.8605636,0.1101094,298,6
1000.0,1.2945839,0.1095772,298,6
2000.0,1.6708312,0.1111639,298,6
5000.0,2.0036486,0.0857137,298,6
10000.0,2.1694431,0.0675691,298,6
20000.0,2.2637965,0.0605143,298,6
50000.0,2.3601491,0.0509,298,6
100000.0,2.4443589,0.0631079,298,6
1000000.0,2.9790907,0.0773298,298,6
100.0,0.0682723,0.0401703,323,6
200.0,0.1286659,0.0493622,323,6
500.0,0.3062403,0.0813233,323,6
1000.0,0.5485541,0.09581750000000001,323,6
2000.0,0.8263264999999999,0.1129651,323,6
5000.0,1.4011453,0.1026846,323,6
10000.0,1.7635779,0.1020808,323,6
20000.0,2.0098365,0.0898352,323,6
50000.0,2.201892,0.0643096,323,6
100000.0,2.3113357,0.0537743,323,6
1000000.0,2.6787735,0.0716292,323,6
100.0,2.4881138,0.1255858,273,2
200.0,2.892758,0.1010286,273,2
500.0,3.3103634,0.0819767,273,2
1000.0,3.5152935,0.0718346,273,2
2000.0,3.6874517,0.0662702,273,2
