Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003683,0.0026256,273,5
200.0,0.0007900999999999999,0.0038778,273,5
500.0,0.0019199,0.0060916,273,5
1000.0,0.0038189,0.008591599999999998,273,5
2000.0,0.0081454,0.0107137,273,5
5000.0,0.0194722,0.0162567,273,5
10000.0,0.0357611,0.0216086,273,5
20000.0,0.0688408,0.0293831,273,5
50000.0,0.1523082,0.0420065,273,5
100000.0,0.2717906,0.0541784,273,5
100.0,0.0001546,0.0017318,298,5
200.0,0.0003473,0.0025795,298,5
500.0,0.000876,0.0040929,298,5
1000.0,0.0018455,0.0058746,298,5
2000.0,0.0035344,0.008316999999999998,298,5
5000.0,0.008790499999999998,0.0108439,298,5
10000.0,0.0176496,0.0161065,298,5
20000.0,0.0328736,0.0216683,298,5
50000.0,0.07954319999999998,0.0307663,298,5
100000.0,0.1411817,0.0385794,298,5
100.0,8.65e-05,0.001061,323,5
200.0,0.0002074,0.0016311,323,5
500.0,0.0004812,0.0024994,323,5
1000.0,0.0009161,0.0033954,323,5
2000.0,0.0018105,0.0048524,323,5
5000.0,0.0046096,0.0077082,323,5
10000.0,0.0089279,0.0091595,323,5
20000.0,0.0177183,0.0123357,323,5
50000.0,0.0437642,0.0203216,323,5
100000.0,0.07958229999999998,0.0266435,323,5
100.0,0.0004695,0.0029686,273,1
200.0,0.0009199,0.004202,273,1
500.0,0.0023131,0.0066087,273,1
1000.0,0.0047063,0.0094463,273,1
2000.0,0.0091874,0.011183,273,1
5000.0,0.022709,0.0175578,273,1
10000.0,0.0462787,0.0253134,273,1
20000.0,0.08615829999999998,0.0347892,273,1
50000.0,0.1915217,0.0475752,273,1
100000.0,0.3271096,0.0594855,273,1
100.0,0.000229,0.0020781,298,1
200.0,0.0004218,0.0028315,298,1
500.0,0.0010687,0.0045027,298,1
1000.0,0.0021948,0.0064204,298,1
2000.0,0.0041357,0.0089666,298,1
5000.0,0.0105081,0.0122327,298,1
10000.0,0.0217147,0.017283,298,1
20000.0,0.0408625,0.0230323,298,1
50000.0,0.0967339,0.0348375,298,1
100000.0,0.1770592,0.0457075,298,1
100.0,9.29e-05,0.0010831,323,1
200.0,0.0002417,0.0017463,323,1
500.0,0.0005815,0.0027173,323,1
1000.0,0.0011158,0.0037831,323,1
2000.0,0.0021082,0.0051406,323,1
5000.0,0.005527,0.008367299999999998,323,1
10000.0,0.010928,0.0102494,323,1
20000.0,0.0216969,0.0144179,323,1
50000.0,0.0515235,0.0211846,323,1
100000.0,0.0980151,0.0284843,323,1
100.0,0.0002863,0.0023198,273,6
200.0,0.0006107,0.0033805,273,6
500.0,0.0015268,0.0053845,273,6
1000.0,0.0031318,0.0076285,273,6
2000.0,0.0063858,0.0110765,273,6
5000.0,0.0145388,0.0145503,273,6
10000.0,0.0301578,0.0202693,273,6
20000.0,0.0573975,0.0283814,273,6
50000.0,0.1303094,0.0408482,273,6
100000.0,0.2331628,0.0516601,273,6
100.0,0.0001279,0.0015569,298,6
200.0,0.000292,0.0023734,298,6
500.0,0.0007251999999999998,0.0036788,298,6
1000.0,0.0014943,0.0053699,298,6
2000.0,0.0029791,0.0075072,298,6
5000.0,0.0071854,0.0114882,298,6
10000.0,0.0146495,0.0143668,298,6
20000.0,0.0293601,0.0195212,298,6
50000.0,0.0676079,0.0299307,298,6
100000.0,0.1249357,0.0383039,298,6
100.0,8.399999999999998e-05,0.0012632,323,6
200.0,0.0001489,0.0016789,323,6
500.0,0.0004046,0.0027755,323,6
1000.0,0.0007213999999999999,0.0037091,323,6
2000.0,0.0015115,0.0053753,323,6
5000.0,0.0038818,0.0085313,323,6
10000.0,0.0075652,0.0117564,323,6
20000.0,0.01464,0.0142384,323,6
50000.0,0.0359596,0.0223554,323,6
100000.0,0.0710222,0.0314499,323,6
100.0,0.000437,0.0028928,273,2
200.0,0.0008951,0.0041682,273,2
500.0,0.002065,0.0062688,273,2
1000.0,0.0041853,0.0089599,273,2
2000.0,0.0086263,0.0126579,273,2
5000.0,0.0228368,0.0175814,273,2
10000.0,0.0435894,0.0236083,273,2
20000.0,0.0796332,0.0319241,273,2
50000.0,0.1925249,0.0483704,273,2
100000.0,0.3398049,0.0564374,273,2
100.0,0.0002195,0.0020348,298,2
200.0,0.0004008,0.0027629,298,2
500.0,0.0009771,0.0043343,298,2
1000.0,0.0020087,0.0061184,298,2
2000.0,0.0039658,0.0087877,298,2
5000.0,0.0101302,0.0137814,298,2
10000.0,0.0203349,0.017394,298,2
20000.0,0.0381696,0.022184,298,2
50000.0,0.0939683,0.0334297,298,2
100000.0,0.1708242,0.0447117,298,2
100.0,0.0001031,0.0013986,323,2
200.0,0.0002576,0.0022353,323,2
500.0,0.0005248,0.003121,323,2
1000.0,0.0010783,0.0045607,323,2
2000.0,0.0020936,0.0063717,323,2
5000.0,0.0052159,0.0099535,323,2
10000.0,0.0106608,0.0142813,323,2
