Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,2.4642623,0.213177,273,5
200.0,3.5233614,0.1610462,273,5
500.0,4.1658642,0.1645233,273,5
1000.0,4.4690776,0.0800047,273,5
2000.0,4.6032677,0.0683749,273,5
5000.0,4.6877764,0.0444917,273,5
10000.0,4.7348504,0.0230553,273,5
20000.0,4.7359652,0.0238023,273,5
50000.0,4.750803,0.0124796,273,5
100000.0,4.7549984,0.0065257,273,5
1000000.0,4.7564476,0.0,273,5
100.0,0.6342527,0.1027007,298,5
200.0,1.057784,0.1588674,298,5
500.0,2.2722743,0.1419124,298,5
1000.0,3.061492,0.1847401,298,5
2000.0,3.8521772,0.1338345,298,5
5000.0,4.3923014,0.0881722,298,5
10000.0,4.5531715,0.0698788,298,5
20000.0,4.6733102,0.0517368,298,5
50000.0,4.7189983,0.0343348,298,5
100000.0,4.7354858,0.0266693,298,5
1000000.0,4.7553535,0.0057535,298,5
100.0,0.164888,0.0761581,323,5
200.0,0.2767992,0.0905536,323,5
500.0,0.6229352,0.1200946,323,5
1000.0,1.1198412,0.1500459,323,5
2000.0,1.8529907,0.1545093,323,5
5000.0,3.0080357,0.1772854,323,5
10000.0,3.8130147,0.141197,323,5
20000.0,4.2465359,0.0992186,323,5
50000.0,4.4938382,0.07491459999999998,323,5
100000.0,4.6228992,0.0612948,323,5
1000000.0,4.7398046,0.0234032,323,5
100.0,3.5780826,0.1435956,273,1
200.0,4.1181492,0.1373251,273,1
500.0,4.4601855,0.08543789999999998,273,1
1000.0,4.6011825,0.0654124,273,1
2000.0,4.6848638,0.041561,273,1
5000.0,4.7310675,0.0228057,273,1
10000.0,4.7416915,0.0226643,273,1
20000.0,4.7512898,0.0121503,273,1
50000.0,4.7532184,0.0097777,273,1
100000.0,4.7555818,0.0048333,273,1
1000000.0,4.7564476,0.0,273,1
100.0,1.4814854,0.1345159,298,1
200.0,2.1916103,0.1386787,298,1
500.0,3.2399347,0.1802989,298,1
1000.0,3.7649014,0.169748,298,1
2000.0,4.2476452,0.1285073,298,1
5000.0,4.4943313,0.0689976,298,1
10000.0,4.6202163,0.0687384,298,1
20000.0,4.6713927,0.0447034,298,1
50000.0,4.7336427,0.0239705,298,1
100000.0,4.7406807,0.0239824,298,1
1000000.0,4.7559125,0.0040911,298,1
100.0,0.3827248,0.0971935,323,1
200.0,0.6574348,0.1161628,323,1
500.0,1.2952045,0.1630931,323,1
1000.0,2.1609289,0.1628365,323,1
2000.0,2.8972261,0.1733839,323,1
5000.0,3.7437934,0.1677893,323,1
10000.0,4.1675396,0.1049861,323,1
20000.0,4.3994327,0.0835155,323,1
50000.0,4.5989008,0.0603441,323,1
100000.0,4.6985992,0.0372433,323,1
1000000.0,4.752019,0.0107879,323,1
100.0,0.420436,0.1037279,273,6
200.0,0.8945277,0.1386695,273,6
500.0,1.8697168,0.1869707,273,6
1000.0,3.0652715,0.2317505,273,6
2000.0,3.798689,0.159812,273,6
5000.0,4.3178734,0.127262,273,6
10000.0,4.5430248,0.0952606,273,6
20000.0,4.6849869,0.0400458,273,6
50000.0,4.7114664,0.0348993,273,6
100000.0,4.7368421,0.0218658,273,6
1000000.0,4.7518803,0.0117356,273,6
100.0,0.0839375,0.0495824,298,6
200.0,0.1539417,0.061318,298,6
500.0,0.4377776,0.0922773,298,6
1000.0,0.7567494999999999,0.1443339,298,6
2000.0,1.4396506,0.1489447,298,6
5000.0,2.6496271,0.1862696,298,6
10000.0,3.6023281,0.1370123,298,6
20000.0,4.1002976,0.1466289,298,6
50000.0,4.4632349,0.08681479999999998,298,6
100000.0,4.6444221,0.07761999999999998,298,6
1000000.0,4.7472469,0.0183446,298,6
100.0,0.0211253,0.0242916,323,6
200.0,0.0461561,0.0361378,323,6
500.0,0.1128562,0.0583301,323,6
1000.0,0.2078678,0.071303,323,6
2000.0,0.4215418,0.0982258,323,6
5000.0,0.8689063,0.1479273,323,6
10000.0,1.6844921,0.176204,323,6
20000.0,2.6480967,0.1717169,323,6
50000.0,3.6525744,0.1364866,323,6
100000.0,4.1444365,0.1201162,323,6
1000000.0,4.651131,0.0465536,323,6
100.0,1.2377553,0.1894169,273,2
200.0,1.8935644,0.1634919,273,2
500.0,3.2057768,0.1416749,273,2
1000.0,3.8947506,0.1142867,273,2
2000.0,4.250598,0.1076517,273,2
5000.0,4.5044837,0.0639512,273,2
10000.0,4.605683,0.0581923,273,2
20000.0,4.7030788,0.0424537,273,2
50000.0,4.7405358,0.0213775,273,2
100000.0,4.7459091,0.0153012,273,2
1000000.0,4.7558716,0.0041937,273,2
100.0,0.242024,0.08265889999999998,298,2
200.0,0.4231338,0.1029851,298,2
500.0,1.0426123,0.1707595,298,2
1000.0,1.8307115,0.1641014,298,2
2000.0,2.7262218,0.1641437,298,2
5000.0,3.6494983,0.1894545,298,2
10000.0,4.1673233,0.1039949,298,2
20000.0,4.4469077,0.0887879,298,2
50000.0,4.5511144,0.0748447,298,2
100000.0,4.6660088,0.0364581,298,2
1000000.0,4.7535697,0.0093098,298,2
100.0,0.0580472,0.0425829,323,2
200.0,0.1079528,0.0538219,323,2
500.0,0.3024341,0.0886881,323,2
1000.0,0.5184899,0.0954015,323,2
2000.0,0.9080951,0.1410482,323,2
5000.0,1.8110306,0.2666899,323,2
10000.0,2.6106106,0.154696,323,2
20000.0,3.486029,0.1363622,323,2
50000.0,4.2152357,0.1144408,323,2
100000.0,4.4188976,0.0713135,323,2
1000000.0,4.62776,0.0289536,323,2
100.0,0.0005871,0.0046636,273,8
200.0,0.0010813,0.0063556,273,8
500.0,0.0025306,0.0097513,273,8
1000.0,0.0051541,0.0137673,273,8
2000.0,0.0101855,0.0174302,273,8
5000.0,0.0266844,0.0264098,273,8
10000.0,0.0539002,0.0385856,273,8
20000.0,0.1088706,0.0580459,273,8
50000.0,0.2455888,0.0805831,273,8
100000.0,0.473549,0.1078757,273,8
1000000.0,2.0642201,0.1716401,273,8
100.0,0.0002378,0.0029632,298,8
200.0,0.0004722,0.0041951,298,8
500.0,0.0009401,0.0058825,298,8
1000.0,0.0020438,0.0085689,298,8
