Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.004785,0.013614,273,5
200.0,0.0097658,0.0172932,273,5
500.0,0.0239632,0.0255824,273,5
1000.0,0.0439863,0.0341052,273,5
2000.0,0.0809258,0.0448855,273,5
5000.0,0.178624,0.0616087,273,5
10000.0,0.2756419,0.0783988,273,5
20000.0,0.4015206,0.0686886,273,5
50000.0,0.5310927,0.046818,273,5
100000.0,0.6009579,0.0443523,273,5
1000000.0,0.6817681,0.0208411,273,5
100.0,0.0013172,0.0071766,298,5
200.0,0.0025883,0.0100184,298,5
500.0,0.0076613,0.0147112,298,5
1000.0,0.014328,0.0200667,298,5
2000.0,0.028007,0.0269338,298,5
5000.0,0.0610217,0.0388937,298,5
10000.0,0.1211567,0.0520385,298,5
20000.0,0.2080154,0.0618123,298,5
50000.0,0.3660548,0.07594579999999998,298,5
100000.0,0.4462306,0.0593516,298,5
1000000.0,0.6471306,0.0338237,298,5
100.0,0.0005415,0.0032361,323,5
200.0,0.0010983,0.0046134,323,5
500.0,0.0025499,0.0069168,323,5
1000.0,0.0053879,0.0089603,323,5
2000.0,0.0109563,0.0125986,323,5
5000.0,0.0244893,0.0184648,323,5
10000.0,0.0499579,0.0263178,323,5
20000.0,0.0946048,0.0353935,323,5
50000.0,0.1914327,0.0434719,323,5
100000.0,0.3003683,0.053013,323,5
1000000.0,0.5664474,0.0422717,323,5
100.0,0.0115246,0.0179062,273,1
200.0,0.0217896,0.0247212,273,1
500.0,0.0535371,0.0387956,273,1
1000.0,0.0978786,0.0471034,273,1
2000.0,0.1810107,0.0598087,273,1
5000.0,0.3435249,0.0710676,273,1
10000.0,0.4428013,0.0664167,273,1
20000.0,0.5387963,0.0619942,273,1
50000.0,0.6304671,0.0432298,273,1
100000.0,0.653067,0.0276739,273,1
1000000.0,0.6924267,0.0182145,273,1
100.0,0.0030568,0.0108118,298,1
200.0,0.005818,0.0126902,298,1
500.0,0.0157297,0.0203771,298,1
1000.0,0.0297159,0.0287015,298,1
2000.0,0.0582359,0.0383915,298,1
5000.0,0.125035,0.0492887,298,1
10000.0,0.2204113,0.0656258,298,1
20000.0,0.3366808,0.0690419,298,1
50000.0,0.4860678,0.0548178,298,1
100000.0,0.5255412,0.0520166,298,1
1000000.0,0.667773,0.0334238,298,1
100.0,0.0011354,0.004736,323,1
200.0,0.0021985,0.0064714,323,1
500.0,0.0053821,0.0090833,323,1
1000.0,0.0112904,0.0126184,323,1
2000.0,0.0218856,0.0173316,323,1
5000.0,0.0513328,0.0266894,323,1
10000.0,0.0910641,0.0324645,323,1
20000.0,0.1731059,0.0444133,323,1
50000.0,0.2976863,0.0458259,323,1
100000.0,0.3872577,0.0479553,323,1
1000000.0,0.6448282,0.0229977,323,1
100.0,0.0023848,0.0095346,273,6
200.0,0.0050653,0.0135721,273,6
500.0,0.0115438,0.017932,273,6
1000.0,0.0228956,0.0250909,273,6
2000.0,0.0447544,0.0341365,273,6
5000.0,0.09001739999999998,0.0463882,273,6
10000.0,0.1624008,0.0546025,273,6
20000.0,0.244229,0.0669886,273,6
50000.0,0.3684186,0.060673,273,6
100000.0,0.462498,0.0563647,273,6
1000000.0,0.6212812,0.0347288,273,6
100.0,0.0007873,0.0054418,298,6
