Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.046097,0.047537,273,5
200.0,0.08355,0.0595095,273,5
500.0,0.1971818,0.08714249999999998,273,5
1000.0,0.31938,0.0974179,273,5
2000.0,0.502966,0.1104509,273,5
5000.0,0.8611322999999999,0.1378541,273,5
10000.0,1.2835032,0.1801635,273,5
20000.0,1.943905,0.2272725,273,5
50000.0,3.3611683,0.2934097,273,5
100000.0,5.3022971,0.3931513,273,5
1000000.0,21.7221788,0.4305093,273,5
100.0,0.0126361,0.0286733,298,5
200.0,0.0260046,0.0359684,298,5
500.0,0.0662752,0.0526384,298,5
1000.0,0.118621,0.0692877,298,5
2000.0,0.2279021,0.08753289999999998,298,5
5000.0,0.4571564,0.1136219,298,5
10000.0,0.7055727,0.136355,298,5
20000.0,1.0988134,0.1671266,298,5
50000.0,1.9968398,0.239363,298,5
100000.0,3.1226035,0.303126,298,5
1000000.0,15.8970643,0.6492931,298,5
100.0,0.0054504,0.0189156,323,5
200.0,0.0102936,0.0260171,323,5
500.0,0.0267041,0.0356909,323,5
1000.0,0.0510855,0.0480531,323,5
2000.0,0.09372490000000001,0.0622494,323,5
5000.0,0.2184231,0.0868385,323,5
10000.0,0.3839138,0.1104986,323,5
20000.0,0.6410298,0.1406976,323,5
50000.0,1.2118044,0.1881675,323,5
100000.0,1.9002453,0.2546569,323,5
1000000.0,9.9452091,0.6274914,323,5
100.0,0.1277095,0.0691024,273,1
200.0,0.2202641,0.084161,273,1
500.0,0.3901921,0.098513,273,1
1000.0,0.543392,0.1048089,273,1
2000.0,0.764019,0.1260328,273,1
5000.0,1.2378669,0.1557641,273,1
10000.0,1.7921372,0.2163181,273,1
20000.0,2.6406023,0.2445058,273,1
50000.0,4.5349614,0.3260411,273,1
100000.0,6.8976052,0.4333882,273,1
1000000.0,23.1327539,0.3484502,273,1
100.0,0.0376642,0.0413022,298,1
200.0,0.0694491,0.0539754,298,1
500.0,0.1563907,0.0785522,298,1
1000.0,0.2693238,0.0970292,298,1
2000.0,0.416586,0.1040775,298,1
5000.0,0.6828444,0.1248927,298,1
10000.0,1.0586481,0.1512286,298,1
20000.0,1.4772673,0.1889565,298,1
50000.0,2.6993822,0.2689811,298,1
100000.0,4.0356624,0.3420121,298,1
1000000.0,18.208443,0.5523506,298,1
100.0,0.0121808,0.0283292,323,1
200.0,0.0259189,0.0367334,323,1
500.0,0.0577302,0.0514785,323,1
1000.0,0.1149852,0.0689782,323,1
2000.0,0.2011219,0.0888825,323,1
5000.0,0.3974035,0.1030541,323,1
10000.0,0.6211552,0.1244861,323,1
20000.0,0.9494629000000001,0.1605487,323,1
50000.0,1.6249517,0.2009151,323,1
100000.0,2.573516,0.2828674,323,1
1000000.0,12.2906733,0.6480094,323,1
100.0,0.0189377,0.0295438,273,6
200.0,0.0357572,0.0388877,273,6
500.0,0.0892115,0.0579752,273,6
1000.0,0.178047,0.0793243,273,6
2000.0,0.3135205,0.1023387,273,6
5000.0,0.6528636,0.1397481,273,6
10000.0,1.1055222,0.1766993,273,6
20000.0,1.7827858,0.2194552,273,6
50000.0,3.1834181,0.2996431,273,6
100000.0,4.8651193,0.3613198,273,6
1000000.0,20.8935703,0.4332191,273,6
100.0,0.0064797,0.0204826,298,6
200.0,0.0116529,0.023321,298,6
500.0,0.0311053,0.0362287,298,6
1000.0,0.0608183,0.0499488,298,6
2000.0,0.1189641,0.0662105,298,6
5000.0,0.3021294,0.1079774,298,6
10000.0,0.5250402,0.1299534,298,6
20000.0,0.954227,0.1650281,298,6
50000.0,1.7808179,0.241964,298,6
100000.0,2.9562148,0.3061245,298,6
1000000.0,14.574843,0.6953837,298,6
100.0,0.0026064,0.013154,323,6
200.0,0.005424,0.0190607,323,6
500.0,0.0141934,0.030125,323,6
1000.0,0.0264731,0.0348559,323,6
2000.0,0.0490202,0.047516,323,6
5000.0,0.1211878,0.0691489,323,6
10000.0,0.2362984,0.097256,323,6
20000.0,0.4785487,0.1325445,323,6
50000.0,1.0076181,0.1951401,323,6
100000.0,1.7347475,0.2436268,323,6
1000000.0,9.210737000000002,0.5991741,323,6
100.0,0.3966903,0.089476,273,2
200.0,0.5305844,0.0367349,273,2
500.0,0.5806999,0.0520136,273,2
1000.0,0.6347217,0.0700338,273,2
2000.0,0.7583641,0.1000388,273,2
5000.0,1.1130042,0.1494121,273,2
10000.0,1.6507187,0.2037326,273,2
20000.0,2.5396278,0.2835701,273,2
50000.0,4.4003586,0.3360133,273,2
100000.0,6.2861278,0.3999231,273,2
1000000.0,22.2059117,0.3873365,273,2
100.0,0.1184823,0.0455117,298,2
200.0,0.2609965,0.0947442,298,2
500.0,0.4115881,0.0720001,298,2
1000.0,0.4493504,0.0559464,298,2
2000.0,0.6026926,0.0687823,298,2
5000.0,0.7494387999999998,0.0995327,298,2
10000.0,0.9993343,0.1446039,298,2
20000.0,1.4124994,0.1814093,298,2
50000.0,2.4237295,0.2547366,298,2
100000.0,3.980736,0.306088,298,2
1000000.0,17.0591072,0.6189512,298,2
100.0,0.0571957,0.052248,323,2
200.0,0.1001188,0.0515057,323,2
500.0,0.2245477,0.0630652,323,2
1000.0,0.320726,0.0761188,323,2
2000.0,0.4080306,0.0659206,323,2
5000.0,0.5520448,0.07519439999999998,323,2
10000.0,0.6999213,0.1080455,323,2
20000.0,0.9241115,0.1450431,323,2
50000.0,1.5537457,0.2074159,323,2
100000.0,2.3702043,0.2684413,323,2
1000000.0,11.2617846,0.6334209,323,2
100.0,0.0387595,0.0425774,273,8
200.0,0.0746289,0.0587865,273,8
500.0,0.1598681,0.07862779999999998,273,8
1000.0,0.2725307,0.0952474,273,8
2000.0,0.4101224,0.1004085,273,8
5000.0,0.6865001,0.1281463,273,8
10000.0,1.0531317,0.1634946,273,8
20000.0,1.579734,0.1967191,273,8
50000.0,2.8301631,0.2910333,273,8
100000.0,4.323599,0.3486633,273,8
1000000.0,20.1633974,0.4633599,273,8
100.0,0.0126163,0.0285069,298,8
200.0,0.0229363,0.0329115,298,8
500.0,0.0559288,0.048436,298,8
1000.0,0.1114616,0.0692836,298,8
2000.0,0.199822,0.08726159999999998,298,8
5000.0,0.3806997,0.1028757,298,8
10000.0,0.6040783,0.1279805,298,8
20000.0,0.9051013000000001,0.1536799,298,8
50000.0,1.6390404,0.2184705,298,8
100000.0,2.5858741,0.2870203,298,8
1000000.0,13.4131738,0.6809793,298,8
100.0,0.0045288,0.0173487,323,8
200.0,0.008795799999999998,0.0241302,323,8
500.0,0.0225338,0.0384685,323,8
1000.0,0.0428308,0.052206,323,8
2000.0,0.0847774,0.0703192,323,8
5000.0,0.1859256,0.102212,323,8
10000.0,0.3249689,0.1289639,323,8
20000.0,0.5621053,0.1524643,323,8
