Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.001885,0.0073013,273,5
200.0,0.0033466,0.0097634,273,5
500.0,0.0086697,0.0157353,273,5
1000.0,0.017677,0.0222681,273,5
2000.0,0.0344443,0.0280694,273,5
5000.0,0.08343639999999998,0.0405112,273,5
10000.0,0.1607867,0.0553928,273,5
20000.0,0.3188462,0.0757462,273,5
50000.0,0.6750028,0.0998122,273,5
100000.0,1.0964537,0.1242197,273,5
100.0,0.0007866,0.0047643,298,5
200.0,0.0016161,0.0068235,298,5
500.0,0.0040817,0.010761,298,5
1000.0,0.0077659,0.0150539,298,5
2000.0,0.0151141,0.020851,298,5
5000.0,0.0372275,0.0283023,298,5
10000.0,0.0759023,0.0385793,298,5
20000.0,0.1437155,0.0528719,298,5
50000.0,0.3447639,0.0774457,298,5
100000.0,0.6003413,0.1023483,298,5
100.0,0.0003909,0.0027156,323,5
200.0,0.0007265,0.0037,323,5
500.0,0.0019107,0.006053,323,5
1000.0,0.0038538,0.0084735,323,5
2000.0,0.0075284,0.0120894,323,5
5000.0,0.0190004,0.0162231,323,5
10000.0,0.0377986,0.0231466,323,5
20000.0,0.0731239,0.0317418,323,5
50000.0,0.1807708,0.0485687,323,5
100000.0,0.3305845,0.0627174,323,5
100.0,0.0161753,0.0179463,273,1
200.0,0.0323534,0.0251285,273,1
500.0,0.07807609999999998,0.0386133,273,1
1000.0,0.1519206,0.0550576,273,1
2000.0,0.2840043,0.0777539,273,1
5000.0,0.5857725,0.0906034,273,1
10000.0,0.9957352,0.101501,273,1
20000.0,1.4787344,0.1121171,273,1
50000.0,2.0584952,0.0984118,273,1
100000.0,2.3767251,0.07862669999999998,273,1
100.0,0.0050943,0.0120196,298,1
200.0,0.0112154,0.0155385,298,1
500.0,0.0263295,0.0242062,298,1
1000.0,0.0515492,0.0313482,298,1
2000.0,0.1019247,0.043988,298,1
5000.0,0.2417885,0.0663191,298,1
10000.0,0.4563228,0.0829593,298,1
20000.0,0.7383138999999999,0.1132375,298,1
50000.0,1.3688775,0.1146638,298,1
100000.0,1.863265,0.1099095,298,1
100.0,0.0020385,0.0061517,323,1
200.0,0.0043401,0.007582099999999999,323,1
500.0,0.0106386,0.0123684,323,1
1000.0,0.0200225,0.0162883,323,1
2000.0,0.04289,0.0241591,323,1
5000.0,0.104249,0.0372001,323,1
10000.0,0.1991905,0.0494688,323,1
20000.0,0.3706409,0.0628597,323,1
50000.0,0.7915225999999999,0.0917048,323,1
100000.0,1.1991308,0.1043504,323,1
