Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0061009,0.019212,273,5
200.0,0.0119109,0.026791,273,5
500.0,0.0291896,0.0422213,273,5
1000.0,0.0607602,0.0606962,273,5
2000.0,0.1200421,0.0733411,273,5
5000.0,0.3013039,0.1112311,273,5
10000.0,0.6021252,0.1651409,273,5
20000.0,1.1669162,0.2164463,273,5
50000.0,3.0674685,0.3899244,273,5
100000.0,6.4807546,0.5731406,273,5
1000000.0,17.926144,0.2979013,273,5
100.0,0.0025991,0.0123954,298,5
200.0,0.0056465,0.0183276,298,5
500.0,0.0141404,0.0293397,298,5
1000.0,0.028196,0.0415347,298,5
2000.0,0.0560103,0.0582241,298,5
5000.0,0.1367815,0.07854609999999998,298,5
10000.0,0.2784159,0.1103498,298,5
20000.0,0.5700028,0.1609487,298,5
50000.0,1.3505972,0.2530399,298,5
100000.0,2.7938367,0.3587037,298,5
1000000.0,14.8563328,0.3792588,298,5
100.0,0.0013813,0.009124,323,5
200.0,0.0030716,0.0135646,323,5
500.0,0.0072944,0.0207853,323,5
1000.0,0.0144676,0.0295174,323,5
2000.0,0.0298439,0.0424587,323,5
5000.0,0.07301639999999998,0.0656354,323,5
10000.0,0.1452451,0.0796819,323,5
20000.0,0.3021105,0.1179425,323,5
50000.0,0.7538947999999999,0.1796497,323,5
100000.0,1.4550635,0.2543295,323,5
1000000.0,10.94305,0.5060697,323,5
100.0,0.0084455,0.0223562,273,1
200.0,0.01783,0.0327654,273,1
500.0,0.0445356,0.052318,273,1
1000.0,0.0859997,0.0606834,273,1
2000.0,0.1738007,0.08403349999999998,273,1
5000.0,0.4442678,0.1386993,273,1
10000.0,0.8761906,0.1961275,273,1
20000.0,1.7495137,0.2723461,273,1
50000.0,4.5374011,0.429734,273,1
100000.0,9.2706932,0.6264744,273,1
1000000.0,18.8276026,0.2695571,273,1
100.0,0.0037441,0.0150587,298,1
200.0,0.0079669,0.0222608,298,1
500.0,0.0191992,0.0340178,298,1
1000.0,0.0391436,0.0486284,298,1
2000.0,0.0776511,0.0698259,298,1
5000.0,0.1916892,0.0976426,298,1
10000.0,0.3916744,0.1305632,298,1
20000.0,0.8111224999999999,0.1894992,298,1
50000.0,1.9107452,0.2862685,298,1
100000.0,3.9241236,0.4163119,298,1
1000000.0,16.1976624,0.3361603,298,1
100.0,0.0018609,0.0106278,323,1
200.0,0.0037865,0.0153021,323,1
500.0,0.0102448,0.02484,323,1
1000.0,0.0198232,0.0349368,323,1
2000.0,0.0410581,0.050275,323,1
5000.0,0.0986618,0.0770373,323,1
