Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005513,0.0058165,273,5
200.0,0.0008905999999999999,0.0073415,273,5
500.0,0.002181,0.011607,273,5
1000.0,0.0046044,0.0165279,273,5
2000.0,0.008227399999999998,0.0222897,273,5
5000.0,0.0210636,0.035402,273,5
10000.0,0.0425545,0.0507188,273,5
20000.0,0.0859269,0.072406,273,5
50000.0,0.2117366,0.1116789,273,5
100000.0,0.4205228,0.1430073,273,5
100.0,0.0002545,0.0039181,298,5
200.0,0.0005634,0.0058781,298,5
500.0,0.0013813,0.009124,298,5
1000.0,0.0032049,0.013749,298,5
2000.0,0.0057616,0.0187769,298,5
5000.0,0.0143949,0.029341,298,5
10000.0,0.0290466,0.0419957,298,5
20000.0,0.0578279,0.058696,298,5
50000.0,0.1428872,0.0936231,298,5
100000.0,0.2837837,0.1146225,298,5
100.0,0.0001939,0.0034217,323,5
200.0,0.0004241,0.0050511,323,5
500.0,0.0010118,0.0078107,323,5
1000.0,0.0019932,0.0111082,323,5
2000.0,0.0038713,0.0153288,323,5
5000.0,0.0102388,0.0247611,323,5
10000.0,0.0203019,0.0353373,323,5
20000.0,0.0413489,0.0501387,323,5
50000.0,0.1024241,0.07809689999999998,323,5
100000.0,0.2046301,0.1112549,323,5
100.0,0.0004726,0.0053298,273,1
200.0,0.0009148,0.0073883,273,1
500.0,0.002587,0.0125158,273,1
1000.0,0.0056465,0.0187825,273,1
2000.0,0.0104266,0.0253502,273,1
5000.0,0.0267796,0.0403484,273,1
10000.0,0.0525691,0.0565158,273,1
20000.0,0.106247,0.079908,273,1
50000.0,0.2659536,0.109441,273,1
100000.0,0.5216806,0.1510432,273,1
100.0,0.0003696,0.0047173,298,1
200.0,0.0007149,0.0067084,298,1
500.0,0.0017145,0.0100831,298,1
1000.0,0.0037138,0.0149562,298,1
2000.0,0.0070642,0.0204381,298,1
5000.0,0.0177028,0.0326605,298,1
10000.0,0.0350057,0.0455693,298,1
20000.0,0.0699266,0.0646871,298,1
50000.0,0.1745984,0.1030105,298,1
100000.0,0.3439016,0.1251899,298,1
100.0,0.0002484,0.0038713,323,1
200.0,0.0004301,0.0051584,323,1
500.0,0.0013934,0.009162300000000002,323,1
1000.0,0.0025748,0.0126059,323,1
2000.0,0.0047619,0.0168139,323,1
5000.0,0.0123047,0.0271788,323,1
10000.0,0.0249487,0.0392174,323,1
20000.0,0.0485403,0.0542114,323,1
50000.0,0.1209993,0.0848483,323,1
100000.0,0.2427619,0.1205243,323,1
100.0,0.0004241,0.0050511,273,6
200.0,0.0009269,0.0074363,273,6
500.0,0.0019024,0.010635,273,6
1000.0,0.0042712,0.0161125,273,6
2000.0,0.0080335,0.0218791,273,6
5000.0,0.0211985,0.0359787,273,6
10000.0,0.0411974,0.0501865,273,6
20000.0,0.08339449999999998,0.0706984,273,6
50000.0,0.1996016,0.1096497,273,6
100000.0,0.4007662,0.1380006,273,6
100.0,0.0002302,0.0037276,298,6
200.0,0.000521,0.0055942,298,6
500.0,0.0012904,0.0087892,298,6
1000.0,0.0028838,0.0132088,298,6
2000.0,0.005522,0.0182401,298,6
5000.0,0.0144736,0.0299036,298,6
10000.0,0.0287435,0.0419418,298,6
20000.0,0.0563475,0.0577197,298,6
50000.0,0.1369088,0.0903766,298,6
100000.0,0.2730723,0.1261895,298,6
100.0,0.0001818,0.0033134,323,6
200.0,0.0003877,0.0048312,323,6
500.0,0.0009694,0.007601799999999998,323,6
1000.0,0.0020841,0.0112721,323,6
2000.0,0.0038956,0.0152265,323,6
5000.0,0.0099843,0.0245379,323,6
10000.0,0.0198172,0.0347982,323,6
20000.0,0.0389801,0.0489587,323,6
50000.0,0.1002811,0.077832,323,6
100000.0,0.1961797,0.1084331,323,6
100.0,0.0004362,0.0051222,273,2
200.0,0.0009269,0.0074363,273,2
500.0,0.0026597,0.0126174,273,2
1000.0,0.0052648,0.0178234,273,2
2000.0,0.0103106,0.025041,273,2
5000.0,0.0257545,0.0391129,273,2
10000.0,0.0513272,0.0555878,273,2
20000.0,0.1023575,0.0774176,273,2
50000.0,0.2478631,0.1067264,273,2
100000.0,0.5007184,0.1565974,273,2
100.0,0.0003514,0.0046006,298,2
200.0,0.0007512,0.006759,298,2
500.0,0.0016903,0.0101958,298,2
1000.0,0.0033564,0.014251,298,2
2000.0,0.0070823,0.0204229,298,2
5000.0,0.0163154,0.0314443,298,2
10000.0,0.034211,0.04532,298,2
20000.0,0.0667399,0.0635325,298,2
50000.0,0.1682855,0.1015198,298,2
100000.0,0.3345777,0.1269507,298,2
100.0,0.0001757,0.0032578,323,2
200.0,0.0004726,0.0053982,323,2
500.0,0.0013571,0.0090873,323,2
1000.0,0.0024961,0.0123126,323,2
2000.0,0.0049679,0.017567,323,2
