Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0011703,0.0071174,273,5
200.0,0.0025478,0.0105528,273,5
500.0,0.0063263,0.016491,273,5
1000.0,0.0124127,0.0232732,273,5
2000.0,0.0257068,0.0332457,273,5
5000.0,0.0635264,0.0525265,273,5
10000.0,0.1236513,0.061912,273,5
20000.0,0.2435818,0.085214,273,5
50000.0,0.5477708,0.1301442,273,5
100000.0,0.9220326,0.1432572,273,5
100.0,0.0006607,0.0053703,298,5
200.0,0.0011875,0.007244399999999998,298,5
500.0,0.0031783,0.0116979,298,5
1000.0,0.0063738,0.016692,298,5
2000.0,0.0120653,0.0224773,298,5
5000.0,0.032642,0.0374801,298,5
10000.0,0.0622525,0.0516643,298,5
20000.0,0.1224235,0.0627561,298,5
50000.0,0.2975734,0.0935906,298,5
100000.0,0.5517172,0.1264021,298,5
100.0,0.0003152,0.0036761,323,5
200.0,0.000583,0.0049834,323,5
500.0,0.0018137,0.0088537,323,5
1000.0,0.0037828,0.0125992,323,5
2000.0,0.0069999,0.0172204,323,5
5000.0,0.0179986,0.0277272,323,5
10000.0,0.0357986,0.0392409,323,5
20000.0,0.0710747,0.0545322,323,5
50000.0,0.1710043,0.0763568,323,5
100000.0,0.3322104,0.1024847,323,5
100.0,0.0014769,0.007942599999999998,273,1
200.0,0.0030444,0.011403,273,1
500.0,0.007621799999999998,0.0179273,273,1
1000.0,0.0151529,0.0253042,273,1
2000.0,0.0304526,0.0365066,273,1
5000.0,0.0733051,0.0552857,273,1
10000.0,0.1491753,0.070413,273,1
20000.0,0.2905546,0.0965628,273,1
50000.0,0.6376725,0.1314429,273,1
100000.0,1.0746256,0.1541391,273,1
100.0,0.0007427,0.0056145,298,1
200.0,0.0014898,0.0079987,298,1
500.0,0.0037612,0.0127893,298,1
1000.0,0.0073454,0.0178657,298,1
2000.0,0.0146995,0.0253395,298,1
5000.0,0.0375734,0.0404683,298,1
10000.0,0.0754307,0.0567896,298,1
20000.0,0.1470032,0.0677906,298,1
50000.0,0.349816,0.101004,298,1
100000.0,0.6309372,0.1292311,298,1
100.0,0.000285,0.0034966,323,1
200.0,0.0008291,0.0059573,323,1
500.0,0.0020954,0.0095756,323,1
1000.0,0.0042535,0.0134074,323,1
2000.0,0.0088266,0.0194189,323,1
5000.0,0.0206707,0.0294773,323,1
10000.0,0.0423236,0.0427162,323,1
20000.0,0.0825787,0.0593322,323,1
50000.0,0.2002874,0.08201949999999998,323,1
100000.0,0.3753458,0.1055677,323,1
100.0,0.0011616,0.0070398,273,6
200.0,0.0024312,0.0102126,273,6
500.0,0.0061622,0.01644,273,6
1000.0,0.0116853,0.0226031,273,6
2000.0,0.0244458,0.0319562,273,6
5000.0,0.0593419,0.050518,273,6
10000.0,0.1174523,0.0599371,273,6
20000.0,0.2221631,0.0820599,273,6
50000.0,0.5144576,0.1238502,273,6
100000.0,0.8882845999999999,0.1415235,273,6
100.0,0.0006952,0.0054692,298,6
200.0,0.0013257,0.0075239,298,6
500.0,0.0031221,0.0116412,298,6
1000.0,0.0061967,0.0162329,298,6
2000.0,0.0120912,0.0227685,298,6
5000.0,0.0297401,0.036155,298,6
10000.0,0.0582915,0.049962,298,6
20000.0,0.1162656,0.0619849,298,6
50000.0,0.2769149,0.0922612,298,6
100000.0,0.5075373,0.1233902,298,6
100.0,0.0004275,0.0043187,323,6
200.0,0.0007255,0.0056167,323,6
500.0,0.0017662,0.008894799999999998,323,6
1000.0,0.0033855,0.0121722,323,6
2000.0,0.0067495,0.0171795,323,6
5000.0,0.0166729,0.0271478,323,6
10000.0,0.0340886,0.0380757,323,6
20000.0,0.0651241,0.0526749,323,6
50000.0,0.1630154,0.0738109,323,6
100000.0,0.3135942,0.0996524,323,6
100.0,0.0014596,0.0079693,273,2
200.0,0.0028846,0.0111891,273,2
500.0,0.0069956,0.0173569,273,2
1000.0,0.0140992,0.0245838,273,2
2000.0,0.0278842,0.0346695,273,2
5000.0,0.0702068,0.0544956,273,2
10000.0,0.1379348,0.0655938,273,2
20000.0,0.2683904,0.091358,273,2
50000.0,0.597717,0.1281224,273,2
100000.0,1.0220414,0.1607894,273,2
100.0,0.000678,0.0054372,298,2
200.0,0.0014769,0.0079661,298,2
500.0,0.0035367,0.0123802,298,2
1000.0,0.007328099999999998,0.0177682,298,2
2000.0,0.0141942,0.0248013,298,2
5000.0,0.0359066,0.0390634,298,2
10000.0,0.0703795,0.0543719,298,2
20000.0,0.1380341,0.0648281,298,2
50000.0,0.331298,0.1037886,298,2
100000.0,0.6185317,0.1321348,298,2
100.0,0.0003627,0.0039411,323,2
200.0,0.0008074999999999998,0.0059446,323,2
500.0,0.0020565,0.0094171,323,2
1000.0,0.0039901,0.0131734,323,2
2000.0,0.0078852,0.018486,323,2
5000.0,0.020011,0.0287632,323,2
10000.0,0.0389423,0.0412019,323,2
20000.0,0.0791974,0.0582352,323,2
50000.0,0.1891713,0.08049549999999998,323,2
100000.0,0.3661737,0.1025831,323,2
100.0,0.0011184,0.0069132,273,8
200.0,0.0021516,0.0095924,273,8
500.0,0.005454,0.0153253,273,8
1000.0,0.0109253,0.0216083,273,8
2000.0,0.0216087,0.0304248,273,8
5000.0,0.0547214,0.0484381,273,8
10000.0,0.106964,0.0580721,273,8
20000.0,0.2124987,0.08140749999999998,273,8
50000.0,0.4810705,0.1208017,273,8
100000.0,0.8467907999999998,0.1354977,273,8
100.0,0.0006046,0.0050736,298,8
200.0,0.0011314,0.0069514,298,8
500.0,0.0028587,0.0111122,298,8
1000.0,0.0057764,0.015965,298,8
2000.0,0.0111541,0.021814,298,8
5000.0,0.0281941,0.0351356,298,8
10000.0,0.0558053,0.0488647,298,8
20000.0,0.1103582,0.0582603,298,8
50000.0,0.2667624,0.0905747,298,8
100000.0,0.496545,0.1152218,298,8
100.0,0.0003973,0.0041229,323,8
200.0,0.0006693,0.0054039,323,8
500.0,0.0015934,0.008299499999999998,323,8
1000.0,0.003161,0.0117345,323,8
2000.0,0.0065552,0.0170972,323,8
5000.0,0.0163879,0.0262629,323,8
10000.0,0.0319973,0.0374128,323,8
20000.0,0.0625266,0.0508465,323,8
50000.0,0.1549962,0.0797612,323,8
100000.0,0.291083,0.1075737,323,8
100.0,0.0013559,0.0076293,273,4
