Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015747,0.0113708,273,5
200.0,0.0028734,0.0154325,273,5
500.0,0.0076382,0.0251296,273,5
1000.0,0.0154379,0.0352185,273,5
2000.0,0.0312346,0.0503867,273,5
5000.0,0.07655579999999998,0.0782574,273,5
10000.0,0.1547361,0.1112699,273,5
20000.0,0.3105519,0.1451312,273,5
50000.0,0.8063249,0.2217003,273,5
100000.0,1.5671433,0.3067076,273,5
1000000.0,22.9905356,0.7015378,273,5
100.0,0.0008117,0.008237899999999998,298,5
200.0,0.0018182,0.0121209,298,5
500.0,0.004578,0.0192461,298,5
1000.0,0.0090424,0.0268711,298,5
2000.0,0.0183771,0.0384465,298,5
5000.0,0.044368,0.0610257,298,5
10000.0,0.0886711,0.0836597,298,5
20000.0,0.1792579,0.1193839,298,5
50000.0,0.4552066,0.1657235,298,5
100000.0,0.90775,0.2432959,298,5
1000000.0,11.9829242,0.9723631,298,5
100.0,0.0005844,0.0068627,323,5
200.0,0.0011526,0.0096721,323,5
500.0,0.0030439,0.0158842,323,5
1000.0,0.0057307,0.0216615,323,5
2000.0,0.0115587,0.0307725,323,5
5000.0,0.0285559,0.0482156,323,5
10000.0,0.0572174,0.0687234,323,5
20000.0,0.1141101,0.0976391,323,5
50000.0,0.2871665,0.1303437,323,5
100000.0,0.5764191,0.1900417,323,5
1000000.0,6.2878347,0.6801473,323,5
100.0,0.0012338,0.009931100000000002,273,1
200.0,0.0026624,0.0146837,273,1
500.0,0.0067778,0.0235994,273,1
1000.0,0.0134161,0.0328293,273,1
2000.0,0.0264536,0.0470294,273,1
5000.0,0.0677385,0.074228,273,1
10000.0,0.1359126,0.1050712,273,1
20000.0,0.2802751,0.1349448,273,1
50000.0,0.7044744,0.2074758,273,1
100000.0,1.4511833,0.3054838,273,1
1000000.0,24.1076996,0.6606854,273,1
100.0,0.0008117,0.0081576,298,1
200.0,0.0016397,0.0115912,298,1
500.0,0.0040159,0.018156,298,1
1000.0,0.007938499999999998,0.0254669,298,1
2000.0,0.0166319,0.0370833,298,1
5000.0,0.0409062,0.0581785,298,1
10000.0,0.07963679999999998,0.0803282,298,1
20000.0,0.1649026,0.1161731,298,1
50000.0,0.4031354,0.1641566,298,1
100000.0,0.8442100999999999,0.2317352,298,1
1000000.0,12.4270191,0.9662272,298,1
100.0,0.0006007,0.0069567,323,1
200.0,0.001039,0.0091245,323,1
500.0,0.0028734,0.0152607,323,1
1000.0,0.0051138,0.0204433,323,1
2000.0,0.0104467,0.0287826,323,1
5000.0,0.0257231,0.0455335,323,1
10000.0,0.0515111,0.065285,323,1
20000.0,0.1053274,0.093203,323,1
50000.0,0.2646984,0.1485024,323,1
100000.0,0.5332187,0.1943169,323,1
1000000.0,6.2710827,0.6822302,323,1
100.0,0.0029871,0.0156232,273,6
200.0,0.0062826,0.0227871,273,6
500.0,0.0145377,0.0342483,273,6
1000.0,0.0303011,0.0491836,273,6
2000.0,0.0596687,0.0587623,273,6
5000.0,0.144386,0.0878719,273,6
10000.0,0.2981327,0.1224137,273,6
20000.0,0.5899016,0.1799141,273,6
50000.0,1.4148292,0.2646235,273,6
100000.0,2.6516785,0.3880678,273,6
1000000.0,24.4741926,0.6266572,273,6
100.0,0.0014448,0.0109755,298,6
200.0,0.0029465,0.01544,298,6
500.0,0.0068671,0.0235316,298,6
1000.0,0.01539,0.0351997,298,6
2000.0,0.0287345,0.0477933,298,6
5000.0,0.07357329999999998,0.0765007,298,6
10000.0,0.1447521,0.0942524,298,6
20000.0,0.2912809,0.1279842,298,6
50000.0,0.7178044,0.1984874,298,6
100000.0,1.4281931,0.272577,298,6
1000000.0,14.4530071,0.9581043,298,6
100.0,0.0007143,0.007580899999999998,323,6
200.0,0.0015194,0.0111795,323,6
500.0,0.0042798,0.018536,323,6
1000.0,0.0085067,0.0262794,323,6
2000.0,0.0169728,0.0369998,323,6
5000.0,0.0417462,0.0586791,323,6
10000.0,0.08443399999999998,0.08138109999999998,323,6
20000.0,0.1654101,0.1010919,323,6
50000.0,0.4226817,0.1613578,323,6
100000.0,0.8152500999999999,0.2143556,323,6
1000000.0,7.9530294,0.7090757,323,6
100.0,0.0036365,0.0171409,273,2
200.0,0.007289099999999998,0.0243155,273,2
500.0,0.018093,0.0315488,273,2
1000.0,0.034733,0.0420835,273,2
2000.0,0.07339479999999998,0.0569484,273,2
5000.0,0.178852,0.08829099999999998,273,2
10000.0,0.3603583,0.1356597,273,2
20000.0,0.6655448,0.1685132,273,2
50000.0,1.600086,0.2674887,273,2
100000.0,2.9469237,0.3644277,273,2
1000000.0,26.2961759,0.5842948,273,2
100.0,0.0014448,0.0108548,298,2
200.0,0.0029871,0.0154536,298,2
500.0,0.0084986,0.026169,298,2
1000.0,0.0165264,0.0362778,298,2
2000.0,0.0347899,0.0444741,298,2
5000.0,0.0882815,0.0651437,298,2
10000.0,0.1720012,0.0916504,298,2
20000.0,0.3392133,0.1261499,298,2
50000.0,0.8239153999999999,0.1974102,298,2
100000.0,1.526192,0.2615818,298,2
1000000.0,16.40766,0.9394844000000001,298,2
100.0,0.0010471,0.0092312,323,2
200.0,0.0017533,0.0120214,323,2
500.0,0.0044319,0.0189006,323,2
1000.0,0.0092454,0.0271804,323,2
2000.0,0.017955,0.0383029,323,2
5000.0,0.046446,0.061368,323,2
10000.0,0.0863415,0.0695229,323,2
20000.0,0.1832457,0.0977143,323,2
50000.0,0.4466836,0.1501098,323,2
100000.0,0.8713024,0.209753,323,2
1000000.0,8.7711345,0.7258624999999999,323,2
100.0,0.0011689,0.0096701,273,8
200.0,0.0027273,0.0149388,273,8
500.0,0.0059985,0.021756,273,8
1000.0,0.0119889,0.0314253,273,8
2000.0,0.0240185,0.0443808,273,8
5000.0,0.0612597,0.0694914,273,8
10000.0,0.1247273,0.1021291,273,8
20000.0,0.2507,0.1452861,273,8
50000.0,0.6293669,0.1996054,273,8
100000.0,1.3049231,0.2862507,273,8
1000000.0,22.7697553,0.7267468,273,8
100.0,0.0007548999999999999,0.0078755,298,8
200.0,0.0014611,0.0109132,298,8
500.0,0.0036933,0.0172628,298,8
1000.0,0.0073622,0.0243882,298,8
2000.0,0.0157472,0.0359326,298,8
5000.0,0.0384618,0.0557205,298,8
10000.0,0.0759192,0.0794196,298,8
20000.0,0.150288,0.113205,298,8
50000.0,0.374913,0.1501906,298,8
100000.0,0.7797606,0.2273547,298,8
1000000.0,11.1732065,0.9929837,298,8
100.0,0.0004627,0.0061108,323,8
200.0,0.0010146,0.0090911,323,8
500.0,0.0025325,0.0142516,323,8
1000.0,0.0050164,0.0201756,323,8
2000.0,0.010122,0.0285775,323,8
5000.0,0.0250575,0.0443556,323,8
10000.0,0.0495309,0.0628347,323,8
20000.0,0.1008583,0.090124,323,8
50000.0,0.2538215,0.1450911,323,8
100000.0,0.5133331,0.2062837,323,8
1000000.0,5.8332726,0.7617138,323,8
100.0,0.0010958,0.0094374,273,4
200.0,0.0020374,0.0127493,273,4
500.0,0.0055602,0.0214463,273,4
1000.0,0.011299,0.0303739,273,4
2000.0,0.0213561,0.0420743,273,4
5000.0,0.0534754,0.0659427,273,4
10000.0,0.1073567,0.0932417,273,4
20000.0,0.2162744,0.1326837,273,4
50000.0,0.5561994,0.2001757,273,4
100000.0,1.165085,0.2868611,273,4
1000000.0,23.1788363,0.7546602,273,4
100.0,0.0007224,0.0076235,298,4
200.0,0.0013637,0.0104952,298,4
500.0,0.003112,0.0156702,298,4
1000.0,0.0065619,0.0234006,298,4
2000.0,0.013036,0.0327117,298,4
5000.0,0.0343191,0.0529195,298,4
10000.0,0.066755,0.0737566,298,4
20000.0,0.1361155,0.1066311,298,4
50000.0,0.3439308,0.1653713,298,4
100000.0,0.6981349,0.2140537,298,4
1000000.0,11.3569256,1.0612668,298,4
100.0,0.0005357,0.0066721,323,4
200.0,0.00069,0.0074517,323,4
500.0,0.0022971,0.0136065,323,4
1000.0,0.0044888,0.0191126,323,4
2000.0,0.0093103,0.0272067,323,4
5000.0,0.0232879,0.0434237,323,4
10000.0,0.0450661,0.0604248,323,4
20000.0,0.0913011,0.0860728,323,4
50000.0,0.2329281,0.1382624,323,4
100000.0,0.4671712,0.1955557,323,4
1000000.0,5.5815696,0.7785259,323,4
100.0,0.0022728,0.0136348,273,7
200.0,0.0045293,0.019189,273,7
500.0,0.0120701,0.0315616,273,7
1000.0,0.0230363,0.0437463,273,7
2000.0,0.0464054,0.0608868,273,7
5000.0,0.1173245,0.0967815,273,7
10000.0,0.2375519,0.1225585,273,7
20000.0,0.4679246,0.1736857,273,7
50000.0,1.1683984,0.2558378,273,7
100000.0,2.2190976,0.3649808,273,7
1000000.0,24.3941039,0.6250849,273,7
100.0,0.0010552,0.0091946,298,7
200.0,0.0024676,0.013983,298,7
500.0,0.0063557,0.0226071,298,7
1000.0,0.0129062,0.0322565,298,7
2000.0,0.0257718,0.0461529,298,7
5000.0,0.0648069,0.07269929999999998,298,7
10000.0,0.126302,0.1000368,298,7
20000.0,0.2519221,0.1296899,298,7
50000.0,0.6232173,0.2017178,298,7
100000.0,1.2515989,0.2779292,298,7
1000000.0,14.1535637,0.9550837,298,7
100.0,0.0007143,0.0076673,323,7
200.0,0.0014699,0.0109449,323,7
500.0,0.0033929,0.0165264,323,7
1000.0,0.0074758,0.0245959,323,7
2000.0,0.0160637,0.0361858,323,7
5000.0,0.0375334,0.0552193,323,7
10000.0,0.0745311,0.07771699999999998,323,7
20000.0,0.1503773,0.1094356,323,7
50000.0,0.3789708,0.157321,323,7
100000.0,0.744727,0.2186987,323,7
1000000.0,7.4525163,0.6815821,323,7
100.0,0.0018913,0.0122987,273,3
200.0,0.0038719,0.0178622,273,3
500.0,0.009708,0.0278708,273,3
1000.0,0.0188317,0.0393303,273,3
2000.0,0.0374141,0.0557181,273,3
5000.0,0.0949943,0.08797589999999998,273,3
10000.0,0.1869935,0.105504,273,3
20000.0,0.3785812,0.1496233,273,3
50000.0,0.9608040000000002,0.2448195,273,3
100000.0,1.9075046,0.343174,273,3
1000000.0,25.1058431,0.5848124,273,3
100.0,0.0009659,0.008801899999999998,298,3
200.0,0.0020303,0.0127795,298,3
500.0,0.0057225,0.0218604,298,3
1000.0,0.0101545,0.0287728,298,3
2000.0,0.0207148,0.0412196,298,3
5000.0,0.0536377,0.0657406,298,3
10000.0,0.1035173,0.092745,298,3
20000.0,0.2059712,0.1125424,298,3
50000.0,0.5270509,0.1781921,298,3
100000.0,1.0823088,0.2603161,298,3
1000000.0,14.6621314,1.0359638,298,3
100.0,0.00069,0.007539599999999999,323,3
200.0,0.0012581,0.0100926,323,3
500.0,0.0033199,0.0164413,323,3
1000.0,0.0064774,0.0229632,323,3
2000.0,0.0132309,0.0329749,323,3
5000.0,0.0326551,0.0511992,323,3
10000.0,0.0664303,0.07407579999999998,323,3
20000.0,0.1309368,0.1040321,323,3
50000.0,0.3282245,0.1448879,323,3
100000.0,0.6630204,0.1985871,323,3
1000000.0,7.3365009,0.7246523999999999,323,3
