Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000276,0.004725,273,5
200.0,0.0006007,0.0069567,273,5
500.0,0.0013562,0.0104042,273,5
1000.0,0.0028653,0.0150668,273,5
2000.0,0.0054628,0.0209431,273,5
5000.0,0.014002,0.0335211,273,5
10000.0,0.0277036,0.0475397,273,5
20000.0,0.056304,0.0667842,273,5
50000.0,0.1416189,0.1078175,273,5
100000.0,0.2830106,0.1497735,273,5
100.0,0.0001867,0.0038883,298,5
200.0,0.0004789,0.0062164,298,5
500.0,0.0010557,0.0092682,298,5
1000.0,0.0018029,0.0120171,298,5
2000.0,0.0040585,0.0182409,298,5
5000.0,0.0106009,0.0290569,298,5
10000.0,0.0208122,0.0411384,298,5
20000.0,0.0418193,0.0589576,298,5
50000.0,0.1043128,0.0923002,298,5
100000.0,0.2095428,0.1278219,298,5
100.0,0.0001948,0.0039718,323,5
200.0,0.0003003,0.0049283,323,5
500.0,0.0007065,0.0076269,323,5
1000.0,0.0015991,0.0113963,323,5
2000.0,0.003117,0.0158907,323,5
5000.0,0.008100899999999998,0.0254933,323,5
10000.0,0.015942,0.03592,323,5
20000.0,0.0324684,0.0507821,323,5
50000.0,0.08025369999999998,0.08032939999999998,323,5
100000.0,0.1606697,0.1136502,323,5
100.0,0.0002435,0.0044392,273,1
200.0,0.0006169,0.0070494,273,1
500.0,0.0014205,0.0107666,273,1
1000.0,0.0027517,0.0150003,273,1
2000.0,0.0051544,0.0201572,273,1
5000.0,0.0136286,0.0327421,273,1
10000.0,0.0270705,0.0465498,273,1
20000.0,0.0554641,0.0668565,273,1
50000.0,0.137325,0.1049654,273,1
100000.0,0.2762815,0.1502063,273,1
100.0,0.0002354,0.0043648,298,1
200.0,0.0003572,0.0053724,298,1
500.0,0.0009172,0.0086561,298,1
1000.0,0.0019806,0.0126805,298,1
2000.0,0.0040585,0.0179496,298,1
5000.0,0.0104223,0.0293468,298,1
10000.0,0.0209177,0.0410448,298,1
20000.0,0.0414865,0.0579947,298,1
50000.0,0.102738,0.0926808,298,1
100000.0,0.2013039,0.1262932,298,1
100.0,0.0001136,0.003035,323,1
200.0,0.0003409,0.0052494,323,1
500.0,0.0008361,0.0081954,323,1
1000.0,0.0016965,0.0116681,323,1
2000.0,0.003117,0.0159321,323,1
5000.0,0.007808599999999998,0.0250903,323,1
10000.0,0.0159338,0.0357121,323,1
20000.0,0.0319083,0.0507933,323,1
50000.0,0.0796124,0.0792501,323,1
100000.0,0.158533,0.1142894,323,1
100.0,0.0002841,0.0047937,273,6
200.0,0.0006737,0.0073643,273,6
500.0,0.001388,0.0107095,273,6
1000.0,0.0027937,0.0151495,273,6
2000.0,0.0057956,0.0217959,273,6
5000.0,0.0147163,0.0348213,273,6
10000.0,0.0299845,0.0494639,273,6
20000.0,0.0597743,0.0693389,273,6
50000.0,0.1498172,0.110228,273,6
100000.0,0.2969395,0.1519431,273,6
100.0,0.0002354,0.0043648,298,6
200.0,0.0004059,0.0057253,298,6
500.0,0.0011445,0.0095703,298,6
1000.0,0.0021754,0.0132589,298,6
2000.0,0.0041641,0.0184507,298,6
5000.0,0.0113152,0.0305409,298,6
10000.0,0.0222408,0.0422498,298,6
20000.0,0.0449281,0.060696,298,6
50000.0,0.1084281,0.093577,298,6
100000.0,0.2160202,0.13044,298,6
100.0,0.0001705,0.0037158,323,6
200.0,0.0003734,0.0054926,323,6
500.0,0.0008361,0.0081954,323,6
1000.0,0.001526,0.0112023,323,6
2000.0,0.0033442,0.0165761,323,6
5000.0,0.007832999999999998,0.0249642,323,6
10000.0,0.0171758,0.0371994,323,6
20000.0,0.0321924,0.0508928,323,6
50000.0,0.08332199999999998,0.08173709999999998,323,6
100000.0,0.1642818,0.1160866,323,6
100.0,0.0002192,0.0042121,273,2
200.0,0.0005601,0.0067193,273,2
500.0,0.0012913,0.0102208,273,2
1000.0,0.003052,0.0155684,273,2
2000.0,0.0054953,0.0211538,273,2
5000.0,0.0145134,0.0345745,273,2
10000.0,0.0285722,0.0479318,273,2
20000.0,0.0572904,0.067905,273,2
50000.0,0.1410832,0.1066683,273,2
100000.0,0.2873126,0.1508214,273,2
100.0,0.0003247,0.0051234,298,2
200.0,0.0003653,0.0054328,298,2
500.0,0.0013556,0.0104016,298,2
1000.0,0.0021835,0.0132327,298,2
2000.0,0.0042777,0.0187086,298,2
5000.0,0.0105035,0.0291375,298,2
10000.0,0.0215184,0.0419444,298,2
20000.0,0.0429962,0.0593558,298,2
50000.0,0.1052706,0.0926114,298,2
100000.0,0.2126029,0.1320118,298,2
100.0,0.0001542,0.0035348,323,2
200.0,0.000349,0.0053113,323,2
500.0,0.0009416,0.008767,323,2
1000.0,0.001673,0.0116462,323,2
2000.0,0.0031494,0.0157175,323,2
5000.0,0.0079304,0.0250389,323,2
10000.0,0.0166157,0.0370194,323,2
20000.0,0.0333856,0.0523242,323,2
50000.0,0.0810329,0.08133709999999998,323,2
100000.0,0.1631049,0.1166523,323,2
100.0,0.0003977,0.005668,273,8
200.0,0.000625,0.0070952,273,8
500.0,0.0015504,0.0111695,273,8
1000.0,0.0028816,0.0154096,273,8
2000.0,0.0054628,0.0209117,273,8
5000.0,0.0143591,0.0344002,273,8
10000.0,0.0283692,0.0487803,273,8
20000.0,0.0552449,0.0674346,273,8
50000.0,0.1401416,0.1083532,273,8
100000.0,0.2760948,0.1484802,273,8
100.0,0.0001786,0.0038031,298,8
200.0,0.0004059,0.0057253,298,8
500.0,0.0011364,0.009674,298,8
1000.0,0.0020536,0.0127982,298,8
2000.0,0.0039368,0.017995,298,8
5000.0,0.0103574,0.0289859,298,8
