Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0094421,0.0129423,273,5
200.0,0.0182801,0.0181814,273,5
500.0,0.0425958,0.026645,273,5
1000.0,0.0836308,0.0388039,273,5
2000.0,0.1756875,0.0549895,273,5
5000.0,0.4084617,0.0921018,273,5
10000.0,0.7265392,0.08824329999999998,273,5
20000.0,1.0897472,0.1188643,273,5
50000.0,1.6957147,0.1011369,273,5
100000.0,2.0300389,0.07804619999999998,273,5
1000000.0,2.4090866,0.0368083,273,5
100.0,0.0028777,0.0086484,298,5
200.0,0.0057892,0.0104054,298,5
500.0,0.0138365,0.0156146,298,5
1000.0,0.0259126,0.0208913,298,5
2000.0,0.0550909,0.0300176,298,5
5000.0,0.1372654,0.0498841,298,5
10000.0,0.2544806,0.0607736,298,5
20000.0,0.4516644,0.07559939999999998,298,5
50000.0,0.9124976,0.0960901,298,5
100000.0,1.3326526,0.1147885,298,5
1000000.0,2.3093389,0.0578477,298,5
100.0,0.0010802,0.0042964,323,5
200.0,0.0019271,0.0057445,323,5
500.0,0.0049933,0.0077697,323,5
1000.0,0.0098258,0.0109985,323,5
2000.0,0.0183622,0.0149057,323,5
5000.0,0.0480419,0.0244154,323,5
10000.0,0.0996018,0.0355931,323,5
20000.0,0.1868148,0.0433215,323,5
50000.0,0.4103021,0.0666401,323,5
100000.0,0.7036803,0.0706742,323,5
1000000.0,1.9580076,0.0598298,323,5
100.0,0.0955084,0.0403693,273,1
200.0,0.1854018,0.0528298,273,1
500.0,0.4308431,0.0882021,273,1
1000.0,0.7171646,0.1001285,273,1
2000.0,1.0914251,0.1050523,273,1
5000.0,1.6205861,0.09611960000000001,273,1
10000.0,1.9966016,0.0751557,273,1
20000.0,2.2194838,0.0649012,273,1
50000.0,2.3724125,0.0446625,273,1
100000.0,2.4342227,0.0350401,273,1
1000000.0,2.5244958,0.033918,273,1
100.0,0.022926,0.0210977,298,1
200.0,0.044233,0.0278385,298,1
500.0,0.1125994,0.0469138,298,1
1000.0,0.2047423,0.0586397,298,1
2000.0,0.3941626,0.0764054,298,1
5000.0,0.761216,0.097457,298,1
10000.0,1.206917,0.1092854,298,1
20000.0,1.5893125,0.0929024,298,1
