Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0826249,0.0516674,273,5
200.0,0.1680729,0.0738999,273,5
500.0,0.3861696,0.1045678,273,5
1000.0,0.7157957,0.1377852,273,5
2000.0,1.2623181,0.1793907,273,5
5000.0,2.4002042,0.2195817,273,5
10000.0,3.5493361,0.2162078,273,5
20000.0,4.5260179,0.2064084,273,5
50000.0,5.6948925,0.1758819,273,5
100000.0,6.3132171,0.1398103,273,5
1000000.0,7.6819258,0.1015361,273,5
100.0,0.0272196,0.0344166,298,5
200.0,0.0557833,0.0498246,298,5
500.0,0.1357273,0.0680521,298,5
1000.0,0.2578218,0.0920986,298,5
2000.0,0.5000727,0.1275651,298,5
5000.0,1.0702855,0.1695691,298,5
10000.0,1.80004,0.2015252,298,5
20000.0,2.8000063,0.2140971,298,5
50000.0,4.1553867,0.2106307,298,5
100000.0,5.1031677,0.1952167,298,5
1000000.0,6.9990302,0.1472241,298,5
100.0,0.010587,0.0214231,323,5
200.0,0.0215179,0.0305128,323,5
500.0,0.0549367,0.0491847,323,5
1000.0,0.105292,0.0580733,323,5
2000.0,0.2070035,0.08311219999999998,323,5
5000.0,0.4823659,0.1218076,323,5
10000.0,0.8744009,0.1448291,323,5
20000.0,1.4982148,0.1913199,323,5
50000.0,2.6826386,0.2129476,323,5
100000.0,3.681618,0.2061583,323,5
1000000.0,6.3300475,0.1665941,323,5
100.0,0.147171,0.0710752,273,1
200.0,0.2899222,0.093934,273,1
500.0,0.6517352,0.1364953,273,1
1000.0,1.158837,0.1697637,273,1
2000.0,1.9679219,0.2065431,273,1
5000.0,3.3260816,0.2300364,273,1
10000.0,4.4644287,0.2197659,273,1
20000.0,5.3809567,0.1767677,273,1
50000.0,6.2705661,0.1652049,273,1
100000.0,6.814982,0.1463025,273,1
1000000.0,7.9659598,0.1393908,273,1
100.0,0.0460086,0.044916,298,1
200.0,0.0933425,0.0550236,298,1
500.0,0.2251526,0.0860066,298,1
1000.0,0.4355293,0.1194223,298,1
2000.0,0.7889292,0.1434716,298,1
5000.0,1.6308934,0.1907789,298,1
10000.0,2.5461019,0.2169395,298,1
20000.0,3.5877507,0.2137421,298,1
50000.0,4.9193898,0.2011389,298,1
100000.0,5.743211,0.1890998,298,1
1000000.0,7.419450399999999,0.1236833,298,1
100.0,0.0178845,0.0280851,323,1
200.0,0.0355442,0.0390749,323,1
500.0,0.0857792,0.061257,323,1
1000.0,0.1749031,0.07958419999999998,323,1
2000.0,0.3337692,0.1039326,323,1
5000.0,0.7426951,0.1439686,323,1
10000.0,1.2960579,0.1856858,323,1
20000.0,2.0833713,0.2097913,323,1
50000.0,3.4263901,0.2190235,323,1
100000.0,4.4379567,0.2055346,323,1
1000000.0,6.7417524,0.1486438,323,1
100.0,0.1229119,0.0641426,273,6
200.0,0.2350457,0.0833495,273,6
500.0,0.5382199,0.1165428,273,6
1000.0,0.8956066999999999,0.1390911,273,6
2000.0,1.4679357,0.1785378,273,6
5000.0,2.5364295,0.2157546,273,6
10000.0,3.6479845,0.2308158,273,6
20000.0,4.6950703,0.2180581,273,6
50000.0,5.9568932,0.1793267,273,6
100000.0,6.5146889,0.1372912,273,6
1000000.0,7.6819419,0.0873233,273,6
100.0,0.0382515,0.0404883,298,6
200.0,0.0748583,0.0479564,298,6
500.0,0.1871833,0.07669199999999998,298,6
1000.0,0.3562792,0.1025068,298,6
2000.0,0.6257015,0.1248154,298,6
5000.0,1.240831,0.1746695,298,6
10000.0,1.9605703,0.1898064,298,6
20000.0,2.8442768,0.2224438,298,6
50000.0,4.3276963,0.2299748,298,6
100000.0,5.2603321,0.1926419,298,6
1000000.0,7.2251306,0.1296471,298,6
100.0,0.0145025,0.0252888,323,6
200.0,0.0291064,0.035718,323,6
500.0,0.0717629,0.0552732,323,6
1000.0,0.1396544,0.0705358,323,6
2000.0,0.272924,0.09110720000000001,323,6
5000.0,0.6001541,0.1282056,323,6
10000.0,1.0215366,0.1614129,323,6
20000.0,1.6527971,0.187481,323,6
50000.0,2.8160872,0.2251229,323,6
100000.0,3.8550923,0.208124,323,6
1000000.0,6.4669199,0.1508524,323,6
100.0,0.2104863,0.0801884,273,2
200.0,0.3843274,0.1027775,273,2
500.0,0.8281243,0.1477379,273,2
1000.0,1.3457248,0.1758561,273,2
2000.0,2.1336973,0.2064008,273,2
5000.0,3.4926969,0.2320738,273,2
10000.0,4.6198776,0.2159937,273,2
20000.0,5.559389,0.1950682,273,2
50000.0,6.5230246,0.1402461,273,2
100000.0,7.0065681,0.1209163,273,2
1000000.0,7.9891496,0.1163208,273,2
100.0,0.0642581,0.0528056,298,2
200.0,0.1278946,0.0665525,298,2
500.0,0.2985419,0.0918496,298,2
1000.0,0.5505175,0.125934,298,2
2000.0,0.9341435,0.1559767,298,2
5000.0,1.7668128,0.2016419,298,2
10000.0,2.6869245,0.208023,298,2
20000.0,3.7323826,0.2122126,298,2
50000.0,5.0806372,0.1986588,298,2
100000.0,5.8908429,0.18884,298,2
1000000.0,7.562128,0.1209001,298,2
100.0,0.0230435,0.0319762,323,2
200.0,0.0456681,0.0443583,323,2
500.0,0.1162317,0.0618904,323,2
1000.0,0.2223658,0.08455849999999998,323,2
2000.0,0.4224638,0.1117857,323,2
5000.0,0.8739688,0.1431205,323,2
10000.0,1.4327757,0.1761955,323,2
20000.0,2.2587926,0.2108643,323,2
50000.0,3.5765701,0.2251157,323,2
100000.0,4.6104665,0.2028304,323,2
1000000.0,6.8761194,0.1449962,323,2
100.0,0.0946212,0.0546474,273,8
200.0,0.18717,0.0779529,273,8
500.0,0.4243206,0.112795,273,8
1000.0,0.7628079,0.1416571,273,8
2000.0,1.2746248,0.1722713,273,8
5000.0,2.3171929,0.1964326,273,8
10000.0,3.3913818,0.2157974,273,8
20000.0,4.4388188,0.2146301,273,8
50000.0,5.6387137,0.1779654,273,8
100000.0,6.312222,0.1576523,273,8
1000000.0,7.6890187,0.1051974,273,8
100.0,0.031805,0.0373689,298,8
200.0,0.061026,0.050797,298,8
500.0,0.1476695,0.0693407,298,8
1000.0,0.2811475,0.0925655,298,8
2000.0,0.5293128,0.1258838,298,8
5000.0,1.0873094,0.1633053,298,8
10000.0,1.7589848,0.1906949,298,8
20000.0,2.7051226,0.2129148,298,8
50000.0,4.0708729,0.2112937,298,8
100000.0,5.0514948,0.2014424,298,8
1000000.0,7.0516359,0.1291947,298,8
100.0,0.0118304,0.0227123,323,8
200.0,0.0233345,0.0318439,323,8
500.0,0.059571,0.0508593,323,8
1000.0,0.115438,0.0695857,323,8
2000.0,0.2249012,0.0958128,323,8
5000.0,0.5230161,0.1391903,323,8
10000.0,0.9005227,0.1634393,323,8
20000.0,1.4969779,0.2128145,323,8
50000.0,2.629567,0.256662,323,8
100000.0,3.6255825,0.2626086,323,8
1000000.0,6.3494952,0.2062632,323,8
100.0,0.1658286,0.0715524,273,4
200.0,0.3183549,0.0963823,273,4
500.0,0.692412,0.1369274,273,4
1000.0,1.1500888,0.1615816,273,4
2000.0,1.8786853,0.2017751,273,4
5000.0,3.1862337,0.2190908,273,4
10000.0,4.2928452,0.2179961,273,4
20000.0,5.3221081,0.1990277,273,4
50000.0,6.2837981,0.1565873,273,4
100000.0,6.8586258,0.13537,273,4
1000000.0,8.029343499999998,0.1199119,273,4
100.0,0.0510202,0.0474439,298,4
200.0,0.1040221,0.0583308,298,4
500.0,0.244867,0.0911472,298,4
1000.0,0.4706369,0.1162237,298,4
2000.0,0.8282161,0.1452035,298,4
5000.0,1.5762796,0.1943163,298,4
10000.0,2.4842878,0.22299,298,4
20000.0,3.5190073,0.2134707,298,4
50000.0,4.8204703,0.2113341,298,4
100000.0,5.7100752,0.1822503,298,4
1000000.0,7.4041428,0.1237889,298,4
100.0,0.0191015,0.0285672,323,4
200.0,0.0386263,0.040658,323,4
500.0,0.0972095,0.0646956,323,4
1000.0,0.1826372,0.0880339,323,4
2000.0,0.3608518,0.1182603,323,4
5000.0,0.7913719999999999,0.1625736,323,4
10000.0,1.3092752,0.2116134,323,4
20000.0,2.0754044,0.2446006,323,4
50000.0,3.3549597,0.2512601,323,4
100000.0,4.3598556,0.2541235,323,4
