Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004733,0.0032709,273,5
200.0,0.0010326,0.0048843,273,5
500.0,0.0024548,0.0073885,273,5
1000.0,0.0048982,0.0106148,273,5
2000.0,0.0099595,0.0148803,273,5
5000.0,0.0243303,0.0236346,273,5
10000.0,0.0494238,0.0333496,273,5
20000.0,0.0966237,0.0409415,273,5
50000.0,0.23646,0.0611509,273,5
100000.0,0.4499627,0.08723899999999998,273,5
100.0,0.0002717,0.0024658,298,5
200.0,0.0005458,0.0035169,298,5
500.0,0.0014652,0.0057161,298,5
1000.0,0.0029371,0.0081422,298,5
2000.0,0.0057089,0.0112988,298,5
5000.0,0.0141809,0.0178579,298,5
10000.0,0.028137,0.025291,298,5
20000.0,0.057746,0.03665,298,5
50000.0,0.1381476,0.050048,298,5
100000.0,0.272912,0.0671809,298,5
100.0,0.0002004,0.0015185,323,5
200.0,0.0003874,0.0021137,323,5
500.0,0.0009285,0.0032557,323,5
1000.0,0.0018227,0.004516,323,5
2000.0,0.0034693,0.0063257,323,5
5000.0,0.0092031,0.0101499,323,5
10000.0,0.0179634,0.0142657,323,5
20000.0,0.0358874,0.0201716,323,5
50000.0,0.0900339,0.027676,323,5
100000.0,0.1725876,0.0375106,323,5
100.0,0.0005865,0.0036112,273,1
200.0,0.0012484,0.0052958,273,1
500.0,0.0031244,0.008398499999999998,273,1
1000.0,0.0064177,0.0120018,273,1
2000.0,0.0126181,0.016842,273,1
5000.0,0.0309813,0.0263623,273,1
10000.0,0.0633621,0.0325638,273,1
20000.0,0.1257685,0.0456334,273,1
50000.0,0.2986871,0.0697864,273,1
100000.0,0.5494902,0.0947559,273,1
100.0,0.000385,0.0029449,298,1
200.0,0.0006997,0.0039578,298,1
500.0,0.0017867,0.0063438,298,1
1000.0,0.0036188,0.0090373,298,1
2000.0,0.0072003,0.0126147,298,1
5000.0,0.0173464,0.0198564,298,1
10000.0,0.0347178,0.0276822,298,1
20000.0,0.0682399,0.0333698,298,1
50000.0,0.1701128,0.0524064,298,1
100000.0,0.332336,0.0722044,298,1
100.0,0.000214,0.0015584,323,1
200.0,0.0004529,0.0022532,323,1
500.0,0.0010768,0.0034762,323,1
1000.0,0.0021195,0.0048538,323,1
2000.0,0.0042415,0.0069584,323,1
5000.0,0.0107407,0.0110903,323,1
10000.0,0.0216174,0.0156555,323,1
20000.0,0.0435982,0.0191388,323,1
50000.0,0.1074845,0.0298189,323,1
100000.0,0.2049399,0.0391732,323,1
100.0,0.0004574,0.0032496,273,6
200.0,0.0010168,0.0047976,273,6
500.0,0.002371,0.0072937,273,6
1000.0,0.004708,0.0102701,273,6
2000.0,0.0095156,0.01468,273,6
5000.0,0.0237144,0.0231402,273,6
10000.0,0.0474355,0.0328346,273,6
20000.0,0.0934783,0.0408058,273,6
50000.0,0.2252631,0.0618149,273,6
100000.0,0.4355118,0.0814025,273,6
100.0,0.0003216,0.0026793,298,6
200.0,0.0005593,0.0035727,298,6
500.0,0.0012704,0.0053758,298,6
1000.0,0.0027243,0.0077733,298,6
2000.0,0.0054938,0.0112077,298,6
5000.0,0.0138002,0.0174771,298,6
10000.0,0.0274645,0.0247791,298,6
20000.0,0.0541884,0.03485,298,6
50000.0,0.1362624,0.0506677,298,6
100000.0,0.2649566,0.0679458,298,6
100.0,0.000163,0.0019146,323,6
200.0,0.0003034,0.0026038,323,6
500.0,0.0009421,0.0046226,323,6
1000.0,0.0017754,0.0063348,323,6
2000.0,0.0037252,0.0092331,323,6
5000.0,0.008476199999999998,0.0139302,323,6
10000.0,0.0175454,0.0200127,323,6
20000.0,0.035302,0.028327,323,6
50000.0,0.08732779999999998,0.0383224,323,6
100000.0,0.1719062,0.0531322,323,6
100.0,0.0006567,0.0038135,273,2
200.0,0.0011979,0.0051888,273,2
500.0,0.0028896,0.0081056,273,2
1000.0,0.0060101,0.0116699,273,2
2000.0,0.0118504,0.0163433,273,2
5000.0,0.0306728,0.0260902,273,2
10000.0,0.0617021,0.0325367,273,2
20000.0,0.1220433,0.0476255,273,2
50000.0,0.2942076,0.0710427,273,2
100000.0,0.5389896,0.0900787,273,2
100.0,0.0003691,0.0028854,298,2
200.0,0.0006794,0.0039027,298,2
500.0,0.0016871,0.0062326,298,2
1000.0,0.0035395,0.0088599,298,2
2000.0,0.0071379,0.0127027,298,2
5000.0,0.0173691,0.0197771,298,2
10000.0,0.0338233,0.0275751,298,2
20000.0,0.068369,0.0339522,298,2
50000.0,0.1688606,0.0544179,298,2
100000.0,0.3225333,0.0751972,298,2
100.0,0.0002242,0.002242,323,2
200.0,0.000401,0.0029867,323,2
500.0,0.0010508,0.0048805,323,2
1000.0,0.0021003,0.0068668,323,2
2000.0,0.0039879,0.0094323,323,2
5000.0,0.0109536,0.0157697,323,2
10000.0,0.0212777,0.022018,323,2
20000.0,0.0423471,0.030484,323,2
50000.0,0.1051339,0.0426004,323,2
100000.0,0.204054,0.0583248,323,2
100.0,0.0004337,0.0022197,273,8
200.0,0.0009097,0.0032043,273,8
500.0,0.0022453,0.005071,273,8
1000.0,0.0044113,0.0070965,273,8
2000.0,0.0090548,0.0101601,273,8
5000.0,0.0223069,0.0156795,273,8
10000.0,0.0439277,0.0194959,273,8
20000.0,0.0876252,0.0273167,273,8
50000.0,0.2132198,0.04057,273,8
100000.0,0.4012566,0.059036,273,8
100.0,0.0002502,0.0016722,298,8
200.0,0.0005506,0.0024977,298,8
500.0,0.00131,0.0038115,298,8
1000.0,0.0026903,0.0055255,298,8
2000.0,0.0051722,0.0076101,298,8
5000.0,0.0131627,0.0121491,298,8
10000.0,0.0262608,0.0170013,298,8
20000.0,0.0514234,0.0210864,298,8
50000.0,0.128301,0.0340364,298,8
100000.0,0.2428277,0.0445491,298,8
100.0,0.0001766,0.0014122,323,8
200.0,0.0003125,0.0018892,323,8
500.0,0.0008243,0.0030739,323,8
1000.0,0.0016361,0.004282,323,8
2000.0,0.0032983,0.0060026,323,8
5000.0,0.0082962,0.0096426,323,8
10000.0,0.0169365,0.0140173,323,8
20000.0,0.0330273,0.0191692,323,8
50000.0,0.0813244,0.0298223,323,8
100000.0,0.1640563,0.0420439,323,8
100.0,0.0006092,0.002624,273,4
200.0,0.0012296,0.0037314,273,4
500.0,0.0028714,0.0056669,273,4
1000.0,0.005804,0.008114899999999998,273,4
2000.0,0.0115752,0.0114813,273,4
5000.0,0.0291685,0.0181729,273,4
10000.0,0.0583612,0.0231743,273,4
20000.0,0.1134799,0.0316933,273,4
50000.0,0.2736836,0.0456383,273,4
100000.0,0.5163339,0.0646734,273,4
100.0,0.0003399,0.0019844,298,4
200.0,0.0006737,0.002791,298,4
500.0,0.0016531,0.004277,298,4
1000.0,0.0033515,0.0060931,298,4
2000.0,0.0064087,0.0085007,298,4
5000.0,0.0166388,0.0134891,298,4
10000.0,0.0326967,0.0192563,298,4
20000.0,0.0664634,0.0241722,298,4
50000.0,0.1613176,0.0378636,298,4
100000.0,0.3005173,0.0503694,298,4
100.0,0.0002163,0.0015498,323,4
200.0,0.0003725,0.0020636,323,4
500.0,0.0009613,0.0032873,323,4
1000.0,0.0020404,0.0048135,323,4
2000.0,0.0040705,0.006724,323,4
5000.0,0.0099617,0.0104719,323,4
10000.0,0.0205938,0.0154545,323,4
20000.0,0.0405115,0.0212197,323,4
50000.0,0.0998055,0.0334918,323,4
100000.0,0.1937774,0.0449232,323,4
100.0,0.000548,0.0024976,273,7
200.0,0.0011153,0.0035698,273,7
500.0,0.0027854,0.0056555,273,7
1000.0,0.0057451,0.0080171,273,7
2000.0,0.0113341,0.0113972,273,7
5000.0,0.0280113,0.0176661,273,7
10000.0,0.0561076,0.0229255,273,7
20000.0,0.1096528,0.0299681,273,7
50000.0,0.262734,0.0461607,273,7
100000.0,0.5041358,0.0644022,273,7
100.0,0.000274,0.0017546,298,7
200.0,0.0006137,0.0026569,298,7
500.0,0.001558,0.0042406,298,7
1000.0,0.0031975,0.0060495,298,7
2000.0,0.006369,0.0084147,298,7
5000.0,0.0159458,0.0132693,298,7
10000.0,0.0319709,0.0163389,298,7
20000.0,0.062805,0.0236854,298,7
50000.0,0.1544956,0.0345183,298,7
100000.0,0.2921335,0.0484962,298,7
100.0,0.000197,0.0014805,323,7
200.0,0.0003602,0.0020001,323,7
500.0,0.0010043,0.0033403,323,7
1000.0,0.0019464,0.0046568,323,7
2000.0,0.0039097,0.0066724,323,7
5000.0,0.0098927,0.0104264,323,7
10000.0,0.0196631,0.0149641,323,7
20000.0,0.0387985,0.018346,323,7
50000.0,0.0978387,0.027866,323,7
100000.0,0.1888717,0.0371071,323,7
100.0,0.0006975,0.0028285,273,3
200.0,0.0014255,0.0040549,273,3
500.0,0.0035214,0.0064279,273,3
1000.0,0.006975,0.0088529,273,3
2000.0,0.013987,0.0124485,273,3
5000.0,0.0346675,0.0169856,273,3
10000.0,0.0694152,0.0237221,273,3
20000.0,0.1373886,0.0346546,273,3
50000.0,0.3208568,0.0499445,273,3
100000.0,0.6083043,0.0699749,273,3
100.0,0.000385,0.0020892,298,3
200.0,0.0007337,0.0028956,298,3
500.0,0.0019135,0.0047073,298,3
1000.0,0.0036935,0.0065515,298,3
2000.0,0.0075636,0.0092568,298,3
5000.0,0.0191717,0.0147234,298,3
10000.0,0.037793,0.018193,298,3
20000.0,0.07493279999999998,0.0251863,298,3
50000.0,0.1882271,0.0403128,298,3
100000.0,0.3503298,0.053933,298,3
100.0,0.0002129,0.0015626,323,3
200.0,0.0004835,0.0023226,323,3
500.0,0.0011674,0.003621,323,3
1000.0,0.0023529,0.0051592,323,3
2000.0,0.0045619,0.0071627,323,3
5000.0,0.0115956,0.0114529,323,3
10000.0,0.0232734,0.0161394,323,3
20000.0,0.0451834,0.019704,323,3
50000.0,0.1145268,0.0315087,323,3
100000.0,0.2178337,0.0411732,323,3
