Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002622,0.0035239,273,5
200.0,0.0005705,0.005091,273,5
500.0,0.0015503,0.0083779,273,5
1000.0,0.0030731,0.0121139,273,5
2000.0,0.0059806,0.0167206,273,5
5000.0,0.0146671,0.0256582,273,5
10000.0,0.0297464,0.0368641,273,5
20000.0,0.0598195,0.0521074,273,5
50000.0,0.1464182,0.070284,273,5
100000.0,0.2826418,0.098614,273,5
100.0,0.000161,0.0027169,298,5
200.0,0.0003772,0.0041488,298,5
500.0,0.0008051,0.0060673,298,5
1000.0,0.0020012,0.0095183,298,5
2000.0,0.0034411,0.0127329,298,5
5000.0,0.0089893,0.0203056,298,5
10000.0,0.0182867,0.0284668,298,5
20000.0,0.0375948,0.0412448,298,5
50000.0,0.09205940000000001,0.0648825,298,5
100000.0,0.1773792,0.076785,298,5
100.0,0.0001288,0.0024309,323,5
200.0,0.0002622,0.0034633,323,5
500.0,0.0005705,0.005091,323,5
1000.0,0.0013026,0.0077954,323,5
2000.0,0.0024796,0.0107492,323,5
5000.0,0.006045,0.0165701,323,5
10000.0,0.0123798,0.023793,323,5
20000.0,0.0238579,0.0329262,323,5
50000.0,0.0592859,0.0517862,323,5
100000.0,0.119133,0.0734656,323,5
100.0,0.000322,0.0038355,273,1
200.0,0.0007360999999999998,0.0058453,273,1
500.0,0.0017712,0.0091337,273,1
1000.0,0.0036251,0.0131246,273,1
2000.0,0.0073147,0.0183856,273,1
5000.0,0.0179279,0.0286055,273,1
10000.0,0.0353268,0.0400537,273,1
20000.0,0.0712562,0.0561519,273,1
50000.0,0.1724659,0.07577749999999998,273,1
100000.0,0.3343646,0.102767,273,1
100.0,0.0001886,0.0029397,298,1
200.0,0.0004738,0.0047351,298,1
500.0,0.0010397,0.006899,298,1
1000.0,0.002153,0.0098679,298,1
2000.0,0.0043106,0.0140686,298,1
5000.0,0.0107052,0.022204,298,1
10000.0,0.0215025,0.0312267,298,1
20000.0,0.0429635,0.0443682,298,1
50000.0,0.1072915,0.0691972,298,1
100000.0,0.2076317,0.0860832,298,1
100.0,0.0001104,0.002251,323,1
200.0,0.0002852,0.0036111,323,1
500.0,0.0007039,0.0056841,323,1
1000.0,0.0015181,0.0083204,323,1
2000.0,0.0027432,0.0112946,323,1
5000.0,0.007415899999999999,0.0184715,323,1
10000.0,0.0138565,0.0249308,323,1
20000.0,0.0285917,0.0361373,323,1
