Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004602,0.0037937,273,5
200.0,0.0010029,0.0056237,273,5
500.0,0.0023865,0.0087688,273,5
1000.0,0.0044557,0.0118612,273,5
2000.0,0.0092574,0.0170493,273,5
5000.0,0.0236496,0.0272647,273,5
10000.0,0.044846,0.037983,273,5
20000.0,0.0944872,0.0488612,273,5
50000.0,0.2155306,0.0679733,273,5
100000.0,0.4008338,0.0917867,273,5
100.0,0.0002634,0.0028793,298,5
200.0,0.0004919,0.003946,298,5
500.0,0.0011393,0.0060558,298,5
1000.0,0.0023643,0.0085716,298,5
2000.0,0.004673,0.0121007,298,5
5000.0,0.0116534,0.0191513,298,5
10000.0,0.0239599,0.0273972,298,5
20000.0,0.0464772,0.0382827,298,5
50000.0,0.113535,0.0513399,298,5
100000.0,0.2183852,0.0704139,298,5
100.0,0.0001365,0.0020766,323,5
200.0,0.0002253,0.0027021,323,5
500.0,0.0007584999999999998,0.0048473,323,5
1000.0,0.0014535,0.0067697,323,5
2000.0,0.0026849,0.009254900000000002,323,5
5000.0,0.0066169,0.0145026,323,5
10000.0,0.0128181,0.0199852,323,5
20000.0,0.0262909,0.0284491,323,5
50000.0,0.0642842,0.0392056,323,5
100000.0,0.128032,0.0543302,323,5
100.0,0.0002507,0.0028096,273,1
200.0,0.0003935,0.003512,273,1
500.0,0.0011012,0.0059792,273,1
1000.0,0.0021866,0.0082971,273,1
2000.0,0.0042621,0.0113215,273,1
5000.0,0.0111583,0.0187209,273,1
10000.0,0.0217105,0.0262298,273,1
20000.0,0.0428498,0.0363145,273,1
50000.0,0.1067912,0.0496451,273,1
100000.0,0.2045852,0.0665107,273,1
100.0,0.0001174,0.0019268,298,1
200.0,0.0002444,0.0028101,298,1
500.0,0.0006315,0.0044321,298,1
1000.0,0.0011298,0.0060325,298,1
2000.0,0.0022913,0.008562099999999998,298,1
5000.0,0.0059092,0.0136549,298,1
10000.0,0.0115455,0.0187604,298,1
20000.0,0.0240463,0.0274985,298,1
50000.0,0.0570547,0.0363693,298,1
100000.0,0.1149159,0.0523181,298,1
100.0,6.66e-05,0.0014528,323,1
200.0,0.0001206,0.0019526,323,1
500.0,0.0003681,0.0033982,323,1
1000.0,0.0006442,0.0045203,323,1
2000.0,0.0014376,0.0067507,323,1
5000.0,0.0035386,0.0105766,323,1
10000.0,0.007261199999999998,0.0152613,323,1
20000.0,0.0142494,0.0211895,323,1
50000.0,0.0344429,0.0323336,323,1
100000.0,0.0711613,0.0411765,323,1
100.0,0.0004221,0.0036355,273,6
200.0,0.0008537,0.0052701,273,6
500.0,0.002193,0.008392,273,6
1000.0,0.0044621,0.0118673,273,6
2000.0,0.0086925,0.0166327,273,6
