Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0175563,0.023099,273,5
200.0,0.0359239,0.030236,273,5
500.0,0.0860282,0.045408,273,5
1000.0,0.1630747,0.0609498,273,5
2000.0,0.3388056,0.08555129999999998,273,5
5000.0,0.7116358,0.1059074,273,5
10000.0,1.1601058,0.135359,273,5
20000.0,1.599118,0.107249,273,5
50000.0,1.9906217,0.0842037,273,5
100000.0,2.1262479,0.0668131,273,5
1000000.0,2.2875271,0.0262871,273,5
100.0,0.0053665,0.0129265,298,5
200.0,0.0113011,0.0186917,298,5
500.0,0.028813,0.0263306,298,5
1000.0,0.0538621,0.0340099,298,5
2000.0,0.1072157,0.0494122,298,5
5000.0,0.2625475,0.07793469999999998,298,5
10000.0,0.5028401,0.0965795,298,5
20000.0,0.8469603,0.120114,298,5
50000.0,1.424639,0.1198114,298,5
100000.0,1.7763063,0.0957149,298,5
1000000.0,2.2325533,0.0392866,298,5
100.0,0.0020152,0.007982599999999998,323,5
200.0,0.0041987,0.0114863,323,5
500.0,0.0104094,0.0181316,323,5
1000.0,0.0206767,0.0253618,323,5
2000.0,0.0414185,0.0321781,323,5
5000.0,0.1026401,0.0489662,323,5
10000.0,0.1929089,0.0648121,323,5
20000.0,0.3970155,0.0914076,323,5
50000.0,0.7953358,0.1044727,323,5
100000.0,1.2068078,0.1175252,323,5
1000000.0,2.1332108,0.0596151,323,5
100.0,0.005455,0.0131524,273,1
200.0,0.0112631,0.0188327,273,1
500.0,0.0271976,0.0259953,273,1
1000.0,0.0539541,0.0354364,273,1
2000.0,0.1082986,0.0508241,273,1
5000.0,0.2525952,0.075689,273,1
10000.0,0.4841703,0.1021629,273,1
20000.0,0.8646937999999998,0.1169394,273,1
50000.0,1.4608538,0.118033,273,1
100000.0,1.8038842,0.0992621,273,1
1000000.0,2.2386867,0.0394606,273,1
100.0,0.0019486,0.0078015,298,1
200.0,0.003802,0.0108204,298,1
500.0,0.0096826,0.0172783,298,1
1000.0,0.0185877,0.0245795,298,1
2000.0,0.0386829,0.0311437,298,1
5000.0,0.0948966,0.0459097,298,1
10000.0,0.1836617,0.0646514,298,1
20000.0,0.3495232,0.0913982,298,1
50000.0,0.7149743,0.1181705,298,1
100000.0,1.1691659,0.1299178,298,1
1000000.0,2.1201978,0.0648221,298,1
100.0,0.0007810999999999998,0.0049783,323,1
200.0,0.0017074,0.0074228,323,1
500.0,0.0040082,0.0113252,323,1
1000.0,0.0080355,0.0159404,323,1
2000.0,0.015649,0.0220822,323,1
5000.0,0.0387149,0.0307889,323,1
10000.0,0.07942699999999998,0.0418842,323,1
20000.0,0.1522496,0.0605192,323,1
50000.0,0.3570347,0.08654879999999998,323,1
100000.0,0.6308135,0.1060497,323,1
1000000.0,1.8798926,0.0928632,323,1
100.0,0.0106982,0.0184632,273,6
200.0,0.0213805,0.025927,273,6
500.0,0.0538589,0.0343192,273,6
1000.0,0.1082542,0.0496147,273,6
2000.0,0.2077588,0.0675047,273,6
5000.0,0.4844583,0.0937263,273,6
10000.0,0.8326985999999998,0.1196587,273,6
20000.0,1.2953156,0.1230236,273,6
50000.0,1.8221112,0.0981324,273,6
100000.0,2.0608313,0.0752907,273,6
1000000.0,2.4686683,0.0545733,273,6
100.0,0.0036115,0.0106894,298,6
200.0,0.007248499999999998,0.0152805,298,6
500.0,0.0184036,0.0240736,298,6
1000.0,0.0361103,0.0289267,298,6
2000.0,0.07392229999999998,0.041197,298,6
5000.0,0.1793266,0.0636602,298,6
10000.0,0.3367047,0.08175789999999998,298,6
20000.0,0.6251232,0.1051444,298,6
50000.0,1.1311711,0.123987,298,6
100000.0,1.5927024,0.1111629,298,6
1000000.0,2.2925406,0.0542308,298,6
100.0,0.001371,0.0065297,323,6
200.0,0.0029451,0.0098016,323,6
500.0,0.007740399999999998,0.0158874,323,6
1000.0,0.0147318,0.0215271,323,6
2000.0,0.0296889,0.0305216,323,6
5000.0,0.0728211,0.040278,323,6
10000.0,0.1413102,0.0558063,323,6
20000.0,0.2753339,0.0780784,323,6
50000.0,0.5867323,0.1046947,323,6
100000.0,0.9647603,0.1188399,323,6
1000000.0,2.095768,0.0722035,323,6
100.0,0.0030816,0.0099081,273,2
200.0,0.0063662,0.0142699,273,2
500.0,0.015741,0.0226013,273,2
1000.0,0.0322468,0.027178,273,2
2000.0,0.0644365,0.0383174,273,2
5000.0,0.1500394,0.056998,273,2
10000.0,0.2962288,0.0780043,273,2
20000.0,0.5402045,0.0964542,273,2
50000.0,1.0211217,0.1226189,273,2
100000.0,1.4977954,0.1125149,273,2
1000000.0,2.3132442,0.0674817,273,2
100.0,0.0011742,0.0060408,298,2
200.0,0.0024627,0.0087822,298,2
500.0,0.0062678,0.0141249,298,2
1000.0,0.0123738,0.0198515,298,2
2000.0,0.0237194,0.0271558,298,2
5000.0,0.0591271,0.0373946,298,2
10000.0,0.1138778,0.0505565,298,2
20000.0,0.2226175,0.0716975,298,2
50000.0,0.5036618,0.1003912,298,2
100000.0,0.8511214999999999,0.1141578,298,2
1000000.0,2.0361313,0.0862514,298,2
100.0,0.000549,0.0042103,323,2
200.0,0.0011012,0.0059623,323,2
500.0,0.0027832,0.0093504,323,2
1000.0,0.0053729,0.0132395,323,2
2000.0,0.0104697,0.0183319,323,2
