Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004792,0.0038962,273,5
200.0,0.0007553,0.0048581,273,5
500.0,0.0021993,0.0083904,273,5
1000.0,0.0046421,0.0119458,273,5
2000.0,0.0090257,0.0170406,273,5
5000.0,0.0229831,0.0266001,273,5
10000.0,0.0444239,0.0367501,273,5
20000.0,0.0903932,0.0466802,273,5
50000.0,0.214279,0.0695026,273,5
100000.0,0.3917638,0.0918254,273,5
100.0,0.0001968,0.0024911,298,5
200.0,0.000438,0.0037294,298,5
500.0,0.0012567,0.0063338,298,5
1000.0,0.0024576,0.008797499999999998,298,5
2000.0,0.0047445,0.0121822,298,5
5000.0,0.0117994,0.0193554,298,5
10000.0,0.0238686,0.0277293,298,5
20000.0,0.0481274,0.0385212,298,5
50000.0,0.1149473,0.052652,298,5
100000.0,0.2222495,0.0700366,298,5
100.0,0.000146,0.0021475,323,5
200.0,0.0002983,0.0030624,323,5
500.0,0.0006791,0.0046795,323,5
1000.0,0.0014384,0.0067374,323,5
2000.0,0.0027007,0.0092011,323,5
5000.0,0.0068296,0.0145809,323,5
10000.0,0.0138432,0.0210256,323,5
20000.0,0.0279625,0.0297804,323,5
50000.0,0.0695206,0.0399692,323,5
100000.0,0.132211,0.0590985,323,5
100.0,0.0002222,0.0026459,273,1
200.0,0.0004633,0.0038329,273,1
500.0,0.0010314,0.005681,273,1
1000.0,0.0022279,0.0083286,273,1
2000.0,0.0042114,0.0116989,273,1
5000.0,0.0112853,0.0188327,273,1
10000.0,0.0222786,0.0265748,273,1
20000.0,0.0440399,0.0366544,273,1
50000.0,0.1077972,0.0510659,273,1
100000.0,0.2119066,0.0691761,273,1
100.0,0.0001301,0.0020279,298,1
200.0,0.0002951,0.0030462,298,1
500.0,0.0006855,0.0047214,298,1
1000.0,0.0011647,0.0060675,298,1
2000.0,0.0024024,0.0087126,298,1
5000.0,0.0064709,0.0144154,298,1
10000.0,0.0124849,0.0201426,298,1
20000.0,0.0246017,0.0278565,298,1
50000.0,0.0630274,0.0443122,298,1
100000.0,0.1218435,0.0548179,298,1
100.0,6.35e-05,0.0014179,323,1
200.0,0.0001492,0.0021706,323,1
500.0,0.0003967,0.0035259,323,1
1000.0,0.0007014,0.0047084,323,1
2000.0,0.0015995,0.007143,323,1
5000.0,0.0036687,0.0106982,323,1
10000.0,0.007714999999999999,0.0155992,323,1
20000.0,0.015649,0.0222322,323,1
50000.0,0.0374226,0.0347215,323,1
100000.0,0.07669919999999998,0.0481536,323,1
100.0,0.0003777,0.0034413,273,6
200.0,0.0009045,0.0053565,273,6
500.0,0.0021263,0.0082581,273,6
1000.0,0.0042336,0.0116866,273,6
2000.0,0.009003499999999998,0.0169546,273,6
5000.0,0.0224944,0.0265598,273,6
10000.0,0.0442112,0.0373726,273,6
20000.0,0.087464,0.0455889,273,6
50000.0,0.2070983,0.0703578,273,6
100000.0,0.3897067,0.0906103,273,6
100.0,0.0002477,0.0027926,298,6
200.0,0.0004284,0.0036898,298,6
500.0,0.001152,0.00607,298,6
1000.0,0.0022469,0.0083958,298,6
2000.0,0.004662,0.0121727,298,6
5000.0,0.0116471,0.0192234,298,6
10000.0,0.0233132,0.0267592,298,6
20000.0,0.0464105,0.0382412,298,6
50000.0,0.1139857,0.0523376,298,6
100000.0,0.2198755,0.0721206,298,6
100.0,0.0001334,0.0020529,323,6
200.0,0.0003364,0.0033114,323,6
500.0,0.0007172,0.0048014,323,6
1000.0,0.0014218,0.0067017,323,6
2000.0,0.0028531,0.0095639,323,6
5000.0,0.0069184,0.0148338,323,6
10000.0,0.0136782,0.0206707,323,6
20000.0,0.0273531,0.0297172,323,6
50000.0,0.0664327,0.0458843,323,6
100000.0,0.1325162,0.0586235,323,6
100.0,0.0001714,0.0023258,273,2
200.0,0.0004189,0.003622,273,2
500.0,0.0011012,0.0059284,273,2
1000.0,0.0022437,0.008414599999999998,273,2
2000.0,0.0043859,0.0117337,273,2
5000.0,0.0110282,0.0187951,273,2
10000.0,0.0216801,0.0260444,273,2
20000.0,0.0425483,0.035925,273,2
50000.0,0.1081558,0.0512466,273,2
100000.0,0.2058256,0.0701707,273,2
100.0,0.0001016,0.0017924,298,2
200.0,0.0002634,0.0029484,298,2
500.0,0.0006347,0.0045328,298,2
1000.0,0.0012218,0.0061716,298,2
2000.0,0.0025896,0.0091947,298,2
5000.0,0.0061822,0.014052,298,2
10000.0,0.0126372,0.0200323,298,2
20000.0,0.0242716,0.0277663,298,2
50000.0,0.0604949,0.0439974,298,2
100000.0,0.1196442,0.0547276,298,2
100.0,8.569999999999998e-05,0.0016468,323,2
200.0,0.0001396,0.0021005,323,2
500.0,0.0003935,0.003512,323,2
1000.0,0.0006887,0.0046889,323,2
2000.0,0.0015709,0.0070429,323,2
5000.0,0.0038559,0.0111093,323,2
10000.0,0.0075283,0.0154033,323,2
20000.0,0.0153189,0.021801,323,2
50000.0,0.0376387,0.0345936,323,2
100000.0,0.07433489999999998,0.0476073,323,2
100.0,0.0004602,0.0038464,273,8
200.0,0.0008187999999999998,0.0050513,273,8
500.0,0.0020025,0.008023499999999998,273,8
1000.0,0.0041035,0.0114417,273,8
2000.0,0.0083688,0.0161499,273,8
5000.0,0.0212503,0.0258727,273,8
10000.0,0.041831,0.0359206,273,8
20000.0,0.08187189999999998,0.0449941,273,8
50000.0,0.1940584,0.0659664,273,8
100000.0,0.3727231,0.086146,273,8
100.0,0.0001904,0.0024509,298,8
200.0,0.0004538,0.0038733,298,8
500.0,0.0011425,0.0060134,298,8
1000.0,0.0022945,0.008649,298,8
2000.0,0.0044684,0.011958,298,8
5000.0,0.0113995,0.0190303,298,8
10000.0,0.0224436,0.0266405,298,8
20000.0,0.0443223,0.0372795,298,8
50000.0,0.1066477,0.0498728,298,8
100000.0,0.2062481,0.0697745,298,8
100.0,0.0001523,0.0021934,323,8
200.0,0.0002983,0.0030951,323,8
500.0,0.0006918,0.0046561,323,8
1000.0,0.0013424,0.006497,323,8
2000.0,0.0025973,0.0090848,323,8
5000.0,0.0065599,0.0142704,323,8
10000.0,0.0134782,0.0205948,323,8
20000.0,0.0257664,0.0286066,323,8
50000.0,0.0656488,0.0453356,323,8
100000.0,0.1232811,0.0594697,323,8
100.0,0.0001777,0.0023682,273,4
200.0,0.0004475,0.0037418,273,4
500.0,0.0009426,0.0054985,273,4
1000.0,0.002047,0.008137,273,4
2000.0,0.0038876,0.0110162,273,4
5000.0,0.0099397,0.0177694,273,4
10000.0,0.0206918,0.0257373,273,4
20000.0,0.041282,0.0362362,273,4
50000.0,0.1024116,0.0500237,273,4
100000.0,0.1931381,0.0671061,273,4
100.0,0.0001047,0.0018201,298,4
200.0,0.000219,0.0026271,298,4
500.0,0.0005427,0.0041872,298,4
1000.0,0.0011457,0.0060379,298,4
2000.0,0.0024862,0.008931599999999998,298,4
5000.0,0.0060076,0.0140309,298,4
10000.0,0.0117359,0.0192898,298,4
20000.0,0.0235575,0.0274123,298,4
50000.0,0.0591906,0.0427775,298,4
100000.0,0.1142269,0.0524282,298,4
100.0,9.2e-05,0.0017066,323,4
200.0,0.0001111,0.0018742,323,4
500.0,0.0003935,0.0035405,323,4
1000.0,0.0007211,0.0047717,323,4
2000.0,0.001609,0.0071055,323,4
5000.0,0.0039606,0.0111223,323,4
10000.0,0.0074865,0.0152943,323,4
20000.0,0.0147032,0.0216608,323,4
50000.0,0.0364994,0.0341536,323,4
100000.0,0.0734526,0.0481422,323,4
100.0,0.0004824,0.0039599,273,7
200.0,0.0009811,0.0055479,273,7
500.0,0.0022755,0.00837,273,7
1000.0,0.0044113,0.0118524,273,7
2000.0,0.0090606,0.0167807,273,7
5000.0,0.0223262,0.0261737,273,7
10000.0,0.0446619,0.0372272,273,7
20000.0,0.0863247,0.0453457,273,7
50000.0,0.2065895,0.0680373,273,7
100000.0,0.391825,0.08993669999999998,273,7
100.0,0.0002507,0.0028804,298,7
200.0,0.0004729,0.0038969,298,7
500.0,0.0011457,0.0060212,298,7
1000.0,0.0023072,0.0085283,298,7
2000.0,0.0045319,0.0120265,298,7
5000.0,0.0116471,0.0191657,298,7
10000.0,0.0233132,0.0270438,298,7
20000.0,0.0460614,0.0380624,298,7
50000.0,0.1148172,0.0541229,298,7
100000.0,0.2189139,0.0718607,298,7
100.0,8.89e-05,0.001677,323,7
200.0,0.0002475,0.0027919,323,7
500.0,0.0007299,0.0048204,323,7
1000.0,0.0013456,0.0064262,323,7
2000.0,0.0026563,0.0090597,323,7
5000.0,0.0068044,0.0144618,323,7
10000.0,0.0135131,0.0208129,323,7
20000.0,0.027991,0.0297078,323,7
50000.0,0.0663502,0.04561,323,7
100000.0,0.1333858,0.0570989,323,7
100.0,0.0001904,0.0024509,273,3
200.0,0.0004443,0.0037556,273,3
500.0,0.0010981,0.0059205,273,3
1000.0,0.0021739,0.0082883,273,3
2000.0,0.0045437,0.0120715,273,3
5000.0,0.0108442,0.0185415,273,3
10000.0,0.0212376,0.0260924,273,3
20000.0,0.0436749,0.0373038,273,3
50000.0,0.1061841,0.0516546,273,3
100000.0,0.2028491,0.0680469,273,3
100.0,0.0001365,0.0020766,298,3
200.0,0.0002317,0.0027016,298,3
500.0,0.0005681,0.004279,298,3
1000.0,0.0012986,0.0064921,298,3
2000.0,0.0023992,0.008684499999999998,298,3
5000.0,0.0062044,0.0139161,298,3
10000.0,0.0123102,0.0195866,298,3
20000.0,0.0244366,0.0279366,298,3
50000.0,0.0613518,0.0442227,298,3
100000.0,0.1189492,0.0542673,298,3
100.0,8.89e-05,0.001677,323,3
200.0,0.0001714,0.0023258,323,3
500.0,0.0003713,0.0034126,323,3
1000.0,0.0007393999999999999,0.0048294,323,3
2000.0,0.001559,0.0070902,323,3
5000.0,0.0038515,0.0109495,323,3
10000.0,0.0076103,0.0156859,323,3
20000.0,0.01543,0.0223239,323,3
50000.0,0.0382735,0.0346454,323,3
100000.0,0.0745475,0.0411698,323,3
