Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004506,0.0038081,273,5
200.0,0.0009902,0.0055901,273,5
500.0,0.0024659,0.0088783,273,5
1000.0,0.0051127,0.0127081,273,5
2000.0,0.0100063,0.0177291,273,5
5000.0,0.0244366,0.0278246,273,5
10000.0,0.0493747,0.0392844,273,5
20000.0,0.0965214,0.0481872,273,5
50000.0,0.2293432,0.0716418,273,5
100000.0,0.4157762,0.091962,273,5
100.0,0.0002444,0.0027741,298,5
200.0,0.0005427,0.0041388,298,5
500.0,0.0012504,0.0063032,298,5
1000.0,0.0025484,0.008956699999999998,298,5
2000.0,0.0050048,0.0126956,298,5
5000.0,0.0125706,0.0199307,298,5
10000.0,0.0251697,0.0282804,298,5
20000.0,0.0499649,0.0394351,298,5
50000.0,0.1223608,0.0536173,298,5
100000.0,0.2292634,0.0727504,298,5
100.0,0.0001142,0.0019007,323,5
200.0,0.0003047,0.0030945,323,5
500.0,0.0007584999999999998,0.0048886,323,5
1000.0,0.0014345,0.006729,323,5
2000.0,0.0028404,0.0094405,323,5
5000.0,0.0068327,0.0146998,323,5
10000.0,0.0142113,0.0211723,323,5
20000.0,0.0277498,0.029455,323,5
50000.0,0.0690287,0.0400939,323,5
100000.0,0.135785,0.0559503,323,5
100.0,0.0002348,0.0027567,273,1
200.0,0.0004191,0.0036229,273,1
500.0,0.001079,0.0058384,273,1
1000.0,0.0023643,0.008746099999999998,273,1
2000.0,0.0049635,0.0125803,273,1
5000.0,0.0115265,0.019207,273,1
10000.0,0.0230879,0.0265226,273,1
20000.0,0.0467691,0.0379095,273,1
50000.0,0.116332,0.0526378,273,1
100000.0,0.214728,0.0677589,273,1
100.0,0.0001206,0.0019526,298,1
200.0,0.0002412,0.0027561,298,1
500.0,0.0006189,0.0044111,298,1
1000.0,0.0013393,0.0065363,298,1
2000.0,0.0024817,0.008913499999999998,298,1
5000.0,0.0064487,0.0142815,298,1
10000.0,0.0130339,0.0201473,298,1
20000.0,0.0248555,0.0278046,298,1
50000.0,0.0632464,0.0385509,298,1
100000.0,0.1257311,0.0558807,298,1
100.0,9.52e-05,0.0017356,323,1
200.0,0.000165,0.0022826,323,1
500.0,0.0003586,0.0033545,323,1
1000.0,0.0007268,0.0048104,323,1
2000.0,0.0015392,0.0069781,323,1
5000.0,0.0041066,0.0116715,323,1
10000.0,0.0074839,0.0154641,323,1
20000.0,0.0152739,0.0220028,323,1
50000.0,0.0384863,0.0347037,323,1
100000.0,0.07523889999999998,0.0432495,323,1
100.0,0.0004824,0.0039087,273,6
200.0,0.0009462,0.0055084,273,6
500.0,0.0024405,0.008701999999999998,273,6
1000.0,0.0049381,0.0125743,273,6
2000.0,0.0097683,0.0175112,273,6
5000.0,0.0229895,0.0267871,273,6
10000.0,0.0467247,0.0386557,273,6
20000.0,0.0930051,0.0485131,273,6
50000.0,0.2193777,0.0718872,273,6
100000.0,0.413471,0.0933445,273,6
100.0,0.0001999,0.002511,298,6
200.0,0.0004633,0.0038066,298,6
500.0,0.0011361,0.005981,298,6
1000.0,0.0024437,0.008833199999999998,298,6
2000.0,0.0048524,0.0124832,298,6
5000.0,0.0126468,0.0200237,298,6
10000.0,0.0245763,0.027464,298,6
20000.0,0.0489716,0.0390047,298,6
50000.0,0.1158081,0.0540868,298,6
100000.0,0.2277492,0.0703877,298,6
100.0,0.0001206,0.0019526,323,6
200.0,0.0002634,0.0028793,323,6
500.0,0.0006379,0.0044989,323,6
1000.0,0.0012955,0.0064225,323,6
2000.0,0.0026277,0.0090847,323,6
5000.0,0.0069502,0.0150013,323,6
10000.0,0.0141796,0.0211459,323,6
20000.0,0.027297,0.0296842,323,6
50000.0,0.0676418,0.039427,323,6
100000.0,0.1332525,0.0573129,323,6
100.0,0.0001999,0.002511,273,2
200.0,0.0005141,0.0040564,273,2
500.0,0.0010346,0.0057245,273,2
1000.0,0.0022279,0.0083888,273,2
2000.0,0.0044176,0.0117904,273,2
5000.0,0.0112496,0.0189909,273,2
10000.0,0.0220294,0.0260261,273,2
20000.0,0.0436781,0.0371065,273,2
50000.0,0.1086382,0.0514111,273,2
100000.0,0.2079111,0.0709278,273,2
100.0,0.0001047,0.0018201,298,2
200.0,0.0002444,0.0027741,298,2
500.0,0.0005966,0.0043336,298,2
1000.0,0.0011373,0.0060008,298,2
2000.0,0.0024195,0.0087506,298,2
5000.0,0.0061758,0.013809,298,2
10000.0,0.0120184,0.0195243,298,2
20000.0,0.0245509,0.0281957,298,2
50000.0,0.0605108,0.0430439,298,2
100000.0,0.1187651,0.0547886,298,2
100.0,0.0001079,0.0018474,323,2
200.0,0.0001365,0.0020766,323,2
500.0,0.0003683,0.0034578,323,2
1000.0,0.0007045,0.0047186,323,2
2000.0,0.0014821,0.0068006,323,2
5000.0,0.0037353,0.0107269,323,2
10000.0,0.007280199999999999,0.0151196,323,2
20000.0,0.015065,0.0215701,323,2
50000.0,0.03682,0.0334348,323,2
100000.0,0.0719896,0.0467602,323,2
100.0,0.0004411,0.003796,273,8
200.0,0.0008668,0.0052502,273,8
500.0,0.0021898,0.0083869,273,8
1000.0,0.0043161,0.0118704,273,8
2000.0,0.0087845,0.016563,273,8
5000.0,0.0226753,0.0264455,273,8
10000.0,0.0427704,0.0371107,273,8
20000.0,0.08726409999999998,0.0460378,273,8
50000.0,0.2044303,0.0676544,273,8
100000.0,0.3812335,0.0907986,273,8
100.0,0.0002729,0.0029646,298,8
200.0,0.0004824,0.0039087,298,8
500.0,0.0012135,0.0062171,298,8
1000.0,0.002085,0.0081273,298,8
2000.0,0.0047794,0.0122716,298,8
5000.0,0.0113671,0.0192298,298,8
10000.0,0.0230688,0.0267018,298,8
20000.0,0.0457346,0.0376673,298,8
50000.0,0.1138111,0.0539114,298,8
100000.0,0.2130809,0.068722,298,8
100.0,0.0001492,0.0022171,323,8
200.0,0.0002444,0.0027741,323,8
500.0,0.0006506,0.0045416,323,8
1000.0,0.0013519,0.0065183,323,8
2000.0,0.0027705,0.0093327,323,8
5000.0,0.0065979,0.0144417,323,8
10000.0,0.013437,0.0207993,323,8
20000.0,0.0268207,0.0289134,323,8
50000.0,0.0641572,0.0447412,323,8
100000.0,0.1270735,0.0633739,323,8
100.0,0.0001872,0.0024305,273,4
200.0,0.0004506,0.0037816,273,4
500.0,0.0011208,0.0059771,273,4
1000.0,0.0022088,0.0083698,273,4
2000.0,0.0043573,0.0116453,273,4
5000.0,0.010676,0.0184242,273,4
10000.0,0.0212324,0.0258457,273,4
20000.0,0.0411329,0.0360789,273,4
50000.0,0.1035033,0.048843,273,4
100000.0,0.1982832,0.0668959,273,4
100.0,0.0001047,0.0018201,298,4
200.0,0.0002063,0.0025503,298,4
500.0,0.0005522,0.0041497,298,4
1000.0,0.0012314,0.0062589,298,4
2000.0,0.0023167,0.0085198,298,4
5000.0,0.0058458,0.0135193,298,4
10000.0,0.0116534,0.0193137,298,4
20000.0,0.0233068,0.0275364,298,4
50000.0,0.0573562,0.0423262,298,4
100000.0,0.1129092,0.0531941,298,4
100.0,6.66e-05,0.0014528,323,4
200.0,0.0001079,0.0018474,323,4
500.0,0.0004126,0.0035949,323,4
1000.0,0.0007268,0.0048104,323,4
2000.0,0.0014821,0.0068743,323,4
5000.0,0.0034846,0.0106182,323,4
10000.0,0.007311899999999999,0.0152635,323,4
20000.0,0.0145922,0.0217752,323,4
50000.0,0.0350554,0.0330611,323,4
100000.0,0.0687367,0.0459105,323,4
100.0,0.0005427,0.0041388,273,7
200.0,0.0009172,0.0053355,273,7
500.0,0.0024278,0.0087056,273,7
1000.0,0.0048873,0.0124817,273,7
2000.0,0.0092256,0.0173068,273,7
5000.0,0.0230371,0.0269282,273,7
10000.0,0.046455,0.0383004,273,7
20000.0,0.091101,0.047544,273,7
50000.0,0.2193868,0.0679862,273,7
100000.0,0.4024881,0.0911008,273,7
100.0,0.0002317,0.0027016,298,7
200.0,0.0004983,0.0039959,298,7
500.0,0.0011837,0.0061463,298,7
1000.0,0.0024786,0.0088178,298,7
2000.0,0.0046953,0.0121129,298,7
5000.0,0.0120596,0.0196916,298,7
10000.0,0.0236709,0.0272045,298,7
20000.0,0.0486447,0.0391616,298,7
50000.0,0.1199806,0.0546084,298,7
100000.0,0.2240234,0.0715988,298,7
100.0,0.0001428,0.0021241,323,7
200.0,0.0002604,0.0028627,323,7
500.0,0.0006315,0.0044548,323,7
1000.0,0.0014186,0.0067099,323,7
2000.0,0.0027388,0.0093204,323,7
5000.0,0.006855,0.0146654,323,7
10000.0,0.0136813,0.0210285,323,7
20000.0,0.0273468,0.0293342,323,7
50000.0,0.0678227,0.0394337,323,7
100000.0,0.1321798,0.0572256,323,7
100.0,0.0002477,0.0027926,273,3
200.0,0.0004919,0.0039967,273,3
500.0,0.001133,0.0060069,273,3
1000.0,0.0023167,0.008637199999999998,273,3
2000.0,0.0044399,0.0119307,273,3
5000.0,0.0110663,0.0186705,273,3
10000.0,0.0221136,0.0267575,273,3
20000.0,0.0425705,0.0368634,273,3
50000.0,0.1070637,0.0505967,273,3
100000.0,0.2103489,0.0691797,273,3
100.0,9.84e-05,0.0017647,298,3
200.0,0.0002634,0.002914,298,3
500.0,0.000622,0.0044221,298,3
1000.0,0.0011552,0.006011,298,3
2000.0,0.002431,0.008675699999999998,298,3
5000.0,0.0060742,0.0137004,298,3
10000.0,0.012377,0.0197452,298,3
20000.0,0.0239796,0.0276206,298,3
50000.0,0.060098,0.0432186,298,3
100000.0,0.1176275,0.0538717,298,3
100.0,5.71e-05,0.0013452,323,3
200.0,0.0001841,0.0024099,323,3
500.0,0.0003364,0.0032809,323,3
1000.0,0.0008032999999999998,0.0050849,323,3
2000.0,0.0015011,0.0068848,323,3
5000.0,0.0037417,0.0110211,323,3
10000.0,0.0075119,0.0152356,323,3
20000.0,0.0150968,0.0216923,323,3
50000.0,0.036766,0.033795,323,3
100000.0,0.07241169999999998,0.0405573,323,3
