Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009659,0.0065784,273,5
200.0,0.0017775,0.0089852,273,5
500.0,0.0046751,0.0145721,273,5
1000.0,0.0094546,0.0204924,273,5
2000.0,0.0186189,0.0290073,273,5
5000.0,0.0454544,0.0449263,273,5
10000.0,0.090614,0.0533727,273,5
20000.0,0.1763852,0.0748372,273,5
50000.0,0.4173878,0.1080932,273,5
100000.0,0.7476213,0.1388929,273,5
100.0,0.0004716,0.0046447,298,5
200.0,0.001052,0.0068862,298,5
500.0,0.002562,0.0108553,298,5
1000.0,0.0049381,0.0148911,298,5
2000.0,0.0107696,0.0221542,298,5
5000.0,0.0251305,0.0333979,298,5
10000.0,0.0507326,0.0475131,298,5
20000.0,0.0994972,0.0673269,298,5
50000.0,0.2394173,0.08537369999999998,298,5
100000.0,0.4526394,0.1185956,298,5
100.0,0.000322,0.0038073,323,5
200.0,0.0005986,0.0052149,323,5
500.0,0.0014375,0.0080729,323,5
1000.0,0.0030336,0.0117045,323,5
2000.0,0.0061081,0.0167935,323,5
5000.0,0.0149232,0.0261276,323,5
10000.0,0.0299598,0.0376498,323,5
20000.0,0.0609308,0.051749,323,5
50000.0,0.144548,0.0680111,323,5
100000.0,0.2803353,0.0927781,323,5
100.0,0.0011472,0.007206899999999999,273,1
200.0,0.0024804,0.0105674,273,1
500.0,0.0060657,0.0166167,273,1
1000.0,0.0115722,0.0226761,273,1
2000.0,0.0237157,0.0326699,273,1
5000.0,0.0593846,0.0512735,273,1
10000.0,0.1144885,0.0602906,273,1
20000.0,0.227803,0.0874635,273,1
50000.0,0.518305,0.1232673,273,1
100000.0,0.9146517,0.1555904,273,1
100.0,0.0006756,0.005531,298,1
200.0,0.0012742,0.0074937,298,1
500.0,0.0032467,0.0120549,298,1
1000.0,0.0065978,0.0172271,298,1
2000.0,0.0123884,0.0237172,298,1
5000.0,0.0307624,0.0368437,298,1
10000.0,0.0629439,0.0532274,298,1
20000.0,0.1265452,0.0640617,298,1
50000.0,0.3020014,0.0986242,298,1
100000.0,0.5627613,0.1300514,298,1
100.0,0.0003854,0.0041629,323,1
200.0,0.0007663,0.0058449,323,1
500.0,0.0017277,0.0088683,323,1
1000.0,0.0039133,0.0134404,323,1
2000.0,0.0076815,0.0187241,323,1
5000.0,0.019154,0.0293024,323,1
10000.0,0.0386118,0.0419011,323,1
20000.0,0.07618959999999998,0.0580906,323,1
50000.0,0.1846533,0.0776952,323,1
100000.0,0.352602,0.1055614,323,1
100.0,0.0010566,0.0068706,273,6
200.0,0.0020088,0.0095912,273,6
500.0,0.005183,0.0154199,273,6
1000.0,0.0103025,0.0218968,273,6
2000.0,0.0208544,0.0306877,273,6
5000.0,0.0524739,0.0480511,273,6
10000.0,0.0995789,0.0567686,273,6
20000.0,0.199924,0.07739459999999998,273,6
50000.0,0.4571168,0.111469,273,6
100000.0,0.8140412999999999,0.1437106,273,6
100.0,0.0006076,0.0052138,298,6
200.0,0.0012606,0.0076185,298,6
500.0,0.0028069,0.0113335,298,6
1000.0,0.0055367,0.0157729,298,6
2000.0,0.0110915,0.0226805,298,6
5000.0,0.0278785,0.0354688,298,6
10000.0,0.0552313,0.0497397,298,6
20000.0,0.1088611,0.0591771,298,6
50000.0,0.2603787,0.0903532,298,6
100000.0,0.4854152,0.1201226,298,6
100.0,0.0003582,0.0040145,323,6
200.0,0.0006575,0.0054206,323,6
500.0,0.0016052,0.0085974,323,6
1000.0,0.0032331,0.0120671,323,6
2000.0,0.0067656,0.0175587,323,6
5000.0,0.0169955,0.0276617,323,6
10000.0,0.0329481,0.0384784,323,6
20000.0,0.0656887,0.0540573,323,6
50000.0,0.1584691,0.0725206,323,6
100000.0,0.3014301,0.0976083,323,6
100.0,0.0012697,0.0075899,273,2
200.0,0.002494,0.0106514,273,2
500.0,0.006625,0.0174775,273,2
1000.0,0.0126605,0.0239881,273,2
2000.0,0.0255568,0.0338229,273,2
5000.0,0.0651933,0.0540225,273,2
10000.0,0.125729,0.0638302,273,2
20000.0,0.2500309,0.0898428,273,2
50000.0,0.5747459,0.1305587,273,2
100000.0,0.9833457,0.1539529,273,2
100.0,0.0006756,0.0054937,298,2
200.0,0.0014284,0.007972,298,2
500.0,0.00341,0.0122806,298,2
1000.0,0.0068064,0.017384,298,2
2000.0,0.0140732,0.0251855,298,2
5000.0,0.0342178,0.0386524,298,2
10000.0,0.0678596,0.0547009,298,2
20000.0,0.1327174,0.0656328,298,2
50000.0,0.3249372,0.0991045,298,2
100000.0,0.6015466,0.1314049,298,2
100.0,0.0004399,0.0044903,323,2
200.0,0.0008842,0.0063354,323,2
500.0,0.001968,0.0094158,323,2
1000.0,0.0042897,0.0139802,323,2
2000.0,0.0081849,0.0193302,323,2
5000.0,0.0206096,0.0305311,323,2
10000.0,0.0401671,0.042314,323,2
20000.0,0.07971749999999998,0.0607196,323,2
50000.0,0.1985727,0.0834855,323,2
100000.0,0.3724049,0.1082036,323,2
100.0,0.0005759,0.005118,273,8
200.0,0.001247,0.007525699999999998,273,8
500.0,0.0027434,0.011074,273,8
1000.0,0.0057271,0.0161693,273,8
2000.0,0.0111459,0.0220839,273,8
5000.0,0.0285632,0.0363875,273,8
10000.0,0.055707,0.0492388,273,8
20000.0,0.1098088,0.0693365,273,8
50000.0,0.2709851,0.0967809,273,8
100000.0,0.4994541,0.1252425,273,8
100.0,0.0002675,0.0034728,298,8
200.0,0.000653,0.0054401,298,8
500.0,0.0016596,0.008587,298,8
1000.0,0.003351,0.012255,298,8
2000.0,0.0066827,0.0176246,298,8
5000.0,0.0167733,0.0276598,298,8
10000.0,0.0335362,0.0389148,298,8
20000.0,0.0672248,0.0551409,298,8
50000.0,0.1644774,0.0836576,298,8
100000.0,0.3118641,0.1028979,298,8
100.0,0.0001905,0.0029326,323,8
200.0,0.0004852,0.0047093,323,8
500.0,0.0010888,0.0070301,323,8
1000.0,0.0021403,0.0097648,323,8
2000.0,0.0041784,0.0138181,323,8
5000.0,0.0107786,0.0221312,323,8
10000.0,0.021314,0.0309883,323,8
20000.0,0.0424616,0.0432225,323,8
50000.0,0.1059544,0.0688581,323,8
100000.0,0.2066232,0.0931114,323,8
100.0,0.0007165,0.0056909,273,4
200.0,0.0018954,0.009254600000000002,273,4
500.0,0.0038952,0.0133382,273,4
1000.0,0.0080897,0.0192584,273,4
2000.0,0.0156397,0.0259599,273,4
5000.0,0.0396836,0.0416103,273,4
10000.0,0.077618,0.0587952,273,4
20000.0,0.1536398,0.081583,273,4
50000.0,0.3641385,0.1109525,273,4
100000.0,0.6678766,0.1412268,273,4
100.0,0.0004671,0.0045783,298,4
200.0,0.0009296,0.0064575,298,4
500.0,0.0023262,0.0102674,298,4
1000.0,0.0044937,0.0141431,298,4
2000.0,0.009372900000000002,0.0204194,298,4
5000.0,0.023226,0.0321746,298,4
10000.0,0.046384,0.0453722,298,4
20000.0,0.09133500000000001,0.0636713,298,4
50000.0,0.2209297,0.08518149999999998,298,4
100000.0,0.4185713,0.1178943,298,4
100.0,0.0002494,0.0033537,323,4
200.0,0.0005895,0.0051764,323,4
500.0,0.0014239,0.0079857,323,4
1000.0,0.0029248,0.0114662,323,4
2000.0,0.0057544,0.0160831,323,4
5000.0,0.014429,0.0256252,323,4
10000.0,0.0288769,0.0358568,323,4
20000.0,0.0570946,0.050081,323,4
50000.0,0.1402559,0.0773617,323,4
100000.0,0.2756557,0.1082056,323,4
100.0,0.0009114,0.0063961,273,7
200.0,0.0015916,0.0084674,273,7
500.0,0.0043577,0.0139223,273,7
1000.0,0.008602099999999998,0.0196255,273,7
2000.0,0.0176349,0.0287026,273,7
5000.0,0.0434683,0.0446023,273,7
10000.0,0.0884737,0.0637699,273,7
20000.0,0.1662822,0.0764152,273,7
50000.0,0.3948377,0.1066569,273,7
100000.0,0.7266534999999998,0.1447241,273,7
100.0,0.0005033,0.0047509,298,7
200.0,0.0008752,0.0062385,298,7
500.0,0.0025167,0.0107899,298,7
1000.0,0.0046978,0.0145012,298,7
2000.0,0.0098491,0.0213088,298,7
5000.0,0.0246861,0.0333599,298,7
10000.0,0.0481978,0.047254,298,7
20000.0,0.0977152,0.0661036,298,7
50000.0,0.2292944,0.0896329,298,7
100000.0,0.445697,0.1157187,298,7
100.0,0.0002993,0.0037273,323,7
200.0,0.000594,0.0051957,323,7
500.0,0.001374,0.0079558,323,7
1000.0,0.0028976,0.0115624,323,7
2000.0,0.0059811,0.0164813,323,7
5000.0,0.0153404,0.0264273,323,7
10000.0,0.0303634,0.0370014,323,7
20000.0,0.0596683,0.0518258,323,7
50000.0,0.1444755,0.0671515,323,7
100000.0,0.2791473,0.0926117,323,7
100.0,0.001179,0.0073292,273,3
200.0,0.0023104,0.0102362,273,3
500.0,0.0056999,0.0159485,273,3
1000.0,0.011672,0.0230838,273,3
2000.0,0.0227885,0.0319394,273,3
5000.0,0.0563827,0.0497637,273,3
10000.0,0.1139625,0.0615185,273,3
20000.0,0.2260249,0.0873983,273,3
50000.0,0.5186452,0.1236279,273,3
100000.0,0.9043512,0.1572378,273,3
100.0,0.0005351,0.0049799,298,3
200.0,0.0011608,0.007218999999999998,298,3
500.0,0.0030427,0.0116669,298,3
1000.0,0.0060672,0.016431,298,3
2000.0,0.0126514,0.0239414,298,3
5000.0,0.0315061,0.0378589,298,3
10000.0,0.0628486,0.0531254,298,3
20000.0,0.1239838,0.0733891,298,3
50000.0,0.2991265,0.1004501,298,3
100000.0,0.5473889,0.1288697,298,3
100.0,0.0004262,0.0043757,323,3
200.0,0.0007617999999999999,0.005898,323,3
500.0,0.001841,0.0090863,323,3
1000.0,0.0037138,0.0129368,323,3
2000.0,0.0075954,0.0186438,323,3
5000.0,0.0187277,0.0290506,323,3
10000.0,0.0385347,0.0418321,323,3
20000.0,0.0761279,0.0572379,323,3
50000.0,0.1812507,0.07763689999999998,323,3
100000.0,0.3512512,0.1046485,323,3
