Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0225694,0.0340722,273,5
200.0,0.0475262,0.0497849,273,5
500.0,0.1121785,0.0701527,273,5
1000.0,0.2315937,0.09615290000000001,273,5
2000.0,0.4554038,0.132428,273,5
5000.0,1.046534,0.1877369,273,5
10000.0,1.8977396,0.2321644,273,5
20000.0,3.0328879,0.2515791,273,5
50000.0,4.512964,0.225751,273,5
100000.0,5.4757919,0.2082876,273,5
1000000.0,7.3759271,0.1369894,273,5
100.0,0.008181,0.0206996,298,5
200.0,0.0169244,0.0299201,298,5
500.0,0.0410218,0.0466868,298,5
1000.0,0.0836935,0.0579836,298,5
2000.0,0.164007,0.0779348,298,5
5000.0,0.3978321,0.1194955,298,5
10000.0,0.7826486999999999,0.1649824,298,5
20000.0,1.4000181,0.2109785,298,5
50000.0,2.6879436,0.2511121,298,5
100000.0,3.8582368,0.2370083,298,5
1000000.0,6.4366882,0.1632048,298,5
100.0,0.0035794,0.0112606,323,5
200.0,0.0072048,0.016038,323,5
500.0,0.0179148,0.025411,323,5
1000.0,0.0357906,0.0353548,323,5
2000.0,0.0705873,0.0438032,323,5
5000.0,0.1779308,0.0682146,323,5
10000.0,0.3598822,0.09651920000000001,323,5
20000.0,0.6493727,0.1264094,323,5
50000.0,1.4620807,0.169218,323,5
100000.0,2.4062581,0.1982695,323,5
1000000.0,5.4794166,0.1575774,323,5
100.0,0.0326338,0.0415777,273,1
200.0,0.0672731,0.0531281,273,1
500.0,0.1735043,0.0836235,273,1
1000.0,0.3315431,0.1141416,273,1
2000.0,0.662228,0.1531739,273,1
5000.0,1.5159546,0.2214256,273,1
10000.0,2.5684773,0.2543787,273,1
20000.0,3.8457636,0.2456311,273,1
50000.0,5.251136,0.2299975,273,1
100000.0,6.0318671,0.203836,273,1
1000000.0,7.8840534,0.1560988,273,1
100.0,0.0116349,0.0248739,298,1
200.0,0.0232432,0.0352311,298,1
500.0,0.0581796,0.0473842,298,1
1000.0,0.1181949,0.0713008,298,1
2000.0,0.2340979,0.0955862,298,1
5000.0,0.5786952,0.1461036,298,1
10000.0,1.0861436,0.1895642,298,1
20000.0,1.9239819,0.2436093,298,1
50000.0,3.4120188,0.2594222,298,1
100000.0,4.5167292,0.2349534,298,1
1000000.0,6.9512896,0.1708454,298,1
100.0,0.0051746,0.0134821,323,1
200.0,0.009808,0.0184332,323,1
500.0,0.0247765,0.0296853,323,1
1000.0,0.0494575,0.0349124,323,1
2000.0,0.0996577,0.053115,323,1
5000.0,0.2412354,0.079158,323,1
10000.0,0.4806987,0.1108529,323,1
20000.0,0.8687992,0.1478084,323,1
50000.0,1.8700631,0.1925195,323,1
100000.0,3.0114452,0.1955054,323,1
1000000.0,5.9973071,0.1520433,323,1
100.0,0.010717,0.0237739,273,6
200.0,0.0204154,0.0328993,273,6
500.0,0.0530492,0.0532002,273,6
1000.0,0.1038224,0.0620283,273,6
2000.0,0.2068066,0.0938795,273,6
5000.0,0.523181,0.1405441,273,6
10000.0,0.9949995,0.188695,273,6
20000.0,1.869329,0.2424906,273,6
50000.0,3.4922764,0.2520482,273,6
100000.0,4.6532654,0.227796,273,6
1000000.0,6.984716,0.1611478,273,6
100.0,0.0041436,0.0147983,298,6
200.0,0.0079316,0.0206265,298,6
500.0,0.0211953,0.033584,298,6
1000.0,0.042624,0.0473569,298,6
2000.0,0.0828659,0.0652327,298,6
5000.0,0.2111836,0.0970212,298,6
10000.0,0.4065639,0.124778,298,6
20000.0,0.7898836,0.1712065,298,6
50000.0,1.7921908,0.252274,298,6
100000.0,2.9301218,0.2609414,298,6
1000000.0,6.0077161,0.1769583,298,6
100.0,0.002101,0.0106944,323,6
200.0,0.003995,0.014629,323,6
500.0,0.0098151,0.0226074,323,6
1000.0,0.0195665,0.0322712,323,6
2000.0,0.0401016,0.0463162,323,6
5000.0,0.0983207,0.0718659,323,6
10000.0,0.1929488,0.0894954,323,6
20000.0,0.3797803,0.1250264,323,6
50000.0,0.8964809999999999,0.1745486,323,6
100000.0,1.6074754,0.2392375,323,6
1000000.0,5.0261079,0.2052021,323,6
100.0,0.0155556,0.0286904,273,2
200.0,0.0311908,0.0405607,273,2
500.0,0.0790725,0.0650239,273,2
1000.0,0.1519658,0.07967249999999998,273,2
2000.0,0.3089425,0.111423,273,2
5000.0,0.7626364,0.1700903,273,2
10000.0,1.4497744,0.2181162,273,2
20000.0,2.5901226,0.2844761,273,2
50000.0,4.2842192,0.2635354,273,2
100000.0,5.3339108,0.208456,273,2
1000000.0,7.3896219,0.1583185,273,2
100.0,0.0062976,0.0184863,298,2
200.0,0.0119691,0.0250934,298,2
500.0,0.0299068,0.0396861,298,2
1000.0,0.0607368,0.056563,298,2
2000.0,0.122556,0.0679906,298,2
5000.0,0.2972487,0.1113124,298,2
10000.0,0.5824428,0.1532612,298,2
20000.0,1.1305715,0.1938726,298,2
50000.0,2.339498,0.2537625,298,2
100000.0,3.6151805,0.2583349,298,2
1000000.0,6.480876,0.1644655,298,2
100.0,0.0028278,0.0122669,323,2
200.0,0.0053161,0.0165883,323,2
500.0,0.0139533,0.0274365,323,2
1000.0,0.0284903,0.0392615,323,2
2000.0,0.0549167,0.0543406,323,2
5000.0,0.1384246,0.0736321,323,2
10000.0,0.2772159,0.1056036,323,2
20000.0,0.5345828,0.1441013,323,2
50000.0,1.211435,0.2015649,323,2
100000.0,2.1176264,0.2449107,323,2
1000000.0,5.5255647,0.2064138,323,2
100.0,0.0083225,0.0171437,273,8
200.0,0.0161215,0.0237121,273,8
500.0,0.0410996,0.0380838,273,8
1000.0,0.08205419999999998,0.0540956,273,8
2000.0,0.162453,0.0688842,273,8
5000.0,0.4064767,0.1053141,273,8
10000.0,0.7986613999999999,0.1366814,273,8
20000.0,1.5681792,0.2000933,273,8
50000.0,3.2322793,0.2204624,273,8
100000.0,4.5000146,0.2007922,273,8
1000000.0,6.9625472,0.135426,273,8
100.0,0.0036183,0.0111756,298,8
200.0,0.0070386,0.0158415,298,8
500.0,0.0174443,0.025044,298,8
1000.0,0.0345527,0.03464,298,8
2000.0,0.0683979,0.0498276,298,8
5000.0,0.1704112,0.070461,298,8
10000.0,0.3400088,0.09877540000000001,298,8
20000.0,0.6607618,0.1240606,298,8
50000.0,1.5431859,0.196228,298,8
100000.0,2.7054715,0.2192921,298,8
1000000.0,6.0146972,0.148985,298,8
100.0,0.0017367,0.0078843,323,8
200.0,0.0032575,0.0106355,323,8
500.0,0.0084746,0.01732,323,8
1000.0,0.0163903,0.0239539,323,8
2000.0,0.0330459,0.0342554,323,8
5000.0,0.0823336,0.054197,323,8
10000.0,0.1642746,0.0748578,323,8
20000.0,0.3231693,0.1064702,323,8
50000.0,0.7700513,0.1576278,323,8
100000.0,1.436919,0.2077497,323,8
1000000.0,5.0097363,0.2151372,323,8
100.0,0.0127579,0.0213627,273,4
200.0,0.0259012,0.0305049,273,4
500.0,0.0640333,0.047491,273,4
1000.0,0.1265917,0.0587413,273,4
2000.0,0.2600061,0.0861519,273,4
5000.0,0.6232713,0.1236141,273,4
10000.0,1.2007285,0.1782168,273,4
20000.0,2.2472547,0.229019,273,4
50000.0,4.0975281,0.2213107,273,4
100000.0,5.2225649,0.1804263,273,4
1000000.0,7.362579099999999,0.1285229,273,4
100.0,0.0048881,0.0132294,298,4
200.0,0.0100485,0.0185003,298,4
500.0,0.02617,0.0304436,298,4
1000.0,0.050851,0.042616,298,4
2000.0,0.1022927,0.051861,298,4
5000.0,0.2547608,0.08263199999999998,298,4
10000.0,0.4985533,0.1116829,298,4
20000.0,0.9531026,0.1566418,298,4
50000.0,2.1676199,0.2143402,298,4
100000.0,3.4436867,0.218072,298,4
1000000.0,6.4798599,0.1418829,298,4
100.0,0.0024264,0.0093909,323,4
200.0,0.0047891,0.01319,323,4
500.0,0.0120646,0.0207313,323,4
1000.0,0.0235326,0.028884,323,4
2000.0,0.0474131,0.0412472,323,4
5000.0,0.1194254,0.0656024,323,4
10000.0,0.2300869,0.08804399999999998,323,4
20000.0,0.4592896,0.1240039,323,4
50000.0,1.0683275,0.1770351,323,4
100000.0,1.9759892,0.2353735,323,4
1000000.0,5.5431949,0.2095245,323,4
100.0,0.0319035,0.0289491,273,7
200.0,0.0664809,0.03993,273,7
500.0,0.1581733,0.0638661,273,7
1000.0,0.3233214,0.0937615,273,7
2000.0,0.6107782,0.1161547,273,7
5000.0,1.3881025,0.1761688,273,7
10000.0,2.3116557,0.1933925,273,7
20000.0,3.4871388,0.2003844,273,7
50000.0,4.9334873,0.1857595,273,7
100000.0,5.8492579,0.1749428,273,7
1000000.0,7.5075957,0.1269976,273,7
100.0,0.0110106,0.0196291,298,7
200.0,0.0229133,0.0283434,298,7
500.0,0.0549893,0.0382951,298,7
1000.0,0.111793,0.0527353,298,7
2000.0,0.2234678,0.07611579999999998,298,7
5000.0,0.5261069,0.1105444,298,7
10000.0,0.9676772,0.1483948,298,7
20000.0,1.7265745,0.1910844,298,7
50000.0,3.0981863,0.2020113,298,7
100000.0,4.2215361,0.1882433,298,7
1000000.0,6.7855868,0.1309694,298,7
100.0,0.0047961,0.0128705,323,7
200.0,0.0091608,0.0179975,323,7
500.0,0.0231469,0.0285897,323,7
1000.0,0.0472079,0.035045,323,7
2000.0,0.0919117,0.0506278,323,7
5000.0,0.2264156,0.077728,323,7
10000.0,0.4426841,0.1034873,323,7
20000.0,0.8275941999999998,0.1343459,323,7
50000.0,1.7029992,0.190478,323,7
100000.0,2.7117201,0.1944381,323,7
1000000.0,5.8375645,0.1456603,323,7
100.0,0.0516656,0.0380055,273,3
200.0,0.0979635,0.050251,273,3
500.0,0.2389533,0.07828259999999998,273,3
1000.0,0.4872065,0.1098173,273,3
2000.0,0.8892784,0.140221,273,3
5000.0,2.0154481,0.2103751,273,3
10000.0,3.2553675,0.2039769,273,3
20000.0,4.3999046,0.1974655,273,3
50000.0,5.7431954,0.1500154,273,3
100000.0,6.4232073,0.1439523,273,3
1000000.0,7.9236826,0.0870901,273,3
100.0,0.0167263,0.0244196,298,3
200.0,0.0336613,0.0293913,298,3
500.0,0.0843815,0.0464154,298,3
1000.0,0.1644841,0.0662316,298,3
2000.0,0.3214751,0.0921941,298,3
5000.0,0.7413027,0.12961,298,3
10000.0,1.360284,0.1698361,298,3
20000.0,2.3469168,0.2029826,298,3
50000.0,3.9282954,0.2077133,298,3
100000.0,5.0117697,0.1782453,298,3
1000000.0,7.252048099999999,0.1269959,298,3
100.0,0.0065186,0.0151939,323,3
200.0,0.013016,0.0213446,323,3
500.0,0.0325048,0.0342966,323,3
1000.0,0.0641642,0.0412431,323,3
2000.0,0.1298775,0.0592848,323,3
5000.0,0.3184086,0.0903123,323,3
10000.0,0.6117362,0.1148217,323,3
20000.0,1.109535,0.1643344,323,3
50000.0,2.262071,0.1938942,323,3
100000.0,3.3893087,0.1893928,323,3
1000000.0,6.3932556,0.1571305,323,3
