Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002416,0.0025491,273,5
200.0,0.0004071,0.0033435,273,5
500.0,0.0011182,0.0054892,273,5
1000.0,0.0021116,0.0074699,273,5
2000.0,0.0043481,0.0108272,273,5
5000.0,0.0109108,0.017127,273,5
10000.0,0.0221989,0.0247707,273,5
20000.0,0.044425,0.0347164,273,5
50000.0,0.1087066,0.0536245,273,5
100000.0,0.2106686,0.0688779,273,5
100.0,0.0001357,0.0019144,298,5
200.0,0.000315,0.0030066,298,5
500.0,0.0007871,0.0046663,298,5
1000.0,0.0015226,0.0064316,298,5
2000.0,0.0030534,0.0091012,298,5
5000.0,0.0071979,0.0138732,298,5
10000.0,0.0147731,0.0201841,298,5
20000.0,0.0301378,0.0286082,298,5
50000.0,0.07485859999999998,0.0449613,298,5
100000.0,0.1474075,0.0556425,298,5
100.0,8.69e-05,0.0015329,323,5
200.0,0.0002334,0.0025061,323,5
500.0,0.0005483,0.0038376,323,5
1000.0,0.0010178,0.0052414,323,5
2000.0,0.0021605,0.0077371,323,5
5000.0,0.0051976,0.0120475,323,5
10000.0,0.0105743,0.0167929,323,5
20000.0,0.0209287,0.0238737,323,5
50000.0,0.0545244,0.0383186,323,5
100000.0,0.1058785,0.0537152,323,5
100.0,0.0002958,0.0028182,273,1
200.0,0.0007087,0.0043959,273,1
500.0,0.0015498,0.0064594,273,1
1000.0,0.0031403,0.0091605,273,1
2000.0,0.0063185,0.0129713,273,1
5000.0,0.0157637,0.0206251,273,1
10000.0,0.0309656,0.029,273,1
20000.0,0.0628241,0.0408679,273,1
50000.0,0.1548158,0.0584471,273,1
100000.0,0.3128902,0.081322,273,1
100.0,0.0002226,0.0024477,298,1
200.0,0.0003474,0.003051,298,1
500.0,0.0009771,0.0051714,298,1
1000.0,0.0019949,0.0072978,298,1
2000.0,0.0041798,0.0106678,298,1
5000.0,0.0104359,0.0167456,298,1
10000.0,0.0208496,0.0238129,298,1
20000.0,0.0416774,0.0331298,298,1
50000.0,0.1006483,0.0519685,298,1
100000.0,0.2045482,0.0666859,298,1
100.0,0.000133,0.0018952,323,1
200.0,0.0002443,0.0025918,323,1
500.0,0.0007544999999999999,0.0045922,323,1
1000.0,0.0014846,0.0063715,323,1
2000.0,0.0029937,0.0089581,323,1
5000.0,0.0071436,0.014012,323,1
10000.0,0.0145993,0.0196088,323,1
20000.0,0.02893,0.0280327,323,1
50000.0,0.07206029999999998,0.0439269,323,1
100000.0,0.1445739,0.0544617,323,1
100.0,0.0002117,0.0023877,273,6
200.0,0.0004044,0.0032883,273,6
500.0,0.0010965,0.0053989,273,6
1000.0,0.00206,0.0073802,273,6
2000.0,0.0045028,0.0111173,273,6
5000.0,0.0108457,0.0172154,273,6
10000.0,0.0214035,0.0241119,273,6
20000.0,0.0429621,0.0340008,273,6
50000.0,0.1068963,0.0523675,273,6
100000.0,0.2112114,0.0683983,273,6
100.0,0.0001574,0.002061,298,6
200.0,0.0003013,0.002895,298,6
500.0,0.0007412999999999999,0.0044901,298,6
1000.0,0.0015281,0.0064417,298,6
2000.0,0.0028363,0.0087688,298,6
5000.0,0.0072522,0.0139086,298,6
10000.0,0.0145641,0.0197156,298,6
20000.0,0.0293697,0.0279933,298,6
50000.0,0.0720929,0.0440176,298,6
100000.0,0.1434557,0.0540981,298,6
100.0,9.5e-05,0.0016029,323,6
200.0,0.0002171,0.0024179,323,6
500.0,0.0004505,0.0034678,323,6
1000.0,0.0010612,0.0054263,323,6
2000.0,0.002136,0.007517099999999999,323,6
5000.0,0.0053061,0.0119014,323,6
10000.0,0.0106693,0.0167172,323,6
20000.0,0.0209772,0.0239558,323,6
50000.0,0.0528245,0.0373957,323,6
100000.0,0.104193,0.052721,323,6
100.0,0.0003257,0.0029553,273,2
200.0,0.0006433,0.0041993,273,2
500.0,0.0016339,0.0066691,273,2
1000.0,0.0029801,0.008925499999999998,273,2
2000.0,0.0062805,0.0129386,273,2
5000.0,0.0160107,0.0205759,273,2
10000.0,0.0304608,0.0287819,273,2
20000.0,0.0623627,0.0411912,273,2
