Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004374,0.0050296,273,5
200.0,0.0008974,0.0071285,273,5
500.0,0.0023061,0.0113816,273,5
1000.0,0.0040953,0.0153152,273,5
2000.0,0.0094175,0.0228413,273,5
5000.0,0.022936,0.0358764,273,5
10000.0,0.0456903,0.050509,273,5
20000.0,0.0901935,0.0715116,273,5
50000.0,0.2249469,0.098669,273,5
100000.0,0.4358015,0.1309083,273,5
100.0,0.0003124,0.0042769,298,5
200.0,0.0005396,0.0056258,298,5
500.0,0.0013007,0.0086096,298,5
1000.0,0.0028911,0.0128159,298,5
2000.0,0.0055096,0.0176713,298,5
5000.0,0.014024,0.0281573,298,5
10000.0,0.0272131,0.03931,298,5
20000.0,0.0542217,0.0555641,298,5
50000.0,0.1342025,0.08718729999999998,298,5
100000.0,0.2621512,0.1057382,298,5
100.0,0.0001988,0.0033545,323,5
200.0,0.0003067,0.0041627,323,5
500.0,0.0007672,0.0066056,323,5
1000.0,0.0016026,0.0095415,323,5
2000.0,0.003675,0.0143374,323,5
5000.0,0.0089574,0.022537,323,5
10000.0,0.0171821,0.0310691,323,5
20000.0,0.0350118,0.0448418,323,5
50000.0,0.0868593,0.0698102,323,5
100000.0,0.1716573,0.098324,323,5
100.0,0.0006702,0.006186,273,1
200.0,0.0013184,0.008590399999999998,273,1
500.0,0.0029082,0.0127995,273,1
1000.0,0.006356,0.0190581,273,1
2000.0,0.0125586,0.0265091,273,1
5000.0,0.031648,0.0425089,273,1
10000.0,0.0621113,0.0590221,273,1
20000.0,0.1251541,0.0833561,273,1
50000.0,0.3041665,0.1162007,273,1
100000.0,0.5858432,0.1483008,273,1
100.0,0.0003976,0.0047356,298,1
200.0,0.0007782,0.0066513,298,1
500.0,0.0019596,0.0105517,298,1
1000.0,0.0035728,0.0143407,298,1
2000.0,0.007605599999999999,0.0205874,298,1
5000.0,0.0178297,0.031766,298,1
10000.0,0.0371305,0.0453044,298,1
20000.0,0.0734544,0.0638553,298,1
50000.0,0.1806539,0.1000804,298,1
100000.0,0.3511399,0.1249096,298,1
100.0,0.0003181,0.0042386,323,1
200.0,0.0004828,0.0052144,323,1
500.0,0.0012326,0.0083536,323,1
1000.0,0.0023255,0.0114543,323,1
2000.0,0.0046179,0.0161747,323,1
5000.0,0.0114737,0.0256545,323,1
10000.0,0.022618,0.035664,323,1
20000.0,0.0460879,0.0503327,323,1
50000.0,0.1150437,0.07964939999999998,323,1
100000.0,0.2267702,0.0978921,323,1
100.0,0.0004544,0.00506,273,6
200.0,0.0007668,0.0066526,273,6
500.0,0.0023118,0.0115911,273,6
1000.0,0.0043112,0.0156731,273,6
2000.0,0.0085371,0.0221529,273,6
5000.0,0.0220499,0.0352209,273,6
10000.0,0.0438784,0.0498404,273,6
20000.0,0.08417829999999998,0.0689249,273,6
50000.0,0.2103832,0.0965186,273,6
100000.0,0.4057484,0.134386,273,6
100.0,0.0002329,0.0036295,298,6
200.0,0.0004544,0.00506,298,6
500.0,0.0012559,0.008429199999999998,298,6
1000.0,0.0025447,0.0120483,298,6
2000.0,0.0051972,0.0171089,298,6
5000.0,0.0129789,0.0271865,298,6
10000.0,0.0265201,0.0387371,298,6
20000.0,0.0518564,0.0542878,298,6
50000.0,0.1283139,0.08501409999999998,298,6
100000.0,0.2538072,0.1036854,298,6
100.0,0.0001931,0.0033064,323,6
200.0,0.000426,0.0049006,323,6
500.0,0.0008576999999999999,0.0069733,323,6
1000.0,0.0016245,0.0096698,323,6
2000.0,0.0035444,0.0141553,323,6
5000.0,0.0083724,0.0215747,323,6
10000.0,0.0169947,0.0311772,323,6
20000.0,0.0332226,0.0430108,323,6
50000.0,0.0836784,0.0689484,323,6
100000.0,0.1664594,0.0956238,323,6
100.0,0.0005396,0.0055099,273,2
200.0,0.001261,0.008483499999999998,273,2
500.0,0.0027505,0.0124288,273,2
1000.0,0.0064639,0.0192494,273,2
2000.0,0.0117691,0.0260211,273,2
5000.0,0.0292806,0.040879,273,2
10000.0,0.0583966,0.0567525,273,2
20000.0,0.116914,0.0804905,273,2
50000.0,0.2845476,0.1111782,273,2
100000.0,0.5586439,0.1531286,273,2
100.0,0.0004033,0.0047691,298,2
200.0,0.0007611,0.0065309,298,2
500.0,0.0017154,0.0100149,298,2
1000.0,0.0036636,0.0143178,298,2
2000.0,0.0070433,0.0199873,298,2
5000.0,0.0179944,0.0324329,298,2
10000.0,0.0348812,0.0444128,298,2
20000.0,0.068564,0.0617304,298,2
50000.0,0.1727188,0.0979003,298,2
100000.0,0.3334471,0.1199604,298,2
100.0,0.0002272,0.0035852,323,2
200.0,0.0004374,0.004965,323,2
500.0,0.0011871,0.0082435,323,2
1000.0,0.0022402,0.0112582,323,2
2000.0,0.0046236,0.0162626,323,2
5000.0,0.0111272,0.025116,323,2
10000.0,0.0225725,0.035936,323,2
20000.0,0.0445198,0.0499251,323,2
50000.0,0.1123791,0.07948439999999998,323,2
100000.0,0.2189033,0.1113456,323,2
100.0,0.0004658,0.005185,273,8
200.0,0.0009372,0.007324299999999998,273,8
500.0,0.0020675,0.010848,273,8
1000.0,0.0040499,0.0153273,273,8
2000.0,0.0083198,0.0216759,273,8
5000.0,0.0211752,0.0343171,273,8
10000.0,0.0415362,0.0488678,273,8
20000.0,0.08346259999999998,0.0690462,273,8
50000.0,0.2075602,0.1056858,273,8
100000.0,0.3945758,0.129611,273,8
100.0,0.0002726,0.0039258,298,8
200.0,0.0005737,0.0056795,298,8
500.0,0.0012218,0.0082797,298,8
1000.0,0.0025787,0.0120678,298,8
2000.0,0.0050382,0.0169483,298,8
5000.0,0.0133992,0.0273382,298,8
10000.0,0.0257306,0.038204,298,8
20000.0,0.0505013,0.0530591,298,8
50000.0,0.1249951,0.08389489999999998,298,8
100000.0,0.2474626,0.102342,298,8
100.0,0.0001704,0.0031064,323,8
200.0,0.0003294,0.0043132,323,8
500.0,0.0009088,0.0071722,323,8
1000.0,0.001704,0.0098217,323,8
2000.0,0.003692,0.0145674,323,8
5000.0,0.008361,0.0215642,323,8
10000.0,0.0163642,0.0305298,323,8
20000.0,0.0334555,0.0438461,323,8
50000.0,0.0822641,0.0680641,323,8
100000.0,0.1646361,0.0958599,323,8
100.0,0.0006362,0.0060844,273,4
200.0,0.001136,0.007992499999999998,273,4
500.0,0.0027321,0.0124944,273,4
1000.0,0.0059186,0.0183301,273,4
2000.0,0.0107921,0.0247522,273,4
5000.0,0.0292101,0.0407909,273,4
10000.0,0.0587544,0.0575626,273,4
20000.0,0.1135782,0.0800947,273,4
50000.0,0.2817462,0.1080176,273,4
100000.0,0.542926,0.1449515,273,4
100.0,0.000301,0.0041242,298,4
200.0,0.000693,0.0062354,298,4
500.0,0.0016415,0.0097168,298,4
1000.0,0.0033683,0.0138416,298,4
2000.0,0.0070205,0.020156,298,4
5000.0,0.0163131,0.0307204,298,4
10000.0,0.0356772,0.045376,298,4
20000.0,0.0690523,0.0627478,298,4
50000.0,0.1685781,0.0964683,298,4
100000.0,0.3243198,0.1180828,298,4
100.0,0.0002158,0.0034948,323,4
200.0,0.0005112,0.0053643,323,4
500.0,0.0010224,0.0075943,323,4
1000.0,0.0021982,0.0113035,323,4
2000.0,0.0045781,0.0160358,323,4
5000.0,0.0108489,0.0245309,323,4
10000.0,0.0222431,0.0355196,323,4
20000.0,0.0440538,0.0502983,323,4
50000.0,0.1104939,0.07918939999999998,323,4
100000.0,0.2157849,0.1083773,323,4
100.0,0.0004374,0.0050296,273,7
200.0,0.0009031000000000002,0.00724,273,7
500.0,0.0021925,0.0111754,273,7
1000.0,0.0044475,0.0159618,273,7
2000.0,0.0084746,0.0219355,273,7
5000.0,0.0209519,0.0343508,273,7
10000.0,0.042447,0.0489422,273,7
20000.0,0.0845418,0.0684738,273,7
50000.0,0.2062254,0.1050228,273,7
100000.0,0.4014884,0.1351543,273,7
100.0,0.0002499,0.0037594,298,7
200.0,0.0004487,0.0050923,298,7
500.0,0.0013348,0.0087162,298,7
1000.0,0.0024651,0.0119033,298,7
2000.0,0.0052256,0.0172786,298,7
5000.0,0.0125819,0.026851,298,7
10000.0,0.0253116,0.0379988,298,7
20000.0,0.0508137,0.0529401,298,7
50000.0,0.127074,0.0842436,298,7
100000.0,0.2514727,0.1052306,298,7
100.0,0.0001874,0.0032576,323,7
200.0,0.0003522,0.0044586,323,7
500.0,0.000852,0.0069042,323,7
1000.0,0.0017495,0.0099768,323,7
2000.0,0.0030899,0.0131552,323,7
5000.0,0.008361,0.0217874,323,7
10000.0,0.0162677,0.0300761,323,7
20000.0,0.033836,0.0434678,323,7
50000.0,0.0833547,0.0685227,323,7
100000.0,0.163716,0.0959179,323,7
100.0,0.0007157,0.0063355,273,3
200.0,0.0011871,0.0081649,273,3
500.0,0.0028116,0.012758,273,3
1000.0,0.0058732,0.0182389,273,3
2000.0,0.0112408,0.0248846,273,3
