Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1300517,0.053507,273,5
200.0,0.2380833,0.0762621,273,5
500.0,0.5276047,0.0981788,273,5
1000.0,0.8214837,0.1156124,273,5
2000.0,1.3136257,0.1280894,273,5
5000.0,2.1818522,0.1287851,273,5
10000.0,2.8899807,0.1557939,273,5
20000.0,3.6052321,0.1332185,273,5
50000.0,4.0847933,0.1122874,273,5
100000.0,4.4911092,0.08626699999999998,273,5
1000000.0,4.7860813,0.0176243,273,5
100.0,0.0291868,0.0259063,298,5
200.0,0.0614686,0.0389603,298,5
500.0,0.1311477,0.0530358,298,5
1000.0,0.2739576,0.0749243,298,5
2000.0,0.4916081,0.1000739,298,5
5000.0,0.9426327000000002,0.1040127,298,5
10000.0,1.4640763,0.1430516,298,5
20000.0,2.1603036,0.1634063,298,5
50000.0,2.9358193,0.1521098,298,5
100000.0,3.6596635,0.1041162,298,5
1000000.0,4.4553532,0.0847697,298,5
100.0,0.0087611,0.0142687,323,5
200.0,0.0166897,0.020428,323,5
500.0,0.0438256,0.0312991,323,5
1000.0,0.082776,0.0422028,323,5
2000.0,0.1788299,0.0601349,323,5
5000.0,0.3832763,0.0927996,323,5
10000.0,0.6436947,0.1119626,323,5
20000.0,1.0757299,0.1446156,323,5
50000.0,1.8673623,0.1485008,323,5
100000.0,2.5029945,0.1467304,323,5
1000000.0,4.074819,0.1483435,323,5
100.0,0.425052,0.0870979,273,1
200.0,0.7423358,0.1043747,273,1
500.0,1.2903191,0.1561769,273,1
1000.0,2.1401539,0.1442784,273,1
2000.0,2.9204299,0.161852,273,1
5000.0,3.8359888,0.1381189,273,1
10000.0,4.3040339,0.1267818,273,1
20000.0,4.4798819,0.0645761,273,1
50000.0,4.6343201,0.0643705,273,1
100000.0,4.7730997,0.0314156,273,1
1000000.0,4.8097999,0.0212583,273,1
100.0,0.0962175,0.046421,298,1
200.0,0.1923545,0.0615808,298,1
500.0,0.451855,0.0935284,298,1
1000.0,0.7338365999999998,0.1280305,298,1
2000.0,1.2567653,0.1356406,298,1
5000.0,2.1621099,0.159261,298,1
10000.0,2.959177,0.1460277,298,1
20000.0,3.5669643,0.1341491,298,1
50000.0,4.1004885,0.1241013,298,1
100000.0,4.3862133,0.08571829999999998,298,1
1000000.0,4.763517,0.0257234,298,1
100.0,0.0291264,0.0259994,323,1
200.0,0.0574338,0.0357915,323,1
500.0,0.1249277,0.050084,323,1
1000.0,0.2654164,0.0733719,323,1
2000.0,0.4781964,0.0964317,323,1
5000.0,0.9337668,0.1372328,323,1
10000.0,1.463504,0.1513519,323,1
20000.0,2.2354526,0.1759094,323,1
50000.0,3.1705465,0.1281269,323,1
100000.0,3.7357856,0.1246799,323,1
1000000.0,4.6389313,0.07513939999999998,323,1
100.0,0.0180626,0.0214857,273,6
200.0,0.0354539,0.0296997,273,6
500.0,0.0871208,0.0464286,273,6
1000.0,0.1789745,0.0666119,273,6
2000.0,0.3466668,0.0834247,273,6
5000.0,0.7986952,0.1353222,273,6
10000.0,1.3477824,0.1439386,273,6
20000.0,2.0137901,0.1643901,273,6
50000.0,2.8078295,0.1265619,273,6
100000.0,3.161132,0.0946271,273,6
1000000.0,3.7153877,0.0568267,273,6
100.0,0.0055621,0.0137603,298,6
200.0,0.0113928,0.019254,298,6
500.0,0.0295527,0.0272764,298,6
1000.0,0.0549498,0.0367679,298,6
2000.0,0.1093659,0.0501402,298,6
5000.0,0.2753197,0.0792466,298,6
10000.0,0.5224341,0.1070564,298,6
20000.0,0.8773622,0.1280787,298,6
50000.0,1.7448333,0.1495228,298,6
100000.0,2.3956451,0.1669631,298,6
1000000.0,3.4278683,0.08668639999999998,298,6
100.0,0.0021584,0.0085426,323,6
200.0,0.0044578,0.0122952,323,6
500.0,0.0104797,0.0186694,323,6
1000.0,0.0212817,0.0233756,323,6
2000.0,0.0438659,0.0342515,323,6
5000.0,0.1016286,0.0499312,323,6
10000.0,0.198113,0.0647756,323,6
20000.0,0.3959708,0.0996058,323,6
50000.0,0.8127774,0.1292935,323,6
100000.0,1.3541218,0.1488408,323,6
1000000.0,3.1027349,0.1096084,323,6
100.0,0.0707063,0.0402215,273,2
200.0,0.1403449,0.0573419,273,2
500.0,0.358246,0.096625,273,2
1000.0,0.6490734,0.1148623,273,2
2000.0,1.2004499,0.150312,273,2
5000.0,2.0852696,0.1462634,273,2
10000.0,2.7147163,0.1309461,273,2
20000.0,3.1399123,0.1033858,273,2
50000.0,3.4617184,0.07580549999999998,273,2
100000.0,3.6681657,0.0653293,273,2
1000000.0,4.1541469,0.097377,273,2
100.0,0.0204929,0.0227675,298,2
200.0,0.039341,0.0309797,298,2
500.0,0.0941834,0.0476047,298,2
1000.0,0.1978226,0.0689833,298,2
2000.0,0.3764855,0.0955256,298,2
5000.0,0.8221308,0.1165966,298,2
10000.0,1.4149755,0.1642558,298,2
20000.0,2.1015573,0.1443184,298,2
50000.0,2.9010665,0.1148107,298,2
100000.0,3.2264696,0.0999871,298,2
1000000.0,3.7982132,0.0809234,298,2
100.0,0.0069721,0.0152643,323,2
200.0,0.0136552,0.0214861,323,2
500.0,0.0332821,0.0295598,323,2
1000.0,0.0684909,0.0399489,323,2
2000.0,0.1330913,0.0561029,323,2
5000.0,0.334207,0.08488289999999998,323,2
10000.0,0.5805276,0.1094319,323,2
20000.0,1.027875,0.121777,323,2
50000.0,1.8805683,0.1369105,323,2
100000.0,2.5328875,0.1369424,323,2
1000000.0,3.5202191,0.0695401,323,2
100.0,0.0177337,0.0209561,273,8
200.0,0.0376895,0.0298328,273,8
500.0,0.0928877,0.048584,273,8
1000.0,0.175262,0.0676151,273,8
2000.0,0.3464059,0.08876639999999998,273,8
5000.0,0.7513343999999998,0.1193786,273,8
10000.0,1.3213025,0.1452166,273,8
20000.0,1.9697398,0.170233,273,8
50000.0,2.7893173,0.1193868,273,8
100000.0,3.1569224,0.1050655,273,8
1000000.0,3.5844938,0.0385554,273,8
100.0,0.0055554,0.0134567,298,8
200.0,0.0107684,0.0189555,298,8
500.0,0.0281328,0.0263443,298,8
1000.0,0.0566886,0.03817,298,8
2000.0,0.1134477,0.0530723,298,8
5000.0,0.2636516,0.08223189999999998,298,8
10000.0,0.5200909,0.1083506,298,8
20000.0,0.9009585000000001,0.1263342,298,8
50000.0,1.7116032,0.1620138,298,8
100000.0,2.4024406,0.1441404,298,8
1000000.0,3.44556,0.0658315,298,8
100.0,0.0020946,0.0083519,323,8
200.0,0.0041288,0.0118332,323,8
500.0,0.0105469,0.0188181,323,8
1000.0,0.0214093,0.0265673,323,8
2000.0,0.0409959,0.037236,323,8
5000.0,0.1015648,0.0592675,323,8
10000.0,0.2044153,0.0795416,323,8
20000.0,0.3826949,0.1076606,323,8
50000.0,0.8281566,0.1427781,323,8
100000.0,1.3699285,0.1704698,323,8
1000000.0,3.1212403,0.1256461,323,8
100.0,0.0621332,0.0390451,273,4
200.0,0.1199127,0.0540578,273,4
500.0,0.2898539,0.0807505,273,4
1000.0,0.5549111,0.1067649,273,4
2000.0,0.9877335,0.136435,273,4
5000.0,1.8466714,0.1538236,273,4
10000.0,2.433818,0.1491673,273,4
20000.0,2.9512006,0.1118261,273,4
50000.0,3.3381343,0.07809099999999998,273,4
100000.0,3.4798248,0.0579031,273,4
1000000.0,3.7110463,0.0379989,273,4
100.0,0.0171227,0.0238612,298,4
200.0,0.0346785,0.0295327,298,4
500.0,0.08502619999999998,0.0451797,298,4
1000.0,0.1712238,0.0651327,298,4
2000.0,0.331996,0.0887952,298,4
5000.0,0.7220143999999998,0.1190007,298,4
10000.0,1.2425179,0.1637905,298,4
20000.0,1.8982646,0.149239,298,4
50000.0,2.6955954,0.1275989,298,4
100000.0,3.1054427,0.0992329,298,4
1000000.0,3.601582,0.0460391,298,4
100.0,0.0064651,0.0145043,323,4
200.0,0.0120876,0.0200403,323,4
500.0,0.0300697,0.0315916,323,4
1000.0,0.0599111,0.0447629,323,4
2000.0,0.1170897,0.0618429,323,4
5000.0,0.2785287,0.0890746,323,4
10000.0,0.5360302,0.1202492,323,4
20000.0,0.9260599,0.1580578,323,4
50000.0,1.6959825,0.1756023,323,4
100000.0,2.3489469,0.1637902,323,4
1000000.0,3.4434705,0.08481239999999998,323,4
100.0,0.0692707,0.0402927,273,7
200.0,0.1504739,0.0597922,273,7
500.0,0.3676996,0.0890596,273,7
1000.0,0.7368156999999999,0.1340466,273,7
2000.0,1.4888336,0.1615726,273,7
5000.0,2.5982029,0.1635826,273,7
10000.0,3.1488116,0.1190629,273,7
20000.0,3.4573726,0.0889304,273,7
50000.0,3.6332556,0.07332629999999998,273,7
100000.0,3.8069725,0.0570395,273,7
1000000.0,4.4798974,0.0378681,273,7
100.0,0.0183077,0.0225512,298,7
200.0,0.0381393,0.0297334,298,7
500.0,0.0923405,0.0444398,298,7
1000.0,0.1846592,0.068431,298,7
2000.0,0.4013166,0.0980092,298,7
5000.0,0.9275187,0.1491075,298,7
10000.0,1.6498896,0.1966097,298,7
20000.0,2.5217695,0.1604816,298,7
50000.0,3.2282361,0.0953592,298,7
100000.0,3.462453,0.0824661,298,7
1000000.0,4.0451616,0.0722504,298,7
100.0,0.0058206,0.0140074,323,7
200.0,0.011856,0.017121,323,7
500.0,0.0296534,0.0266592,323,7
1000.0,0.0591793,0.0394834,323,7
2000.0,0.1216654,0.0541224,323,7
5000.0,0.2995238,0.0827819,323,7
10000.0,0.5828325,0.1187996,323,7
20000.0,1.1149791,0.1527744,323,7
50000.0,2.0266025,0.1853551,323,7
100000.0,2.8437251,0.1522642,323,7
1000000.0,3.7024195,0.0856041,323,7
100.0,0.2851409,0.07440779999999998,273,3
200.0,0.5821729,0.1115537,273,3
500.0,1.4384141,0.1952398,273,3
1000.0,2.4775524,0.1690898,273,3
2000.0,3.0457467,0.128802,273,3
5000.0,3.5024596,0.08339679999999998,273,3
10000.0,3.7075906,0.0868377,273,3
20000.0,3.9887241,0.0603196,273,3
50000.0,4.1641975,0.0830502,273,3
100000.0,4.3850791,0.0573703,273,3
1000000.0,4.7255407,0.08837109999999998,273,3
100.0,0.0645521,0.0383915,298,3
200.0,0.1222826,0.0570213,298,3
500.0,0.3188867,0.08819789999999998,298,3
1000.0,0.6530298,0.1246153,298,3
2000.0,1.2316671,0.180969,298,3
5000.0,2.4184161,0.1598292,298,3
10000.0,3.046886,0.1159402,298,3
20000.0,3.4007696,0.0898887,298,3
50000.0,3.7117101,0.0798228,298,3
100000.0,3.897107,0.0599992,298,3
1000000.0,4.4604003,0.1247346,298,3
100.0,0.0187105,0.0218808,323,3
200.0,0.0372986,0.0304145,323,3
500.0,0.0944586,0.047421,323,3
1000.0,0.1826065,0.0675907,323,3
2000.0,0.376153,0.0976387,323,3
5000.0,0.8630287,0.1349231,323,3
10000.0,1.6368311,0.1995215,323,3
20000.0,2.4168241,0.1566938,323,3
50000.0,3.1532578,0.1126381,323,3
100000.0,3.5199332,0.0847239,323,3
1000000.0,4.2180184,0.0936231,323,3
