Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005471,0.0043553,273,5
200.0,0.0010339,0.005953,273,5
500.0,0.0025243,0.0092139,273,5
1000.0,0.0047834,0.0125685,273,5
2000.0,0.0095029,0.0176845,273,5
5000.0,0.0247123,0.0245458,273,5
10000.0,0.0496932,0.0347467,273,5
20000.0,0.0977415,0.0488289,273,5
50000.0,0.2316183,0.0750867,273,5
100000.0,0.453131,0.0984932,273,5
100.0,0.0002249,0.0027384,298,5
200.0,0.0005035,0.0040802,298,5
500.0,0.0011715,0.0063408,298,5
1000.0,0.002296,0.0087354,298,5
2000.0,0.0045887,0.0124703,298,5
5000.0,0.0111813,0.0193805,298,5
10000.0,0.0233226,0.0280575,298,5
20000.0,0.0447621,0.0340775,298,5
50000.0,0.1083387,0.0483489,298,5
100000.0,0.2209435,0.0747252,298,5
100.0,0.0001276,0.0020653,323,5
200.0,0.0002618,0.002953,323,5
500.0,0.0005841,0.0044147,323,5
1000.0,0.0011144,0.0061802,323,5
2000.0,0.0025075,0.0092246,323,5
5000.0,0.005881,0.0139418,323,5
10000.0,0.0118258,0.019915,323,5
20000.0,0.024766,0.0285826,323,5
50000.0,0.0603508,0.0405791,323,5
100000.0,0.1167071,0.0521799,323,5
100.0,0.0011916,0.0062655,273,1
200.0,0.0024336,0.0090473,273,1
500.0,0.0060488,0.0142465,273,1
1000.0,0.011903,0.0198831,273,1
2000.0,0.0230205,0.0274531,273,1
5000.0,0.0608107,0.0387995,273,1
10000.0,0.1135887,0.0524468,273,1
20000.0,0.2308764,0.0730949,273,1
50000.0,0.5400066,0.1044043,273,1
100000.0,0.9497474,0.1371147,273,1
100.0,0.0005035,0.0041077,298,1
200.0,0.0009365,0.0055687,298,1
500.0,0.0027257,0.0096126,298,1
1000.0,0.0052365,0.0132523,298,1
2000.0,0.0105435,0.0188588,298,1
5000.0,0.0267767,0.0297592,298,1
10000.0,0.0521839,0.0371389,298,1
20000.0,0.1037818,0.0513734,298,1
50000.0,0.2552799,0.0796324,298,1
100000.0,0.4692346,0.1052193,298,1
100.0,0.0002148,0.0026768,323,1
200.0,0.0005774,0.0044664,323,1
500.0,0.0013561,0.006761,323,1
1000.0,0.0026115,0.0094077,323,1
2000.0,0.0053936,0.0134469,323,1
5000.0,0.0135042,0.0211516,323,1
10000.0,0.0260677,0.0293421,323,1
20000.0,0.0514756,0.0374563,323,1
