Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005503,0.0035709,273,5
200.0,0.0012889,0.0054854,273,5
500.0,0.0029987,0.0084291,273,5
1000.0,0.0059221,0.0118346,273,5
2000.0,0.0118654,0.0165101,273,5
5000.0,0.0293238,0.0261317,273,5
10000.0,0.0574105,0.0325444,273,5
20000.0,0.1125302,0.0455225,273,5
50000.0,0.2533937,0.0629712,273,5
100000.0,0.4508256,0.0728174,273,5
100.0,0.0002987,0.0026336,298,5
200.0,0.0005809,0.0037105,298,5
500.0,0.0014017,0.0057537,298,5
1000.0,0.0027988,0.0080393,298,5
2000.0,0.0062632,0.0120428,298,5
5000.0,0.0149253,0.0187842,298,5
10000.0,0.0293355,0.0256731,298,5
20000.0,0.058918,0.0319769,298,5
50000.0,0.141694,0.0482136,298,5
100000.0,0.2604075,0.0649128,298,5
100.0,0.0001552,0.0019044,323,5
200.0,0.000294,0.0026341,323,5
500.0,0.0009008000000000002,0.0046704,323,5
1000.0,0.0015758,0.0060473,323,5
2000.0,0.0032668,0.008705499999999998,323,5
5000.0,0.0083046,0.0139899,323,5
10000.0,0.0165787,0.0195961,323,5
20000.0,0.0330798,0.0276034,323,5
50000.0,0.08153489999999998,0.0393251,323,5
100000.0,0.1544932,0.0524493,323,5
100.0,0.0006044,0.003766,273,1
200.0,0.0011101,0.0050973,273,1
500.0,0.0028317,0.0081576,273,1
1000.0,0.0058633,0.0118801,273,1
2000.0,0.0114855,0.016335,273,1
5000.0,0.0291808,0.0260809,273,1
10000.0,0.0564956,0.0322905,273,1
20000.0,0.1089717,0.0427128,273,1
50000.0,0.2578462,0.0649327,273,1
100000.0,0.4467128,0.0752348,273,1
100.0,0.0002799,0.0025503,298,1
200.0,0.0005174,0.0034659,298,1
500.0,0.0014229,0.0057629,298,1
1000.0,0.0029375,0.0083914,298,1
2000.0,0.0061409,0.012069,298,1
5000.0,0.0148406,0.0186506,298,1
10000.0,0.0293332,0.0258122,298,1
20000.0,0.0592097,0.0332283,298,1
50000.0,0.1391328,0.0481385,298,1
100000.0,0.2607811,0.0621096,298,1
100.0,0.0001952,0.0021596,323,1
200.0,0.000294,0.002613,323,1
500.0,0.0009196,0.004631,323,1
1000.0,0.0016957,0.0063066,323,1
2000.0,0.0033844,0.008968,323,1
5000.0,0.008195799999999998,0.0138364,323,1
10000.0,0.0169785,0.019845,323,1
20000.0,0.0328799,0.0274883,323,1
50000.0,0.07842259999999998,0.0376923,323,1
100000.0,0.1556551,0.051837,323,1
100.0,0.0005151,0.0035059,273,6
200.0,0.0010772,0.005039,273,6
500.0,0.0026929,0.0079546,273,6
1000.0,0.0054823,0.0112392,273,6
2000.0,0.0112257,0.0162075,273,6
5000.0,0.0269789,0.0250749,273,6
10000.0,0.0546281,0.0305878,273,6
20000.0,0.1070714,0.0423694,273,6
50000.0,0.2481157,0.0631463,273,6
100000.0,0.423603,0.0750314,273,6
100.0,0.0002658,0.002486,298,6
200.0,0.0006068,0.0037582,298,6
500.0,0.0014142,0.0057087,298,6
1000.0,0.0030308,0.0084822,298,6
2000.0,0.0058139,0.0116863,298,6
5000.0,0.0142809,0.0184638,298,6
10000.0,0.0278654,0.0254286,298,6
20000.0,0.0567002,0.0317871,298,6
50000.0,0.1320441,0.0470688,298,6
100000.0,0.2460167,0.0621092,298,6
100.0,0.0001364,0.001786,323,6
200.0,0.0002893,0.0025923,323,6
500.0,0.0008495,0.0044385,323,6
1000.0,0.0016252,0.0061026,323,6
2000.0,0.0032527,0.0087551,323,6
5000.0,0.0081776,0.013625,323,6
10000.0,0.0164117,0.0198355,323,6
20000.0,0.031417,0.0268556,323,6
50000.0,0.0757131,0.0366512,323,6
100000.0,0.1499046,0.0511317,323,6
100.0,0.0004824,0.0033666,273,2
200.0,0.0011242,0.0051482,273,2
500.0,0.0027259,0.0080196,273,2
1000.0,0.0054706,0.011457,273,2
2000.0,0.011301,0.0161688,273,2
5000.0,0.0265767,0.0249714,273,2
10000.0,0.0533393,0.0300815,273,2
20000.0,0.1049429,0.0420194,273,2
50000.0,0.2450826,0.0625129,273,2
100000.0,0.4284036,0.07387829999999998,273,2
100.0,0.0002658,0.002486,298,2
200.0,0.000588,0.0037759,298,2
500.0,0.0014958,0.0058824,298,2
1000.0,0.0029611,0.0083501,298,2
2000.0,0.00552,0.0114453,298,2
5000.0,0.0142809,0.0182893,298,2
10000.0,0.0281031,0.0259066,298,2
20000.0,0.0565755,0.0319119,298,2
50000.0,0.1313972,0.0466313,298,2
100000.0,0.2461242,0.061966,298,2
100.0,0.0001435,0.0018613,323,2
200.0,0.0003199,0.0027241,323,2
500.0,0.0008279,0.0044476,323,2
1000.0,0.0016895,0.0062615,323,2
2000.0,0.003288,0.008833199999999998,323,2
5000.0,0.0081612,0.0137862,323,2
10000.0,0.0159837,0.0190599,323,2
20000.0,0.0310948,0.0267309,323,2
50000.0,0.0767033,0.0376651,323,2
100000.0,0.150422,0.0485249,323,2
100.0,0.0005765,0.0036822,273,8
200.0,0.001136,0.0051618,273,8
500.0,0.0028176,0.0080327,273,8
1000.0,0.0055646,0.0114889,273,8
2000.0,0.0111584,0.0162548,273,8
5000.0,0.0276657,0.0256265,273,8
10000.0,0.0549809,0.0306004,273,8
20000.0,0.1072054,0.043653,273,8
50000.0,0.2464676,0.0615622,273,8
100000.0,0.4364937,0.07515589999999998,273,8
100.0,0.0003105,0.0026843,298,8
200.0,0.0006468,0.0039456,298,8
500.0,0.0014911,0.0059769,298,8
1000.0,0.0030269,0.008536399999999998,298,8
2000.0,0.0055505,0.0115581,298,8
5000.0,0.0141445,0.0181558,298,8
10000.0,0.0279973,0.0254611,298,8
20000.0,0.0569518,0.0317605,298,8
50000.0,0.1363881,0.0487594,298,8
100000.0,0.2496546,0.0621648,298,8
100.0,0.0001576,0.0019187,323,8
200.0,0.0002916,0.0026027,323,8
500.0,0.0008283,0.0044112,323,8
1000.0,0.0015382,0.0061476,323,8
2000.0,0.0033656,0.0089008,323,8
5000.0,0.008321099999999998,0.0140571,323,8
10000.0,0.0163506,0.0197351,323,8
20000.0,0.0322355,0.027108,323,8
50000.0,0.0779875,0.0417088,323,8
100000.0,0.1516356,0.056907,323,8
100.0,0.0005456,0.0035405,273,4
200.0,0.0011219,0.0051541,273,4
500.0,0.002778,0.008126299999999998,273,4
1000.0,0.0056164,0.0115262,273,4
2000.0,0.0111128,0.016111,273,4
5000.0,0.0276445,0.0256719,273,4
10000.0,0.0534554,0.0308701,273,4
20000.0,0.1063917,0.0426364,273,4
50000.0,0.2420528,0.0583624,273,4
100000.0,0.4329941,0.07728989999999998,273,4
100.0,0.0002869,0.0025819,298,4
200.0,0.0006068,0.0037729,298,4
500.0,0.00131,0.0055056,298,4
1000.0,0.0027847,0.0080166,298,4
2000.0,0.0058916,0.0116971,298,4
5000.0,0.0141327,0.0184205,298,4
10000.0,0.0282819,0.0254714,298,4
20000.0,0.0550656,0.0300869,298,4
50000.0,0.1343819,0.0472753,298,4
100000.0,0.2530624,0.0650939,298,4
100.0,0.0001553,0.0019049,323,4
200.0,0.0002728,0.0025184,323,4
500.0,0.0007925999999999999,0.0042442,323,4
1000.0,0.0015828,0.0061498,323,4
2000.0,0.0032645,0.008804299999999998,323,4
5000.0,0.0081071,0.0137518,323,4
10000.0,0.0161107,0.0191501,323,4
20000.0,0.0318215,0.0271216,323,4
50000.0,0.0792975,0.0420746,323,4
100000.0,0.1476891,0.0562979,323,4
100.0,0.0006139,0.0037937,273,7
200.0,0.0013124,0.0056095,273,7
500.0,0.0031281,0.0085356,273,7
1000.0,0.0062444,0.0121804,273,7
2000.0,0.0124628,0.0171078,273,7
5000.0,0.0314664,0.0273261,273,7
10000.0,0.0611053,0.0329381,273,7
20000.0,0.1161239,0.0434797,273,7
50000.0,0.2765407,0.0635572,273,7
100000.0,0.4691407,0.07886709999999998,273,7
100.0,0.0003199,0.0027241,298,7
200.0,0.000635,0.0038554,298,7
500.0,0.0015617,0.0060601,298,7
1000.0,0.003074,0.0084282,298,7
2000.0,0.0061103,0.0120455,298,7
5000.0,0.0160801,0.0192665,298,7
10000.0,0.0307726,0.0269487,298,7
20000.0,0.0611524,0.0336509,298,7
50000.0,0.1442506,0.047504,298,7
100000.0,0.2689077,0.0649169,298,7
100.0,0.0002023,0.0021717,323,7
