Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1762604,0.0990672,273,5
200.0,0.4180794,0.1797045,273,5
500.0,1.0614513,0.2798068,273,5
1000.0,2.2941062,0.3632715,273,5
2000.0,4.3092746,0.3904371,273,5
5000.0,8.661603599999998,0.4797434,273,5
10000.0,10.2004002,0.2971936,273,5
20000.0,11.4195874,0.2789944,273,5
50000.0,13.366594,0.3537055,273,5
100000.0,15.4694135,0.4186731,273,5
1000000.0,20.6193056,0.3124747,273,5
100.0,0.0413944,0.0479831,298,5
200.0,0.0877256,0.07667799999999998,298,5
500.0,0.2171595,0.1114453,298,5
1000.0,0.4736169,0.1523002,298,5
2000.0,0.8543689,0.210519,298,5
5000.0,1.9777863,0.343867,298,5
10000.0,4.7326612,0.4222969,298,5
20000.0,7.9407503,0.4936949,298,5
50000.0,10.7078036,0.315681,298,5
100000.0,12.5576125,0.3639105,298,5
1000000.0,18.4028136,0.3292411,298,5
100.0,0.0140385,0.0202418,323,5
200.0,0.0256976,0.0263986,323,5
500.0,0.0631519,0.0421029,323,5
1000.0,0.1298538,0.0547288,323,5
2000.0,0.2939129,0.1027989,323,5
5000.0,0.6027087,0.1257905,323,5
10000.0,1.4116501,0.1700255,323,5
20000.0,3.0798721,0.2764536,323,5
50000.0,6.6931766,0.4287407,323,5
100000.0,9.575389500000002,0.3404717,323,5
1000000.0,16.2536646,0.2538493,323,5
100.0,0.185011,0.097587,273,1
200.0,0.4202297,0.1781163,273,1
500.0,0.9367745,0.1800554,273,1
1000.0,2.4612567,0.2667305,273,1
2000.0,5.3236536,0.576009,273,1
5000.0,9.3133268,0.3893497,273,1
10000.0,11.2285925,0.35016,273,1
20000.0,13.1081953,0.3899253,273,1
50000.0,16.0464886,0.3956897,273,1
100000.0,18.1432606,0.3817549,273,1
1000000.0,21.7649278,0.24199,273,1
100.0,0.0447959,0.0495506,298,1
200.0,0.0986086,0.08010549999999998,298,1
500.0,0.2148381,0.1103276,298,1
1000.0,0.5008894,0.1831267,298,1
2000.0,1.0070295,0.2356603,298,1
5000.0,2.5393592,0.4399255,298,1
10000.0,5.8596223,0.6127662,298,1
20000.0,9.0820984,0.6212172,298,1
50000.0,12.0955303,0.3907891,298,1
100000.0,14.4017395,0.4158816,298,1
1000000.0,20.2538678,0.2772483,298,1
100.0,0.0141403,0.0196929,323,1
200.0,0.0275807,0.0278997,323,1
500.0,0.07769089999999998,0.0450665,323,1
1000.0,0.1540288,0.0679583,323,1
2000.0,0.3043927,0.0951576,323,1
5000.0,0.7987773999999999,0.1715967,323,1
10000.0,1.5896569,0.2098978,323,1
20000.0,3.5511648,0.3428681,323,1
50000.0,7.7863309,0.3937714,323,1
100000.0,10.7700435,0.3407507,323,1
1000000.0,18.1927046,0.2606761,323,1
100.0,0.1180165,0.0918288,273,6
200.0,0.2557887,0.1288629,273,6
500.0,0.6298929,0.1811709,273,6
1000.0,1.2438704,0.2386881,273,6
2000.0,2.2513277,0.4251963,273,6
5000.0,5.5412007,0.5643422,273,6
10000.0,8.7841117,0.4118592,273,6
20000.0,11.2254423,0.4379632,273,6
50000.0,14.2739988,0.4100873,273,6
100000.0,16.8450584,0.4064488,273,6
1000000.0,21.2960412,0.2227078,273,6
100.0,0.0295274,0.0413894,298,6
200.0,0.0611501,0.0622207,298,6
500.0,0.165179,0.0995918,298,6
1000.0,0.3339885,0.1345661,298,6
2000.0,0.7232148,0.2180974,298,6
5000.0,1.6467698,0.2582274,298,6
10000.0,3.1991739,0.398989,298,6
20000.0,5.9034543,0.605962,298,6
50000.0,9.6196547,0.5098608,298,6
100000.0,12.5690186,0.4225807,298,6
1000000.0,19.3943767,0.3493589,298,6
100.0,0.010883,0.0261982,323,6
200.0,0.0207943,0.0348538,323,6
500.0,0.0494273,0.0528163,323,6
1000.0,0.1043682,0.076658,323,6
2000.0,0.2313507,0.1175338,323,6
5000.0,0.5706569,0.1820581,323,6
10000.0,1.1020242,0.3141212,323,6
20000.0,2.1110803,0.3192213,323,6
50000.0,4.7625976,0.4238365,323,6
100000.0,7.895463999999999,0.4973754,323,6
1000000.0,16.8493216,0.3826372,323,6
100.0,0.1654165,0.1039668,273,2
200.0,0.3021793,0.1340129,273,2
500.0,0.7784252,0.2248009,273,2
1000.0,1.391056,0.2754881,273,2
2000.0,3.0524522,0.4684714,273,2
5000.0,7.0475465,0.5625139,273,2
10000.0,10.270485,0.4496986,273,2
20000.0,13.6487741,0.4914537,273,2
50000.0,17.123568,0.4073879,273,2
100000.0,18.9818992,0.3596315,273,2
1000000.0,22.3342437,0.2458078,273,2
100.0,0.0427262,0.0505551,298,2
200.0,0.07641,0.0678904,298,2
500.0,0.2064462,0.1065887,298,2
1000.0,0.3924581,0.1441624,298,2
2000.0,0.748255,0.2182002,298,2
5000.0,2.13689,0.3476825,298,2
10000.0,4.2277214,0.4771588,298,2
20000.0,7.4038437,0.5530383,298,2
