Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003054,0.0050803,273,5
200.0,0.0005174,0.0066048,273,5
500.0,0.0018407,0.0123591,273,5
1000.0,0.0032657,0.0164957,273,5
2000.0,0.0064127,0.023459,273,5
5000.0,0.0169904,0.0375898,273,5
10000.0,0.0320467,0.0514898,273,5
20000.0,0.0649926,0.0747005,273,5
50000.0,0.1562724,0.1143035,273,5
100000.0,0.3174901,0.1394288,273,5
100.0,0.0002375,0.0044822,298,5
200.0,0.0005089,0.0065507,298,5
500.0,0.0012809,0.0104137,298,5
1000.0,0.0023496,0.0139723,298,5
2000.0,0.0040397,0.0183418,298,5
5000.0,0.010637,0.030023,298,5
10000.0,0.0207566,0.0416265,298,5
20000.0,0.0435914,0.061637,298,5
50000.0,0.109814,0.096968,298,5
100000.0,0.2094718,0.1322189,298,5
100.0,0.0001527,0.0025402,323,5
200.0,0.0002928,0.0035117,323,5
500.0,0.0008057999999999999,0.0057903,323,5
1000.0,0.0015311,0.007956899999999998,323,5
2000.0,0.0031131,0.0115228,323,5
5000.0,0.007791099999999999,0.0180815,323,5
10000.0,0.0151954,0.0255596,323,5
20000.0,0.0313074,0.0363992,323,5
50000.0,0.077254,0.0572556,323,5
100000.0,0.1548113,0.0808248,323,5
100.0,0.0005259,0.0066584,273,1
200.0,0.001213,0.0100708,273,1
500.0,0.002638,0.0148704,273,1
1000.0,0.0050555,0.0206471,273,1
2000.0,0.0101365,0.0296304,273,1
5000.0,0.0264313,0.0473733,273,1
10000.0,0.0517769,0.0659133,273,1
20000.0,0.1041646,0.0942667,273,1
50000.0,0.2577736,0.1479597,273,1
100000.0,0.5205772,0.1870004,273,1
100.0,0.0003223,0.005219,298,1
200.0,0.0006531,0.0074146,298,1
500.0,0.001671,0.0119093,298,1
1000.0,0.0035881,0.0173654,298,1
2000.0,0.0064976,0.0234969,298,1
5000.0,0.0168206,0.0375913,298,1
10000.0,0.0337517,0.0537935,298,1
20000.0,0.0680633,0.0751431,298,1
50000.0,0.1691997,0.1207931,298,1
100000.0,0.3354644,0.1441684,298,1
100.0,0.0002205,0.0030504,323,1
200.0,0.0004453,0.0043231,323,1
500.0,0.0012215,0.0071185,323,1
1000.0,0.00232,0.0099382,323,1
2000.0,0.004483,0.0138037,323,1
5000.0,0.0121554,0.0226046,323,1
10000.0,0.0237339,0.0317171,323,1
20000.0,0.0468698,0.0448339,323,1
50000.0,0.1186866,0.0703784,323,1
100000.0,0.2304346,0.08712649999999998,323,1
100.0,0.0003732,0.0056142,273,6
200.0,0.0007889,0.008142099999999998,273,6
500.0,0.0017644,0.012165,273,6
1000.0,0.003851,0.0181808,273,6
2000.0,0.0071507,0.0248166,273,6
5000.0,0.0171176,0.0384319,273,6
10000.0,0.036746,0.0550993,273,6
20000.0,0.0715665,0.0773752,273,6
50000.0,0.1795653,0.1224427,273,6
100000.0,0.3507074,0.1485221,273,6
100.0,0.0002205,0.0043196,298,6
200.0,0.0006447,0.0073667,298,6
500.0,0.0011536,0.0098976,298,6
1000.0,0.0023836,0.0142218,298,6
2000.0,0.0048604,0.0206067,298,6
5000.0,0.0114089,0.0312138,298,6
10000.0,0.0246246,0.0463849,298,6
20000.0,0.0477732,0.0632843,298,6
50000.0,0.1169214,0.0995952,298,6
100000.0,0.232657,0.1427891,298,6
100.0,0.000263,0.0047155,323,6
200.0,0.0002884,0.0049377,323,6
500.0,0.0008821999999999999,0.008605299999999998,323,6
1000.0,0.0016456,0.011943,323,6
2000.0,0.0033506,0.0169521,323,6
5000.0,0.0083552,0.0264182,323,6
10000.0,0.0172109,0.0380797,323,6
20000.0,0.0332258,0.0530049,323,6
50000.0,0.0850452,0.08456099999999998,323,6
100000.0,0.1680291,0.117663,323,6
100.0,0.000475,0.0063299,273,2
200.0,0.0012306,0.0102834,273,2
500.0,0.0027738,0.0152757,273,2
