Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001638,0.002164,273,5
200.0,0.0003536,0.0031943,273,5
500.0,0.0008882,0.0051054,273,5
1000.0,0.0016557,0.0068797,273,5
2000.0,0.0034178,0.0098643,273,5
5000.0,0.0085746,0.0156549,273,5
10000.0,0.0166779,0.0214602,273,5
20000.0,0.0345458,0.0273195,273,5
50000.0,0.08159279999999998,0.0414662,273,5
100000.0,0.1614407,0.0550728,273,5
100.0,0.0001179,0.0018368,298,5
200.0,0.0001753,0.0022382,298,5
500.0,0.0004427,0.0035629,298,5
1000.0,0.0008911,0.0050968,298,5
2000.0,0.0018742,0.007336999999999998,298,5
5000.0,0.0044641,0.0111471,298,5
10000.0,0.008842,0.0160659,298,5
20000.0,0.0174913,0.0223552,298,5
50000.0,0.0451182,0.031056,298,5
100000.0,0.08734179999999998,0.0431361,298,5
100.0,4.31e-05,0.0011125,323,5
200.0,0.0001064,0.0017453,323,5
500.0,0.0002673,0.0027889,323,5
1000.0,0.0004915,0.0037487,323,5
2000.0,0.0009802,0.0053729,323,5
5000.0,0.0025238,0.0083653,323,5
10000.0,0.0051569,0.0123106,323,5
20000.0,0.0097129,0.0164758,323,5
50000.0,0.0258303,0.0270649,323,5
100000.0,0.0515973,0.0341313,323,5
100.0,0.0003363,0.0031176,273,1
200.0,0.0007732,0.0047212,273,1
500.0,0.001923,0.0075191,273,1
1000.0,0.0038547,0.0105974,273,1
2000.0,0.0076835,0.0148601,273,1
5000.0,0.018874,0.0232084,273,1
10000.0,0.0369144,0.0280427,273,1
20000.0,0.07301729999999998,0.0370817,273,1
50000.0,0.1789928,0.060357,273,1
100000.0,0.3258393,0.0753043,273,1
100.0,0.0001725,0.0022199,298,1
200.0,0.0003938,0.003366,298,1
500.0,0.000917,0.0051647,298,1
1000.0,0.0017218,0.0071524,298,1
2000.0,0.003527,0.0101158,298,1
5000.0,0.0091697,0.0161495,298,1
10000.0,0.0190062,0.0234376,298,1
20000.0,0.0364544,0.0281535,298,1
50000.0,0.08898889999999998,0.043552,298,1
100000.0,0.1762291,0.0573381,298,1
100.0,0.0001294,0.0019239,323,1
200.0,0.0001983,0.0023795,323,1
500.0,0.0005318,0.0038734,323,1
1000.0,0.0010377,0.005529,323,1
2000.0,0.002176,0.0078179,323,1
5000.0,0.0050189,0.0119807,323,1
10000.0,0.0099142,0.016858,323,1
20000.0,0.019995,0.0238971,323,1
50000.0,0.0482543,0.0323534,323,1
100000.0,0.0973393,0.0450012,323,1
100.0,0.0001811,0.0023104,273,6
200.0,0.0003277,0.0030516,273,6
500.0,0.0008076999999999998,0.0048365,273,6
1000.0,0.0017994,0.0071621,273,6
2000.0,0.0032971,0.0097201,273,6
5000.0,0.0083619,0.0155669,273,6
10000.0,0.0164738,0.0220131,273,6
20000.0,0.0328699,0.0264338,273,6
50000.0,0.0796956,0.0414385,273,6
100000.0,0.1579827,0.0554762,273,6
100.0,0.0001092,0.0017686,298,6
200.0,0.0001667,0.0021828,298,6
500.0,0.0004254,0.0035417,298,6
1000.0,0.0008767,0.0050912,298,6
2000.0,0.0018684,0.0073272,298,6
5000.0,0.0045216,0.0114244,298,6
10000.0,0.0088563,0.0158951,298,6
20000.0,0.0173792,0.0224038,298,6
50000.0,0.0441802,0.0307783,298,6
100000.0,0.0878506,0.0421676,298,6
100.0,6.32e-05,0.0013468,323,6
200.0,0.000115,0.0018144,323,6
500.0,0.0002616,0.0027296,323,6
1000.0,0.0005806,0.0040846,323,6
2000.0,0.0010032,0.005384,323,6
5000.0,0.0025037,0.0084548,323,6
10000.0,0.0052,0.012242,323,6
20000.0,0.0101729,0.0172914,323,6
50000.0,0.0248989,0.026422,323,6
100000.0,0.0495967,0.0334802,323,6
100.0,0.0003739,0.0032821,273,2
200.0,0.0007473999999999998,0.0046282,273,2
500.0,0.0018138,0.007256,273,2
1000.0,0.0035788,0.0101385,273,2
2000.0,0.007353,0.014469,273,2
5000.0,0.0178449,0.0227904,273,2
10000.0,0.0350891,0.0313491,273,2
20000.0,0.0711382,0.0406543,273,2
50000.0,0.1696618,0.0583406,273,2
100000.0,0.3116508,0.0791289,273,2
100.0,0.0001667,0.0021828,298,2
200.0,0.0003478,0.0031428,298,2
500.0,0.000871,0.0049939,298,2
1000.0,0.0019489,0.0074849,298,2
2000.0,0.003619,0.0102216,298,2
5000.0,0.0090087,0.015942,298,2
10000.0,0.0179426,0.0225676,298,2
20000.0,0.0355605,0.0316546,298,2
50000.0,0.08655419999999998,0.0419275,298,2
100000.0,0.1693456,0.0603638,298,2
100.0,0.0001006,0.0016976,323,2
200.0,0.0001811,0.0022744,323,2
500.0,0.0004829,0.0037166,323,2
1000.0,0.0009687,0.0052348,323,2
2000.0,0.0020754,0.0078082,323,2
5000.0,0.0049901,0.0120614,323,2
10000.0,0.0098049,0.0168435,323,2
20000.0,0.0200238,0.0236854,323,2
50000.0,0.0486204,0.0323775,323,2
100000.0,0.096773,0.0456668,323,2
100.0,0.0001552,0.0021066,273,8
200.0,0.0003162,0.0029982,273,8
500.0,0.0008394,0.0049075,273,8
1000.0,0.0016988,0.0069826,273,8
2000.0,0.0034753,0.010101,273,8
5000.0,0.0084395,0.0154315,273,8
10000.0,0.0166117,0.0216359,273,8
20000.0,0.0331171,0.030175,273,8
50000.0,0.0803654,0.0421645,273,8
100000.0,0.1580574,0.0570853,273,8
100.0,8.909999999999998e-05,0.001598,298,8
200.0,0.0001983,0.0023795,298,8
500.0,0.0004427,0.003586,298,8
1000.0,0.0008076999999999998,0.0048023,298,8
2000.0,0.0018742,0.0074598,298,8
5000.0,0.0044469,0.0112865,298,8
10000.0,0.0085976,0.0157558,298,8
20000.0,0.01727,0.0224366,298,8
50000.0,0.0432871,0.0297954,298,8
100000.0,0.0841712,0.0423991,298,8
100.0,6.9e-05,0.0014065,323,8
200.0,0.0001322,0.0019451,323,8
500.0,0.0002847,0.0028466,323,8
1000.0,0.0005605,0.0039954,323,8
2000.0,0.0009745000000000002,0.0053121,323,8
5000.0,0.0025497,0.0085384,323,8
10000.0,0.0050965,0.0121977,323,8
20000.0,0.0102326,0.0173217,323,8
50000.0,0.0254106,0.0267922,323,8
100000.0,0.0495219,0.0380474,323,8
100.0,0.0003938,0.0033414,273,4
200.0,0.0006928,0.004427,273,4
500.0,0.0018032,0.0072833,273,4
1000.0,0.0036564,0.0101393,273,4
2000.0,0.0070489,0.0142779,273,4
5000.0,0.0182973,0.022442,273,4
10000.0,0.0348418,0.0311285,273,4
20000.0,0.0711066,0.0409943,273,4
50000.0,0.1724328,0.0617804,273,4
100000.0,0.3130535,0.0790749,273,4
100.0,0.0002185,0.0024964,298,4
200.0,0.0004628,0.0036406,298,4
500.0,0.0008652,0.0049114,298,4
1000.0,0.0018282,0.007280799999999999,298,4
2000.0,0.0034839,0.0098705,298,4
5000.0,0.0091495,0.0161736,298,4
10000.0,0.0174396,0.022292,298,4
20000.0,0.0355978,0.0321478,298,4
50000.0,0.0883795,0.0437927,298,4
100000.0,0.1715039,0.0598919,298,4
100.0,9.49e-05,0.0016485,323,4
200.0,0.0001983,0.0023795,323,4
500.0,0.0004973,0.0037699,323,4
1000.0,0.0009658,0.0053985,323,4
