Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0270951,0.0240341,273,5
200.0,0.0559148,0.0341676,273,5
500.0,0.1285862,0.0501159,273,5
1000.0,0.2466439,0.0694307,273,5
2000.0,0.4750462,0.0936203,273,5
5000.0,0.9307351,0.1200836,273,5
10000.0,1.4084082,0.1108009,273,5
20000.0,1.8988458,0.1098546,273,5
50000.0,2.5177962,0.0995847,273,5
100000.0,3.0149045,0.1440104,273,5
1000000.0,3.9701132,0.0635904,273,5
100.0,0.0079882,0.0152015,298,5
200.0,0.0157666,0.0185555,298,5
500.0,0.0418844,0.0287376,298,5
1000.0,0.07599609999999998,0.0384495,298,5
2000.0,0.1527227,0.0550862,298,5
5000.0,0.3567345,0.0800416,298,5
10000.0,0.6142277,0.0979636,298,5
20000.0,1.0059436,0.1113073,298,5
50000.0,1.6165766,0.1168568,298,5
100000.0,2.0863676,0.1073364,298,5
1000000.0,3.4733594,0.1002054,298,5
100.0,0.0028314,0.008980099999999998,323,5
200.0,0.0056455,0.0126748,323,5
500.0,0.0147807,0.0178543,323,5
1000.0,0.0293343,0.0248666,323,5
2000.0,0.0552278,0.0346933,323,5
5000.0,0.1356766,0.0503201,323,5
10000.0,0.2542239,0.0670248,323,5
20000.0,0.4693076,0.0835274,323,5
50000.0,0.9261728,0.1171101,323,5
100000.0,1.4127018,0.1159743,323,5
1000000.0,2.7796091,0.1152268,323,5
100.0,0.0642078,0.0366136,273,1
200.0,0.1265558,0.0477181,273,1
500.0,0.3019666,0.0707611,273,1
1000.0,0.5571822,0.0891012,273,1
2000.0,0.9301523,0.1202464,273,1
5000.0,1.5920385,0.1143407,273,1
10000.0,2.0379462,0.1126743,273,1
20000.0,2.4925177,0.0988426,273,1
50000.0,3.0726047,0.1101638,273,1
100000.0,3.5855485,0.08810479999999998,273,1
1000000.0,4.0818006,0.03561,273,1
100.0,0.0178392,0.0194843,298,1
200.0,0.035365,0.0277142,298,1
500.0,0.08931079999999998,0.0430636,298,1
1000.0,0.170047,0.057301,298,1
2000.0,0.3331837,0.07849929999999998,298,1
5000.0,0.7130814,0.0933059,298,1
10000.0,1.1104828,0.1180843,298,1
20000.0,1.5725382,0.1183107,298,1
50000.0,2.1441941,0.117998,298,1
100000.0,2.6319454,0.0935536,298,1
1000000.0,3.7871907,0.0943727,298,1
100.0,0.0062808,0.013321,323,1
200.0,0.0120499,0.0185104,323,1
500.0,0.0315879,0.0254462,323,1
1000.0,0.0605025,0.0357135,323,1
2000.0,0.1209162,0.0466373,323,1
5000.0,0.2792539,0.0763253,323,1
10000.0,0.5133978,0.0909333,323,1
20000.0,0.8705387999999998,0.119806,323,1
50000.0,1.4360754,0.1169517,323,1
100000.0,1.8815694,0.1057599,323,1
1000000.0,3.2990296,0.1094043,323,1
100.0,0.0114434,0.0182393,273,6
200.0,0.0242436,0.0262868,273,6
500.0,0.0558717,0.0341695,273,6
1000.0,0.1110881,0.0482837,273,6
2000.0,0.2212132,0.0664412,273,6
5000.0,0.4955091,0.0886088,273,6
10000.0,0.8323146999999999,0.112055,273,6
20000.0,1.2647383,0.1080952,273,6
50000.0,1.8198426,0.1065634,273,6
100000.0,2.1703496,0.0975072,273,6
1000000.0,3.2511176,0.1095494,273,6
100.0,0.0039294,0.0106245,298,6
200.0,0.0081521,0.0151061,298,6
500.0,0.0198513,0.023428,298,6
1000.0,0.0408093,0.0302275,298,6
2000.0,0.07817209999999998,0.039587,298,6
5000.0,0.1927326,0.0615404,298,6
10000.0,0.3530534,0.0828595,298,6
20000.0,0.6202738,0.0945654,298,6
50000.0,1.1386832,0.1171687,298,6
100000.0,1.5789643,0.1067556,298,6
1000000.0,2.6854014,0.0885674,298,6
100.0,0.001558,0.0067329,323,6
200.0,0.0031275,0.0094449,323,6
500.0,0.008069899999999998,0.0151058,323,6
1000.0,0.0162179,0.0215622,323,6
2000.0,0.0323669,0.0307629,323,6
5000.0,0.07910349999999998,0.0411805,323,6
10000.0,0.1538089,0.0585319,323,6
20000.0,0.2895315,0.0762168,323,6
50000.0,0.6155207,0.0982647,323,6
100000.0,0.9853867,0.1051437,323,6
1000000.0,2.2081625,0.08585909999999998,323,6
100.0,0.0258648,0.0271539,273,2
200.0,0.0533422,0.0351164,273,2
500.0,0.1327273,0.0519624,273,2
1000.0,0.2527637,0.0708628,273,2
2000.0,0.4671758,0.0940853,273,2
5000.0,0.9194033,0.1182302,273,2
10000.0,1.377564,0.1209735,273,2
20000.0,1.8224063,0.1016841,273,2
50000.0,2.3057924,0.0943072,273,2
100000.0,2.7320631,0.0988226,273,2
1000000.0,3.6859702,0.0919809,273,2
100.0,0.0087069,0.0156007,298,2
200.0,0.0171579,0.0219182,298,2
500.0,0.0424909,0.0302223,298,2
1000.0,0.0837158,0.0429472,298,2
2000.0,0.1668334,0.0595559,298,2
5000.0,0.3857785,0.0834185,298,2
10000.0,0.6522098,0.1024289,298,2
20000.0,1.0520769,0.1206609,298,2
50000.0,1.6415603,0.1050559,298,2
100000.0,2.03701,0.106306,298,2
1000000.0,3.1742372,0.0929699,298,2
100.0,0.0033057,0.0098144,323,2
200.0,0.0068758,0.0140581,323,2
500.0,0.0164134,0.0217127,323,2
1000.0,0.0330769,0.0306992,323,2
2000.0,0.0658434,0.0383146,323,2
5000.0,0.1621237,0.0617377,323,2
10000.0,0.309445,0.0779586,323,2
20000.0,0.5320849,0.0930235,323,2
50000.0,1.0249662,0.1146167,323,2
100000.0,1.4533137,0.1137316,323,2
1000000.0,2.6105564,0.0988575,323,2
100.0,0.0103051,0.0170683,273,8
200.0,0.0204176,0.0242001,273,8
500.0,0.053049,0.0344914,273,8
1000.0,0.1004898,0.0468255,273,8
2000.0,0.2015028,0.0667152,273,8
5000.0,0.4502535,0.08784469999999998,273,8
10000.0,0.7764653,0.1098596,273,8
20000.0,1.1849156,0.1058001,273,8
50000.0,1.7447184,0.1042028,273,8
100000.0,2.1154034,0.0990628,273,8
1000000.0,2.9354393,0.08407739999999998,273,8
100.0,0.003734,0.010405,298,8
200.0,0.0073444,0.0146125,298,8
500.0,0.0178478,0.0224907,298,8
1000.0,0.0362187,0.0318357,298,8
2000.0,0.07369259999999998,0.041771,298,8
5000.0,0.1716078,0.0605225,298,8
10000.0,0.3282712,0.08028459999999998,298,8
20000.0,0.5802902,0.0971282,298,8
50000.0,1.1054844,0.1160845,298,8
100000.0,1.5160746,0.1155767,298,8
1000000.0,2.5833216,0.0807514,298,8
100.0,0.0016183,0.0067737,323,8
200.0,0.0030096,0.0092225,323,8
500.0,0.0078531,0.0150015,323,8
1000.0,0.0153412,0.0207216,323,8
2000.0,0.0302944,0.028768,323,8
5000.0,0.0736787,0.0461192,323,8
10000.0,0.1457096,0.0641364,323,8
20000.0,0.2753889,0.08175789999999998,323,8
50000.0,0.5813769,0.1121533,323,8
100000.0,0.9604176,0.1295703,323,8
1000000.0,2.1822756,0.111707,323,8
100.0,0.0243068,0.0264136,273,4
200.0,0.046794,0.0317888,273,4
500.0,0.1195995,0.0513863,273,4
1000.0,0.2272569,0.070928,273,4
2000.0,0.4198874,0.08970259999999998,273,4
5000.0,0.8444565,0.1079651,273,4
10000.0,1.3024941,0.1201141,273,4
20000.0,1.7636957,0.114565,273,4
50000.0,2.2595928,0.1008721,273,4
100000.0,2.5530965,0.1002034,273,4
1000000.0,3.2354646,0.0633688,273,4
100.0,0.0079509,0.0152455,298,4
200.0,0.0158874,0.0210884,298,4
500.0,0.0397026,0.033602,298,4
1000.0,0.07975309999999998,0.0440231,298,4
2000.0,0.1527454,0.0581178,298,4
5000.0,0.3576504,0.079403,298,4
10000.0,0.6080143,0.1079432,298,4
20000.0,1.0103808,0.1172094,298,4
50000.0,1.5946754,0.1143058,298,4
100000.0,2.0281863,0.1065166,298,4
1000000.0,2.9302795,0.0768328,298,4
100.0,0.0031648,0.0095327,323,4
200.0,0.006189,0.0133463,323,4
500.0,0.0164651,0.021662,323,4
1000.0,0.0313148,0.0298811,323,4
2000.0,0.0607641,0.040724,323,4
5000.0,0.1463007,0.0628378,323,4
10000.0,0.2874791,0.0860071,323,4
20000.0,0.5146482,0.1022098,323,4
50000.0,0.9881591,0.1309274,323,4
100000.0,1.4368115,0.1440955,323,4
1000000.0,2.5596121,0.1033312,323,4
100.0,0.3333904,0.0869173,273,7
200.0,0.5597515,0.09755490000000001,273,7
500.0,1.1276223,0.1020131,273,7
1000.0,1.4722878,0.1121668,273,7
2000.0,1.8041656,0.09015,273,7
5000.0,2.0883325,0.0724285,273,7
10000.0,2.3564914,0.0852957,273,7
20000.0,2.5482206,0.1072191,273,7
50000.0,3.0873736,0.0918521,273,7
100000.0,3.5333948,0.0923774,273,7
1000000.0,4.0389535,0.0357618,273,7
100.0,0.0731475,0.0381738,298,7
200.0,0.1509459,0.0551674,298,7
500.0,0.3647544,0.0728487,298,7
1000.0,0.5806698,0.1001544,298,7
2000.0,0.9690166,0.1259684,298,7
5000.0,1.513079,0.1041154,298,7
10000.0,1.8208496,0.0811941,298,7
20000.0,2.0628743,0.0816922,298,7
50000.0,2.3611458,0.1032395,298,7
100000.0,2.6983124,0.1278881,298,7
1000000.0,3.8063583,0.0827422,298,7
100.0,0.0206389,0.0204348,323,7
200.0,0.0450406,0.0300387,323,7
500.0,0.1043933,0.0421282,323,7
1000.0,0.2055493,0.0635692,323,7
2000.0,0.3920311,0.0805536,323,7
5000.0,0.7630875,0.109786,323,7
10000.0,1.139525,0.1136414,323,7
20000.0,1.5354771,0.1008997,323,7
50000.0,1.9562318,0.0871364,323,7
100000.0,2.1738266,0.0851601,323,7
1000000.0,3.2546688,0.095295,323,7
100.0,0.7199636,0.0987279,273,3
200.0,1.1247519,0.113526,273,3
500.0,1.6279578,0.1022844,273,3
1000.0,1.9268135,0.0892671,273,3
2000.0,2.1483943,0.0891054,273,3
5000.0,2.5040559,0.1077898,273,3
10000.0,2.7731662,0.11208,273,3
20000.0,3.21154,0.1148829,273,3
50000.0,3.7045997,0.1089524,273,3
100000.0,3.9258805,0.0655634,273,3
1000000.0,4.1490205,0.0395039,273,3
100.0,0.1829457,0.0618198,298,3
200.0,0.3447076,0.0840886,298,3
500.0,0.7320719,0.1112136,298,3
1000.0,1.091225,0.1065143,298,3
2000.0,1.5342836,0.1143195,298,3
5000.0,1.9245595,0.0906406,298,3
10000.0,2.1651433,0.0783583,298,3
20000.0,2.4195605,0.0962193,298,3
50000.0,2.8655751,0.1029108,298,3
100000.0,3.2464891,0.1162921,298,3
1000000.0,4.0198411,0.0522361,298,3
100.0,0.0465612,0.0319678,323,3
200.0,0.0956039,0.0482244,323,3
500.0,0.2285776,0.0735122,323,3
1000.0,0.4142013,0.0834607,323,3
2000.0,0.7188147,0.1061255,323,3
5000.0,1.2619521,0.0995111,323,3
10000.0,1.6359176,0.1023838,323,3
20000.0,1.9273869,0.0841471,323,3
50000.0,2.2672215,0.0812065,323,3
100000.0,2.5778858,0.098513,323,3
1000000.0,3.6378437,0.07837099999999998,323,3
