Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0047838,0.0104914,273,5
200.0,0.0095448,0.0145279,273,5
500.0,0.0246574,0.0205972,273,5
1000.0,0.048284,0.0284154,273,5
2000.0,0.0965202,0.0397845,273,5
5000.0,0.2258945,0.0562752,273,5
10000.0,0.4095952,0.0719398,273,5
20000.0,0.6855062,0.0920352,273,5
50000.0,1.2116945,0.1009774,273,5
100000.0,1.6740569,0.1027683,273,5
100.0,0.0019885,0.0067351,298,5
200.0,0.0037229,0.0091529,298,5
500.0,0.0093597,0.0144449,298,5
1000.0,0.0185982,0.020142,298,5
2000.0,0.0369998,0.0253384,298,5
5000.0,0.08803339999999998,0.0376788,298,5
10000.0,0.1741194,0.0524652,298,5
20000.0,0.3221666,0.0676129,298,5
50000.0,0.655531,0.0938488,298,5
100000.0,1.0466376,0.098686,298,5
100.0,0.0008792,0.0037003,323,5
200.0,0.0016426,0.0050532,323,5
500.0,0.0042802,0.008137399999999998,323,5
1000.0,0.008622899999999998,0.0113154,323,5
2000.0,0.0165175,0.01581,323,5
5000.0,0.0413303,0.0209626,323,5
10000.0,0.0814569,0.0297672,323,5
20000.0,0.1577162,0.0393263,323,5
50000.0,0.3453507,0.0539394,323,5
100000.0,0.6166873,0.07239579999999998,323,5
100.0,0.0021256,0.0069459,273,1
200.0,0.0038193,0.0093677,273,1
500.0,0.0100065,0.0150145,273,1
1000.0,0.0202608,0.0212778,273,1
2000.0,0.0404671,0.0271055,273,1
5000.0,0.1003964,0.0419575,273,1
10000.0,0.1924776,0.0552762,273,1
20000.0,0.3523465,0.0687657,273,1
50000.0,0.7039081,0.0920079,273,1
100000.0,1.1455493,0.1047292,273,1
100.0,0.0007844,0.0042724,298,1
200.0,0.0016022,0.0060552,298,1
500.0,0.0042513,0.0098787,298,1
1000.0,0.0084408,0.0139427,298,1
2000.0,0.016596,0.0194087,298,1
5000.0,0.0412762,0.0267495,298,1
10000.0,0.08339639999999998,0.036251,298,1
20000.0,0.1635986,0.051809,298,1
50000.0,0.369863,0.0703967,298,1
100000.0,0.6289553,0.0912139,298,1
100.0,0.0003886,0.0024499,323,1
200.0,0.0008486999999999999,0.0035929,323,1
500.0,0.0020418,0.0055912,323,1
1000.0,0.0038779,0.0076572,323,1
2000.0,0.007958599999999998,0.0109318,323,1
5000.0,0.0196518,0.0169854,323,1
10000.0,0.0401143,0.021785,323,1
20000.0,0.07856779999999998,0.0298337,323,1
50000.0,0.1846303,0.0425246,323,1
100000.0,0.3293934,0.0543135,323,1
100.0,0.0080043,0.013498,273,6
