Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,8.119999999999998e-05,0.0013898,273,5
200.0,0.0001862,0.0021004,273,5
500.0,0.0004778,0.0033942,273,5
1000.0,0.0010171,0.0049271,273,5
2000.0,0.0021154,0.0071129,273,5
5000.0,0.0049208,0.0107792,273,5
10000.0,0.0097414,0.0153798,273,5
20000.0,0.0194684,0.0215429,273,5
50000.0,0.0493443,0.0302838,273,5
100000.0,0.0988103,0.044293,273,5
100.0,5.73e-05,0.0011683,298,5
200.0,0.0001051,0.0015803,298,5
500.0,0.0002817,0.0025782,298,5
1000.0,0.0005587,0.0036874,298,5
2000.0,0.0010959,0.0050981,298,5
5000.0,0.0027338,0.0082498,298,5
10000.0,0.0053124,0.0112545,298,5
20000.0,0.0106797,0.0160772,298,5
50000.0,0.0265165,0.024993,298,5
100000.0,0.0526033,0.0313839,298,5
100.0,3.58e-05,0.000924,323,5
200.0,8.119999999999998e-05,0.0013898,323,5
500.0,0.0001647,0.0020051,323,5
1000.0,0.0002793,0.0025674,323,5
2000.0,0.0005993,0.0037653,323,5
5000.0,0.0014469,0.0058057,323,5
10000.0,0.0031373,0.0086724,323,5
20000.0,0.0063104,0.0121285,323,5
50000.0,0.0162475,0.0195872,323,5
100000.0,0.0317931,0.0273359,323,5
100.0,4.54e-05,0.0010397,273,1
200.0,9.55e-05,0.001507,273,1
500.0,0.0002029,0.0021919,273,1
1000.0,0.0005109,0.0035528,273,1
2000.0,0.0008882,0.0046553,273,1
5000.0,0.0024568,0.007622,273,1
10000.0,0.0046391,0.0104605,273,1
20000.0,0.0095265,0.0150588,273,1
50000.0,0.0232479,0.0234787,273,1
100000.0,0.0466152,0.0297964,273,1
100.0,3.34e-05,0.0008926999999999999,298,1
200.0,7.88e-05,0.0013693,298,1
500.0,0.0001098,0.0016156,298,1
1000.0,0.0002841,0.0026109,298,1
2000.0,0.0005873,0.0037596,298,1
5000.0,0.0013681,0.0057011,298,1
10000.0,0.0026383,0.007922,298,1
20000.0,0.005341,0.011407,298,1
50000.0,0.013688,0.0182088,298,1
100000.0,0.0275217,0.0254632,298,1
100.0,1.91e-05,0.000675,323,1
200.0,2.39e-05,0.0007546,323,1
500.0,6.69e-05,0.0012616,323,1
1000.0,0.0001624,0.0019622,323,1
2000.0,0.0003319,0.0027953,323,1
5000.0,0.0008809999999999998,0.0045764,323,1
10000.0,0.001805,0.0065858,323,1
20000.0,0.0034692,0.00916,323,1
50000.0,0.0086335,0.0143622,323,1
100000.0,0.0171811,0.0202449,323,1
100.0,0.0001003,0.0015441,273,6
200.0,0.000222,0.0022918,273,6
500.0,0.0006232,0.0038513,273,6
1000.0,0.0011031,0.0051133,273,6
2000.0,0.0021226,0.0070746,273,6
5000.0,0.0054628,0.0115903,273,6
10000.0,0.010971,0.016108,273,6
20000.0,0.0218703,0.0229599,273,6
50000.0,0.0541226,0.0320164,273,6
100000.0,0.1062142,0.0427462,273,6
100.0,6.92e-05,0.0012839,298,6
200.0,8.36e-05,0.00141,298,6
500.0,0.0003104,0.0027464,298,6
