Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003273,0.005292,273,5
200.0,0.0005809,0.006966,273,5
500.0,0.0012681,0.0102381,273,5
1000.0,0.0028731,0.0152807,273,5
2000.0,0.0056124,0.0213491,273,5
5000.0,0.0143828,0.0346038,273,5
10000.0,0.0286756,0.0484741,273,5
20000.0,0.0569749,0.0682948,273,5
50000.0,0.1416274,0.1071911,273,5
100000.0,0.2847307,0.1527357,273,5
100.0,0.0001964,0.0040032,298,5
200.0,0.0003845,0.0055957,298,5
500.0,0.001039,0.009234,298,5
1000.0,0.002209,0.0134112,298,5
2000.0,0.0042625,0.0186538,298,5
5000.0,0.0107339,0.0296326,298,5
10000.0,0.0212879,0.0413216,298,5
20000.0,0.0415776,0.0578007,298,5
50000.0,0.1055067,0.0916871,298,5
100000.0,0.2103098,0.131234,298,5
100.0,0.0001882,0.0039191,323,5
200.0,0.0002945,0.0049,323,5
500.0,0.0008922,0.008575499999999998,323,5
1000.0,0.0016281,0.0116002,323,5
2000.0,0.0034806,0.0169918,323,5
5000.0,0.0084595,0.0262962,323,5
10000.0,0.0169109,0.0371667,323,5
20000.0,0.0320218,0.0518988,323,5
50000.0,0.0817399,0.0808464,323,5
100000.0,0.1636843,0.1164773,323,5
100.0,0.0002863,0.0048317,273,1
200.0,0.0005482,0.0066743,273,1
500.0,0.0013581,0.0105169,273,1
1000.0,0.0027735,0.0150303,273,1
2000.0,0.0051379,0.0203478,273,1
5000.0,0.0134992,0.0332504,273,1
10000.0,0.0262949,0.0462302,273,1
20000.0,0.0521479,0.0650261,273,1
50000.0,0.1307298,0.1040549,273,1
100000.0,0.2598888,0.1449188,273,1
100.0,0.0001964,0.0040032,298,1
200.0,0.0004418,0.0059958,298,1
500.0,0.0010063,0.0091648,298,1
1000.0,0.0020535,0.0129539,298,1
2000.0,0.0037307,0.0173785,298,1
5000.0,0.009114,0.0273788,298,1
10000.0,0.019758,0.0403115,298,1
20000.0,0.0404159,0.0580913,298,1
50000.0,0.09773440000000001,0.0886811,298,1
100000.0,0.1948552,0.1260939,298,1
100.0,0.0001718,0.0037452,323,1
200.0,0.0002536,0.0045481,323,1
500.0,0.0007280999999999999,0.0076838,323,1
1000.0,0.0016363,0.0115702,323,1
2000.0,0.0029289,0.0155054,323,1
5000.0,0.0079523,0.0254481,323,1
10000.0,0.0157736,0.0358141,323,1
20000.0,0.0305001,0.0498338,323,1
50000.0,0.0759229,0.0796418,323,1
100000.0,0.1539321,0.1124946,323,1
100.0,0.0003109,0.005165,273,6
200.0,0.00072,0.0076409,273,6
500.0,0.0014726,0.0109386,273,6
1000.0,0.002888,0.0154048,273,6
2000.0,0.0057188,0.021617,273,6
5000.0,0.0158555,0.0356843,273,6
10000.0,0.030091,0.0499614,273,6
20000.0,0.0601247,0.0690063,273,6
50000.0,0.1497691,0.1106431,273,6
100000.0,0.2978666,0.1540524,273,6
100.0,0.0002373,0.0043994,298,6
200.0,0.0003682,0.0055968,298,6
500.0,0.0012272,0.0099446,298,6
1000.0,0.0023235,0.0136394,298,6
2000.0,0.0041336,0.0184714,298,6
5000.0,0.0109385,0.0300629,298,6
10000.0,0.0217487,0.0425433,298,6
20000.0,0.0444715,0.0602677,298,6
50000.0,0.1108082,0.0947343,298,6
100000.0,0.2208065,0.1343098,298,6
100.0,0.0001227,0.0031662,323,6
200.0,0.00045,0.0060507,323,6
500.0,0.0010718,0.0093024,323,6
1000.0,0.0017999,0.0122764,323,6
