Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.010801,0.0176051,273,5
200.0,0.020195,0.0245841,273,5
500.0,0.052188,0.0386168,273,5
1000.0,0.1060754,0.0493107,273,5
2000.0,0.2099046,0.0667777,273,5
5000.0,0.5348331,0.1063129,273,5
10000.0,1.0357455,0.1570943,273,5
20000.0,2.1385629,0.210924,273,5
50000.0,4.4625203,0.2374232,273,5
100000.0,6.2167719,0.1997237,273,5
1000000.0,8.7834677,0.1075262,273,5
100.0,0.0041893,0.0110857,298,5
200.0,0.0084756,0.0157654,298,5
500.0,0.0217754,0.0252769,298,5
1000.0,0.0422073,0.0352789,298,5
2000.0,0.08348559999999998,0.0434822,298,5
5000.0,0.2134089,0.0679625,298,5
10000.0,0.4239519,0.0939682,298,5
20000.0,0.8225786,0.1337927,298,5
50000.0,2.0921299,0.2022045,298,5
100000.0,3.7374876,0.2314018,298,5
1000000.0,7.8450888,0.131036,298,5
100.0,0.0020285,0.0077803,323,5
200.0,0.0038894,0.0107132,323,5
500.0,0.0102777,0.0174662,323,5
1000.0,0.0199057,0.0240679,323,5
2000.0,0.0425307,0.0353852,323,5
5000.0,0.1011952,0.0484482,323,5
10000.0,0.2064855,0.0692474,323,5
20000.0,0.4137699,0.0949733,323,5
50000.0,0.9877655,0.1441452,323,5
100000.0,1.942194,0.19059,323,5
1000000.0,6.7343052,0.176501,323,5
100.0,0.0212786,0.0247805,273,1
200.0,0.0419956,0.0295821,273,1
500.0,0.1071807,0.0475136,273,1
1000.0,0.2141438,0.0648947,273,1
2000.0,0.4339056,0.09195660000000001,273,1
5000.0,1.0514964,0.1481863,273,1
10000.0,2.1424748,0.2074292,273,1
20000.0,3.9302402,0.2373945,273,1
50000.0,6.3230961,0.2100243,273,1
100000.0,7.5181002,0.1743576,273,1
1000000.0,9.6199959,0.1100866,273,1
100.0,0.007937599999999998,0.015205,298,1
200.0,0.0159486,0.0215632,298,1
500.0,0.0400406,0.0285461,298,1
1000.0,0.07973139999999998,0.0422608,298,1
2000.0,0.1606975,0.0582427,298,1
5000.0,0.3889004,0.0904184,298,1
10000.0,0.7797946999999998,0.1219516,298,1
20000.0,1.5552634,0.1781779,298,1
50000.0,3.5398914,0.229185,298,1
100000.0,5.3923318,0.2160107,298,1
1000000.0,8.7444923,0.1320524,298,1
100.0,0.0036013,0.0100856,323,1
200.0,0.0069738,0.0142809,323,1
500.0,0.0178185,0.0228197,323,1
1000.0,0.0349606,0.0324743,323,1
2000.0,0.0696385,0.0391403,323,1
5000.0,0.1783131,0.0626757,323,1
10000.0,0.3554825,0.0834381,323,1
20000.0,0.6967096,0.1217424,323,1
50000.0,1.6870177,0.1853881,323,1
100000.0,3.1157589,0.226086,323,1
1000000.0,7.7308662,0.1597453,323,1
100.0,0.0127035,0.019387,273,6
200.0,0.0237188,0.0263689,273,6
500.0,0.0601491,0.036519,273,6
1000.0,0.1235115,0.0527275,273,6
2000.0,0.2482456,0.0719195,273,6
5000.0,0.6024774,0.1111613,273,6
10000.0,1.2283388,0.1561988,273,6
20000.0,2.3225999,0.2029761,273,6
50000.0,4.7683932,0.2422101,273,6
100000.0,6.3770103,0.1931221,273,6
1000000.0,8.915188499999998,0.123516,273,6
100.0,0.0050124,0.0120795,298,6
200.0,0.009872,0.0166935,298,6
500.0,0.0247005,0.0268229,298,6
1000.0,0.0500699,0.0326654,298,6
2000.0,0.1006807,0.0489947,298,6
5000.0,0.2453376,0.07319839999999998,298,6
10000.0,0.4881783,0.0997096,298,6
20000.0,0.9410051,0.1444293,298,6
50000.0,2.3184444,0.2149807,298,6
100000.0,3.980699,0.2387758,298,6
1000000.0,7.9660563,0.1421354,298,6
100.0,0.0023725,0.0083041,323,6
200.0,0.0047331,0.0117769,323,6
500.0,0.0116271,0.0185112,323,6
1000.0,0.0228955,0.0256773,323,6
2000.0,0.0472373,0.0375287,323,6
5000.0,0.1148448,0.050979,323,6
10000.0,0.236585,0.0705367,323,6
20000.0,0.4572003,0.0972082,323,6
50000.0,1.0876818,0.1598928,323,6
100000.0,2.1204679,0.2011091,323,6
1000000.0,6.8881105,0.1675481,323,6
100.0,0.0464701,0.0289952,273,2
200.0,0.097278,0.0400305,273,2
500.0,0.2634551,0.0662753,273,2
1000.0,0.4609562,0.0857548,273,2
2000.0,0.854448,0.1253433,273,2
5000.0,1.9144836,0.159818,273,2
10000.0,3.1833573,0.1984222,273,2
20000.0,4.6983705,0.2164569,273,2
50000.0,6.65241,0.204025,273,2
100000.0,7.7758433,0.1645432,273,2
1000000.0,9.8071583,0.1255477,273,2
100.0,0.016078,0.0170683,298,2
200.0,0.0290868,0.0232133,298,2
500.0,0.0751417,0.0356786,298,2
1000.0,0.1429791,0.0487045,298,2
2000.0,0.2963754,0.0696763,298,2
5000.0,0.6657287,0.1109046,298,2
10000.0,1.3185771,0.158018,298,2
20000.0,2.4287285,0.1760232,298,2
50000.0,4.2846454,0.2115711,298,2
100000.0,5.868594,0.2086441,298,2
1000000.0,8.981434399999998,0.1269053,298,2
100.0,0.0057885,0.0131779,323,2
200.0,0.0125561,0.0158134,323,2
500.0,0.0297629,0.0248316,323,2
1000.0,0.0587439,0.0322113,323,2
2000.0,0.1139081,0.0464438,323,2
5000.0,0.2924641,0.0713966,323,2
10000.0,0.5897718,0.0961622,323,2
20000.0,1.0527302,0.1355662,323,2
50000.0,2.3965323,0.1858332,323,2
100000.0,3.8332025,0.2146395,323,2
1000000.0,7.9446923,0.1466303,323,2
100.0,0.0079504,0.015308,273,8
200.0,0.0156546,0.0213568,273,8
500.0,0.0399642,0.0344505,273,8
1000.0,0.07902,0.0415927,273,8
2000.0,0.1578959,0.0621961,273,8
5000.0,0.3999593,0.0931426,273,8
10000.0,0.8030424,0.130565,273,8
20000.0,1.6337562,0.1913688,273,8
50000.0,3.8770858,0.2633614,273,8
100000.0,5.8107894,0.2145247,273,8
1000000.0,8.727254999999998,0.1179697,273,8
100.0,0.0033103,0.0098615,298,8
200.0,0.0070938,0.0143081,298,8
500.0,0.0171598,0.0226271,298,8
1000.0,0.0349988,0.0318645,298,8
2000.0,0.0698006,0.0455855,298,8
5000.0,0.1775752,0.0656139,298,8
10000.0,0.3508581,0.0888766,298,8
20000.0,0.6838299,0.116864,298,8
50000.0,1.7057311,0.1977601,298,8
100000.0,3.2608411,0.2527142,298,8
1000000.0,7.741565699999998,0.1462994,298,8
100.0,0.0017933,0.0072417,323,8
200.0,0.0035219,0.0100922,323,8
500.0,0.0087769,0.0160123,323,8
1000.0,0.0175067,0.0225215,323,8
2000.0,0.0357837,0.032408,323,8
5000.0,0.0865489,0.0503637,323,8
10000.0,0.1772841,0.0725877,323,8
20000.0,0.3473332,0.0990266,323,8
50000.0,0.8481349,0.1602326,323,8
100000.0,1.6796323,0.2141146,323,8
1000000.0,6.534706,0.2154459,323,8
100.0,0.0131969,0.0195359,273,4
200.0,0.0270436,0.0283033,273,4
500.0,0.0673723,0.0381337,273,4
1000.0,0.138049,0.0535433,273,4
2000.0,0.2681875,0.07648109999999998,273,4
5000.0,0.6416387,0.1129101,273,4
10000.0,1.286967,0.1725953,273,4
20000.0,2.5291344,0.241601,273,4
50000.0,5.0643823,0.2451402,273,4
100000.0,6.7174627,0.1982633,273,4
1000000.0,9.3635131,0.1279829,273,4
100.0,0.0054681,0.0128684,298,4
200.0,0.010848,0.01764,298,4
500.0,0.0276845,0.0286887,298,4
1000.0,0.0551837,0.0405996,298,4
2000.0,0.1101088,0.0503913,298,4
5000.0,0.2728124,0.0758689,298,4
10000.0,0.5406188,0.1056468,298,4
20000.0,1.0548982,0.1521946,298,4
50000.0,2.5265518,0.2229261,298,4
100000.0,4.3048047,0.2435226,298,4
1000000.0,8.277705799999998,0.1418938,298,4
100.0,0.0025635,0.0087208,323,4
200.0,0.0052065,0.0123661,323,4
500.0,0.0134233,0.0198372,323,4
1000.0,0.0258071,0.0275377,323,4
2000.0,0.0517353,0.0387937,323,4
5000.0,0.1294206,0.0613184,323,4
10000.0,0.2590793,0.0868981,323,4
20000.0,0.508895,0.1195963,323,4
50000.0,1.2133982,0.1844464,323,4
100000.0,2.3504304,0.2533926,323,4
1000000.0,7.1724581,0.2148261,323,4
100.0,0.0423896,0.0305316,273,7
200.0,0.08692809999999998,0.0413339,273,7
500.0,0.2147833,0.0654596,273,7
1000.0,0.4222074,0.0857721,273,7
2000.0,0.8298881999999999,0.1317961,273,7
5000.0,1.9893564,0.192392,273,7
10000.0,3.5435301,0.2250242,273,7
20000.0,5.3994453,0.2135225,273,7
50000.0,7.2271229,0.1646898,273,7
100000.0,8.0397215,0.1368278,273,7
1000000.0,9.5396597,0.0983152,273,7
100.0,0.0143376,0.0205673,298,7
200.0,0.0287399,0.025612,298,7
500.0,0.07449849999999998,0.0376071,298,7
1000.0,0.140627,0.0520988,298,7
2000.0,0.289282,0.0737588,298,7
5000.0,0.6779659,0.1192831,298,7
10000.0,1.3096602,0.1526267,298,7
20000.0,2.5095588,0.2117311,298,7
50000.0,4.6867129,0.2172465,298,7
100000.0,6.2329842,0.1965193,298,7
1000000.0,8.8709337,0.1128698,298,7
100.0,0.0055916,0.012795,323,7
200.0,0.0116387,0.0184372,323,7
500.0,0.0288692,0.0255762,323,7
1000.0,0.0609782,0.0361836,323,7
2000.0,0.1124401,0.0487805,323,7
5000.0,0.282669,0.0748309,323,7
10000.0,0.5561339,0.1030381,323,7
20000.0,1.0501172,0.1479495,323,7
50000.0,2.4156901,0.209807,323,7
100000.0,4.0239098,0.2110861,323,7
1000000.0,8.025714199999998,0.1222544,323,7
100.0,0.0634447,0.0356816,273,3
200.0,0.1256782,0.0510023,273,3
500.0,0.3172703,0.0764234,273,3
1000.0,0.6029921,0.1043472,273,3
2000.0,1.2421914,0.1679099,273,3
5000.0,2.9206109,0.2138022,273,3
10000.0,4.832464,0.2315117,273,3
20000.0,6.4185002,0.2049342,273,3
50000.0,7.855136199999999,0.1419084,273,3
100000.0,8.5841341,0.137352,273,3
1000000.0,9.9589772,0.1074349,273,3
100.0,0.0203202,0.0244704,298,3
200.0,0.0414429,0.0303928,298,3
500.0,0.1035882,0.0458823,298,3
1000.0,0.2086434,0.0642961,298,3
2000.0,0.4042331,0.0931342,298,3
5000.0,0.9783092,0.1552833,298,3
10000.0,1.9767085,0.1914159,298,3
20000.0,3.433945,0.2169364,298,3
50000.0,5.7271417,0.2220265,298,3
100000.0,7.0875536,0.1770362,298,3
1000000.0,9.2904666,0.1100632,298,3
100.0,0.008305,0.015686,323,3
200.0,0.0159369,0.0215076,323,3
500.0,0.0414106,0.0305382,323,3
1000.0,0.07915809999999998,0.0425898,323,3
2000.0,0.1590836,0.0593998,323,3
5000.0,0.4067514,0.0920851,323,3
10000.0,0.7685811999999999,0.1273079,323,3
20000.0,1.5225363,0.1709238,323,3
50000.0,3.350452,0.2265375,323,3
100000.0,4.9940443,0.2171138,323,3
1000000.0,8.471902699999998,0.1285526,323,3
