Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006321,0.004384,273,5
200.0,0.0010378,0.0055199,273,5
500.0,0.0030898,0.0095739,273,5
1000.0,0.0056592,0.0128966,273,5
2000.0,0.0116565,0.0184037,273,5
5000.0,0.0297041,0.0293968,273,5
10000.0,0.0594524,0.0414528,273,5
20000.0,0.1181051,0.0509399,273,5
50000.0,0.2865101,0.0782082,273,5
100000.0,0.5526193,0.1065266,273,5
100.0,0.0003381,0.0031344,298,5
200.0,0.0007026,0.0045286,298,5
500.0,0.0017374,0.0071534,298,5
1000.0,0.0035443,0.0101938,298,5
2000.0,0.0071203,0.0144124,298,5
5000.0,0.0173598,0.0224818,298,5
10000.0,0.0349547,0.0319765,298,5
20000.0,0.0693332,0.0444018,298,5
50000.0,0.1728303,0.0633655,298,5
100000.0,0.3344244,0.0835717,298,5
100.0,0.0001999,0.0024515,323,5
200.0,0.0004586,0.0036668,323,5
500.0,0.0011465,0.005856,323,5
1000.0,0.0022284,0.008064699999999998,323,5
2000.0,0.0043715,0.011317,323,5
5000.0,0.0108976,0.0179919,323,5
10000.0,0.0227073,0.0255411,323,5
20000.0,0.0447003,0.0365981,323,5
50000.0,0.10995,0.048607,323,5
100000.0,0.2165716,0.0709869,323,5
100.0,0.0007908,0.0047926,273,1
200.0,0.0014876,0.00655,273,1
500.0,0.0041893,0.0110545,273,1
1000.0,0.0085461,0.015913,273,1
2000.0,0.0170922,0.0227448,273,1
5000.0,0.0412077,0.034542,273,1
10000.0,0.0833239,0.0493967,273,1
20000.0,0.1630053,0.0614423,273,1
50000.0,0.3953327,0.0906531,273,1
100000.0,0.7380204,0.1258919,273,1
100.0,0.0004706,0.003805,298,1
200.0,0.0009378,0.0052657,298,1
500.0,0.0022549,0.0081798,298,1
1000.0,0.0045303,0.011505,298,1
2000.0,0.0095457,0.0169716,298,1
5000.0,0.0235305,0.0261755,298,1
10000.0,0.0471374,0.0370362,298,1
20000.0,0.0941601,0.052057,298,1
50000.0,0.2299131,0.0721575,298,1
100000.0,0.4421136,0.0968162,298,1
100.0,0.0003175,0.0031228,323,1
200.0,0.0005677,0.0041092,323,1
500.0,0.0014993,0.0068188,323,1
1000.0,0.0028458,0.0091197,323,1
2000.0,0.0057856,0.0132739,323,1
5000.0,0.0145992,0.0207376,323,1
10000.0,0.0291456,0.029684,323,1
20000.0,0.0584352,0.0411971,323,1
50000.0,0.1462247,0.0590181,323,1
100000.0,0.2851586,0.078709,323,1
100.0,0.0006703,0.0044078,273,6
200.0,0.0011495,0.0058776,273,6
500.0,0.0031309,0.0096862,273,6
1000.0,0.0060237,0.0131643,273,6
2000.0,0.0119651,0.0186292,273,6
5000.0,0.0305302,0.0301533,273,6
10000.0,0.0610134,0.0422265,273,6
20000.0,0.1218769,0.0529589,273,6
50000.0,0.2942103,0.07809059999999998,273,6
100000.0,0.5560358,0.102938,273,6
100.0,0.0004028,0.0034173,298,6
200.0,0.0006585,0.004468,298,6
500.0,0.0017051,0.0070333,298,6
1000.0,0.0036101,0.0101635,298,6
2000.0,0.0070497,0.0142604,298,6
5000.0,0.0177361,0.0226029,298,6
10000.0,0.035137,0.0322512,298,6
20000.0,0.0708091,0.0451522,298,6
50000.0,0.1766903,0.0643939,298,6
100000.0,0.3404422,0.08852319999999998,298,6
100.0,0.0002528,0.0027145,323,6
200.0,0.0004233,0.0035269,323,6
500.0,0.0012318,0.0060065,323,6
1000.0,0.0024048,0.008495499999999998,323,6
2000.0,0.0044156,0.0113875,323,6
5000.0,0.0111535,0.0180393,323,6
10000.0,0.0221252,0.0252106,323,6
20000.0,0.0447009,0.0360779,323,6
50000.0,0.1124636,0.0492368,323,6
100000.0,0.220063,0.0721518,323,6
100.0,0.0007761,0.004786,273,2
200.0,0.0017786,0.0073343,273,2
500.0,0.0042951,0.0113004,273,2
1000.0,0.0088489,0.0159944,273,2
2000.0,0.0171393,0.022453,273,2
5000.0,0.042319,0.0350907,273,2
10000.0,0.0881893,0.0441064,273,2
20000.0,0.1697228,0.0634914,273,2
50000.0,0.4121334,0.0920462,273,2
100000.0,0.7738245999999999,0.1306279,273,2
100.0,0.0004851,0.003768,298,2
200.0,0.0008937,0.0051322,298,2
500.0,0.0022736,0.0081662,298,2
1000.0,0.0046626,0.0116429,298,2
2000.0,0.0099749,0.0171162,298,2
5000.0,0.024289,0.0264683,298,2
10000.0,0.0483222,0.0376707,298,2
20000.0,0.0965368,0.0462219,298,2
50000.0,0.2430022,0.0733285,298,2
100000.0,0.4620533,0.0940713,298,2
100.0,0.0002734,0.0028219,323,2
200.0,0.0006144,0.004307,323,2
500.0,0.0016434,0.0070663,323,2
1000.0,0.0030104,0.0094402,323,2
2000.0,0.0061707,0.0135246,323,2
5000.0,0.0155812,0.0213559,323,2
10000.0,0.0302573,0.0296568,323,2
20000.0,0.0604843,0.0414351,323,2
50000.0,0.1480797,0.0589658,323,2
100000.0,0.2939046,0.08446109999999998,323,2
100.0,0.0005471,0.0040162,273,8
200.0,0.001123,0.0057864,273,8
500.0,0.002834,0.0090853,273,8
1000.0,0.0057738,0.0130691,273,8
2000.0,0.0115742,0.0184274,273,8
5000.0,0.0287134,0.0285718,273,8
10000.0,0.0578443,0.0412747,273,8
20000.0,0.115618,0.0511142,273,8
50000.0,0.2812393,0.0787004,273,8
100000.0,0.5340718,0.1041395,273,8
100.0,0.000309,0.0030268,298,8
200.0,0.0007291,0.0046095,298,8
500.0,0.0016757,0.0069663,298,8
1000.0,0.0035337,0.0101734,298,8
2000.0,0.0065764,0.0137909,298,8
5000.0,0.0171449,0.0224672,298,8
10000.0,0.0346457,0.0316786,298,8
20000.0,0.0674295,0.0445273,298,8
50000.0,0.165954,0.0615205,298,8
100000.0,0.3283238,0.08583989999999998,298,8
100.0,0.0002205,0.0025364,323,8
200.0,0.0004704,0.0036888,323,8
500.0,0.0011436,0.0057749,323,8
1000.0,0.0022284,0.008118099999999998,323,8
2000.0,0.0044539,0.0113688,323,8
5000.0,0.0108157,0.0176231,323,8
10000.0,0.0219724,0.0255984,323,8
20000.0,0.0442828,0.035827,323,8
50000.0,0.1082861,0.0568976,323,8
100000.0,0.2134471,0.07952819999999998,323,8
100.0,0.0008555,0.0050453,273,4
