Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.010701,0.0177928,273,5
200.0,0.0219136,0.0253267,273,5
500.0,0.0543047,0.0399218,273,5
1000.0,0.106825,0.0503071,273,5
2000.0,0.2219432,0.0719196,273,5
5000.0,0.5459925,0.1066688,273,5
10000.0,1.1063292,0.1638412,273,5
20000.0,2.2806842,0.2111787,273,5
50000.0,4.7423791,0.2380944,273,5
100000.0,6.3219354,0.1961838,273,5
1000000.0,8.611960899999998,0.1198041,273,5
100.0,0.004351,0.011344,298,5
200.0,0.008796,0.0161311,298,5
500.0,0.0222458,0.0253288,298,5
1000.0,0.0451001,0.0368271,298,5
2000.0,0.089757,0.0456696,298,5
5000.0,0.223272,0.0711769,298,5
10000.0,0.4451408,0.100479,298,5
20000.0,0.8697367999999999,0.1406855,298,5
50000.0,2.2078358,0.2131598,298,5
100000.0,3.9182023,0.2419426,298,5
1000000.0,7.786079,0.1179578,298,5
100.0,0.0021373,0.0078343,323,5
200.0,0.004251,0.0111362,323,5
500.0,0.0107422,0.0177388,323,5
1000.0,0.0211404,0.0251248,323,5
2000.0,0.0432833,0.0354934,323,5
5000.0,0.1079568,0.0495949,323,5
10000.0,0.2136117,0.0703014,323,5
20000.0,0.4327814,0.0987097,323,5
50000.0,1.0589893,0.1469609,323,5
100000.0,2.0247129,0.2083441,323,5
1000000.0,6.7169153,0.1655067,323,5
100.0,0.0156811,0.021589,273,1
200.0,0.0318679,0.0305424,273,1
500.0,0.0790758,0.0421964,273,1
1000.0,0.1599279,0.059761,273,1
2000.0,0.3274463,0.08572069999999998,273,1
5000.0,0.7797077999999998,0.131485,273,1
10000.0,1.6154926,0.1936008,273,1
20000.0,3.1337982,0.248609,273,1
50000.0,5.6868787,0.2176149,273,1
100000.0,6.9624723,0.1727669,273,1
1000000.0,9.0849912,0.1207668,273,1
100.0,0.0063795,0.0136603,298,1
200.0,0.0128324,0.0194289,298,1
500.0,0.0319321,0.0306077,298,1
1000.0,0.0631948,0.042944,298,1
2000.0,0.1255646,0.0560439,298,1
5000.0,0.3164879,0.08596249999999998,298,1
10000.0,0.6265167,0.1185539,298,1
20000.0,1.2675384,0.1742378,298,1
50000.0,3.0143303,0.2361653,298,1
100000.0,4.8008095,0.2347891,298,1
1000000.0,8.1877989,0.1161602,298,1
100.0,0.0029428,0.0092163,323,1
200.0,0.0058385,0.0130867,323,1
500.0,0.0148932,0.0208077,323,1
1000.0,0.0300749,0.0296615,323,1
2000.0,0.0606695,0.0425683,323,1
5000.0,0.1509314,0.0584621,323,1
10000.0,0.3005493,0.08206189999999998,323,1
20000.0,0.5803734,0.1133502,323,1
50000.0,1.4221584,0.1763744,323,1
100000.0,2.6689223,0.2146566,323,1
1000000.0,7.2282932,0.1530234,323,1
100.0,0.0105981,0.0178422,273,6
200.0,0.0204995,0.0249293,273,6
500.0,0.0523439,0.0391244,273,6
1000.0,0.1040645,0.0477352,273,6
2000.0,0.2068589,0.0675479,273,6
5000.0,0.5251571,0.1049761,273,6
10000.0,1.0556435,0.1545113,273,6
20000.0,2.1355578,0.2210679,273,6
50000.0,4.5828363,0.2632776,273,6
100000.0,6.2352936,0.1979652,273,6
1000000.0,8.6810732,0.1183732,273,6
100.0,0.0043568,0.0114479,298,6
200.0,0.0087901,0.0159186,298,6
500.0,0.0221664,0.0255121,298,6
1000.0,0.0444974,0.0366103,298,6
2000.0,0.0855964,0.043963,298,6
5000.0,0.2155775,0.0711601,298,6
10000.0,0.4328403,0.0993793,298,6
20000.0,0.8534975999999999,0.1340137,298,6
50000.0,2.1161837,0.2088611,298,6
100000.0,3.7952357,0.2439775,298,6
1000000.0,7.8045502,0.133134,298,6
100.0,0.0021696,0.0080055,323,6
200.0,0.0041355,0.0109956,323,6
500.0,0.0106069,0.0178054,323,6
1000.0,0.0210316,0.024876,323,6
2000.0,0.0428923,0.0353138,323,6
5000.0,0.107557,0.0499145,323,6
10000.0,0.2131384,0.0686833,323,6
20000.0,0.4235544,0.0963009,323,6
50000.0,1.0179857,0.1533927,323,6
100000.0,2.0010842,0.1958832,323,6
1000000.0,6.7049263,0.1631014,323,6
100.0,0.0162191,0.021959,273,2
200.0,0.0326296,0.0309514,273,2
500.0,0.0800665,0.0425434,273,2
1000.0,0.1612414,0.0604248,273,2
2000.0,0.3332063,0.08668299999999998,273,2
5000.0,0.8096223999999999,0.1309595,273,2
10000.0,1.6379755,0.19089,273,2
20000.0,3.1666737,0.2532098,273,2
50000.0,5.7259911,0.2202458,273,2
100000.0,7.1033696,0.1821075,273,2
1000000.0,9.3335971,0.1162004,273,2
100.0,0.0065327,0.0137154,298,2
200.0,0.0134057,0.020057,298,2
500.0,0.0327234,0.0304796,298,2
1000.0,0.0658848,0.0379401,298,2
2000.0,0.1310757,0.0581352,298,2
5000.0,0.3289326,0.0836501,298,2
10000.0,0.6327494,0.114718,298,2
20000.0,1.2861217,0.1731575,298,2
50000.0,3.0082625,0.2349468,298,2
100000.0,4.836732,0.2438161,298,2
1000000.0,8.386629199999998,0.1280283,298,2
100.0,0.0029781,0.0093817,323,2
