Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0917728,0.0387963,273,5
200.0,0.1726773,0.05161,273,5
500.0,0.3610375,0.0685053,273,5
1000.0,0.5348579,0.070109,273,5
2000.0,0.7258976999999999,0.0697991,273,5
5000.0,0.9423454000000001,0.0592497,273,5
10000.0,1.0614047,0.0510253,273,5
20000.0,1.1672825,0.0499707,273,5
50000.0,1.3400528,0.0572236,273,5
100000.0,1.5138372,0.064067,273,5
1000000.0,2.1482713,0.0540012,273,5
100.0,0.0278041,0.0216468,298,5
200.0,0.0554208,0.0307394,298,5
500.0,0.129812,0.0453474,298,5
1000.0,0.2401941,0.0581723,298,5
2000.0,0.390034,0.0663412,298,5
5000.0,0.653687,0.0697245,298,5
10000.0,0.8345192999999999,0.0633508,298,5
20000.0,0.9871194,0.0603534,298,5
50000.0,1.1617108,0.0558373,298,5
100000.0,1.2885172,0.0584433,298,5
1000000.0,1.850299,0.0653244,298,5
100.0,0.0103951,0.0109484,323,5
200.0,0.0209811,0.013875,323,5
500.0,0.0490665,0.0208648,323,5
1000.0,0.0940533,0.0273882,323,5
2000.0,0.175712,0.0357303,323,5
5000.0,0.3516582,0.0463819,323,5
10000.0,0.5489124,0.0512353,323,5
20000.0,0.7568546,0.0469617,323,5
50000.0,0.9883728,0.0430723,323,5
100000.0,1.1236661,0.0421313,323,5
1000000.0,1.6203856,0.0384869,323,5
100.0,0.1197077,0.0429835,273,1
200.0,0.2159432,0.0558479,273,1
500.0,0.4125705,0.0705646,273,1
1000.0,0.604429,0.07444639999999998,273,1
2000.0,0.7933597,0.0655984,273,1
5000.0,0.9855046,0.0551315,273,1
10000.0,1.0814221,0.0454614,273,1
20000.0,1.1750684,0.0466168,273,1
50000.0,1.3606834,0.0520406,273,1
100000.0,1.5818468,0.0630238,273,1
1000000.0,2.427348,0.0610492,273,1
100.0,0.0351198,0.0246913,298,1
200.0,0.0701642,0.0347407,298,1
500.0,0.1589622,0.0478485,298,1
1000.0,0.285613,0.062363,298,1
2000.0,0.4550912,0.0679238,298,1
5000.0,0.7138157,0.0676655,298,1
10000.0,0.8807595,0.0643303,298,1
20000.0,1.0211627,0.0534858,298,1
50000.0,1.1604348,0.050412,298,1
100000.0,1.2915121,0.0536784,298,1
1000000.0,2.0614274,0.0787177,298,1
100.0,0.0129076,0.012129,323,1
200.0,0.0257066,0.0151883,323,1
500.0,0.0623078,0.0228145,323,1
1000.0,0.115343,0.0304057,323,1
2000.0,0.2116698,0.0400296,323,1
5000.0,0.4173343,0.045926,323,1
10000.0,0.620011,0.0508281,323,1
20000.0,0.8004615,0.0479421,323,1
50000.0,1.0050639,0.0397114,323,1
100000.0,1.1314611,0.0365013,323,1
1000000.0,1.7217373,0.048176,323,1
100.0,0.1179949,0.045226,273,6
200.0,0.2123008,0.0567249,273,6
500.0,0.4070807,0.0674103,273,6
