Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.074185,0.0540634,273,5
200.0,0.1540257,0.07636289999999998,273,5
500.0,0.3739913,0.1188547,273,5
1000.0,0.7111506,0.1564995,273,5
2000.0,1.2330914,0.1957033,273,5
5000.0,2.4625472,0.244418,273,5
10000.0,3.5123512,0.2471758,273,5
20000.0,4.5394174,0.2197023,273,5
50000.0,5.5689203,0.1950049,273,5
100000.0,6.0958755,0.1586318,273,5
1000000.0,7.5559981,0.1464247,273,5
100.0,0.0267481,0.0384552,298,5
200.0,0.0547013,0.0548773,298,5
500.0,0.1305007,0.07236339999999998,298,5
1000.0,0.2542358,0.098976,298,5
2000.0,0.4910316,0.1371053,298,5
5000.0,1.1162516,0.1873871,298,5
10000.0,1.8463622,0.2297482,298,5
20000.0,2.82513,0.2584673,298,5
50000.0,4.1605245,0.2274816,298,5
100000.0,4.9337295,0.2060118,298,5
1000000.0,6.8401125,0.1530402,298,5
100.0,0.0114809,0.0218731,323,5
200.0,0.022554,0.0305259,323,5
500.0,0.0546971,0.0474547,323,5
1000.0,0.1081877,0.0571136,323,5
2000.0,0.2119907,0.0774847,323,5
5000.0,0.4915486,0.1189053,323,5
10000.0,0.907902,0.1399101,323,5
20000.0,1.5693806,0.1967647,323,5
50000.0,2.77569,0.2043892,323,5
100000.0,3.7403464,0.2016289,323,5
1000000.0,6.0986899,0.1450901,323,5
100.0,0.3533308,0.1068489,273,1
200.0,0.6979952,0.1539816,273,1
500.0,1.3379244,0.1789251,273,1
1000.0,2.0690799,0.210101,273,1
2000.0,3.0222665,0.2236306,273,1
5000.0,4.3434081,0.227273,273,1
10000.0,5.279395,0.1929968,273,1
20000.0,5.9487918,0.1737835,273,1
50000.0,6.7497764,0.1511467,273,1
100000.0,7.3099425,0.1648919,273,1
1000000.0,8.580544899999998,0.1388792,273,1
100.0,0.1017183,0.0637244,298,1
200.0,0.1978698,0.08010249999999998,298,1
500.0,0.4525153,0.1194291,298,1
1000.0,0.8211627999999999,0.1611677,298,1
2000.0,1.417542,0.1780382,298,1
5000.0,2.5558094,0.2327216,298,1
10000.0,3.5339641,0.2312322,298,1
20000.0,4.5413548,0.2208291,298,1
50000.0,5.5701845,0.1960227,298,1
100000.0,6.2043424,0.1865567,298,1
1000000.0,7.8946728,0.1372478,298,1
100.0,0.0342955,0.0307695,323,1
200.0,0.0682253,0.0448869,323,1
500.0,0.1610771,0.0642818,323,1
1000.0,0.3239955,0.0930223,323,1
2000.0,0.5868233,0.1210966,323,1
5000.0,1.2292898,0.1628358,323,1
10000.0,1.984255,0.1769015,323,1
20000.0,2.9780355,0.2098047,323,1
50000.0,4.3231548,0.1959395,323,1
100000.0,5.1221495,0.1754045,323,1
1000000.0,7.0775105,0.144764,323,1
100.0,0.09713840000000001,0.060512,273,6
200.0,0.1894445,0.080705,273,6
500.0,0.4635666,0.1284136,273,6
1000.0,0.8264723,0.1490018,273,6
2000.0,1.3030839,0.1818718,273,6
5000.0,2.3565519,0.2244349,273,6
10000.0,3.3524578,0.2262329,273,6
20000.0,4.3170491,0.2243687,273,6
50000.0,5.2867659,0.1881019,273,6
100000.0,5.9073761,0.1753344,273,6
1000000.0,7.5451322,0.1729983,273,6
