Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000463,0.0042347,273,5
200.0,0.0009753,0.0060767,273,5
500.0,0.0021973,0.009088100000000002,273,5
1000.0,0.0046831,0.0131558,273,5
2000.0,0.009165,0.0185832,273,5
5000.0,0.0235178,0.0301238,273,5
10000.0,0.04677,0.0415411,273,5
20000.0,0.0932895,0.0589985,273,5
50000.0,0.2224344,0.08135489999999998,273,5
100000.0,0.4203112,0.1047305,273,5
100.0,0.0002467,0.0030497,298,5
200.0,0.0005882,0.0048093,298,5
500.0,0.0013776,0.0071988,298,5
1000.0,0.0027628,0.0102606,298,5
2000.0,0.0054724,0.0145408,298,5
5000.0,0.0135027,0.0226499,298,5
10000.0,0.027328,0.0320575,298,5
20000.0,0.0534606,0.0442518,298,5
50000.0,0.1344987,0.0703449,298,5
100000.0,0.2566421,0.08393499999999998,298,5
100.0,0.0001746,0.002568,323,5
200.0,0.0003416,0.003584,323,5
500.0,0.0008311,0.0055802,323,5
1000.0,0.0018482,0.0083945,323,5
2000.0,0.0034611,0.0115161,323,5
5000.0,0.0088993,0.0182442,323,5
10000.0,0.0177607,0.0257105,323,5
20000.0,0.0351078,0.0361762,323,5
50000.0,0.0869366,0.0572136,323,5
100000.0,0.1729168,0.0719178,323,5
100.0,0.0006452,0.0050219,273,1
200.0,0.0010778,0.0065285,273,1
500.0,0.0029943,0.0108192,273,1
1000.0,0.0059658,0.0151273,273,1
2000.0,0.0121707,0.0213957,273,1
5000.0,0.0301022,0.0340504,273,1
10000.0,0.0599501,0.0474948,273,1
20000.0,0.1176764,0.0661669,273,1
50000.0,0.2832131,0.0847157,273,1
100000.0,0.5325917,0.1196445,273,1
100.0,0.0003416,0.003584,298,1
200.0,0.0006338,0.004922,298,1
500.0,0.0017399,0.008099099999999998,298,1
1000.0,0.0033223,0.0112376,298,1
2000.0,0.007263699999999999,0.0166275,298,1
5000.0,0.0170169,0.0254787,298,1
10000.0,0.0346183,0.0362359,298,1
20000.0,0.0680943,0.0509664,298,1
50000.0,0.1684197,0.0694397,298,1
100000.0,0.319208,0.0917303,298,1
100.0,0.0001784,0.0025956,323,1
200.0,0.0003795,0.003814,323,1
500.0,0.0010366,0.0062782,323,1
1000.0,0.0023112,0.0093724,323,1
2000.0,0.004444,0.0130357,323,1
5000.0,0.0109449,0.0205081,323,1
10000.0,0.0217152,0.0288419,323,1
20000.0,0.0437074,0.0398223,323,1
50000.0,0.1072182,0.0621942,323,1
100000.0,0.2093074,0.0764783,323,1
100.0,0.0004632,0.0042016,273,6
200.0,0.0008918,0.0059217,273,6
500.0,0.0020645,0.008854799999999998,273,6
1000.0,0.0047058,0.0132676,273,6
2000.0,0.0090549,0.0185091,273,6
5000.0,0.0225804,0.0292728,273,6
10000.0,0.044178,0.0407992,273,6
20000.0,0.08892139999999998,0.0574892,273,6
50000.0,0.2123434,0.07766629999999998,273,6
100000.0,0.4086599,0.1078861,273,6
100.0,0.0001822,0.002623,298,6
200.0,0.0005617,0.0045826,298,6
500.0,0.0014193,0.0074174,298,6
1000.0,0.0025692,0.0099338,298,6
2000.0,0.005647,0.0146125,298,6
5000.0,0.0132978,0.0227455,298,6
10000.0,0.0265159,0.0314946,298,6
20000.0,0.0532329,0.0448959,298,6
50000.0,0.1317559,0.0689507,298,6
100000.0,0.249937,0.08524619999999998,298,6
100.0,0.0001746,0.002568,323,6
200.0,0.0003491,0.0036628,323,6
500.0,0.0008539,0.0056791,323,6
1000.0,0.0017694,0.008266799999999998,323,6
2000.0,0.0034155,0.0114167,323,6
5000.0,0.0084288,0.0179843,323,6
10000.0,0.017294,0.0255549,323,6
20000.0,0.0347056,0.0363767,323,6
50000.0,0.0847924,0.0558322,323,6
100000.0,0.1652964,0.0689574,323,6
100.0,0.0006793,0.0050603,273,2
200.0,0.0013017,0.0069898,273,2
500.0,0.0027362,0.0101903,273,2
1000.0,0.0057258,0.014586,273,2
2000.0,0.0120302,0.0211813,273,2
5000.0,0.0285993,0.0328064,273,2
10000.0,0.058193,0.0469647,273,2
20000.0,0.113054,0.0643765,273,2
50000.0,0.271675,0.0879708,273,2
100000.0,0.509225,0.1112117,273,2
100.0,0.0003264,0.0035451,298,2
200.0,0.0007135,0.0051822,298,2
500.0,0.0017419,0.0081388,298,2
1000.0,0.0033093,0.0111677,298,2
2000.0,0.0066261,0.0160882,298,2
5000.0,0.0171849,0.0256461,298,2
10000.0,0.0335025,0.0351213,298,2
20000.0,0.067358,0.0499451,298,2
50000.0,0.1636759,0.0668308,298,2
100000.0,0.3141528,0.091308,298,2
100.0,0.0002277,0.0029308,323,2
200.0,0.0004516,0.00415,323,2
500.0,0.0010285,0.006255,323,2
1000.0,0.0020721,0.0089178,323,2
2000.0,0.0043491,0.0128733,323,2
5000.0,0.0108993,0.020455,323,2
10000.0,0.0217797,0.0288707,323,2
20000.0,0.0419692,0.0398584,323,2
50000.0,0.103698,0.0621135,323,2
100000.0,0.2051822,0.075307,323,2
100.0,0.0004516,0.00415,273,8
200.0,0.0008955999999999999,0.0058353,273,8
500.0,0.0022656,0.0092909,273,8
1000.0,0.0041404,0.0125062,273,8
2000.0,0.0088348,0.0183894,273,8
5000.0,0.0224856,0.0288733,273,8
10000.0,0.04488,0.0411102,273,8
20000.0,0.0866026,0.0569543,273,8
50000.0,0.211277,0.07795979999999998,273,8
