Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0042896,0.0153246,273,5
200.0,0.0085903,0.0218634,273,5
500.0,0.020785,0.0342099,273,5
1000.0,0.0425394,0.0488881,273,5
2000.0,0.085439,0.0688024,273,5
5000.0,0.2180202,0.0905403,273,5
10000.0,0.415717,0.1300522,273,5
20000.0,0.8636032,0.1857205,273,5
50000.0,2.1981396,0.3183852,273,5
100000.0,4.7384916,0.4676078,273,5
1000000.0,15.1684183,0.2714705,273,5
100.0,0.0023843,0.0115478,298,5
200.0,0.0039331,0.0147619,298,5
500.0,0.010022,0.0234465,298,5
1000.0,0.0203885,0.0337537,298,5
2000.0,0.0407901,0.0476656,298,5
5000.0,0.1027186,0.0758357,298,5
10000.0,0.202452,0.0931668,298,5
20000.0,0.4047776,0.1269094,298,5
50000.0,1.0210223,0.1978216,298,5
100000.0,2.0232267,0.2929208,298,5
1000000.0,12.2546099,0.3327992,298,5
100.0,0.0010919,0.0063611,323,5
200.0,0.0021318,0.0088439,323,5
500.0,0.0054223,0.0142628,323,5
1000.0,0.0108298,0.0201091,323,5
2000.0,0.0218342,0.028437,323,5
5000.0,0.0573579,0.0465507,323,5
10000.0,0.1117782,0.0560774,323,5
20000.0,0.2275191,0.07872039999999998,323,5
50000.0,0.5587283,0.1216212,323,5
100000.0,1.0902761,0.1756675,323,5
1000000.0,8.9933134,0.3633242,323,5
100.0,0.0034668,0.0139563,273,1
200.0,0.007437199999999998,0.020505,273,1
500.0,0.0174871,0.0312053,273,1
1000.0,0.0351914,0.0436971,273,1
2000.0,0.0697031,0.061857,273,1
5000.0,0.1830175,0.0899848,273,1
10000.0,0.3613785,0.1188992,273,1
20000.0,0.7101946,0.1785599,273,1
50000.0,1.8609191,0.2883971,273,1
100000.0,4.1504881,0.4308113,273,1
1000000.0,15.5227249,0.2792931,273,1
100.0,0.001727,0.0098463,298,1
200.0,0.0035375,0.0140788,298,1
500.0,0.0091251,0.0227365,298,1
1000.0,0.0174871,0.0316203,298,1
2000.0,0.0345061,0.0440187,298,1
5000.0,0.08866079999999998,0.0699547,298,1
10000.0,0.1754888,0.08609369999999998,298,1
20000.0,0.3473064,0.1195041,298,1
50000.0,0.9109641,0.1900852,298,1
100000.0,1.8266406,0.2975366,298,1
1000000.0,12.4428739,0.373047,298,1
100.0,0.0010102,0.0061319,323,1
200.0,0.0020761,0.0088494,323,1
500.0,0.0049581,0.0135484,323,1
1000.0,0.0098531,0.0192808,323,1
2000.0,0.0198955,0.0271022,323,1
5000.0,0.0493878,0.0432068,323,1
10000.0,0.0996893,0.0606892,323,1
20000.0,0.2000175,0.0793619,323,1
50000.0,0.5014475,0.1209088,323,1
100000.0,0.9762359,0.1681766,323,1
1000000.0,8.9079603,0.3770824,323,1
100.0,0.0048021,0.0163342,273,6
200.0,0.0093257,0.0228051,273,6
500.0,0.0228741,0.035741,273,6
1000.0,0.0468178,0.0500305,273,6
2000.0,0.0929114,0.0620184,273,6
5000.0,0.2377845,0.0987077,273,6
10000.0,0.4683174,0.1341369,273,6
20000.0,0.9512347,0.1971502,273,6
50000.0,2.5167438,0.3637496,273,6
100000.0,5.4580996,0.4838261,273,6
1000000.0,15.5847926,0.3064314,273,6
100.0,0.0022228,0.0110731,298,6
200.0,0.0044901,0.0157671,298,6
500.0,0.0112421,0.0251171,298,6
1000.0,0.022239,0.0350497,298,6
2000.0,0.0435923,0.049515,298,6
5000.0,0.1105154,0.0781106,298,6
10000.0,0.2222509,0.0994407,298,6
20000.0,0.4430868,0.1367283,298,6
50000.0,1.0840925,0.2111261,298,6
100000.0,2.3080974,0.3181178,298,6
1000000.0,12.7538216,0.3353104,298,6
100.0,0.0013649,0.008719799999999998,323,6
200.0,0.0023843,0.0114398,323,6
500.0,0.0062004,0.0184019,323,6
1000.0,0.0120331,0.0258998,323,6
2000.0,0.0248685,0.0368239,323,6
5000.0,0.060032,0.0571113,323,6
10000.0,0.1251446,0.08449579999999998,323,6
20000.0,0.251487,0.1089526,323,6
50000.0,0.6288539,0.1647963,323,6
100000.0,1.2151577,0.2203602,323,6
1000000.0,9.551324,0.4212889,323,6
100.0,0.0049692,0.0166423,273,2
200.0,0.0096432,0.0230864,273,2
500.0,0.0237933,0.0362616,273,2
1000.0,0.0475588,0.0516773,273,2
2000.0,0.0965994,0.0654869,273,2
5000.0,0.2467239,0.0985268,273,2
10000.0,0.4838379,0.1400933,273,2
20000.0,1.0096525,0.1943765,273,2
50000.0,2.7054247,0.3388761,273,2
100000.0,6.1102318,0.5111689,273,2
1000000.0,16.240776,0.2697547,273,2
100.0,0.0022295,0.0111166,298,2
200.0,0.0047297,0.0164216,298,2
500.0,0.0116989,0.0256927,298,2
1000.0,0.0232306,0.0359964,298,2
2000.0,0.0474195,0.0513569,298,2
5000.0,0.1106603,0.07925599999999998,298,2
10000.0,0.2394733,0.099137,298,2
20000.0,0.4706795,0.1389372,298,2
50000.0,1.1780983,0.2076167,298,2
100000.0,2.4089314,0.334312,298,2
1000000.0,13.395251,0.3602323,298,2
100.0,0.0012646,0.0084825,323,2
200.0,0.0024735,0.0117159,323,2
500.0,0.0063118,0.019028,323,2
1000.0,0.0124565,0.0264135,323,2
2000.0,0.0246457,0.037241,323,2
5000.0,0.0626782,0.059477,323,2
10000.0,0.1268827,0.08411019999999998,323,2
20000.0,0.2538156,0.1025051,323,2
50000.0,0.6392548,0.1644901,323,2
100000.0,1.2521189,0.2291992,323,2
1000000.0,10.0086172,0.4401856,323,2
100.0,0.0027372,0.0100529,273,8
200.0,0.005347,0.0141741,273,8
500.0,0.0136041,0.0225581,273,8
1000.0,0.0264877,0.0312356,273,8
2000.0,0.0521733,0.0442899,273,8
5000.0,0.132981,0.0703092,273,8
10000.0,0.2716295,0.0877943,273,8
20000.0,0.5338256,0.1259812,273,8
50000.0,1.3782574,0.2043987,273,8
100000.0,3.048016,0.3356985,273,8
1000000.0,14.1738135,0.2528248,273,8
100.0,0.001441,0.0073808,298,8
200.0,0.0027943,0.0102373,298,8
500.0,0.0068076,0.0158399,298,8
1000.0,0.0138455,0.0227982,298,8
2000.0,0.0275759,0.0315617,298,8
5000.0,0.0694542,0.0508826,298,8
10000.0,0.1384628,0.07209169999999998,298,8
20000.0,0.2799078,0.0931642,298,8
50000.0,0.705461,0.143708,298,8
100000.0,1.4384376,0.2138023,298,8
1000000.0,11.0983367,0.3284217,298,8
100.0,0.0008616,0.0056887,323,8
200.0,0.0016304,0.007840899999999998,323,8
500.0,0.004141,0.0123996,323,8
1000.0,0.0082375,0.0175148,323,8
2000.0,0.0162596,0.0246279,323,8
5000.0,0.0406378,0.0390179,323,8
10000.0,0.0824864,0.055261,323,8
