Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004983,0.0039452,273,5
200.0,0.0008759,0.0052569,273,5
500.0,0.0020501,0.008191699999999998,273,5
1000.0,0.0043542,0.0117455,273,5
2000.0,0.008533799999999998,0.0165634,273,5
5000.0,0.0212514,0.0257558,273,5
10000.0,0.0430148,0.0369595,273,5
20000.0,0.0834145,0.0444915,273,5
50000.0,0.2034843,0.0700405,273,5
100000.0,0.3799725,0.0942144,273,5
100.0,0.0002222,0.0026837,298,5
200.0,0.0004348,0.0036891,298,5
500.0,0.0010219,0.0056738,298,5
1000.0,0.002193,0.008343899999999998,298,5
2000.0,0.0045636,0.0120814,298,5
5000.0,0.010987,0.0189499,298,5
10000.0,0.0219517,0.026171,298,5
20000.0,0.043402,0.0366363,298,5
50000.0,0.1069276,0.0520262,298,5
100000.0,0.2076667,0.0684046,298,5
100.0,0.0001523,0.0022389,323,5
200.0,0.0002031,0.0025307,323,5
500.0,0.0006315,0.0044321,323,5
1000.0,0.0012726,0.0063861,323,5
2000.0,0.0024246,0.0087238,323,5
5000.0,0.0062996,0.0140751,323,5
10000.0,0.0125103,0.0199912,323,5
20000.0,0.0248365,0.0279012,323,5
50000.0,0.060522,0.0368809,323,5
100000.0,0.1206375,0.0531514,323,5
100.0,0.0002475,0.0028277,273,1
200.0,0.0004697,0.0038322,273,1
500.0,0.0009965000000000002,0.0056606,273,1
1000.0,0.0019771,0.0078778,273,1
2000.0,0.0042939,0.0117463,273,1
5000.0,0.0101555,0.0177834,273,1
10000.0,0.0207997,0.025838,273,1
20000.0,0.0413677,0.0359665,273,1
50000.0,0.0998315,0.0496727,273,1
100000.0,0.1965273,0.0656895,273,1
100.0,0.0001365,0.0020766,298,1
200.0,0.0002222,0.0026459,298,1
500.0,0.0005046,0.0040202,298,1
1000.0,0.0011869,0.0061866,298,1
2000.0,0.0023135,0.0086323,298,1
5000.0,0.0056173,0.0135118,298,1
10000.0,0.0112472,0.0188662,298,1
20000.0,0.0223103,0.0265178,298,1
50000.0,0.0562958,0.0420015,298,1
100000.0,0.1072545,0.0524007,298,1
100.0,6.66e-05,0.0014528,323,1
200.0,0.0001365,0.0020766,323,1
500.0,0.0003142,0.0031739,323,1
1000.0,0.0007393999999999999,0.0048294,323,1
2000.0,0.0013202,0.0065248,323,1
5000.0,0.0033672,0.0103832,323,1
10000.0,0.0068423,0.0147808,323,1
20000.0,0.0133735,0.0204203,323,1
50000.0,0.032707,0.0314307,323,1
100000.0,0.0644809,0.0389962,323,1
100.0,0.0003713,0.0034711,273,6
200.0,0.000822,0.0050806,273,6
500.0,0.0020121,0.0079009,273,6
1000.0,0.0042177,0.0115667,273,6
2000.0,0.0080324,0.0159452,273,6
5000.0,0.0205617,0.025248,273,6
10000.0,0.041355,0.0362016,273,6
20000.0,0.081386,0.0447946,273,6
50000.0,0.193371,0.0674342,273,6
100000.0,0.3593978,0.09004099999999998,273,6
100.0,0.0001968,0.0024911,298,6
200.0,0.0004602,0.0038202,298,6
500.0,0.0010663,0.0057538,298,6
1000.0,0.0021358,0.0081883,298,6
2000.0,0.0040611,0.0113007,298,6
5000.0,0.0104252,0.0180752,298,6
10000.0,0.0208092,0.0256405,298,6
20000.0,0.0421706,0.0363994,298,6
50000.0,0.1030915,0.0502125,298,6
100000.0,0.2018686,0.0672139,298,6
100.0,0.0001301,0.0020279,323,6
200.0,0.0002666,0.0028964,323,6
500.0,0.0006506,0.0045194,323,6
1000.0,0.0012631,0.0063959,323,6
2000.0,0.0022818,0.0085939,323,6
5000.0,0.0061948,0.0140398,323,6
10000.0,0.0121419,0.0195604,323,6
20000.0,0.0237575,0.0268351,323,6
50000.0,0.0585058,0.0427296,323,6
100000.0,0.1186699,0.0552266,323,6
100.0,0.0002126,0.002589,273,2
