Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005193,0.0049468,273,5
200.0,0.0009671,0.0068193,273,5
500.0,0.0025965,0.0110639,273,5
1000.0,0.0050263,0.0154651,273,5
2000.0,0.0104527,0.0223292,273,5
5000.0,0.0247836,0.0344936,273,5
10000.0,0.0505486,0.0493341,273,5
20000.0,0.101888,0.0698345,273,5
50000.0,0.2548044,0.0970817,273,5
100000.0,0.4908593,0.1331698,273,5
100.0,0.0003954,0.0043746,298,5
200.0,0.0007146,0.0058301,298,5
500.0,0.0015531,0.008750799999999998,298,5
1000.0,0.0031253,0.0121928,298,5
2000.0,0.0064635,0.0176001,298,5
5000.0,0.016632,0.02809,298,5
10000.0,0.0337689,0.0400933,298,5
20000.0,0.0654368,0.0551417,298,5
50000.0,0.1655668,0.0908332,298,5
100000.0,0.3311847,0.1138228,298,5
100.0,0.0002144,0.0031888,323,5
200.0,0.0004002,0.0043481,323,5
500.0,0.0011672,0.007457199999999998,323,5
1000.0,0.0022868,0.0105779,323,5
2000.0,0.0049643,0.0153156,323,5
5000.0,0.0116401,0.0233427,323,5
10000.0,0.0235449,0.0335859,323,5
20000.0,0.0468086,0.0477802,323,5
50000.0,0.1165523,0.0741069,323,5
100000.0,0.2298982,0.091343,323,5
100.0,0.0005431,0.0051024,273,1
200.0,0.0011815,0.0075307,273,1
500.0,0.0029062,0.0116971,273,1
1000.0,0.005841,0.0166795,273,1
2000.0,0.0115485,0.023439,273,1
5000.0,0.029281,0.0370836,273,1
10000.0,0.0587907,0.0519202,273,1
20000.0,0.1173384,0.0749186,273,1
50000.0,0.2863783,0.1031936,273,1
100000.0,0.5578492,0.1428316,273,1
100.0,0.000424,0.0044745,298,1
200.0,0.0007527,0.0059791,298,1
500.0,0.0018819,0.0094495,298,1
1000.0,0.0037352,0.0133784,298,1
2000.0,0.0072369,0.0183548,298,1
5000.0,0.0191665,0.030299,298,1
10000.0,0.0384093,0.042948,298,1
20000.0,0.07522249999999998,0.0595239,298,1
50000.0,0.1848333,0.093076,298,1
100000.0,0.3736495,0.1206367,298,1
100.0,0.0002477,0.0034266,323,1
200.0,0.0004621,0.0046694,323,1
500.0,0.0014443,0.0082514,323,1
1000.0,0.0026108,0.0111728,323,1
2000.0,0.005148,0.015583,323,1
5000.0,0.0131969,0.0251591,323,1
10000.0,0.0257159,0.0351705,323,1
20000.0,0.0519683,0.0495287,323,1
50000.0,0.1291346,0.0791421,323,1
100000.0,0.2571592,0.09758530000000001,323,1
100.0,0.0005336,0.0051034,273,6
200.0,0.0010195,0.0068945,273,6
500.0,0.0023345,0.0106956,273,6
1000.0,0.0047833,0.0150749,273,6
2000.0,0.0098955,0.0216017,273,6
5000.0,0.0243738,0.0342583,273,6
10000.0,0.0487286,0.0479435,273,6
20000.0,0.0961094,0.0673192,273,6
50000.0,0.2391795,0.0938689,273,6
