Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1572612,0.0602303,273,5
200.0,0.2467065,0.07749449999999998,273,5
500.0,0.5391567,0.102546,273,5
1000.0,0.8534135,0.0955856,273,5
2000.0,1.1060017,0.111253,273,5
5000.0,1.4766121,0.0810177,273,5
10000.0,1.661476,0.0681783,273,5
20000.0,1.7583055,0.0689333,273,5
50000.0,1.9574999,0.0926855,273,5
100000.0,2.1447123,0.0946873,273,5
1000000.0,3.2873224,0.1248469,273,5
100.0,0.033613,0.0308066,298,5
200.0,0.0617425,0.0411948,298,5
500.0,0.137616,0.0558527,298,5
1000.0,0.3098112,0.0972048,298,5
2000.0,0.4997903,0.1055395,298,5
5000.0,0.8740637,0.1056877,298,5
10000.0,1.1596774,0.115946,298,5
20000.0,1.3968073,0.0982774,298,5
50000.0,1.6649215,0.0672498,298,5
100000.0,1.8060332,0.063503,298,5
1000000.0,2.7212249,0.1233873,298,5
100.0,0.0085996,0.0122627,323,5
200.0,0.0177966,0.0175304,323,5
500.0,0.0445472,0.0280846,323,5
1000.0,0.0861191,0.0402037,323,5
2000.0,0.1659323,0.0552931,323,5
5000.0,0.3544577,0.07327749999999998,323,5
10000.0,0.5743811,0.0792989,323,5
20000.0,0.9126617,0.0876235,323,5
50000.0,1.3193537,0.0739663,323,5
100000.0,1.5332962,0.07404679999999998,323,5
1000000.0,2.2128156,0.0823794,323,5
100.0,0.3284067,0.0891508,273,1
200.0,0.558717,0.1009954,273,1
500.0,0.9389664,0.1231126,273,1
1000.0,1.2635583,0.1210928,273,1
2000.0,1.5348991,0.106853,273,1
5000.0,1.8385924,0.092187,273,1
10000.0,2.1269958,0.1010407,273,1
20000.0,2.4358271,0.1168031,273,1
50000.0,2.9793309,0.104256,273,1
100000.0,3.291522,0.1043348,273,1
1000000.0,3.949664,0.07492119999999998,273,1
100.0,0.0831255,0.0463844,298,1
200.0,0.1559584,0.059823,298,1
500.0,0.3429854,0.08068559999999998,298,1
1000.0,0.5635442,0.095022,298,1
2000.0,0.8579037,0.1237513,298,1
5000.0,1.2871717,0.1173252,298,1
10000.0,1.5284419,0.0924505,298,1
20000.0,1.8117299,0.1039279,298,1
50000.0,2.2656591,0.1077125,298,1
100000.0,2.5917838,0.1240903,298,1
1000000.0,3.585715,0.0673142,298,1
100.0,0.0217769,0.019282,323,1
200.0,0.0423171,0.0278726,323,1
500.0,0.0857135,0.0387462,323,1
1000.0,0.2050769,0.0568151,323,1
2000.0,0.3480431,0.07628659999999998,323,1
5000.0,0.6887253,0.0897349,323,1
10000.0,0.9925374,0.0941295,323,1
20000.0,1.3500164,0.08058429999999998,323,1
50000.0,1.7253987,0.08064929999999998,323,1
100000.0,1.9443766,0.0862426,323,1
1000000.0,3.2048474,0.0786618,323,1
100.0,0.0076261,0.0148853,273,6
200.0,0.016576,0.0209557,273,6
500.0,0.0406011,0.0315977,273,6
1000.0,0.0724404,0.0418739,273,6
2000.0,0.1532886,0.0592929,273,6
5000.0,0.3545019,0.0920732,273,6
10000.0,0.5747871,0.1056858,273,6
20000.0,0.8908834,0.1082275,273,6
