Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.4243101,0.0900626,273,5
200.0,0.7249002,0.1218881,273,5
500.0,1.3398456,0.1515878,273,5
1000.0,1.9868987,0.1636531,273,5
2000.0,2.739961,0.1737373,273,5
5000.0,3.8275517,0.161654,273,5
10000.0,4.5722973,0.1832797,273,5
20000.0,5.266335,0.1440972,273,5
50000.0,6.0293411,0.1339311,273,5
100000.0,6.4933636,0.1033379,273,5
1000000.0,7.2059273,0.0635242,273,5
100.0,0.1100299,0.0539698,298,5
200.0,0.2079259,0.0661128,298,5
500.0,0.4819861,0.1061456,298,5
1000.0,0.7901251999999999,0.1153533,298,5
2000.0,1.2264833,0.1667794,298,5
5000.0,2.181753,0.1606358,298,5
10000.0,3.0317892,0.1756457,298,5
20000.0,3.8766042,0.1709695,298,5
50000.0,4.8961877,0.1550082,298,5
100000.0,5.4456266,0.1528264,298,5
1000000.0,6.8591862,0.1015337,298,5
100.0,0.0337403,0.029992,323,5
200.0,0.0669476,0.0404658,323,5
500.0,0.1587262,0.0606321,323,5
1000.0,0.2994495,0.0850983,323,5
2000.0,0.5665267,0.1026351,323,5
5000.0,1.0769619,0.136117,323,5
10000.0,1.7210859,0.166847,323,5
20000.0,2.4825969,0.1666672,323,5
50000.0,3.6079575,0.1795335,323,5
100000.0,4.4431125,0.172005,323,5
1000000.0,6.2387542,0.11772,323,5
100.0,0.3932442,0.0918699,273,1
200.0,0.7272243,0.1142945,273,1
500.0,1.42145,0.1400758,273,1
1000.0,2.2418375,0.1714765,273,1
2000.0,3.1035282,0.186279,273,1
5000.0,4.3258116,0.1951576,273,1
10000.0,5.1515192,0.1605092,273,1
20000.0,5.7969149,0.1475943,273,1
50000.0,6.4187135,0.128873,273,1
100000.0,6.771972,0.1145478,273,1
1000000.0,7.432281299999999,0.08325789999999998,273,1
100.0,0.1220786,0.0521013,298,1
200.0,0.2237715,0.07209119999999998,298,1
500.0,0.4981581,0.102176,298,1
1000.0,0.8871373999999999,0.1192913,298,1
2000.0,1.4216557,0.1635016,298,1
5000.0,2.4925327,0.1845827,298,1
10000.0,3.4021827,0.189603,298,1
20000.0,4.348044,0.1865442,298,1
50000.0,5.3239335,0.1485135,298,1
100000.0,5.8995887,0.1319885,298,1
1000000.0,7.0479091,0.0916782,298,1
100.0,0.0340144,0.0290343,323,1
200.0,0.0704689,0.0395392,323,1
500.0,0.172611,0.0625083,323,1
1000.0,0.3313594,0.0829859,323,1
2000.0,0.597147,0.1056869,323,1
5000.0,1.1838381,0.1491428,323,1
10000.0,1.8928506,0.1752983,323,1
20000.0,2.7608234,0.1760775,323,1
50000.0,4.0122212,0.1854507,323,1
100000.0,4.8485969,0.1631176,323,1
1000000.0,6.5212561,0.1070482,323,1
100.0,0.0619301,0.0418863,273,6
200.0,0.1220558,0.0576798,273,6
500.0,0.291096,0.0870031,273,6
1000.0,0.5548849,0.1143056,273,6
2000.0,0.9874822,0.1364732,273,6
5000.0,1.8681185,0.1653984,273,6
10000.0,2.7899157,0.1894458,273,6
20000.0,3.7752831,0.1839988,273,6
50000.0,4.8687165,0.1625225,273,6
100000.0,5.4915459,0.1272537,273,6
1000000.0,6.7596969,0.1061732,273,6
100.0,0.0202678,0.0274662,298,6
200.0,0.040151,0.0332825,298,6
500.0,0.0974368,0.0509648,298,6
1000.0,0.1999072,0.0707515,298,6
2000.0,0.3747938,0.09394110000000001,298,6
5000.0,0.7980525,0.1254471,298,6
10000.0,1.3533684,0.1579681,298,6
20000.0,2.1356245,0.1796471,298,6
50000.0,3.4098096,0.1790375,298,6
100000.0,4.2936599,0.1840722,298,6
1000000.0,6.1623987,0.1151503,298,6
100.0,0.0078726,0.01733,323,6
200.0,0.0152313,0.0239082,323,6
500.0,0.0395077,0.0383639,323,6
1000.0,0.0762554,0.0472303,323,6
2000.0,0.153097,0.064622,323,6
5000.0,0.3620848,0.0942298,323,6
10000.0,0.6495212,0.1181522,323,6
20000.0,1.1366482,0.156679,323,6
50000.0,2.1137465,0.1856711,323,6
100000.0,3.0160892,0.1938217,323,6
1000000.0,5.4547337,0.1309625,323,6
100.0,0.0779932,0.0462844,273,2
200.0,0.1454033,0.0632169,273,2
500.0,0.3447271,0.0978373,273,2
1000.0,0.6482754,0.1162648,273,2
2000.0,1.1044854,0.1528587,273,2
5000.0,2.2115883,0.1941046,273,2
10000.0,3.2329819,0.1968886,273,2
20000.0,4.2487788,0.1827971,273,2
50000.0,5.2852638,0.1520522,273,2
100000.0,5.7391577,0.1296508,273,2
1000000.0,6.8723287,0.1079132,273,2
100.0,0.0248474,0.0307081,298,2
200.0,0.0505743,0.0380351,298,2
500.0,0.1203199,0.059059,298,2
1000.0,0.2301908,0.0787201,298,2
2000.0,0.4257411,0.0992201,298,2
5000.0,0.916677,0.1338127,298,2
10000.0,1.5830059,0.1736011,298,2
