Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0016535,0.0095502,273,5
200.0,0.0027129,0.0123896,273,5
500.0,0.007253199999999999,0.0203227,273,5
1000.0,0.0149043,0.0287782,273,5
2000.0,0.0290462,0.0402511,273,5
5000.0,0.0713208,0.0629832,273,5
10000.0,0.1418008,0.0861548,273,5
20000.0,0.2734673,0.1086677,273,5
50000.0,0.6214304,0.1531737,273,5
100000.0,1.0743229,0.1884002,273,5
100.0,0.0007454999999999999,0.0064699,298,5
200.0,0.0015598,0.0093549,298,5
500.0,0.0038228,0.0145896,298,5
1000.0,0.0074269,0.0204988,298,5
2000.0,0.015476,0.0293442,298,5
5000.0,0.0378857,0.0457387,298,5
10000.0,0.0749081,0.0639347,298,5
20000.0,0.1488689,0.08921089999999998,298,5
50000.0,0.352669,0.1234262,298,5
100000.0,0.6527624,0.1582002,298,5
100.0,0.0004447,0.0040521,323,5
200.0,0.0009118,0.0058137,323,5
500.0,0.0024364,0.0093904,323,5
1000.0,0.0044804,0.0128431,323,5
2000.0,0.0091514,0.0184177,323,5
5000.0,0.0230785,0.0294419,323,5
10000.0,0.04603,0.0409802,323,5
20000.0,0.0895189,0.0569314,323,5
50000.0,0.2140282,0.0806724,323,5
100000.0,0.4071572,0.1028595,323,5
100.0,0.0020515,0.0105849,273,1
200.0,0.0038452,0.0148188,273,1
500.0,0.0099605,0.0234163,273,1
1000.0,0.0200555,0.033443,273,1
2000.0,0.0395814,0.0465247,273,1
5000.0,0.096903,0.0728732,273,1
10000.0,0.1948261,0.08867609999999998,273,1
20000.0,0.3662823,0.1197709,273,1
50000.0,0.828736,0.1724723,273,1
100000.0,1.3697039,0.207178,273,1
100.0,0.0010426,0.0076965,298,1
200.0,0.0021356,0.0108759,298,1
500.0,0.0052745,0.0172077,298,1
1000.0,0.0099605,0.0239339,298,1
2000.0,0.0211927,0.0342426,298,1
5000.0,0.0505142,0.0527736,298,1
10000.0,0.1012863,0.0750963,298,1
20000.0,0.2004089,0.088685,298,1
50000.0,0.464835,0.1380761,298,1
100000.0,0.8404122,0.1788824,298,1
100.0,0.0005568,0.004558,323,1
200.0,0.0012817,0.006923,323,1
500.0,0.0030343,0.0106356,323,1
1000.0,0.0063264,0.0154542,323,1
2000.0,0.0124174,0.0212991,323,1
5000.0,0.0302084,0.0333664,323,1
10000.0,0.0597553,0.0464355,323,1
20000.0,0.1166109,0.0657876,323,1
50000.0,0.2832054,0.0910655,323,1
100000.0,0.5296775,0.1126135,323,1
100.0,0.0013284,0.0087446,273,6
200.0,0.0028279,0.0126718,273,6
500.0,0.0073372,0.0201916,273,6
1000.0,0.0141644,0.0280621,273,6
2000.0,0.0280205,0.0395237,273,6
5000.0,0.0694711,0.0618224,273,6
10000.0,0.1371204,0.08705459999999998,273,6
20000.0,0.2701047,0.1034268,273,6
50000.0,0.6165514,0.1545131,273,6
100000.0,1.0590549,0.1875435,273,6
100.0,0.000852,0.0069489,298,6
200.0,0.001491,0.0091233,298,6
500.0,0.0035481,0.0140123,298,6
1000.0,0.007370899999999999,0.0202881,298,6
2000.0,0.0160702,0.0299396,298,6
5000.0,0.0384294,0.046009,298,6
10000.0,0.07592269999999998,0.0650599,298,6
20000.0,0.1496705,0.0905938,298,6
50000.0,0.352251,0.121646,298,6
100000.0,0.6507942,0.1581623,298,6
100.0,0.0004596,0.0050549,323,6
200.0,0.0008911999999999999,0.0070562,323,6
500.0,0.002186,0.0110806,323,6
1000.0,0.0044954,0.0160086,323,6
2000.0,0.0089627,0.0223037,323,6
5000.0,0.0222527,0.0346433,323,6
10000.0,0.044853,0.0499776,323,6
20000.0,0.0901543,0.0704264,323,6
50000.0,0.2127628,0.0923875,323,6
100000.0,0.4062437,0.1312362,323,6
100.0,0.0019114,0.0103866,273,2
200.0,0.0041535,0.0154127,273,2
500.0,0.010123,0.0238722,273,2
1000.0,0.0201844,0.0333888,273,2
2000.0,0.0405538,0.0483301,273,2
5000.0,0.0986967,0.0721394,273,2
10000.0,0.1921805,0.0864495,273,2
20000.0,0.370729,0.1286236,273,2
50000.0,0.8255419,0.165347,273,2
100000.0,1.3807834,0.2021832,273,2
100.0,0.001121,0.0078872,298,2
200.0,0.0022645,0.0113453,298,2
500.0,0.0051232,0.0168386,298,2
1000.0,0.010919,0.0244617,298,2
2000.0,0.0213054,0.0342618,298,2
5000.0,0.052605,0.0535619,298,2
10000.0,0.1021158,0.07451449999999998,298,2
20000.0,0.2006499,0.0903709,298,2
50000.0,0.4726711,0.1368794,298,2
100000.0,0.8435627,0.1688137,298,2
100.0,0.000639,0.0060031,323,2
200.0,0.00125,0.0086478,323,2
500.0,0.0031782,0.0131317,323,2
1000.0,0.0059976,0.0185355,323,2
2000.0,0.0120232,0.0256061,323,2
5000.0,0.0298198,0.0401302,323,2
10000.0,0.0592319,0.0572886,323,2
20000.0,0.1151143,0.08034869999999998,323,2
50000.0,0.2784672,0.1065799,323,2
100000.0,0.53279,0.1442357,323,2
100.0,0.001402,0.0072759,273,8
200.0,0.0026718,0.0100955,273,8
500.0,0.0063451,0.0152875,273,8
1000.0,0.0131947,0.0221521,273,8
