Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004631,0.0038397,273,5
200.0,0.000638,0.0043987,273,5
500.0,0.0019415,0.007716299999999998,273,5
1000.0,0.0036254,0.0106438,273,5
2000.0,0.00749,0.0152917,273,5
5000.0,0.0189089,0.0241044,273,5
10000.0,0.0369744,0.0294896,273,5
20000.0,0.071492,0.0412589,273,5
50000.0,0.1659109,0.0602828,273,5
100000.0,0.2967612,0.0751405,273,5
100.0,0.0002116,0.002539,298,5
200.0,0.0004265,0.0036179,298,5
500.0,0.0008654,0.0051887,298,5
1000.0,0.0018434,0.0075309,298,5
2000.0,0.0036438,0.0104682,298,5
5000.0,0.0087611,0.0162845,298,5
10000.0,0.0174735,0.023033,298,5
20000.0,0.0350789,0.0290376,298,5
50000.0,0.0807302,0.042547,298,5
100000.0,0.154403,0.055869,298,5
100.0,9.2e-05,0.0016774,323,5
200.0,0.000181,0.002349,323,5
500.0,0.0004539,0.0037036,323,5
1000.0,0.0008496,0.0051078,323,5
2000.0,0.0018341,0.0074136,323,5
5000.0,0.0044934,0.0117371,323,5
10000.0,0.0092996,0.0168238,323,5
20000.0,0.0181084,0.0232704,323,5
50000.0,0.0440441,0.0320982,323,5
100000.0,0.0897752,0.0450647,323,5
100.0,0.0003742,0.003367,273,1
200.0,0.0007269,0.0047455,273,1
500.0,0.001552,0.0068473,273,1
1000.0,0.0029414,0.0095281,273,1
2000.0,0.006076,0.0136918,273,1
5000.0,0.0148634,0.0214385,273,1
10000.0,0.0295728,0.0255106,273,1
20000.0,0.0577788,0.0349073,273,1
50000.0,0.1368332,0.0539481,273,1
100000.0,0.2508915,0.0691365,273,1
100.0,0.0001902,0.0024076,298,1
200.0,0.000322,0.0031263,298,1
500.0,0.0007146,0.0046674,298,1
1000.0,0.001598,0.0070468,298,1
2000.0,0.0028432,0.0093085,298,1
5000.0,0.0075053,0.0149827,298,1
10000.0,0.0142049,0.0208373,298,1
20000.0,0.0293863,0.0254996,298,1
50000.0,0.069618,0.0399795,298,1
100000.0,0.1342089,0.0521868,298,1
100.0,6.75e-05,0.001437,323,1
200.0,9.51e-05,0.0017051,323,1
500.0,0.0004049,0.0035005,323,1
1000.0,0.0007269,0.0046856,323,1
