Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004823,0.0041543,273,5
200.0,0.0008993,0.0057321,273,5
500.0,0.0021903,0.008894,273,5
1000.0,0.0043009,0.0125063,273,5
2000.0,0.0088093,0.0177781,273,5
5000.0,0.0216785,0.0281137,273,5
10000.0,0.0424288,0.0397235,273,5
20000.0,0.0864531,0.0558764,273,5
50000.0,0.2112372,0.0760624,273,5
100000.0,0.412005,0.1044249,273,5
100.0,0.0002611,0.003066,298,5
200.0,0.0005331,0.0043944,298,5
500.0,0.0014614,0.0073497,298,5
1000.0,0.002698,0.0098558,298,5
2000.0,0.0056608,0.0142648,298,5
5000.0,0.0134793,0.0218951,298,5
10000.0,0.0268643,0.0306771,298,5
20000.0,0.0548383,0.0443585,298,5
50000.0,0.1332154,0.0684274,298,5
100000.0,0.2614954,0.0853603,298,5
100.0,0.0001668,0.0024539,323,5
200.0,0.0003917,0.0037482,323,5
500.0,0.0008231999999999998,0.0054739,323,5
1000.0,0.0019111,0.0081994,323,5
2000.0,0.0036409,0.011486,323,5
5000.0,0.008740299999999998,0.0179116,323,5
10000.0,0.0182081,0.025395,323,5
20000.0,0.0362603,0.0359269,323,5
50000.0,0.08872689999999998,0.0564385,323,5
100000.0,0.17452,0.0680013,323,5
100.0,0.0004424,0.003981,273,1
200.0,0.0009211,0.0057516,273,1
500.0,0.0023717,0.0092968,273,1
1000.0,0.0048267,0.0131845,273,1
2000.0,0.0097006,0.018666,273,1
5000.0,0.0241409,0.0297307,273,1
10000.0,0.0485284,0.0426378,273,1
20000.0,0.0946995,0.057631,273,1
50000.0,0.2336737,0.0828801,273,1
100000.0,0.453199,0.1129441,273,1
100.0,0.0003409,0.0034994,298,1
200.0,0.0005693,0.0045371,298,1
500.0,0.0014034,0.0071434,298,1
1000.0,0.0031441,0.0105592,298,1
2000.0,0.0059908,0.0145648,298,1
5000.0,0.0149045,0.0231317,298,1
10000.0,0.029711,0.032485,298,1
20000.0,0.059277,0.0472139,298,1
50000.0,0.147206,0.0630693,298,1
100000.0,0.2888891,0.09138230000000001,298,1
100.0,0.000243,0.0029584,323,1
200.0,0.0003663,0.003626,323,1
500.0,0.0009574,0.005859,323,1
1000.0,0.0018821,0.0082699,323,1
2000.0,0.0038839,0.0117525,323,1
5000.0,0.0096752,0.0186475,323,1
10000.0,0.0195064,0.0264394,323,1
20000.0,0.0391215,0.03706,323,1
50000.0,0.0967485,0.0591647,323,1
100000.0,0.1942657,0.07376159999999998,323,1
100.0,0.0005802,0.0046077,273,6
200.0,0.0008920999999999998,0.0056872,273,6
500.0,0.0022447,0.0089908,273,6
1000.0,0.0046236,0.0130169,273,6
2000.0,0.0092074,0.0183567,273,6
5000.0,0.021907,0.0282338,273,6
10000.0,0.0456925,0.0404338,273,6
20000.0,0.0901375,0.0564343,273,6
50000.0,0.2226339,0.0789566,273,6
100000.0,0.4321844,0.1139529,273,6
100.0,0.0002285,0.0028693,298,6
200.0,0.0005838,0.0045642,298,6
500.0,0.0013533,0.0069307,298,6
1000.0,0.0027053,0.0099336,298,6
2000.0,0.0054396,0.0138422,298,6
5000.0,0.0136606,0.0222543,298,6
10000.0,0.0278864,0.031617,298,6
20000.0,0.0562779,0.0452312,298,6
50000.0,0.136733,0.0698194,298,6
100000.0,0.2768574,0.0902177,298,6
100.0,0.0001922,0.002633,323,6
200.0,0.000388,0.0037661,323,6
500.0,0.0009102,0.0056959,323,6
1000.0,0.0017669,0.007941,323,6
2000.0,0.0039636,0.0120029,323,6
5000.0,0.0092147,0.018144,323,6
10000.0,0.0188246,0.0259594,323,6
20000.0,0.0374098,0.0368824,323,6
50000.0,0.0917658,0.0570055,323,6
100000.0,0.1834228,0.0717919,323,6
100.0,0.0004859,0.0042322,273,2
200.0,0.0010123,0.0060611,273,2
500.0,0.002553,0.0095563,273,2
1000.0,0.0052293,0.0138757,273,2
2000.0,0.0098529,0.0188321,273,2
5000.0,0.0252397,0.030236,273,2
10000.0,0.0517377,0.0427242,273,2
20000.0,0.1001065,0.060819,273,2
50000.0,0.2501085,0.0877378,273,2
100000.0,0.4846882,0.1156104,273,2
100.0,0.0003227,0.0034059,298,2
200.0,0.000718,0.0051551,298,2
500.0,0.0015593,0.0075505,298,2
1000.0,0.0031586,0.0108133,298,2
2000.0,0.0060053,0.0147026,298,2
5000.0,0.0160903,0.0240556,298,2
10000.0,0.0314456,0.0335001,298,2
20000.0,0.0623761,0.0474147,298,2
50000.0,0.1524244,0.0645203,298,2
100000.0,0.3080981,0.09054980000000001,298,2
100.0,0.0001849,0.0025831,323,2
200.0,0.0004098,0.0039011,323,2
500.0,0.0011496,0.0064357,323,2
1000.0,0.0019184,0.0083723,323,2
2000.0,0.0043408,0.0124556,323,2
5000.0,0.0104621,0.0193959,323,2
10000.0,0.020645,0.0271761,323,2
20000.0,0.0410906,0.0385215,323,2
50000.0,0.1037365,0.0613682,323,2
100000.0,0.2047496,0.07597959999999998,323,2
100.0,0.0004533,0.004029,273,8
