Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015721,0.0119542,273,5
200.0,0.0033013,0.0174541,273,5
500.0,0.0082106,0.0275741,273,5
1000.0,0.0166166,0.0388627,273,5
2000.0,0.034317,0.0563547,273,5
5000.0,0.08762799999999998,0.0907021,273,5
10000.0,0.1757091,0.1281725,273,5
20000.0,0.3571515,0.1668299,273,5
50000.0,0.9665549000000001,0.278202,273,5
100000.0,2.0713066,0.4037451,273,5
1000000.0,18.7071404,0.4951963,273,5
100.0,0.0011837,0.010395,298,5
200.0,0.0019984,0.01351,298,5
500.0,0.0048456,0.0211387,298,5
1000.0,0.009377000000000002,0.0298695,298,5
2000.0,0.0195397,0.0428436,298,5
5000.0,0.0494734,0.0676876,298,5
10000.0,0.0990392,0.0978281,298,5
20000.0,0.2020178,0.1371955,298,5
50000.0,0.5128308,0.1993757,298,5
100000.0,1.0900972,0.2822069,298,5
1000000.0,13.5187166,0.7487302999999998,298,5
100.0,0.0005363,0.0070221,323,5
200.0,0.0011929,0.0105976,323,5
500.0,0.0028574,0.0162673,323,5
1000.0,0.0060015,0.0234832,323,5
2000.0,0.0129833,0.0345123,323,5
5000.0,0.031626,0.0534779,323,5
10000.0,0.0641119,0.0767606,323,5
20000.0,0.1271408,0.1098817,323,5
50000.0,0.3228531,0.1503762,323,5
100000.0,0.6559614,0.2123517,323,5
1000000.0,7.9394424,0.7475604,323,5
100.0,0.002728,0.0157014,273,1
200.0,0.0049103,0.0214252,273,1
500.0,0.0127614,0.0344464,273,1
1000.0,0.0250511,0.0482029,273,1
2000.0,0.051517,0.0697756,273,1
5000.0,0.1292226,0.09149620000000001,273,1
10000.0,0.2528228,0.1314528,273,1
20000.0,0.524242,0.1850334,273,1
50000.0,1.4369563,0.3376054,273,1
100000.0,3.4035001,0.5604967,273,1
1000000.0,21.4805337,0.3715227,273,1
100.0,0.0013964,0.0115025,298,1
200.0,0.0026632,0.0157397,298,1
500.0,0.0062142,0.0238439,298,1
1000.0,0.0135844,0.0350084,298,1
2000.0,0.0280103,0.0513667,298,1
5000.0,0.0676259,0.07979029999999998,298,1
10000.0,0.133948,0.1108275,298,1
20000.0,0.2774393,0.1351596,298,1
50000.0,0.7161987,0.2230009,298,1
100000.0,1.5005239,0.3271504,298,1
1000000.0,17.4614793,0.6253232,298,1
100.0,0.0009525,0.0096074,323,1
200.0,0.0014248,0.0113898,323,1
500.0,0.0040709,0.0193278,323,1
1000.0,0.0083966,0.0277043,323,1
2000.0,0.016599,0.0389576,323,1
5000.0,0.0403033,0.0611078,323,1
10000.0,0.0809456,0.0860104,323,1
20000.0,0.1616438,0.1224183,323,1
50000.0,0.4124322,0.1700938,323,1
100000.0,0.8557968,0.2462655,323,1
1000000.0,11.4546436,0.8170577,323,1
100.0,0.0082486,0.0278411,273,6
200.0,0.0148882,0.0370448,273,6
500.0,0.0405312,0.0616316,273,6
1000.0,0.0809236,0.0756788,273,6
2000.0,0.1595355,0.1041561,273,6
5000.0,0.424111,0.1666466,273,6
10000.0,0.8106742999999998,0.2295217,273,6
20000.0,1.8539146,0.3556698,273,6
50000.0,5.5862454,0.6501808,273,6
100000.0,12.8595128,0.7500752,273,6
1000000.0,22.2919041,0.3783031,273,6
100.0,0.0034602,0.0178881,298,6
200.0,0.007777,0.0266136,298,6
500.0,0.0182081,0.0410993,298,6
1000.0,0.0369525,0.0584796,298,6
2000.0,0.0720554,0.0824856,298,6
5000.0,0.1797568,0.1073811,298,6
10000.0,0.3747307,0.1567007,298,6
20000.0,0.7727739999999998,0.232065,298,6
50000.0,2.0005058,0.3686518,298,6
100000.0,4.4349517,0.576972,298,6
1000000.0,19.2206399,0.4314938,298,6
100.0,0.001794,0.0128879,323,6
200.0,0.0038488,0.0186533,323,6
500.0,0.008979199999999998,0.0286028,323,6
1000.0,0.0195304,0.0422752,323,6
2000.0,0.0372854,0.0583412,323,6
5000.0,0.0985429,0.082597,323,6
10000.0,0.1965989,0.1224821,323,6
20000.0,0.3825667,0.1557297,323,6
50000.0,0.9584485,0.2577689,323,6
100000.0,1.9879735,0.3632045,323,6
1000000.0,15.4462724,0.5591166,323,6
100.0,0.2062161,0.1234494,273,2
200.0,0.3589177,0.1350278,273,2
500.0,0.8202142999999998,0.1957689,273,2
1000.0,1.4858662,0.3427921,273,2
2000.0,2.4827771,0.3367816,273,2
5000.0,4.7447881,0.4107992,273,2
10000.0,7.0031492,0.5170123,273,2
20000.0,10.2377138,0.6635653,273,2
50000.0,16.2196138,0.5826083,273,2
100000.0,19.4372697,0.4402164,273,2
1000000.0,24.3762978,0.2936304,273,2
100.0,0.0519887,0.0544594,298,2
200.0,0.0969216,0.0732445,298,2
500.0,0.2318498,0.1212104,298,2
1000.0,0.5484239,0.1885224,298,2
2000.0,0.9411859,0.2651315,298,2
5000.0,2.066937,0.2601176,298,2
10000.0,3.1566761,0.3509126,298,2
20000.0,5.2731632,0.4281653,298,2
50000.0,9.3718905,0.56751,298,2
100000.0,13.6505949,0.6105313,298,2
1000000.0,22.4233508,0.3169459,298,2
100.0,0.0184022,0.0329677,323,2
200.0,0.0393753,0.047921,323,2
500.0,0.0959136,0.07433349999999998,323,2
1000.0,0.1673495,0.0993872,323,2
2000.0,0.3437521,0.1339233,323,2
5000.0,0.9224183,0.1760675,323,2
10000.0,1.5156329,0.274361,323,2
20000.0,2.5484048,0.3763731,323,2
50000.0,5.3118541,0.4741809,323,2
100000.0,8.2381089,0.5614112,323,2
1000000.0,19.6566873,0.4278553,323,2
100.0,0.0012576,0.0107106,273,8
200.0,0.00258,0.0156173,273,8
500.0,0.0062235,0.0241444,273,8
1000.0,0.0122065,0.0335433,273,8
2000.0,0.0236455,0.0467808,273,8
5000.0,0.0601726,0.0750171,273,8
10000.0,0.1216914,0.1085338,273,8
20000.0,0.2475461,0.1536666,273,8
50000.0,0.6486745,0.2511451,273,8
100000.0,1.3815711,0.3809767,273,8
1000000.0,16.9581264,0.706305,273,8
100.0,0.0008045,0.008587799999999998,298,8
200.0,0.0014796,0.0116031,298,8
500.0,0.0034308,0.0178653,298,8
1000.0,0.0076476,0.0266832,298,8
2000.0,0.0153876,0.0376211,298,8
5000.0,0.0371931,0.0584851,298,8
10000.0,0.0742933,0.0816468,298,8
20000.0,0.1477635,0.1169963,298,8
