Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003514,0.0056896,273,5
200.0,0.0005641,0.0072004,273,5
500.0,0.0014148,0.0113505,273,5
1000.0,0.0029884,0.0168172,273,5
2000.0,0.00602,0.0233323,273,5
5000.0,0.0147865,0.0366331,273,5
10000.0,0.0283432,0.0512505,273,5
20000.0,0.0576388,0.0733868,273,5
50000.0,0.1403102,0.1128671,273,5
100000.0,0.2770416,0.1573542,273,5
100.0,0.0002497,0.0047986,298,5
200.0,0.0003791,0.005909,298,5
500.0,0.0011467,0.0103166,298,5
1000.0,0.0020252,0.0135342,298,5
2000.0,0.0041706,0.0193679,298,5
5000.0,0.010394,0.0308044,298,5
10000.0,0.0196414,0.0423249,298,5
20000.0,0.0412361,0.0610445,298,5
50000.0,0.1016285,0.097084,298,5
100000.0,0.2026277,0.1340393,298,5
100.0,0.0001572,0.0038095,323,5
200.0,0.0002867,0.0051407,323,5
500.0,0.000749,0.0083914,323,5
1000.0,0.0015536,0.0119566,323,5
2000.0,0.0032736,0.0175814,323,5
5000.0,0.007573599999999998,0.0264469,323,5
10000.0,0.0152489,0.0377795,323,5
20000.0,0.0307567,0.0530719,323,5
50000.0,0.07755009999999998,0.08463669999999998,323,5
100000.0,0.1547823,0.1178882,323,5
100.0,0.0002682,0.0049726,273,1
200.0,0.0005548,0.0071415,273,1
500.0,0.0013409,0.0111314,273,1
1000.0,0.0028589,0.016532,273,1
2000.0,0.0054837,0.0226482,273,1
5000.0,0.0142594,0.0360318,273,1
10000.0,0.0288148,0.0514294,273,1
20000.0,0.0577405,0.073079,273,1
50000.0,0.1433896,0.1168846,273,1
100000.0,0.2827592,0.1597161,273,1
100.0,0.0001757,0.004027,298,1
200.0,0.0002959,0.005384,298,1
500.0,0.0007768,0.008439699999999998,298,1
1000.0,0.0021454,0.0142246,298,1
2000.0,0.0043832,0.0199094,298,1
5000.0,0.0102831,0.0308694,298,1
10000.0,0.0206586,0.0432646,298,1
20000.0,0.0409566,0.0633387,298,1
50000.0,0.1038571,0.0977314,298,1
100000.0,0.20752,0.1366895,298,1
100.0,0.000148,0.003696,323,1
200.0,0.0003144,0.0053829,323,1
500.0,0.000897,0.0090633,323,1
1000.0,0.0015998,0.012128,323,1
2000.0,0.0030054,0.0168606,323,1
5000.0,0.0076661,0.0266779,323,1
10000.0,0.0158777,0.0383313,323,1
20000.0,0.031589,0.0540405,323,1
50000.0,0.08038729999999998,0.0846736,323,1
100000.0,0.1560584,0.1182652,323,1
100.0,0.0003699,0.0058368,273,6
200.0,0.0005826,0.007316699999999998,273,6
500.0,0.0014888,0.0117848,273,6
1000.0,0.0035047,0.0178987,273,6
2000.0,0.0066396,0.024752,273,6
5000.0,0.0165435,0.0392653,273,6
10000.0,0.0343077,0.0562768,273,6
20000.0,0.0678386,0.0799686,273,6
50000.0,0.1688753,0.1251914,273,6
100000.0,0.3282997,0.1754241,273,6
100.0,0.0002589,0.0048864,298,6
200.0,0.0005086,0.0068391,298,6
500.0,0.0013131,0.0110189,298,6
1000.0,0.0024136,0.0149163,298,6
2000.0,0.0049103,0.0211844,298,6
5000.0,0.011402,0.0323125,298,6
10000.0,0.0234051,0.0468651,298,6
20000.0,0.0465882,0.0657789,298,6
50000.0,0.1184679,0.1048294,298,6
100000.0,0.2348922,0.1453452,298,6
100.0,0.0002219,0.0045248,323,6
200.0,0.0003144,0.0053829,323,6
500.0,0.0009802,0.0094701,323,6
1000.0,0.001794,0.0129541,323,6
2000.0,0.003625,0.018136,323,6
5000.0,0.008489099999999998,0.0279222,323,6
10000.0,0.0181433,0.0410343,323,6
20000.0,0.0351585,0.0570831,323,6
50000.0,0.0897734,0.089147,323,6
100000.0,0.1732308,0.1250907,323,6
100.0,0.0004901,0.0067143,273,2
200.0,0.001008,0.0096018,273,2
500.0,0.0022379,0.0143898,273,2
1000.0,0.0045242,0.0202455,273,2
2000.0,0.0090532,0.0292011,273,2
5000.0,0.0219255,0.0447981,273,2
10000.0,0.0441931,0.0644874,273,2
20000.0,0.08905209999999998,0.091583,273,2
50000.0,0.216663,0.1191666,273,2
100000.0,0.4277366,0.1702263,273,2
100.0,0.0003606,0.0059102,298,2
200.0,0.0006196,0.0075439,298,2
500.0,0.0013779,0.0113551,298,2
1000.0,0.0027372,0.0158893,298,2
2000.0,0.0060293,0.0237477,298,2
5000.0,0.0151842,0.0375218,298,2
10000.0,0.0298433,0.0530643,298,2
20000.0,0.0607829,0.07491259999999998,298,2
50000.0,0.148716,0.1174922,298,2
100000.0,0.2973951,0.1409955,298,2
100.0,0.0002404,0.0047091,323,2
200.0,0.0005456,0.007082,323,2
500.0,0.0010177,0.0096476,323,2
1000.0,0.0019604,0.0136381,323,2
2000.0,0.0042538,0.0197651,323,2
5000.0,0.0107177,0.0315045,323,2
10000.0,0.0206586,0.0435797,323,2
20000.0,0.0422234,0.0620274,323,2
50000.0,0.109303,0.1003407,323,2
100000.0,0.2123101,0.1406007,323,2
100.0,0.0002497,0.0047986,273,8
200.0,0.0005086,0.0068391,273,8
500.0,0.0012022,0.0104749,273,8
