Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0141832,0.0290145,273,5
200.0,0.0270184,0.0400805,273,5
500.0,0.0692338,0.0631752,273,5
1000.0,0.1365412,0.0801742,273,5
2000.0,0.276816,0.1111936,273,5
5000.0,0.6786536,0.1678256,273,5
10000.0,1.326928,0.2258055,273,5
20000.0,2.8125056,0.3488501,273,5
50000.0,5.3793983,0.3023951,273,5
100000.0,6.6670444,0.2359981,273,5
1000000.0,8.738973299999998,0.2356575,273,5
100.0,0.0052665,0.0177235,298,5
200.0,0.0107298,0.0250456,298,5
500.0,0.026095,0.0390919,298,5
1000.0,0.0524443,0.0554564,298,5
2000.0,0.1057235,0.0777901,298,5
5000.0,0.2652154,0.1097237,298,5
10000.0,0.5254566,0.1568512,298,5
20000.0,1.0014679,0.1903847,298,5
50000.0,2.2740195,0.3058358,298,5
100000.0,4.0289102,0.3116983,298,5
1000000.0,7.6498036,0.1892457,298,5
100.0,0.0024526,0.0120222,323,5
200.0,0.0050697,0.0176099,323,5
500.0,0.0120121,0.0266358,323,5
1000.0,0.0243344,0.0383082,323,5
2000.0,0.0485858,0.0536242,323,5
5000.0,0.1234734,0.0756499,323,5
10000.0,0.2420917,0.09929470000000001,323,5
20000.0,0.4573142,0.1374977,323,5
50000.0,1.0918734,0.2042862,323,5
100000.0,1.948068,0.2649379,323,5
1000000.0,6.5981927,0.224914,323,5
100.0,0.0158054,0.030317,273,1
200.0,0.03142,0.0434897,273,1
500.0,0.0774109,0.0605138,273,1
1000.0,0.1634343,0.0821567,273,1
2000.0,0.3066674,0.1080539,273,1
5000.0,0.8026194,0.1835471,273,1
10000.0,1.592754,0.2379414,273,1
20000.0,3.0082453,0.3191956,273,1
50000.0,5.2154864,0.2840737,273,1
100000.0,6.5234825,0.2499878,273,1
1000000.0,9.2238972,0.2662978,273,1
100.0,0.0058391,0.0187393,298,1
200.0,0.0115171,0.0262438,298,1
500.0,0.0298574,0.0424348,298,1
1000.0,0.0594701,0.0502888,298,1
2000.0,0.1156899,0.0726011,298,1
5000.0,0.2978701,0.1116633,298,1
10000.0,0.5806664,0.15403,298,1
20000.0,1.127006,0.2087109,298,1
50000.0,2.5985959,0.3109342,298,1
100000.0,4.1613262,0.3110297,298,1
1000000.0,7.8043037,0.2260193,298,1
100.0,0.0025135,0.0122476,323,1
200.0,0.0049862,0.0174919,323,1
500.0,0.0130857,0.028106,323,1
1000.0,0.0261834,0.0403145,323,1
2000.0,0.0507265,0.0542573,323,1
5000.0,0.1265808,0.0773936,323,1
10000.0,0.2508951,0.1036055,323,1
20000.0,0.5019512,0.1480734,323,1
50000.0,1.207065,0.2000125,323,1
100000.0,2.2264657,0.2708931,323,1
1000000.0,6.5672449,0.2311458,323,1
100.0,0.0683332,0.0520554,273,6
200.0,0.1428812,0.0777355,273,6
500.0,0.3697401,0.1160979,273,6
1000.0,0.7521962,0.2026391,273,6
2000.0,1.4487506,0.2465577,273,6
5000.0,3.4934466,0.2994425,273,6
10000.0,5.1624058,0.2792499,273,6
20000.0,6.3302632,0.2150778,273,6
50000.0,7.0805638,0.1442224,273,6
100000.0,7.397387499999998,0.1047923,273,6
1000000.0,8.0264529,0.139777,273,6
100.0,0.0223781,0.0364958,298,6
200.0,0.0418993,0.0429366,298,6
500.0,0.10632,0.0658264,298,6
1000.0,0.2287208,0.0958331,298,6
2000.0,0.461199,0.135023,298,6
5000.0,1.123697,0.2103721,298,6
10000.0,2.1423322,0.2992565,298,6
20000.0,3.6426605,0.3273005,298,6
50000.0,5.6509571,0.2658809,298,6
100000.0,6.5498703,0.2047534,298,6
1000000.0,7.6638354,0.1050753,298,6
100.0,0.0083143,0.022186,323,6
200.0,0.0164496,0.0311023,323,6
500.0,0.0424481,0.0425951,323,6
1000.0,0.0776256,0.0594983,323,6
2000.0,0.1597901,0.08030149999999998,323,6
5000.0,0.4062783,0.131843,323,6
10000.0,0.8151794,0.1735617,323,6
20000.0,1.4764661,0.2398278,323,6
50000.0,3.3456295,0.2905045,323,6
100000.0,4.8709933,0.2803566,323,6
1000000.0,7.2994503,0.1365737,323,6
100.0,1.3572988,0.2345814,273,2
200.0,2.2927795,0.2968933,273,2
500.0,3.8382139,0.2499148,273,2
1000.0,4.6738048,0.2106347,273,2
2000.0,5.3413273,0.1606277,273,2
5000.0,5.8249398,0.1460555,273,2
10000.0,6.1953956,0.1384148,273,2
20000.0,6.6004445,0.1454584,273,2
50000.0,7.1509445,0.140922,273,2
100000.0,7.4936909,0.1240523,273,2
1000000.0,8.594637199999998,0.1375326,273,2
100.0,0.3110939,0.1179726,298,2
200.0,0.6263967,0.1487735,298,2
500.0,1.2632599,0.2237049,298,2
1000.0,2.3163872,0.227572,298,2
2000.0,3.4762135,0.2718389,298,2
5000.0,4.721018,0.2119244,298,2
10000.0,5.3782449,0.1680714,298,2
20000.0,5.8569682,0.1527074,298,2
50000.0,6.3696965,0.1529109,298,2
100000.0,6.84893,0.1471848,298,2
1000000.0,8.001088799999998,0.1357733,298,2
100.0,0.0926378,0.0629001,323,2
200.0,0.1802954,0.087978,323,2
500.0,0.431627,0.1267168,323,2
1000.0,0.8295295999999999,0.1501966,323,2
2000.0,1.3610835,0.2200621,323,2
5000.0,2.7116635,0.2326966,323,2
10000.0,3.8653809,0.2201914,323,2
20000.0,4.8409436,0.2011641,323,2
50000.0,5.6502191,0.1710992,323,2
100000.0,6.1706346,0.1613173,323,2
1000000.0,7.508532899999999,0.1495823,323,2
100.0,0.0055528,0.0181919,273,8
200.0,0.0108431,0.0251174,273,8
500.0,0.0268394,0.0400143,273,8
1000.0,0.0559811,0.0577286,273,8
2000.0,0.1099701,0.0813513,273,8
5000.0,0.2740844,0.1150851,273,8
10000.0,0.5135697,0.1509259,273,8
20000.0,0.9810173,0.1977645,273,8
50000.0,2.0830761,0.2664864,273,8
100000.0,3.2790074,0.2883891,273,8
1000000.0,6.5896417,0.1933685,273,8
100.0,0.0024645,0.0121083,298,8
200.0,0.0051412,0.0177301,298,8
500.0,0.0131692,0.0279654,298,8
1000.0,0.0252589,0.0389716,298,8
2000.0,0.0502673,0.0543731,298,8
5000.0,0.123199,0.08377469999999998,298,8
10000.0,0.2454497,0.1043817,298,8
20000.0,0.4719276,0.140399,298,8
50000.0,1.0476318,0.1975307,298,8
100000.0,1.7903289,0.2528663,298,8
1000000.0,5.4731717,0.2518673,298,8
100.0,0.001175,0.0083313,323,8
200.0,0.0026303,0.0125045,323,8
500.0,0.0064892,0.0194333,323,8
1000.0,0.0129311,0.0277726,323,8
2000.0,0.0254386,0.0386756,323,8
5000.0,0.0628162,0.0606654,323,8
10000.0,0.1250479,0.08569269999999998,323,8
20000.0,0.2461296,0.1199532,323,8
50000.0,0.5695016,0.1763977,323,8
100000.0,1.0407321,0.2163826,323,8
1000000.0,4.2043739,0.3012873,323,8
100.0,0.0031551,0.0136922,273,4
200.0,0.0066144,0.0197095,273,4
500.0,0.0162468,0.0310602,273,4
1000.0,0.0325831,0.0440576,273,4
2000.0,0.0637109,0.0614165,273,4
5000.0,0.1602613,0.097473,273,4
10000.0,0.3190792,0.1240599,273,4
20000.0,0.6200446,0.1664787,273,4
50000.0,1.4270687,0.2299972,273,4
100000.0,2.5765146,0.2875839,273,4
1000000.0,6.3714763,0.2228338,273,4
100.0,0.0015336,0.0095898,298,4
200.0,0.0030358,0.0135101,298,4
500.0,0.008028,0.0216927,298,4
1000.0,0.0151673,0.0298473,298,4
2000.0,0.0317063,0.0433308,298,4
5000.0,0.0755739,0.0668099,298,4
10000.0,0.1511895,0.0934703,298,4
20000.0,0.3041654,0.1159435,298,4
50000.0,0.7197821,0.1767525,298,4
100000.0,1.3398506,0.2235078,298,4
1000000.0,5.1958944,0.2632629,298,4
100.0,0.000829,0.0069828,323,4
200.0,0.0017058,0.0100834,323,4
500.0,0.0042227,0.0158686,323,4
1000.0,0.008308299999999998,0.0222122,323,4
2000.0,0.0164556,0.0315816,323,4
5000.0,0.0409808,0.0496436,323,4
10000.0,0.0823852,0.0698389,323,4
20000.0,0.1647822,0.09723010000000001,323,4
50000.0,0.3959593,0.1513285,323,4
