Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002651,0.0040339,273,5
200.0,0.000598,0.0061048,273,5
500.0,0.0015474,0.009838800000000002,273,5
1000.0,0.0030208,0.013785,273,5
2000.0,0.0059459,0.0190764,273,5
5000.0,0.0146663,0.029688,273,5
10000.0,0.0297025,0.0428392,273,5
20000.0,0.0603483,0.0607878,273,5
50000.0,0.1484509,0.094766,273,5
100000.0,0.2960575,0.1184789,273,5
100.0,0.0002404,0.0038425,298,5
200.0,0.0003576,0.0046814,298,5
500.0,0.0011041,0.0083599,298,5
1000.0,0.0020159,0.011272,298,5
2000.0,0.0042846,0.0165731,298,5
5000.0,0.0105605,0.0253704,298,5
10000.0,0.0211765,0.0360691,298,5
20000.0,0.0424762,0.0518101,298,5
50000.0,0.1060734,0.080379,298,5
100000.0,0.2128187,0.1144467,298,5
100.0,0.0001685,0.0026262,323,5
200.0,0.0004398,0.0042285,323,5
500.0,0.0008465999999999999,0.005924,323,5
1000.0,0.0015947,0.0081471,323,5
2000.0,0.0032099,0.0115664,323,5
5000.0,0.008006199999999998,0.0180301,323,5
10000.0,0.016119,0.0257931,323,5
20000.0,0.0311163,0.0359402,323,5
50000.0,0.07867649999999998,0.056292,323,5
100000.0,0.1590176,0.0807345,323,5
100.0,0.0003391,0.0045594,273,1
200.0,0.0005117,0.0056607,273,1
500.0,0.0014426,0.0094007,273,1
1000.0,0.0030963,0.0137442,273,1
2000.0,0.0061711,0.0195419,273,1
5000.0,0.0152705,0.0309442,273,1
10000.0,0.0312931,0.0437987,273,1
20000.0,0.0620251,0.0618418,273,1
50000.0,0.1530376,0.0953089,273,1
100000.0,0.3053725,0.118612,273,1
100.0,0.0002096,0.0035886,298,1
200.0,0.0005117,0.0055931,298,1
500.0,0.0009556,0.0077638,298,1
1000.0,0.0022317,0.0116791,298,1
2000.0,0.0043956,0.0164288,298,1
5000.0,0.0110722,0.0262095,298,1
10000.0,0.0223046,0.0368402,298,1
20000.0,0.0441469,0.0522055,298,1
50000.0,0.1107464,0.0816506,298,1
100000.0,0.2179294,0.1161488,298,1
100.0,0.0001562,0.0025287,323,1
200.0,0.0003411,0.0037288,323,1
500.0,0.0007772,0.0056281,323,1
1000.0,0.0016851,0.0083745,323,1
2000.0,0.0033702,0.0117602,323,1
5000.0,0.0080555,0.0181296,323,1
10000.0,0.016374,0.0260025,323,1
20000.0,0.0329288,0.0368631,323,1
50000.0,0.0841355,0.0597786,323,1
100000.0,0.1652318,0.08197949999999998,323,1
100.0,0.0003699,0.004761,273,6
200.0,0.0009494,0.007591299999999999,273,6
500.0,0.0018988,0.0106871,273,6
1000.0,0.0034647,0.0146462,273,6
2000.0,0.007065,0.020803,273,6
5000.0,0.0181926,0.033553,273,6
10000.0,0.0368846,0.0475992,273,6
20000.0,0.0729617,0.0667869,273,6
50000.0,0.1808414,0.1052081,273,6
100000.0,0.357583,0.1298129,273,6
100.0,0.0003267,0.0044762,298,6
200.0,0.0006596,0.0063428,298,6
500.0,0.0012823,0.0088413,298,6
1000.0,0.0025338,0.0124542,298,6
2000.0,0.0052278,0.0180379,298,6
5000.0,0.0125271,0.0281237,298,6
10000.0,0.024672,0.0386889,298,6
20000.0,0.0503858,0.0553099,298,6
50000.0,0.1258381,0.0880331,298,6
100000.0,0.2467874,0.1211948,298,6
100.0,0.0001665,0.0031991,323,6
200.0,0.0003637,0.0048012,323,6
500.0,0.0009247,0.007493599999999999,323,6
1000.0,0.001905,0.0107392,323,6
2000.0,0.0038469,0.0154377,323,6
5000.0,0.0094816,0.0244853,323,6
10000.0,0.0184331,0.0339797,323,6
20000.0,0.0372175,0.0477868,323,6
50000.0,0.0935216,0.0760338,323,6
100000.0,0.1803667,0.1052301,323,6
100.0,0.0004562,0.0052836,273,2
200.0,0.0009001,0.0073945,273,2
500.0,0.002842,0.013276,273,2
1000.0,0.0054683,0.0184775,273,2
2000.0,0.0106283,0.025618,273,2
5000.0,0.0273784,0.0407106,273,2
10000.0,0.0552067,0.0572766,273,2
20000.0,0.1060487,0.067761,273,2
50000.0,0.266774,0.1090272,273,2
100000.0,0.5210039,0.1506741,273,2
100.0,0.0003082,0.0043483,298,2
200.0,0.0006596,0.0063428,298,2
500.0,0.0014857,0.0094946,298,2
1000.0,0.0032797,0.0143219,298,2
2000.0,0.0069725,0.0204939,298,2
5000.0,0.0173814,0.0325802,298,2
10000.0,0.0349427,0.0460241,298,2
20000.0,0.0701813,0.0653319,298,2
50000.0,0.1714892,0.088397,298,2
100000.0,0.34023,0.118839,298,2
100.0,0.0002713,0.0040803,323,2
200.0,0.0005302,0.0056925,323,2
500.0,0.0012638,0.0087793,323,2
1000.0,0.002318,0.01211,323,2
2000.0,0.0047593,0.0171336,323,2
5000.0,0.0122928,0.027861,323,2
10000.0,0.0244562,0.0387129,323,2
20000.0,0.0487521,0.0546294,323,2
50000.0,0.1168866,0.08454209999999998,323,2
100000.0,0.2325711,0.1053476,323,2
100.0,0.0003576,0.0038168,273,8
200.0,0.0005836,0.0048973,273,8
500.0,0.0014344,0.007698,273,8
1000.0,0.0028194,0.0106458,273,8
2000.0,0.0055566,0.0150067,273,8
5000.0,0.0141471,0.0238765,273,8
10000.0,0.0279928,0.0339114,273,8
20000.0,0.0568363,0.0488942,273,8
50000.0,0.1420476,0.0754538,273,8
100000.0,0.2820325,0.1062041,273,8
100.0,0.0002589,0.0032519,298,8
200.0,0.0003987,0.0040281,298,8
500.0,0.0010521,0.0065688,298,8
1000.0,0.0019111,0.008885199999999998,298,8
2000.0,0.0038222,0.012422,298,8
5000.0,0.0099919,0.0203563,298,8
10000.0,0.0210388,0.0298772,298,8
20000.0,0.0403267,0.0406831,298,8
50000.0,0.1004263,0.0639463,298,8
100000.0,0.2010992,0.0914934,298,8
100.0,0.0001973,0.0028406,323,8
200.0,0.0002754,0.0033528,323,8
500.0,0.0007603,0.0055686,323,8
1000.0,0.0015741,0.0079941,323,8
2000.0,0.0031194,0.0114149,323,8
5000.0,0.007603399999999998,0.0173289,323,8
10000.0,0.0153301,0.0253444,323,8
20000.0,0.0307341,0.0361253,323,8
50000.0,0.0757511,0.0555878,323,8
100000.0,0.1519115,0.07901669999999998,323,8
100.0,0.0002014,0.0028699,273,4
200.0,0.0005065,0.0045717,273,4
500.0,0.0014015,0.0075936,273,4
1000.0,0.0028058,0.0107026,273,4
2000.0,0.0057293,0.0154529,273,4
5000.0,0.0138316,0.023815,273,4
10000.0,0.0282887,0.0341036,273,4
20000.0,0.0566021,0.0480374,273,4
50000.0,0.1398776,0.07570399999999998,273,4
100000.0,0.2778071,0.1077941,273,4
100.0,0.0002302,0.0031216,298,4
200.0,0.0004151,0.0041095,298,4
500.0,0.0010198,0.006498,298,4
1000.0,0.0019933,0.0090743,298,4
2000.0,0.0040647,0.0129655,298,4
5000.0,0.0100118,0.0205027,298,4
10000.0,0.0200277,0.0288293,298,4
20000.0,0.0400801,0.0407316,298,4
50000.0,0.1007068,0.0633284,298,4
100000.0,0.2007863,0.08969589999999998,298,4
100.0,0.0001397,0.0023924,323,4
200.0,0.0003,0.0034987,323,4
500.0,0.0007644,0.0056732,323,4
1000.0,0.0015412,0.0080005,323,4
2000.0,0.003288,0.0116682,323,4
5000.0,0.0078746,0.0180972,323,4
10000.0,0.0155602,0.0248596,323,4
20000.0,0.030915,0.035417,323,4
50000.0,0.07623929999999998,0.0547559,323,4
100000.0,0.1535829,0.080053,323,4
100.0,0.0003452,0.003751,273,7
200.0,0.0006083,0.005163,273,7
500.0,0.0015371,0.0080958,273,7
1000.0,0.0031153,0.0113045,273,7
2000.0,0.0058937,0.0156629,273,7
5000.0,0.0151903,0.0250469,273,7
10000.0,0.0306684,0.035607,273,7
20000.0,0.0594543,0.0501707,273,7
50000.0,0.1511363,0.0787767,273,7
100000.0,0.306926,0.1014707,273,7
100.0,0.0002219,0.003012,298,7
200.0,0.0003247,0.0036385,298,7
500.0,0.0010193,0.0064442,298,7
1000.0,0.0022153,0.0094076,298,7
2000.0,0.0041099,0.0129968,298,7
5000.0,0.0108379,0.0210034,298,7
10000.0,0.0210593,0.0293406,298,7
20000.0,0.042916,0.0419465,298,7
50000.0,0.1086512,0.0675107,298,7
100000.0,0.21197,0.0794754,298,7
100.0,0.0001151,0.0021717,323,7
200.0,0.0003,0.0034987,323,7
500.0,0.0008589999999999998,0.0059648,323,7
1000.0,0.0016029,0.007956599999999998,323,7
2000.0,0.0032427,0.011425,323,7
5000.0,0.0082322,0.0183056,323,7
10000.0,0.0156013,0.0252319,323,7
20000.0,0.0326946,0.0370095,323,7
50000.0,0.0798972,0.0568549,323,7
100000.0,0.1572585,0.0803966,323,7
100.0,0.0003822,0.003945,273,3
200.0,0.000637,0.0051102,273,3
500.0,0.0014721,0.0077257,273,3
1000.0,0.0030783,0.0111719,273,3
2000.0,0.006206,0.0159601,273,3
5000.0,0.015404,0.0252125,273,3
10000.0,0.0303712,0.0350951,273,3
20000.0,0.0613715,0.0503225,273,3
50000.0,0.1516978,0.0791237,273,3
100000.0,0.2978029,0.1000684,273,3
100.0,0.0002384,0.0031209,298,3
200.0,0.0004644,0.0043442,298,3
500.0,0.0010891,0.0066776,298,3
1000.0,0.0021794,0.0094632,298,3
2000.0,0.0042436,0.0131772,298,3
5000.0,0.0109283,0.0212129,298,3
10000.0,0.0216881,0.0295868,298,3
20000.0,0.0431297,0.0420051,298,3
50000.0,0.108675,0.0677056,298,3
100000.0,0.2135647,0.0791781,298,3
100.0,0.0001726,0.0026579,323,3
200.0,0.0003,0.0034987,323,3
500.0,0.0008097,0.005741,323,3
1000.0,0.0016892,0.0083434,323,3
2000.0,0.0033455,0.0118388,323,3
5000.0,0.0079692,0.0181817,323,3
10000.0,0.0163534,0.0265394,323,3
20000.0,0.0329781,0.0370659,323,3
50000.0,0.0800164,0.0572548,323,3
100000.0,0.1625275,0.08021889999999998,323,3
