Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006955,0.0056344,273,5
200.0,0.0016107,0.0086511,273,5
500.0,0.003819,0.0132025,273,5
1000.0,0.007615099999999999,0.0187227,273,5
2000.0,0.0154634,0.0265896,273,5
5000.0,0.0381074,0.0411519,273,5
10000.0,0.07716159999999998,0.0588132,273,5
20000.0,0.1475314,0.0718366,273,5
50000.0,0.35704,0.1067063,273,5
100000.0,0.6655252,0.1356244,273,5
100.0,0.0004071,0.0042955,298,5
200.0,0.0008507,0.0063133,298,5
500.0,0.0022091,0.009996,298,5
1000.0,0.0042809,0.0139955,298,5
2000.0,0.008589299999999998,0.0199743,298,5
5000.0,0.0213405,0.0309078,298,5
10000.0,0.0431018,0.0444579,298,5
20000.0,0.0841867,0.0612648,298,5
50000.0,0.2010336,0.08396589999999998,298,5
100000.0,0.3818506,0.1093751,298,5
100.0,0.0003476,0.003972,323,5
200.0,0.0004757,0.0046847,323,5
500.0,0.0011754,0.007294799999999998,323,5
1000.0,0.0027808,0.0111566,323,5
2000.0,0.0053603,0.0156083,323,5
5000.0,0.0126598,0.0239398,323,5
10000.0,0.0254065,0.034382,323,5
20000.0,0.0506483,0.0474571,323,5
50000.0,0.1231973,0.0732305,323,5
100000.0,0.2418806,0.0909175,323,5
100.0,0.0010382,0.0069037,273,1
200.0,0.0022822,0.0102484,273,1
500.0,0.0054929,0.0157691,273,1
1000.0,0.0112648,0.0225381,273,1
2000.0,0.0214457,0.0312427,273,1
5000.0,0.0524549,0.0487669,273,1
10000.0,0.106724,0.068514,273,1
20000.0,0.2071943,0.085805,273,1
50000.0,0.478384,0.1247947,273,1
100000.0,0.8515175,0.1526807,273,1
100.0,0.0006083,0.0052791,298,1
200.0,0.0012263,0.0074164,298,1
500.0,0.0028219,0.0114882,298,1
1000.0,0.0059777,0.0165169,298,1
2000.0,0.0113792,0.0227902,298,1
5000.0,0.0290837,0.0357133,298,1
10000.0,0.0581353,0.0513959,298,1
20000.0,0.1148162,0.0716045,298,1
50000.0,0.2670721,0.0965988,298,1
100000.0,0.5074389,0.1226082,298,1
100.0,0.0003156,0.003786,323,1
