Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1615912,0.053286,273,5
200.0,0.2711719,0.0575624,273,5
500.0,0.5191676,0.0595932,273,5
1000.0,0.7841899,0.07851679999999998,273,5
2000.0,1.0163652,0.0841665,273,5
5000.0,1.3521058,0.08056449999999998,273,5
10000.0,1.6573873,0.08791419999999998,273,5
20000.0,1.9612042,0.0868371,273,5
50000.0,2.3816546,0.0843258,273,5
100000.0,2.6920797,0.083083,273,5
1000000.0,3.8987358,0.1181195,273,5
100.0,0.0408315,0.0266424,298,5
200.0,0.0817147,0.0385585,298,5
500.0,0.1757029,0.0496624,298,5
1000.0,0.3133492,0.0614681,298,5
2000.0,0.5224198,0.071093,298,5
5000.0,0.8557968999999999,0.07699979999999998,298,5
10000.0,1.1438227,0.08142779999999998,298,5
20000.0,1.4549926,0.08847399999999998,298,5
50000.0,1.8679915,0.0959436,298,5
100000.0,2.1664538,0.07946789999999998,298,5
1000000.0,3.2251938,0.1050688,298,5
100.0,0.0128167,0.0117532,323,5
200.0,0.0244376,0.016505,323,5
500.0,0.0581161,0.0236036,323,5
1000.0,0.1195157,0.0350122,323,5
2000.0,0.2069608,0.0455816,323,5
5000.0,0.42906,0.0612116,323,5
10000.0,0.6879255,0.0661412,323,5
20000.0,0.9761999,0.0689769,323,5
50000.0,1.4102468,0.071719,323,5
100000.0,1.7490015,0.0740832,323,5
1000000.0,2.7118958,0.0676755,323,5
100.0,0.1449535,0.0505156,273,1
200.0,0.2764163,0.0665205,273,1
500.0,0.5331465,0.0762805,273,1
1000.0,0.7550854999999999,0.0801053,273,1
2000.0,1.0730611,0.0870716,273,1
5000.0,1.5335243,0.0990972,273,1
10000.0,1.9107354,0.0921475,273,1
20000.0,2.2981488,0.09439380000000001,273,1
50000.0,2.8105123,0.109412,273,1
100000.0,3.2075974,0.090521,273,1
1000000.0,4.3694355,0.1036041,273,1
100.0,0.037427,0.0243837,298,1
200.0,0.07524899999999998,0.0337847,298,1
500.0,0.1778547,0.0505175,298,1
1000.0,0.3253294,0.0637506,298,1
2000.0,0.5419787,0.08290549999999998,298,1
5000.0,0.9361789,0.0894514,298,1
10000.0,1.2737945,0.097273,298,1
20000.0,1.6461266,0.0998961,298,1
50000.0,2.1486487,0.0954412,298,1
100000.0,2.5026636,0.08696339999999998,298,1
1000000.0,3.6806852,0.1022237,298,1
100.0,0.0123574,0.0117016,323,1
200.0,0.0248116,0.0162902,323,1
500.0,0.0610968,0.0257839,323,1
1000.0,0.1095959,0.0343876,323,1
2000.0,0.2133691,0.045407,323,1
5000.0,0.4568025,0.0666854,323,1
10000.0,0.7309162999999999,0.0713466,323,1
20000.0,1.0926663,0.07482619999999998,323,1
50000.0,1.6097281,0.08029999999999998,323,1
100000.0,1.9809794,0.0714206,323,1
1000000.0,3.0809822,0.0705218,323,1
100.0,0.0237372,0.021241,273,6
200.0,0.0463451,0.0283033,273,6
500.0,0.1123359,0.0419471,273,6
1000.0,0.212134,0.0583431,273,6
2000.0,0.3857989,0.0688165,273,6
5000.0,0.753297,0.0841702,273,6
10000.0,1.1758397,0.1053897,273,6
20000.0,1.6171893,0.1097783,273,6
50000.0,2.193965,0.1005245,273,6
100000.0,2.563292,0.0941128,273,6
1000000.0,3.6190179,0.0662543,273,6
100.0,0.0075556,0.0134979,298,6
200.0,0.0151802,0.0193681,298,6
500.0,0.0364571,0.0246812,298,6
1000.0,0.0749784,0.0353946,298,6
2000.0,0.1387499,0.0488116,298,6
5000.0,0.3190363,0.0687515,298,6
10000.0,0.5530093,0.0826168,298,6
20000.0,0.9154203,0.097173,298,6
50000.0,1.5167715,0.1034628,298,6
100000.0,1.9638853,0.1007247,298,6
1000000.0,3.0492846,0.0893737,298,6
100.0,0.0030213,0.0086259,323,6
200.0,0.0058728,0.0118995,323,6
500.0,0.0148136,0.0191143,323,6
1000.0,0.0283331,0.0227685,323,6
2000.0,0.057913,0.0322689,323,6
5000.0,0.1413923,0.0472474,323,6
10000.0,0.2648883,0.0629765,323,6
20000.0,0.4680867,0.08295049999999998,323,6
50000.0,0.9214202,0.1048538,323,6
100000.0,1.3700077,0.1102907,323,6
1000000.0,2.6488486,0.0879611,323,6
100.0,0.0278951,0.022683,273,2
200.0,0.0539008,0.0308913,273,2
500.0,0.135511,0.0470502,273,2
1000.0,0.2558564,0.0672067,273,2
2000.0,0.4678113,0.0807046,273,2
5000.0,0.9623457,0.1104187,273,2
10000.0,1.4545781,0.1096216,273,2
20000.0,1.9771459,0.1080626,273,2
50000.0,2.6037558,0.100239,273,2
100000.0,2.9658422,0.0857683,273,2
1000000.0,3.8544598,0.08321499999999998,273,2
100.0,0.0087317,0.0146373,298,2
200.0,0.0178447,0.0207404,298,2
500.0,0.0451597,0.028624,298,2
1000.0,0.08913319999999998,0.0383496,298,2
2000.0,0.1745157,0.0546912,298,2
5000.0,0.3990575,0.0762637,298,2
10000.0,0.6828351,0.0989902,298,2
20000.0,1.1619657,0.1147285,298,2
50000.0,1.8241089,0.111016,298,2
100000.0,2.3082615,0.1021311,298,2
1000000.0,3.4441813,0.0942745,298,2
100.0,0.0035822,0.0093103,323,2
200.0,0.007326799999999999,0.0134514,323,2
500.0,0.018378,0.0212456,323,2
1000.0,0.035596,0.0258084,323,2
2000.0,0.0695533,0.0350283,323,2
5000.0,0.1692727,0.0541469,323,2
10000.0,0.3234777,0.0695408,323,2
20000.0,0.5738159,0.0898168,323,2
50000.0,1.1402409,0.1142661,323,2
100000.0,1.6552056,0.1103471,323,2
1000000.0,2.9836135,0.086553,323,2
100.0,0.0107877,0.0134231,273,8
200.0,0.0216289,0.0161548,273,8
500.0,0.0525131,0.0251087,273,8
1000.0,0.1062974,0.0359005,273,8
2000.0,0.199337,0.0483042,273,8
5000.0,0.4551409,0.0665464,273,8
10000.0,0.8385186999999998,0.0894376,273,8
20000.0,1.3436043,0.0982714,273,8
50000.0,2.0665907,0.0857589,273,8
100000.0,2.5029936,0.0772101,273,8
1000000.0,3.4910806,0.071171,273,8
100.0,0.0039086,0.0081767,298,8
200.0,0.007953399999999998,0.0114366,298,8
500.0,0.0197433,0.018026,298,8
1000.0,0.0393931,0.0224501,298,8
2000.0,0.0775035,0.0312801,298,8
5000.0,0.1895429,0.0456529,298,8
