Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0016917,0.0064141,273,5
200.0,0.0034914,0.0092756,273,5
500.0,0.0086917,0.0144059,273,5
1000.0,0.0175441,0.0205043,273,5
2000.0,0.0343205,0.0286344,273,5
5000.0,0.08448949999999998,0.0395274,273,5
10000.0,0.1684004,0.0532416,273,5
20000.0,0.3178007,0.07360419999999998,273,5
50000.0,0.6874818,0.1055966,273,5
100000.0,1.1966055,0.1247794,273,5
100.0,0.0008262999999999999,0.0044919,298,5
200.0,0.0017236,0.0064197,298,5
500.0,0.0045211,0.0104769,298,5
1000.0,0.0094419,0.0153742,298,5
2000.0,0.0180674,0.0213023,298,5
5000.0,0.0443067,0.0326606,298,5
10000.0,0.08787549999999998,0.0405223,298,5
20000.0,0.1702074,0.0545075,298,5
50000.0,0.3980524,0.0819448,298,5
100000.0,0.7151762,0.106479,298,5
100.0,0.0004977,0.0034577,323,5
200.0,0.0010003,0.0049727,323,5
500.0,0.0026357,0.008025499999999998,323,5
1000.0,0.0052469,0.0112571,323,5
2000.0,0.0101826,0.0157587,323,5
5000.0,0.0263325,0.0252968,323,5
10000.0,0.0507599,0.0346388,323,5
20000.0,0.1017184,0.0431961,323,5
50000.0,0.2434552,0.0653244,323,5
100000.0,0.4517201,0.0855655,323,5
100.0,0.0026136,0.008021399999999998,273,1
200.0,0.0052346,0.0113081,273,1
500.0,0.0131711,0.0180473,273,1
1000.0,0.0261559,0.0250894,273,1
2000.0,0.052052,0.0356389,273,1
5000.0,0.1251787,0.0501457,273,1
10000.0,0.2471046,0.0649762,273,1
20000.0,0.4519698,0.0821419,273,1
50000.0,0.9648514,0.1160982,273,1
100000.0,1.5748581,0.1384727,273,1
100.0,0.0013411,0.0057137,298,1
200.0,0.0026504,0.0080206,298,1
500.0,0.0064973,0.0126779,298,1
1000.0,0.013002,0.0177901,298,1
2000.0,0.0265777,0.0254487,298,1
5000.0,0.0633818,0.0397055,298,1
10000.0,0.1259244,0.0497701,298,1
20000.0,0.2443171,0.0649855,298,1
50000.0,0.5524885,0.093372,298,1
100000.0,0.9598141,0.1217152,298,1
100.0,0.0007584,0.0043151,323,1
200.0,0.0014784,0.0059687,323,1
500.0,0.0036704,0.0095806,323,1
1000.0,0.0073873,0.0134183,323,1
2000.0,0.0144755,0.0187724,323,1
5000.0,0.0365492,0.0298429,323,1
10000.0,0.0713895,0.0410641,323,1
20000.0,0.140412,0.0521179,323,1
50000.0,0.3354361,0.07781979999999998,323,1
100000.0,0.601202,0.1001007,323,1
100.0,0.0017751,0.0065678,273,6
200.0,0.0034139,0.0092089,273,6
500.0,0.008872599999999998,0.0148652,273,6
1000.0,0.0178369,0.0206862,273,6
2000.0,0.0350928,0.029396,273,6
5000.0,0.0864525,0.0392536,273,6
10000.0,0.1720536,0.0545761,273,6
20000.0,0.3233624,0.0735013,273,6
50000.0,0.6967842,0.1025803,273,6
100000.0,1.2025099,0.1283745,273,6
100.0,0.0009243,0.0047084,298,6
200.0,0.0019109,0.0068768,298,6
500.0,0.0045358,0.0104245,298,6
1000.0,0.0091551,0.0149976,298,6
2000.0,0.0189476,0.0215729,298,6
5000.0,0.0454027,0.0331044,298,6
10000.0,0.08988839999999998,0.0413949,298,6
20000.0,0.1736507,0.0561503,298,6
50000.0,0.4066135,0.0842235,298,6
100000.0,0.7218622,0.104747,298,6
100.0,0.0005271,0.0035899,323,6
200.0,0.0010249,0.0050039,323,6
500.0,0.0025499,0.0079593,323,6
1000.0,0.0054847,0.0116676,323,6
2000.0,0.0104177,0.0161664,323,6
5000.0,0.0258225,0.0253163,323,6
10000.0,0.0513116,0.0358165,323,6
20000.0,0.1000953,0.0435012,323,6
50000.0,0.2426266,0.0653336,323,6
100000.0,0.4552724,0.0856397,323,6
100.0,0.0024543,0.007787299999999999,273,2
200.0,0.0053008,0.0115067,273,2
500.0,0.0128965,0.0176074,273,2
1000.0,0.0268081,0.0253318,273,2
2000.0,0.0525644,0.0359656,273,2
5000.0,0.1245007,0.0506,273,2
10000.0,0.2416392,0.065842,273,2
20000.0,0.4549169,0.08673939999999998,273,2
50000.0,0.9656075,0.1221264,273,2
100000.0,1.6008923,0.1362969,273,2
100.0,0.0013436,0.0057394,298,2
200.0,0.0024543,0.0077098,298,2
500.0,0.0066125,0.0127909,298,2
1000.0,0.0132349,0.0179337,298,2
2000.0,0.0259973,0.0249553,298,2
5000.0,0.0655934,0.040122,298,2
10000.0,0.1298211,0.0508111,298,2
20000.0,0.2438739,0.0650852,298,2
50000.0,0.5580098,0.0917792,298,2
100000.0,0.9791295,0.1189038,298,2
100.0,0.0007625,0.0042842,323,2
200.0,0.0015544,0.006153,323,2
500.0,0.0035723,0.0092674,323,2
1000.0,0.0070882,0.0132697,323,2
2000.0,0.0146349,0.0187722,323,2
5000.0,0.0366938,0.029544,323,2
10000.0,0.0722623,0.041585,323,2
20000.0,0.1418716,0.0539195,323,2
50000.0,0.3369342,0.07625429999999998,323,2
100000.0,0.6054227,0.1000399,323,2
100.0,0.0016893,0.0064661,273,8
200.0,0.0034129,0.0091154,273,8
500.0,0.0087579,0.0146003,273,8
1000.0,0.0171087,0.0204028,273,8
2000.0,0.0337419,0.0284101,273,8
5000.0,0.082925,0.0391507,273,8
10000.0,0.1657397,0.0553689,273,8
20000.0,0.3120243,0.0705953,273,8
50000.0,0.6825315,0.09929470000000001,273,8
100000.0,1.1824272,0.1245404,273,8
100.0,0.0008997999999999999,0.0046876,298,8
200.0,0.0017604,0.0065351,298,8
500.0,0.0044108,0.0104866,298,8
1000.0,0.0090594,0.0150576,298,8
2000.0,0.0181361,0.0210306,298,8
5000.0,0.0441057,0.0327375,298,8
10000.0,0.08690209999999998,0.0399369,298,8
20000.0,0.1703275,0.0570479,298,8
50000.0,0.3956468,0.0800449,298,8
100000.0,0.7007946,0.1080468,298,8
100.0,0.0005247,0.0036152,323,8
200.0,0.0010886,0.0052143,323,8
500.0,0.002545,0.0079533,323,8
1000.0,0.0050826,0.0112497,323,8
2000.0,0.0101701,0.0159639,323,8
5000.0,0.025364,0.0252657,323,8
10000.0,0.0509855,0.034907,323,8
20000.0,0.1009853,0.0493204,323,8
50000.0,0.2425751,0.0733588,323,8
100000.0,0.4459333,0.09249230000000001,323,8
100.0,0.0025303,0.0078055,273,4
200.0,0.0051782,0.0113154,273,4
500.0,0.0127151,0.0175892,273,4
1000.0,0.0255043,0.0251608,273,4
2000.0,0.0499704,0.0342206,273,4
5000.0,0.1252413,0.0486094,273,4
10000.0,0.2384331,0.0630689,273,4
20000.0,0.4413535,0.0831914,273,4
50000.0,0.9576162,0.118771,273,4
100000.0,1.5662925,0.1434529,273,4
100.0,0.0012798,0.005595,298,4
200.0,0.0026553,0.0079965,298,4
500.0,0.0063453,0.0124783,298,4
1000.0,0.0130976,0.0178735,298,4
2000.0,0.0256165,0.0250373,298,4
5000.0,0.0629135,0.0387824,298,4
10000.0,0.1221347,0.0482749,298,4
20000.0,0.2384879,0.0659191,298,4
50000.0,0.5467754,0.0934704,298,4
100000.0,0.9609321,0.1208259,298,4
100.0,0.0007674,0.0042973,323,4
200.0,0.0014417,0.0059323,323,4
500.0,0.0034129,0.0092008,323,4
1000.0,0.0071544,0.0132908,323,4
2000.0,0.0140562,0.018469,323,4
5000.0,0.0358504,0.0291216,323,4
10000.0,0.071284,0.0414482,323,4
20000.0,0.1402119,0.0572622,323,4
50000.0,0.3309826,0.0866216,323,4
100000.0,0.5941779,0.1100019,323,4
100.0,0.0018045,0.0066689,273,7
200.0,0.0034448,0.0091331,273,7
500.0,0.0087966,0.0146478,273,7
1000.0,0.0180078,0.0208979,273,7
2000.0,0.0350536,0.0289984,273,7
5000.0,0.0869806,0.0409984,273,7
10000.0,0.1715583,0.0560232,273,7
20000.0,0.3244093,0.0741634,273,7
50000.0,0.6960184,0.1065022,273,7
100000.0,1.2031791,0.1243374,273,7
100.0,0.0009734,0.0049356,298,7
200.0,0.0017751,0.0066134,298,7
500.0,0.0045432,0.0106128,298,7
1000.0,0.0090791,0.0148285,298,7
2000.0,0.018177,0.020816,298,7
5000.0,0.0458195,0.0332507,298,7
10000.0,0.0902145,0.0413466,298,7
20000.0,0.1749271,0.0564756,298,7
50000.0,0.4086602,0.0799256,298,7
100000.0,0.7228213,0.1081773,298,7
100.0,0.0005492,0.0037101,323,7
200.0,0.0010665,0.0051082,323,7
500.0,0.0027068,0.0080654,323,7
1000.0,0.0054013,0.0116136,323,7
2000.0,0.0107737,0.0160818,323,7
5000.0,0.0264977,0.0256696,323,7
10000.0,0.05063,0.0348966,323,7
20000.0,0.1027751,0.0438876,323,7
50000.0,0.2528987,0.0668087,323,7
100000.0,0.4483594,0.0860128,323,7
100.0,0.0028,0.008283999999999998,273,3
200.0,0.0053204,0.0113874,273,3
500.0,0.0133844,0.018042,273,3
1000.0,0.0260292,0.0250028,273,3
2000.0,0.0520741,0.0360054,273,3
5000.0,0.1285511,0.0503354,273,3
10000.0,0.2502297,0.0683244,273,3
20000.0,0.4635597,0.0872195,273,3
50000.0,0.9820884,0.1154692,273,3
100000.0,1.6015882,0.1419206,273,3
100.0,0.0013099,0.0057591,298,3
200.0,0.0025474,0.0078727,298,3
500.0,0.006615,0.0127496,298,3
1000.0,0.013306,0.0182981,298,3
2000.0,0.0260137,0.0251915,298,3
